DATE,DATE,CLOSE
2016-11-01,2016-11-01,213.29
2016-11-02,2016-11-02,215.43
2016-11-03,2016-11-03,218.35
2016-11-04,2016-11-04,220.13
2016-11-07,2016-11-07,220.03
2016-11-08,2016-11-08,222.73
2016-11-09,2016-11-09,216.78
2016-11-10,2016-11-10,213.41
2016-11-11,2016-11-11,215.33
2016-11-14,2016-11-14,220.17
2016-11-15,2016-11-15,214.79
2016-11-16,2016-11-16,215.26
2016-11-17,2016-11-17,212.69
2016-11-18,2016-11-18,212.95
2016-11-21,2016-11-21,210.32
2016-11-22,2016-11-22,214.28
2016-11-23,2016-11-23,211.6
2016-11-25,2016-11-25,212.83
2016-11-28,2016-11-28,215.36
2016-11-29,2016-11-29,215.87
2016-11-30,2016-11-30,215.92
2016-12-01,2016-12-01,212.23
2016-12-02,2016-12-02,214.5
2016-12-05,2016-12-05,213.98
2016-12-06,2016-12-06,214.17
2016-12-07,2016-12-07,217.66
2016-12-08,2016-12-08,219.22
2016-12-09,2016-12-09,218.75
2016-12-12,2016-12-12,218.94
2016-12-13,2016-12-13,219.0
2016-12-14,2016-12-14,219.77
2016-12-15,2016-12-15,221.48
2016-12-16,2016-12-16,227.0
2016-12-19,2016-12-19,228.98
2016-12-20,2016-12-20,229.61
2016-12-21,2016-12-21,227.58
2016-12-22,2016-12-22,229.59
2016-12-23,2016-12-23,230.67
2016-12-27,2016-12-27,229.29
2016-12-28,2016-12-28,227.55
2016-12-29,2016-12-29,229.52
2016-12-30,2016-12-30,232.5
2017-01-03,2017-01-03,229.25
2017-01-04,2017-01-04,231.03
2017-01-05,2017-01-05,232.76
2017-01-06,2017-01-06,233.74
2017-01-09,2017-01-09,230.73
2017-01-10,2017-01-10,230.1
2017-01-11,2017-01-11,226.87
2017-01-12,2017-01-12,228.43
2017-01-13,2017-01-13,228.0
2017-01-17,2017-01-17,229.58
2017-01-18,2017-01-18,227.9
2017-01-19,2017-01-19,226.67
2017-01-20,2017-01-20,228.54
2017-01-23,2017-01-23,231.11
2017-01-24,2017-01-24,226.71
2017-01-25,2017-01-25,225.85
2017-01-26,2017-01-26,225.38
2017-01-27,2017-01-27,225.41
2017-01-30,2017-01-30,223.24
2017-01-31,2017-01-31,224.3
2017-02-01,2017-02-01,221.72
2017-02-02,2017-02-02,226.34
2017-02-03,2017-02-03,223.08
2017-02-06,2017-02-06,223.17
2017-02-07,2017-02-07,223.96
2017-02-08,2017-02-08,228.07
2017-02-09,2017-02-09,226.55
2017-02-10,2017-02-10,228.38
2017-02-13,2017-02-13,226.71
2017-02-14,2017-02-14,226.02
2017-02-15,2017-02-15,225.43
2017-02-16,2017-02-16,227.88
2017-02-17,2017-02-17,228.1
2017-02-21,2017-02-21,230.97
2017-02-22,2017-02-22,229.5
2017-02-23,2017-02-23,231.58
2017-02-24,2017-02-24,232.35
2017-02-27,2017-02-27,234.32
2017-02-28,2017-02-28,234.7
2017-03-01,2017-03-01,232.62
2017-03-02,2017-03-02,231.74
2017-03-03,2017-03-03,230.55
2017-03-06,2017-03-06,231.42
2017-03-07,2017-03-07,233.7
2017-03-08,2017-03-08,230.61
2017-03-09,2017-03-09,225.93
2017-03-10,2017-03-10,224.25
2017-03-13,2017-03-13,224.04
2017-03-14,2017-03-14,225.11
2017-03-15,2017-03-15,232.13
2017-03-16,2017-03-16,232.96
2017-03-17,2017-03-17,233.15
2017-03-20,2017-03-20,233.11
2017-03-21,2017-03-21,233.6
2017-03-22,2017-03-22,235.31
2017-03-23,2017-03-23,236.77
2017-03-24,2017-03-24,236.65
2017-03-27,2017-03-27,233.46
2017-03-28,2017-03-28,233.0
2017-03-29,2017-03-29,232.0
2017-03-30,2017-03-30,232.57
2017-03-31,2017-03-31,231.53
2017-04-03,2017-04-03,230.87
2017-04-04,2017-04-04,230.97
2017-04-05,2017-04-05,231.37
2017-04-06,2017-04-06,232.23
2017-04-07,2017-04-07,233.42
2017-04-10,2017-04-10,235.27
2017-04-11,2017-04-11,236.79
2017-04-12,2017-04-12,234.75
2017-04-13,2017-04-13,233.57
2017-04-17,2017-04-17,236.09
2017-04-18,2017-04-18,236.94
2017-04-19,2017-04-19,235.22
2017-04-20,2017-04-20,235.06
2017-04-21,2017-04-21,235.49
2017-04-24,2017-04-24,234.25
2017-04-25,2017-04-25,238.4
2017-04-26,2017-04-26,241.03
2017-04-27,2017-04-27,241.44
2017-04-28,2017-04-28,244.47
2017-05-01,2017-05-01,247.98
2017-05-02,2017-05-02,248.55
2017-05-03,2017-05-03,247.54
2017-05-04,2017-05-04,250.49
2017-05-05,2017-05-05,250.37
2017-05-08,2017-05-08,249.86
2017-05-09,2017-05-09,250.43
2017-05-10,2017-05-10,251.3
2017-05-11,2017-05-11,251.33
2017-05-12,2017-05-12,252.67
2017-05-15,2017-05-15,253.93
2017-05-16,2017-05-16,254.33
2017-05-17,2017-05-17,253.74
2017-05-18,2017-05-18,255.88
2017-05-19,2017-05-19,254.55
2017-05-22,2017-05-22,254.59
2017-05-23,2017-05-23,251.93
2017-05-24,2017-05-24,256.83
2017-05-25,2017-05-25,256.29
2017-05-26,2017-05-26,256.3
2017-05-30,2017-05-30,255.19
2017-05-31,2017-05-31,256.92
2017-06-01,2017-06-01,258.49
2017-06-02,2017-06-02,262.63
2017-06-05,2017-06-05,266.13
2017-06-06,2017-06-06,262.7
2017-06-07,2017-06-07,263.58
2017-06-08,2017-06-08,265.68
2017-06-09,2017-06-09,266.23
2017-06-12,2017-06-12,262.64
2017-06-13,2017-06-13,262.31
2017-06-14,2017-06-14,262.51
2017-06-15,2017-06-15,263.77
2017-06-16,2017-06-16,266.3
2017-06-19,2017-06-19,268.39
2017-06-20,2017-06-20,267.12
2017-06-21,2017-06-21,266.49
2017-06-22,2017-06-22,263.93
2017-06-23,2017-06-23,265.79
2017-06-26,2017-06-26,265.5
2017-06-27,2017-06-27,260.52
2017-06-28,2017-06-28,260.24
2017-06-29,2017-06-29,260.18
2017-06-30,2017-06-30,257.27
2017-07-03,2017-07-03,261.24
2017-07-05,2017-07-05,259.72
2017-07-06,2017-07-06,254.03
2017-07-07,2017-07-07,255.74
2017-07-10,2017-07-10,253.09
2017-07-11,2017-07-11,251.73
2017-07-12,2017-07-12,254.0
2017-07-13,2017-07-13,252.26
2017-07-14,2017-07-14,253.52
2017-07-17,2017-07-17,257.8
2017-07-18,2017-07-18,258.81
2017-07-19,2017-07-19,263.49
2017-07-20,2017-07-20,264.17
2017-07-21,2017-07-21,264.85
2017-07-24,2017-07-24,262.76
2017-07-25,2017-07-25,261.45
2017-07-26,2017-07-26,267.14
2017-07-27,2017-07-27,264.04
2017-07-28,2017-07-28,264.66
2017-07-31,2017-07-31,261.7
2017-08-01,2017-08-01,263.2
2017-08-02,2017-08-02,263.46
2017-08-03,2017-08-03,263.27
2017-08-04,2017-08-04,262.0
2017-08-07,2017-08-07,261.51
2017-08-08,2017-08-08,262.69
2017-08-09,2017-08-09,264.66
2017-08-10,2017-08-10,262.53
2017-08-11,2017-08-11,259.14
2017-08-14,2017-08-14,263.46
2017-08-15,2017-08-15,265.08
2017-08-16,2017-08-16,262.7
2017-08-17,2017-08-17,262.61
2017-08-18,2017-08-18,260.76
2017-08-21,2017-08-21,264.2
2017-08-22,2017-08-22,265.23
2017-08-23,2017-08-23,267.16
2017-08-24,2017-08-24,266.41
2017-08-25,2017-08-25,265.65
2017-08-28,2017-08-28,266.07
2017-08-29,2017-08-29,264.64
2017-08-30,2017-08-30,266.35
