DATE,DATE,CLOSE
2016-11-01,2016-11-01,28.1
2016-11-02,2016-11-02,27.51
2016-11-03,2016-11-03,27.58
2016-11-04,2016-11-04,27.63
2016-11-07,2016-11-07,28.53
2016-11-08,2016-11-08,28.65
2016-11-09,2016-11-09,30.01
2016-11-10,2016-11-10,31.58
2016-11-11,2016-11-11,32.45
2016-11-14,2016-11-14,33.08
2016-11-15,2016-11-15,33.56
2016-11-16,2016-11-16,33.27
2016-11-17,2016-11-17,34.11
2016-11-18,2016-11-18,34.06
2016-11-21,2016-11-21,33.79
2016-11-22,2016-11-22,34.2
2016-11-23,2016-11-23,34.57
2016-11-25,2016-11-25,34.67
2016-11-28,2016-11-28,33.89
2016-11-29,2016-11-29,34.07
2016-11-30,2016-11-30,34.51
2016-12-01,2016-12-01,35.3
2016-12-02,2016-12-02,34.93
2016-12-05,2016-12-05,35.21
2016-12-06,2016-12-06,35.52
2016-12-07,2016-12-07,35.5
2016-12-08,2016-12-08,35.44
2016-12-09,2016-12-09,35.64
2016-12-12,2016-12-12,34.93
2016-12-13,2016-12-13,34.92
2016-12-14,2016-12-14,34.92
2016-12-15,2016-12-15,35.28
2016-12-16,2016-12-16,34.56
2016-12-19,2016-12-19,34.79
2016-12-20,2016-12-20,35.18
2016-12-21,2016-12-21,35.07
2016-12-22,2016-12-22,34.9
2016-12-23,2016-12-23,35.43
2016-12-27,2016-12-27,35.58
2016-12-28,2016-12-28,34.84
2016-12-29,2016-12-29,34.59
2016-12-30,2016-12-30,34.65
2017-01-03,2017-01-03,35.22
2017-01-04,2017-01-04,35.98
2017-01-05,2017-01-05,36.71
2017-01-06,2017-01-06,36.56
2017-01-09,2017-01-09,36.46
2017-01-10,2017-01-10,36.79
2017-01-11,2017-01-11,36.93
2017-01-12,2017-01-12,36.72
2017-01-13,2017-01-13,36.93
2017-01-17,2017-01-17,35.765
2017-01-18,2017-01-18,36.37
2017-01-19,2017-01-19,36.24
2017-01-20,2017-01-20,36.39
2017-01-23,2017-01-23,36.23
2017-01-24,2017-01-24,36.72
2017-01-25,2017-01-25,36.99
2017-01-26,2017-01-26,37.41
2017-01-27,2017-01-27,38.27
