DATE,DATE,CLOSE
2016-11-01,2016-11-01,60.7
2016-11-02,2016-11-02,60.88
2016-11-03,2016-11-03,59.72
2016-11-04,2016-11-04,60.76
2016-11-07,2016-11-07,62.43
2016-11-08,2016-11-08,63.0
2016-11-09,2016-11-09,66.32
2016-11-10,2016-11-10,68.7
2016-11-11,2016-11-11,67.31
2016-11-14,2016-11-14,67.06
2016-11-15,2016-11-15,65.85
2016-11-16,2016-11-16,65.54
2016-11-17,2016-11-17,64.79
2016-11-18,2016-11-18,64.15
2016-11-21,2016-11-21,65.54
2016-11-22,2016-11-22,65.58
2016-11-23,2016-11-23,66.49
2016-11-25,2016-11-25,66.81
2016-11-28,2016-11-28,65.98
2016-11-29,2016-11-29,65.69
2016-11-30,2016-11-30,66.51
2016-12-01,2016-12-01,67.65
2016-12-02,2016-12-02,67.76
2016-12-05,2016-12-05,68.01
2016-12-06,2016-12-06,68.45
2016-12-07,2016-12-07,68.9
2016-12-08,2016-12-08,68.98
2016-12-09,2016-12-09,69.53
2016-12-12,2016-12-12,69.86
2016-12-13,2016-12-13,68.85
2016-12-14,2016-12-14,67.67
2016-12-15,2016-12-15,67.89
2016-12-16,2016-12-16,68.06
2016-12-19,2016-12-19,67.82
2016-12-20,2016-12-20,68.45
2016-12-21,2016-12-21,67.82
2016-12-22,2016-12-22,68.07
2016-12-23,2016-12-23,68.26
2016-12-27,2016-12-27,68.49
2016-12-28,2016-12-28,67.7
2016-12-29,2016-12-29,67.61
2016-12-30,2016-12-30,67.09
2017-01-03,2017-01-03,68.53
2017-01-04,2017-01-04,68.17
2017-01-05,2017-01-05,67.35
2017-01-06,2017-01-06,68.01
2017-01-09,2017-01-09,66.88
2017-01-10,2017-01-10,67.21
2017-01-11,2017-01-11,68.46
2017-01-12,2017-01-12,68.2
2017-01-13,2017-01-13,68.66
2017-01-17,2017-01-17,67.56
2017-01-18,2017-01-18,67.8
2017-01-19,2017-01-19,67.73
2017-01-20,2017-01-20,67.93
2017-01-23,2017-01-23,67.74
2017-01-24,2017-01-24,69.17
2017-01-25,2017-01-25,71.18
2017-01-26,2017-01-26,71.31
2017-01-27,2017-01-27,70.95
2017-01-30,2017-01-30,70.41
2017-01-31,2017-01-31,70.78
2017-02-01,2017-02-01,71.31
2017-02-02,2017-02-02,70.02
2017-02-03,2017-02-03,70.22
2017-02-06,2017-02-06,69.98
2017-02-07,2017-02-07,70.24
2017-02-08,2017-02-08,69.97
2017-02-09,2017-02-09,70.79
2017-02-10,2017-02-10,71.0
2017-02-13,2017-02-13,72.2
2017-02-14,2017-02-14,72.01
2017-02-15,2017-02-15,72.1
2017-02-16,2017-02-16,71.78
2017-02-17,2017-02-17,71.63
2017-02-21,2017-02-21,71.89
2017-02-22,2017-02-22,72.5
2017-02-23,2017-02-23,72.12
2017-02-24,2017-02-24,72.39
2017-02-27,2017-02-27,72.35
2017-02-28,2017-02-28,71.98
2017-03-01,2017-03-01,73.24
2017-03-02,2017-03-02,72.11
2017-03-03,2017-03-03,71.93
2017-03-06,2017-03-06,71.84
2017-03-07,2017-03-07,71.54
2017-03-08,2017-03-08,71.83
2017-03-09,2017-03-09,71.6
2017-03-10,2017-03-10,72.49
2017-03-13,2017-03-13,72.75
2017-03-14,2017-03-14,71.82
2017-03-15,2017-03-15,73.96
2017-03-16,2017-03-16,73.35
2017-03-17,2017-03-17,73.25
2017-03-20,2017-03-20,73.37
2017-03-21,2017-03-21,71.99
2017-03-22,2017-03-22,72.54
2017-03-23,2017-03-23,72.78
2017-03-24,2017-03-24,72.84
2017-03-27,2017-03-27,72.68
2017-03-28,2017-03-28,73.29
2017-03-29,2017-03-29,73.94
2017-03-30,2017-03-30,74.2
2017-03-31,2017-03-31,74.15
2017-04-03,2017-04-03,74.16
2017-04-04,2017-04-04,74.88
2017-04-05,2017-04-05,74.65
2017-04-06,2017-04-06,74.73
2017-04-07,2017-04-07,74.57
2017-04-10,2017-04-10,75.6
2017-04-11,2017-04-11,75.39
2017-04-12,2017-04-12,74.24
2017-04-13,2017-04-13,73.51
2017-04-17,2017-04-17,74.28
2017-04-18,2017-04-18,74.47
2017-04-19,2017-04-19,73.63
2017-04-20,2017-04-20,74.03
2017-04-21,2017-04-21,73.85
2017-04-24,2017-04-24,75.48
2017-04-25,2017-04-25,76.52
2017-04-26,2017-04-26,76.72
2017-04-27,2017-04-27,76.49
2017-04-28,2017-04-28,75.64
2017-05-01,2017-05-01,76.13
2017-05-02,2017-05-02,77.11
2017-05-03,2017-05-03,76.33
2017-05-04,2017-05-04,75.84
2017-05-05,2017-05-05,76.86
2017-05-08,2017-05-08,76.78
2017-05-09,2017-05-09,76.76
2017-05-10,2017-05-10,77.09
2017-05-11,2017-05-11,77.03
2017-05-12,2017-05-12,76.68
2017-05-15,2017-05-15,76.97
2017-05-16,2017-05-16,77.24
2017-05-17,2017-05-17,76.18
2017-05-18,2017-05-18,76.07
2017-05-19,2017-05-19,78.01
2017-05-22,2017-05-22,77.7
2017-05-23,2017-05-23,77.65
2017-05-24,2017-05-24,77.57
2017-05-25,2017-05-25,77.31
2017-05-26,2017-05-26,77.56
2017-05-30,2017-05-30,77.72
2017-05-31,2017-05-31,77.38
2017-06-01,2017-06-01,78.08
2017-06-02,2017-06-02,77.88
2017-06-05,2017-06-05,76.77
2017-06-06,2017-06-06,76.33
2017-06-07,2017-06-07,74.95
2017-06-08,2017-06-08,75.47
2017-06-09,2017-06-09,75.74
2017-06-12,2017-06-12,75.77
2017-06-13,2017-06-13,76.11
2017-06-14,2017-06-14,75.34
2017-06-15,2017-06-15,76.14
2017-06-16,2017-06-16,76.8
2017-06-19,2017-06-19,78.07
2017-06-20,2017-06-20,77.06
2017-06-21,2017-06-21,75.92
2017-06-22,2017-06-22,75.77
2017-06-23,2017-06-23,76.88
2017-06-26,2017-06-26,76.77
2017-06-27,2017-06-27,76.43
2017-06-28,2017-06-28,77.44
2017-06-29,2017-06-29,76.63
2017-06-30,2017-06-30,77.83
2017-07-03,2017-07-03,78.35
2017-07-05,2017-07-05,78.63
2017-07-06,2017-07-06,78.55
2017-07-07,2017-07-07,79.36
2017-07-10,2017-07-10,80.4
2017-07-11,2017-07-11,80.45
2017-07-12,2017-07-12,80.51
2017-07-13,2017-07-13,80.32
2017-07-14,2017-07-14,80.61
2017-07-17,2017-07-17,80.21
2017-07-18,2017-07-18,80.23
2017-07-19,2017-07-19,80.38
2017-07-20,2017-07-20,79.56
2017-07-21,2017-07-21,78.97
2017-07-24,2017-07-24,78.65
2017-07-25,2017-07-25,79.33
2017-07-26,2017-07-26,79.0
2017-07-27,2017-07-27,78.49
2017-07-28,2017-07-28,78.43
2017-07-31,2017-07-31,78.25
2017-08-01,2017-08-01,74.26
2017-08-02,2017-08-02,74.1
2017-08-03,2017-08-03,73.61
2017-08-04,2017-08-04,74.53
2017-08-07,2017-08-07,73.99
2017-08-08,2017-08-08,72.99
2017-08-09,2017-08-09,73.14
2017-08-10,2017-08-10,71.65
2017-08-11,2017-08-11,71.48
2017-08-14,2017-08-14,72.48
2017-08-15,2017-08-15,72.31
2017-08-16,2017-08-16,72.67
2017-08-17,2017-08-17,71.72
2017-08-18,2017-08-18,71.2
2017-08-21,2017-08-21,71.14
2017-08-22,2017-08-22,71.9
2017-08-23,2017-08-23,71.21
2017-08-24,2017-08-24,70.64
2017-08-25,2017-08-25,70.7
2017-08-28,2017-08-28,70.44
2017-08-29,2017-08-29,70.52
2017-08-30,2017-08-30,71.05
2017-08-31,2017-08-31,71.76
2017-09-01,2017-09-01,71.63
2017-09-05,2017-09-05,71.1
2017-09-06,2017-09-06,71.33
2017-09-07,2017-09-07,71.32
2017-09-08,2017-09-08,72.14
2017-09-11,2017-09-11,73.35
2017-09-12,2017-09-12,74.6
2017-09-13,2017-09-13,74.93
2017-09-14,2017-09-14,75.62
2017-09-15,2017-09-15,76.91
2017-09-18,2017-09-18,77.9
2017-09-19,2017-09-19,77.03
2017-09-20,2017-09-20,77.77
2017-09-21,2017-09-21,78.06
2017-09-22,2017-09-22,78.1
2017-09-25,2017-09-25,77.55
2017-09-26,2017-09-26,77.11
2017-09-27,2017-09-27,77.12
2017-09-28,2017-09-28,76.09
2017-09-29,2017-09-29,76.79
2017-10-02,2017-10-02,77.54
2017-10-03,2017-10-03,77.45
2017-10-04,2017-10-04,78.06
2017-10-05,2017-10-05,77.8
2017-10-06,2017-10-06,77.75
2017-10-09,2017-10-09,77.68
2017-10-10,2017-10-10,77.98
2017-10-11,2017-10-11,78.53
2017-10-12,2017-10-12,78.72
2017-10-13,2017-10-13,78.53
2017-10-16,2017-10-16,79.23
2017-10-17,2017-10-17,78.07
2017-10-18,2017-10-18,77.97
2017-10-19,2017-10-19,78.02
2017-10-20,2017-10-20,78.93
2017-10-23,2017-10-23,78.48
2017-10-24,2017-10-24,79.58
2017-10-25,2017-10-25,78.98
2017-10-26,2017-10-26,79.5
2017-10-27,2017-10-27,79.77
2017-10-30,2017-10-30,79.23
2017-10-31,2017-10-31,80.02
2017-11-01,2017-11-01,81.51
2017-11-02,2017-11-02,79.38
2017-11-03,2017-11-03,78.1
2017-11-06,2017-11-06,78.31
2017-11-07,2017-11-07,78.67
2017-11-08,2017-11-08,79.05
2017-11-09,2017-11-09,77.86
2017-11-10,2017-11-10,77.92
2017-11-13,2017-11-13,77.94
2017-11-14,2017-11-14,76.89
2017-11-15,2017-11-15,75.87
2017-11-16,2017-11-16,76.44
2017-11-17,2017-11-17,75.64
2017-11-20,2017-11-20,75.69
2017-11-21,2017-11-21,76.3
2017-11-22,2017-11-22,76.22
2017-11-24,2017-11-24,75.92
2017-11-27,2017-11-27,75.53
2017-11-28,2017-11-28,76.85
2017-11-29,2017-11-29,76.84
2017-11-30,2017-11-30,77.78
2017-12-01,2017-12-01,77.7
2017-12-04,2017-12-04,76.41
2017-12-05,2017-12-05,74.95
2017-12-06,2017-12-06,75.79
2017-12-07,2017-12-07,77.26
2017-12-08,2017-12-08,77.29
2017-12-11,2017-12-11,77.77
2017-12-12,2017-12-12,77.76
2017-12-13,2017-12-13,77.57
2017-12-14,2017-12-14,76.44
2017-12-15,2017-12-15,77.29
2017-12-18,2017-12-18,77.06
2017-12-19,2017-12-19,76.86
2017-12-20,2017-12-20,77.15
2017-12-21,2017-12-21,78.1
2017-12-22,2017-12-22,77.51
2017-12-26,2017-12-26,77.32
2017-12-27,2017-12-27,77.42
2017-12-28,2017-12-28,78.16
2017-12-29,2017-12-29,79.01
2018-01-02,2018-01-02,78.86
2018-01-03,2018-01-03,81.64
2018-01-04,2018-01-04,80.77
2018-01-05,2018-01-05,81.39
2018-01-08,2018-01-08,82.03
2018-01-09,2018-01-09,81.98
2018-01-10,2018-01-10,82.47
2018-01-11,2018-01-11,83.99
2018-01-12,2018-01-12,84.24
2018-01-16,2018-01-16,83.35
2018-01-17,2018-01-17,83.6
2018-01-18,2018-01-18,83.56
2018-01-19,2018-01-19,83.95
2018-01-22,2018-01-22,84.36
2018-01-23,2018-01-23,85.12
2018-01-24,2018-01-24,84.5
2018-01-25,2018-01-25,85.22
2018-01-26,2018-01-26,86.49
2018-01-29,2018-01-29,85.59
2018-01-30,2018-01-30,84.74
2018-01-31,2018-01-31,83.97
2018-02-01,2018-02-01,87.86
2018-02-02,2018-02-02,85.09
2018-02-05,2018-02-05,81.58
2018-02-06,2018-02-06,82.68
2018-02-07,2018-02-07,81.62
2018-02-08,2018-02-08,79.41
2018-02-09,2018-02-09,80.77
2018-02-12,2018-02-12,82.02
2018-02-13,2018-02-13,81.83
2018-02-14,2018-02-14,82.67
2018-02-15,2018-02-15,82.76
2018-02-16,2018-02-16,82.79
2018-02-20,2018-02-20,81.71
2018-02-21,2018-02-21,81.56
2018-02-22,2018-02-22,81.88
2018-02-23,2018-02-23,82.22
2018-02-26,2018-02-26,82.28
2018-02-27,2018-02-27,81.96
2018-02-28,2018-02-28,80.7
2018-03-01,2018-03-01,79.59
2018-03-02,2018-03-02,79.7
2018-03-05,2018-03-05,80.22
2018-03-06,2018-03-06,80.94
2018-03-07,2018-03-07,81.03
2018-03-08,2018-03-08,81.14
2018-03-09,2018-03-09,83.14
2018-03-12,2018-03-12,81.53
2018-03-13,2018-03-13,81.28
2018-03-14,2018-03-14,80.09
2018-03-15,2018-03-15,80.27
2018-03-16,2018-03-16,80.98
2018-03-19,2018-03-19,80.46
2018-03-20,2018-03-20,81.16
2018-03-21,2018-03-21,81.48
2018-03-22,2018-03-22,79.43
2018-03-23,2018-03-23,78.18
2018-03-26,2018-03-26,81.1
2018-03-27,2018-03-27,79.71
2018-03-28,2018-03-28,79.05
2018-03-29,2018-03-29,79.91
2018-04-02,2018-04-02,77.69
2018-04-03,2018-04-03,77.86
2018-04-04,2018-04-04,78.58
2018-04-05,2018-04-05,79.25
2018-04-06,2018-04-06,75.97
2018-04-09,2018-04-09,75.93
2018-04-10,2018-04-10,77.59
2018-04-11,2018-04-11,77.17
2018-04-12,2018-04-12,77.44
2018-04-13,2018-04-13,77.26
2018-04-16,2018-04-16,77.45
2018-04-17,2018-04-17,77.95
2018-04-18,2018-04-18,79.19
2018-04-19,2018-04-19,79.15
2018-04-20,2018-04-20,79.06
2018-04-23,2018-04-23,78.53
2018-04-24,2018-04-24,75.93
2018-04-25,2018-04-25,76.73
2018-04-26,2018-04-26,75.91
2018-04-27,2018-04-27,76.15
2018-04-30,2018-04-30,75.03
2018-05-01,2018-05-01,73.86
