DATE,DATE,CLOSE
2016-11-01,2016-11-01,71.93
2016-11-02,2016-11-02,71.42
2016-11-03,2016-11-03,71.39
2016-11-04,2016-11-04,70.82
2016-11-07,2016-11-07,71.51
2016-11-08,2016-11-08,71.73
2016-11-09,2016-11-09,68.85
2016-11-10,2016-11-10,67.87
2016-11-11,2016-11-11,67.41
2016-11-14,2016-11-14,68.03
2016-11-15,2016-11-15,68.63
2016-11-16,2016-11-16,68.12
2016-11-17,2016-11-17,68.18
2016-11-18,2016-11-18,67.83
2016-11-21,2016-11-21,68.42
2016-11-22,2016-11-22,68.41
2016-11-23,2016-11-23,68.12
2016-11-25,2016-11-25,69.53
2016-11-28,2016-11-28,70.58
2016-11-29,2016-11-29,71.4
2016-11-30,2016-11-30,68.73
2016-12-01,2016-12-01,68.88
2016-12-02,2016-12-02,69.28
2016-12-05,2016-12-05,69.38
2016-12-06,2016-12-06,69.26
2016-12-07,2016-12-07,70.44
2016-12-08,2016-12-08,70.41
2016-12-09,2016-12-09,70.76
2016-12-12,2016-12-12,71.56
2016-12-13,2016-12-13,72.73
2016-12-14,2016-12-14,71.67
2016-12-15,2016-12-15,72.39
2016-12-16,2016-12-16,73.17
2016-12-19,2016-12-19,73.18
2016-12-20,2016-12-20,73.23
2016-12-21,2016-12-21,72.9
2016-12-22,2016-12-22,73.18
2016-12-23,2016-12-23,72.89
2016-12-27,2016-12-27,73.01
2016-12-28,2016-12-28,71.99
2016-12-29,2016-12-29,73.5
2016-12-30,2016-12-30,73.47
2017-01-03,2017-01-03,72.94
2017-01-04,2017-01-04,73.26
2017-01-05,2017-01-05,73.0
2017-01-06,2017-01-06,73.24
2017-01-09,2017-01-09,71.09
2017-01-10,2017-01-10,71.24
2017-01-11,2017-01-11,71.7
2017-01-12,2017-01-12,71.83
2017-01-13,2017-01-13,71.58
2017-01-17,2017-01-17,72.14
2017-01-18,2017-01-18,71.89
2017-01-19,2017-01-19,71.08
2017-01-20,2017-01-20,71.17
2017-01-23,2017-01-23,70.68
2017-01-24,2017-01-24,70.44
2017-01-25,2017-01-25,70.58
2017-01-26,2017-01-26,70.53
2017-01-27,2017-01-27,70.55
2017-01-30,2017-01-30,70.61
2017-01-31,2017-01-31,71.64
2017-02-01,2017-02-01,70.72
2017-02-02,2017-02-02,71.44
2017-02-03,2017-02-03,71.82
2017-02-06,2017-02-06,71.67
2017-02-07,2017-02-07,70.68
2017-02-08,2017-02-08,71.4
2017-02-09,2017-02-09,71.0
2017-02-10,2017-02-10,71.63
2017-02-13,2017-02-13,71.96
2017-02-14,2017-02-14,70.79
2017-02-15,2017-02-15,70.77
2017-02-16,2017-02-16,72.77
2017-02-17,2017-02-17,73.55
2017-02-21,2017-02-21,73.91
2017-02-22,2017-02-22,73.71
2017-02-23,2017-02-23,75.14
2017-02-24,2017-02-24,75.8
2017-02-27,2017-02-27,75.48
2017-02-28,2017-02-28,76.66
2017-03-01,2017-03-01,75.58
2017-03-02,2017-03-02,75.54
2017-03-03,2017-03-03,75.38
2017-03-06,2017-03-06,74.97
2017-03-07,2017-03-07,75.0
2017-03-08,2017-03-08,73.29
2017-03-09,2017-03-09,73.15
2017-03-10,2017-03-10,73.61
