DATE,DATE,CLOSE
2016-11-01,2016-11-01,33.26
2016-11-02,2016-11-02,32.7
2016-11-03,2016-11-03,32.78
2016-11-04,2016-11-04,32.69
2016-11-07,2016-11-07,33.42
2016-11-08,2016-11-08,33.66
2016-11-09,2016-11-09,32.07
2016-11-10,2016-11-10,30.19
2016-11-11,2016-11-11,30.0
2016-11-14,2016-11-14,30.77
2016-11-15,2016-11-15,32.07
2016-11-16,2016-11-16,31.6
2016-11-17,2016-11-17,31.49
2016-11-18,2016-11-18,31.73
2016-11-21,2016-11-21,32.48
2016-11-22,2016-11-22,32.46
2016-11-23,2016-11-23,32.31
2016-11-25,2016-11-25,32.58
2016-11-28,2016-11-28,33.39
2016-11-29,2016-11-29,33.66
2016-11-30,2016-11-30,32.51
2016-12-01,2016-12-01,32.17
2016-12-02,2016-12-02,33.01
2016-12-05,2016-12-05,33.32
2016-12-06,2016-12-06,33.05
2016-12-07,2016-12-07,33.53
2016-12-08,2016-12-08,34.2
2016-12-09,2016-12-09,34.9
2016-12-12,2016-12-12,34.51
2016-12-13,2016-12-13,35.46
2016-12-14,2016-12-14,35.09
2016-12-15,2016-12-15,35.73
2016-12-16,2016-12-16,35.72
2016-12-19,2016-12-19,35.75
2016-12-20,2016-12-20,35.46
2016-12-21,2016-12-21,35.14
2016-12-22,2016-12-22,35.31
2016-12-23,2016-12-23,35.3
2016-12-27,2016-12-27,35.4
2016-12-28,2016-12-28,35.2
2016-12-29,2016-12-29,35.72
2016-12-30,2016-12-30,35.49
2017-01-03,2017-01-03,35.19
2017-01-04,2017-01-04,35.49
2017-01-05,2017-01-05,35.5
2017-01-06,2017-01-06,36.08
2017-01-09,2017-01-09,35.27
2017-01-10,2017-01-10,35.06
2017-01-11,2017-01-11,35.39
2017-01-12,2017-01-12,35.44
2017-01-13,2017-01-13,35.44
2017-01-17,2017-01-17,35.88
2017-01-18,2017-01-18,35.71
2017-01-19,2017-01-19,35.74
2017-01-20,2017-01-20,35.8
2017-01-23,2017-01-23,35.3
2017-01-24,2017-01-24,35.13
2017-01-25,2017-01-25,35.35
2017-01-26,2017-01-26,35.29
2017-01-27,2017-01-27,35.08
2017-01-30,2017-01-30,35.04
2017-01-31,2017-01-31,35.88
2017-02-01,2017-02-01,35.45
2017-02-02,2017-02-02,35.82
2017-02-03,2017-02-03,35.78
2017-02-06,2017-02-06,35.81
2017-02-07,2017-02-07,36.01
2017-02-08,2017-02-08,35.23
2017-02-09,2017-02-09,34.85
2017-02-10,2017-02-10,35.02
2017-02-13,2017-02-13,35.1
2017-02-14,2017-02-14,35.36
2017-02-15,2017-02-15,35.22
2017-02-16,2017-02-16,35.42
2017-02-17,2017-02-17,35.58
2017-02-21,2017-02-21,35.92
2017-02-22,2017-02-22,35.69
2017-02-23,2017-02-23,35.98
2017-02-24,2017-02-24,37.18
2017-02-27,2017-02-27,36.57
2017-02-28,2017-02-28,36.71
2017-03-01,2017-03-01,36.07
2017-03-02,2017-03-02,36.42
2017-03-03,2017-03-03,36.32
2017-03-06,2017-03-06,36.07
2017-03-07,2017-03-07,36.13
2017-03-08,2017-03-08,35.72
2017-03-09,2017-03-09,35.78
2017-03-10,2017-03-10,35.97
2017-03-13,2017-03-13,35.94
2017-03-14,2017-03-14,35.64
2017-03-15,2017-03-15,36.28
2017-03-16,2017-03-16,35.98
2017-03-17,2017-03-17,36.01
2017-03-20,2017-03-20,35.57
2017-03-21,2017-03-21,35.96
2017-03-22,2017-03-22,36.3
2017-03-23,2017-03-23,35.96
2017-03-24,2017-03-24,36.12
2017-03-27,2017-03-27,35.84
2017-03-28,2017-03-28,35.67
2017-03-29,2017-03-29,35.93
2017-03-30,2017-03-30,35.7
2017-03-31,2017-03-31,35.98
2017-04-03,2017-04-03,35.82
2017-04-04,2017-04-04,36.14
2017-04-05,2017-04-05,36.06
2017-04-06,2017-04-06,36.27
2017-04-07,2017-04-07,35.97
2017-04-10,2017-04-10,35.81
2017-04-11,2017-04-11,36.14
2017-04-12,2017-04-12,36.19
2017-04-13,2017-04-13,35.97
2017-04-17,2017-04-17,35.9
2017-04-18,2017-04-18,35.78
2017-04-19,2017-04-19,35.46
2017-04-20,2017-04-20,35.05
2017-04-21,2017-04-21,35.03
2017-04-24,2017-04-24,35.5
2017-04-25,2017-04-25,35.08
2017-04-26,2017-04-26,34.9
2017-04-27,2017-04-27,34.84
