DATE,DATE,CLOSE
2016-11-01,2016-11-01,125.99
2016-11-02,2016-11-02,123.0
2016-11-03,2016-11-03,125.29
2016-11-04,2016-11-04,125.21
2016-11-07,2016-11-07,126.49
2016-11-08,2016-11-08,127.01
2016-11-09,2016-11-09,124.75
2016-11-10,2016-11-10,123.63
2016-11-11,2016-11-11,121.2
2016-11-14,2016-11-14,119.16
2016-11-15,2016-11-15,123.54
2016-11-16,2016-11-16,125.2
2016-11-17,2016-11-17,126.58
2016-11-18,2016-11-18,125.67
2016-11-21,2016-11-21,126.46
2016-11-22,2016-11-22,127.57
2016-11-23,2016-11-23,126.37
2016-11-25,2016-11-25,127.28
2016-11-28,2016-11-28,125.92
2016-11-29,2016-11-29,125.1
2016-11-30,2016-11-30,124.05
2016-12-01,2016-12-01,122.01
2016-12-02,2016-12-02,121.0
2016-12-05,2016-12-05,123.69
2016-12-06,2016-12-06,123.77
2016-12-07,2016-12-07,123.55
2016-12-08,2016-12-08,123.0
2016-12-09,2016-12-09,124.06
2016-12-12,2016-12-12,120.25
2016-12-13,2016-12-13,120.03
2016-12-14,2016-12-14,116.39
2016-12-15,2016-12-15,116.96
2016-12-16,2016-12-16,116.66
2016-12-19,2016-12-19,116.22
2016-12-20,2016-12-20,117.09
2016-12-21,2016-12-21,114.86
2016-12-22,2016-12-22,114.4
2016-12-23,2016-12-23,113.86
2016-12-27,2016-12-27,113.63
2016-12-28,2016-12-28,113.47
2016-12-29,2016-12-29,113.97
2016-12-30,2016-12-30,113.28
2017-01-03,2017-01-03,112.44
2017-01-04,2017-01-04,113.74
2017-01-05,2017-01-05,114.69
2017-01-06,2017-01-06,116.45
2017-01-09,2017-01-09,117.3
2017-01-10,2017-01-10,117.62
2017-01-11,2017-01-11,117.2
2017-01-12,2017-01-12,118.01
2017-01-13,2017-01-13,118.81
2017-01-17,2017-01-17,118.58
2017-01-18,2017-01-18,119.34
2017-01-19,2017-01-19,118.84
2017-01-20,2017-01-20,119.92
2017-01-23,2017-01-23,119.99
2017-01-24,2017-01-24,120.22
2017-01-25,2017-01-25,120.86
