DATE,DATE,CLOSE
2016-11-01,2016-11-01,71.26
2016-11-02,2016-11-02,71.52
2016-11-03,2016-11-03,70.42
2016-11-04,2016-11-04,71.66
2016-11-07,2016-11-07,74.09
2016-11-08,2016-11-08,75.38
2016-11-09,2016-11-09,75.99
2016-11-10,2016-11-10,73.44
2016-11-11,2016-11-11,73.76
2016-11-14,2016-11-14,74.85
2016-11-15,2016-11-15,73.39
2016-11-16,2016-11-16,71.87
2016-11-17,2016-11-17,70.51
2016-11-18,2016-11-18,70.61
2016-11-21,2016-11-21,68.78
2016-11-22,2016-11-22,69.81
2016-11-23,2016-11-23,69.64
2016-11-25,2016-11-25,70.08
2016-11-28,2016-11-28,70.95
2016-11-29,2016-11-29,70.85
2016-11-30,2016-11-30,70.16
2016-12-01,2016-12-01,69.21
2016-12-02,2016-12-02,70.18
2016-12-05,2016-12-05,70.43
2016-12-06,2016-12-06,71.9
2016-12-07,2016-12-07,74.2
2016-12-08,2016-12-08,75.19
2016-12-09,2016-12-09,75.01
2016-12-12,2016-12-12,74.74
2016-12-13,2016-12-13,74.14
2016-12-14,2016-12-14,73.41
2016-12-15,2016-12-15,72.38
2016-12-16,2016-12-16,74.2
2016-12-19,2016-12-19,74.94
2016-12-20,2016-12-20,74.3
2016-12-21,2016-12-21,73.58
2016-12-22,2016-12-22,74.36
2016-12-23,2016-12-23,74.76
2016-12-27,2016-12-27,75.38
2016-12-28,2016-12-28,74.34
2016-12-29,2016-12-29,75.59
2016-12-30,2016-12-30,77.24
2017-01-03,2017-01-03,77.05
2017-01-04,2017-01-04,77.46
2017-01-05,2017-01-05,78.47
2017-01-06,2017-01-06,79.2
2017-01-09,2017-01-09,78.26
2017-01-10,2017-01-10,76.63
2017-01-11,2017-01-11,74.65
2017-01-12,2017-01-12,73.81
2017-01-13,2017-01-13,72.65
2017-01-17,2017-01-17,73.04
2017-01-18,2017-01-18,73.17
2017-01-19,2017-01-19,73.1
2017-01-20,2017-01-20,73.42
2017-01-23,2017-01-23,75.0
2017-01-24,2017-01-24,75.14
2017-01-25,2017-01-25,73.77
2017-01-26,2017-01-26,73.98
2017-01-27,2017-01-27,73.2
2017-01-30,2017-01-30,72.3
2017-01-31,2017-01-31,72.05
2017-02-01,2017-02-01,71.64
2017-02-02,2017-02-02,72.46
2017-02-03,2017-02-03,73.01
2017-02-06,2017-02-06,73.21
2017-02-07,2017-02-07,73.72
2017-02-08,2017-02-08,74.19
2017-02-09,2017-02-09,74.51
2017-02-10,2017-02-10,75.0
2017-02-13,2017-02-13,74.85
2017-02-14,2017-02-14,73.5
2017-02-15,2017-02-15,73.54
2017-02-16,2017-02-16,74.87
2017-02-17,2017-02-17,77.25
2017-02-21,2017-02-21,78.37
2017-02-22,2017-02-22,77.92
2017-02-23,2017-02-23,79.14
2017-02-24,2017-02-24,79.49
2017-02-27,2017-02-27,79.51
2017-02-28,2017-02-28,79.19
2017-03-01,2017-03-01,79.82
2017-03-02,2017-03-02,79.42
2017-03-03,2017-03-03,79.08
2017-03-06,2017-03-06,79.46
2017-03-07,2017-03-07,78.99
2017-03-08,2017-03-08,78.62
2017-03-09,2017-03-09,76.23
2017-03-10,2017-03-10,74.74
2017-03-13,2017-03-13,73.25
2017-03-14,2017-03-14,74.13
2017-03-15,2017-03-15,75.5
2017-03-16,2017-03-16,74.68
2017-03-17,2017-03-17,75.36
2017-03-20,2017-03-20,75.37
2017-03-21,2017-03-21,75.31
2017-03-22,2017-03-22,75.47
2017-03-23,2017-03-23,75.5
2017-03-24,2017-03-24,75.04
2017-03-27,2017-03-27,74.46
2017-03-28,2017-03-28,74.76
2017-03-29,2017-03-29,74.06
2017-03-30,2017-03-30,74.0
2017-03-31,2017-03-31,74.39
2017-04-03,2017-04-03,75.54
2017-04-04,2017-04-04,76.14
2017-04-05,2017-04-05,77.38
2017-04-06,2017-04-06,77.69
2017-04-07,2017-04-07,78.07
2017-04-10,2017-04-10,78.78
2017-04-11,2017-04-11,78.68
2017-04-12,2017-04-12,77.93
2017-04-13,2017-04-13,78.1
2017-04-17,2017-04-17,80.43
2017-04-18,2017-04-18,80.8
2017-04-19,2017-04-19,80.47
2017-04-20,2017-04-20,80.62
2017-04-21,2017-04-21,80.47
2017-04-24,2017-04-24,78.94
2017-04-25,2017-04-25,78.58
2017-04-26,2017-04-26,78.97
2017-04-27,2017-04-27,76.05
2017-04-28,2017-04-28,75.53
2017-05-01,2017-05-01,75.43
2017-05-02,2017-05-02,73.54
2017-05-03,2017-05-03,72.83
2017-05-04,2017-05-04,73.31
2017-05-05,2017-05-05,73.39
2017-05-08,2017-05-08,73.21
2017-05-09,2017-05-09,73.14
2017-05-10,2017-05-10,73.15
2017-05-11,2017-05-11,72.51
2017-05-12,2017-05-12,72.42
2017-05-15,2017-05-15,73.25
2017-05-16,2017-05-16,71.79
2017-05-17,2017-05-17,75.27
2017-05-18,2017-05-18,75.9
2017-05-19,2017-05-19,76.49
2017-05-22,2017-05-22,77.54
2017-05-23,2017-05-23,77.88
2017-05-24,2017-05-24,78.69
2017-05-25,2017-05-25,79.04
2017-05-26,2017-05-26,78.0
2017-05-30,2017-05-30,77.17
2017-05-31,2017-05-31,77.47
2017-06-01,2017-06-01,75.77
2017-06-02,2017-06-02,76.46
2017-06-05,2017-06-05,75.68
2017-06-06,2017-06-06,74.48
2017-06-07,2017-06-07,75.83
2017-06-08,2017-06-08,75.17
2017-06-09,2017-06-09,74.52
2017-06-12,2017-06-12,75.45
2017-06-13,2017-06-13,75.2
2017-06-14,2017-06-14,75.4
2017-06-15,2017-06-15,76.79
2017-06-16,2017-06-16,78.5
2017-06-19,2017-06-19,77.92
2017-06-20,2017-06-20,78.29
2017-06-21,2017-06-21,78.09
2017-06-22,2017-06-22,77.31
2017-06-23,2017-06-23,78.75
2017-06-26,2017-06-26,78.76
2017-06-27,2017-06-27,78.31
2017-06-28,2017-06-28,77.95
2017-06-29,2017-06-29,77.53
2017-06-30,2017-06-30,78.0
2017-07-03,2017-07-03,78.49
2017-07-05,2017-07-05,77.39
2017-07-06,2017-07-06,75.91
2017-07-07,2017-07-07,76.53
2017-07-10,2017-07-10,74.76
2017-07-11,2017-07-11,74.13
2017-07-12,2017-07-12,75.43
2017-07-13,2017-07-13,75.57
2017-07-14,2017-07-14,76.68
2017-07-17,2017-07-17,77.4
2017-07-18,2017-07-18,77.48
2017-07-19,2017-07-19,78.79
2017-07-20,2017-07-20,78.23
2017-07-21,2017-07-21,78.97
2017-07-24,2017-07-24,78.64
2017-07-25,2017-07-25,79.48
2017-07-26,2017-07-26,80.3
2017-07-27,2017-07-27,76.5
2017-07-28,2017-07-28,77.92
2017-07-31,2017-07-31,79.5
2017-08-01,2017-08-01,79.29
2017-08-02,2017-08-02,79.26
2017-08-03,2017-08-03,77.22
2017-08-04,2017-08-04,77.75
2017-08-07,2017-08-07,77.87
2017-08-08,2017-08-08,77.0
2017-08-09,2017-08-09,76.59
2017-08-10,2017-08-10,76.23
2017-08-11,2017-08-11,76.31
2017-08-14,2017-08-14,76.87
2017-08-15,2017-08-15,76.6
2017-08-16,2017-08-16,75.87
2017-08-17,2017-08-17,76.19
2017-08-18,2017-08-18,74.74
2017-08-21,2017-08-21,75.52
2017-08-22,2017-08-22,75.82
2017-08-23,2017-08-23,77.66
2017-08-24,2017-08-24,77.53
2017-08-25,2017-08-25,76.9
2017-08-28,2017-08-28,77.27
2017-08-29,2017-08-29,78.08
2017-08-30,2017-08-30,77.59
2017-08-31,2017-08-31,77.63
2017-09-01,2017-09-01,77.78
2017-09-05,2017-09-05,78.4
2017-09-06,2017-09-06,79.39
2017-09-07,2017-09-07,81.24
2017-09-08,2017-09-08,82.25
2017-09-11,2017-09-11,79.73
2017-09-12,2017-09-12,77.47
2017-09-13,2017-09-13,77.68
2017-09-14,2017-09-14,78.37
2017-09-15,2017-09-15,79.07
2017-09-18,2017-09-18,79.4
2017-09-19,2017-09-19,79.44
2017-09-20,2017-09-20,79.46
2017-09-21,2017-09-21,79.34
2017-09-22,2017-09-22,78.89
2017-09-25,2017-09-25,79.69
2017-09-26,2017-09-26,79.37
2017-09-27,2017-09-27,78.04
2017-09-28,2017-09-28,79.08
2017-09-29,2017-09-29,79.92
2017-10-02,2017-10-02,79.6
2017-10-03,2017-10-03,79.02
2017-10-04,2017-10-04,79.6
2017-10-05,2017-10-05,80.46
2017-10-06,2017-10-06,80.38
2017-10-09,2017-10-09,80.02
2017-10-10,2017-10-10,80.2
2017-10-11,2017-10-11,80.57
2017-10-12,2017-10-12,81.61
2017-10-13,2017-10-13,82.71
2017-10-16,2017-10-16,81.87
2017-10-17,2017-10-17,82.19
2017-10-18,2017-10-18,81.92
2017-10-19,2017-10-19,81.7
2017-10-20,2017-10-20,81.77
2017-10-23,2017-10-23,81.87
2017-10-24,2017-10-24,80.41
2017-10-25,2017-10-25,80.65
2017-10-26,2017-10-26,78.7
2017-10-27,2017-10-27,80.3
2017-10-30,2017-10-30,81.09
2017-10-31,2017-10-31,81.59
2017-11-01,2017-11-01,81.6
2017-11-02,2017-11-02,83.12
2017-11-03,2017-11-03,85.04
2017-11-06,2017-11-06,86.02
2017-11-07,2017-11-07,85.68
2017-11-08,2017-11-08,86.01
2017-11-09,2017-11-09,85.45
