DATE,DATE,CLOSE
2016-11-01,2016-11-01,11.480444
2016-11-02,2016-11-02,11.272787
2016-11-03,2016-11-03,11.223345
2016-11-04,2016-11-04,11.213457
2016-11-07,2016-11-07,11.450779
2016-11-08,2016-11-08,11.351895
2016-11-09,2016-11-09,11.450779
2016-11-10,2016-11-10,11.806762
2016-11-11,2016-11-11,12.142967
2016-11-14,2016-11-14,11.925422
2016-11-15,2016-11-15,11.905646
2016-11-16,2016-11-16,11.866092
2016-11-17,2016-11-17,11.737543
2016-11-18,2016-11-18,11.62877
2016-11-21,2016-11-21,11.658435
2016-11-22,2016-11-22,11.757319
2016-11-23,2016-11-23,11.767208
2016-11-25,2016-11-25,11.905646
2016-11-28,2016-11-28,11.786985
2016-11-29,2016-11-29,11.786985
2016-11-30,2016-11-30,11.826538
2016-12-01,2016-12-01,12.291294
2016-12-02,2016-12-02,12.103414
2016-12-05,2016-12-05,12.301182
2016-12-06,2016-12-06,12.419843
2016-12-07,2016-12-07,12.914263
2016-12-08,2016-12-08,12.884598
2016-12-09,2016-12-09,13.023036
2016-12-12,2016-12-12,12.676942
2016-12-13,2016-12-13,12.6275
2016-12-14,2016-12-14,12.390178
2016-12-15,2016-12-15,12.43962
2016-12-16,2016-12-16,12.489062
2016-12-19,2016-12-19,12.518727
2016-12-20,2016-12-20,12.637388
2016-12-21,2016-12-21,12.49895
2016-12-22,2016-12-22,12.261628
2016-12-23,2016-12-23,12.320959
2016-12-27,2016-12-27,12.25174
2016-12-28,2016-12-28,12.113302
2016-12-29,2016-12-29,12.093525
2016-12-30,2016-12-30,11.994641
2017-01-03,2017-01-03,12.449508
2017-01-04,2017-01-04,13.023036
2017-01-05,2017-01-05,12.6275
2017-01-06,2017-01-06,12.617611
2017-01-09,2017-01-09,12.489062
2017-01-10,2017-01-10,12.706607
2017-01-11,2017-01-11,12.528615
2017-01-12,2017-01-12,12.449508
2017-01-13,2017-01-13,12.489062
2017-01-17,2017-01-17,12.469285
2017-01-18,2017-01-18,12.271517
2017-01-19,2017-01-19,12.291294
2017-01-20,2017-01-20,12.222075
2017-01-23,2017-01-23,12.172633
2017-01-24,2017-01-24,12.469285
2017-01-25,2017-01-25,12.647276
2017-01-26,2017-01-26,12.231963
2017-01-27,2017-01-27,12.350624
2017-01-30,2017-01-30,12.231963
2017-01-31,2017-01-31,12.222075
2017-02-01,2017-02-01,12.182521
2017-02-02,2017-02-02,12.142967
2017-02-03,2017-02-03,12.419843
2017-02-06,2017-02-06,12.380289
2017-02-07,2017-02-07,12.202298
2017-02-08,2017-02-08,12.241852
2017-02-09,2017-02-09,12.241852
2017-02-10,2017-02-10,12.370401
2017-02-13,2017-02-13,12.419843
2017-02-14,2017-02-14,12.508839
2017-02-15,2017-02-15,12.489062
2017-02-16,2017-02-16,12.400066
2017-02-17,2017-02-17,12.43962
2017-02-21,2017-02-21,12.548392
2017-02-22,2017-02-22,12.528615
2017-02-23,2017-02-23,12.419843
2017-02-24,2017-02-24,12.330847
2017-02-27,2017-02-27,12.518727
2017-02-28,2017-02-28,12.390178
2017-03-01,2017-03-01,12.548392
2017-03-02,2017-03-02,12.518727
2017-03-03,2017-03-03,12.508839
2017-03-06,2017-03-06,12.380289
2017-03-07,2017-03-07,12.320959
2017-03-08,2017-03-08,12.390178
2017-03-09,2017-03-09,12.360513
2017-03-10,2017-03-10,12.390178
2017-03-13,2017-03-13,12.400066
2017-03-14,2017-03-14,12.409955
2017-03-15,2017-03-15,12.508839
2017-03-16,2017-03-16,12.558281
2017-03-17,2017-03-17,12.340736
2017-03-20,2017-03-20,12.142967
2017-03-21,2017-03-21,11.589217
2017-03-22,2017-03-22,11.638659
2017-03-23,2017-03-23,11.539774
2017-03-24,2017-03-24,11.490332
2017-03-27,2017-03-27,11.332118
2017-03-28,2017-03-28,11.519998
2017-03-29,2017-03-29,11.549663
2017-03-30,2017-03-30,11.549663
2017-03-31,2017-03-31,11.510109
2017-04-03,2017-04-03,11.312341
2017-04-04,2017-04-04,11.243122
