DATE,DATE,CLOSE
2016-11-01,2016-11-01,91.81
2016-11-02,2016-11-02,91.28
2016-11-03,2016-11-03,92.56
2016-11-04,2016-11-04,91.69
2016-11-07,2016-11-07,93.96
2016-11-08,2016-11-08,93.74
2016-11-09,2016-11-09,98.16
2016-11-10,2016-11-10,97.37
2016-11-11,2016-11-11,95.49
2016-11-14,2016-11-14,94.32
2016-11-15,2016-11-15,96.66
2016-11-16,2016-11-16,97.59
2016-11-17,2016-11-17,97.92
2016-11-18,2016-11-18,97.1
2016-11-21,2016-11-21,100.46
2016-11-22,2016-11-22,99.2
2016-11-23,2016-11-23,100.77
2016-11-25,2016-11-25,99.44
2016-11-28,2016-11-28,96.75
2016-11-29,2016-11-29,95.4
2016-11-30,2016-11-30,107.85
2016-12-01,2016-12-01,110.0
2016-12-02,2016-12-02,108.14
2016-12-05,2016-12-05,106.93
2016-12-06,2016-12-06,106.29
2016-12-07,2016-12-07,105.39
2016-12-08,2016-12-08,107.26
2016-12-09,2016-12-09,106.04
2016-12-12,2016-12-12,104.99
2016-12-13,2016-12-13,105.28
2016-12-14,2016-12-14,101.51
2016-12-15,2016-12-15,101.18
2016-12-16,2016-12-16,101.95
2016-12-19,2016-12-19,105.25
2016-12-20,2016-12-20,102.66
2016-12-21,2016-12-21,101.45
2016-12-22,2016-12-22,102.73
2016-12-23,2016-12-23,102.93
2016-12-27,2016-12-27,103.85
2016-12-28,2016-12-28,102.94
2016-12-29,2016-12-29,102.05
2016-12-30,2016-12-30,101.06
2017-01-03,2017-01-03,103.25
2017-01-04,2017-01-04,103.57
2017-01-05,2017-01-05,103.67
2017-01-06,2017-01-06,103.66
2017-01-09,2017-01-09,101.43
2017-01-10,2017-01-10,102.71
2017-01-11,2017-01-11,103.91
2017-01-12,2017-01-12,103.57
2017-01-13,2017-01-13,101.36
2017-01-17,2017-01-17,100.44
2017-01-18,2017-01-18,100.52
2017-01-19,2017-01-19,102.26
2017-01-20,2017-01-20,103.11
2017-01-23,2017-01-23,102.19
2017-01-24,2017-01-24,103.74
2017-01-25,2017-01-25,105.12
2017-01-26,2017-01-26,106.7
2017-01-27,2017-01-27,106.68
2017-01-30,2017-01-30,102.5
2017-01-31,2017-01-31,105.17
2017-02-01,2017-02-01,105.76
2017-02-02,2017-02-02,104.63
2017-02-03,2017-02-03,104.42
2017-02-06,2017-02-06,105.44
2017-02-07,2017-02-07,100.12
2017-02-08,2017-02-08,100.56
2017-02-09,2017-02-09,103.93
2017-02-10,2017-02-10,104.79
2017-02-13,2017-02-13,104.3
2017-02-14,2017-02-14,107.68
2017-02-15,2017-02-15,111.84
2017-02-16,2017-02-16,109.01
2017-02-17,2017-02-17,107.63
2017-02-21,2017-02-21,106.84
2017-02-22,2017-02-22,102.03
2017-02-23,2017-02-23,100.96
2017-02-24,2017-02-24,100.41
2017-02-27,2017-02-27,101.65
2017-02-28,2017-02-28,100.86
2017-03-01,2017-03-01,105.71
2017-03-02,2017-03-02,103.82
2017-03-03,2017-03-03,103.58
2017-03-06,2017-03-06,103.96
2017-03-07,2017-03-07,104.58
2017-03-08,2017-03-08,99.76
2017-03-09,2017-03-09,101.48
2017-03-10,2017-03-10,101.46
2017-03-13,2017-03-13,101.255
2017-03-14,2017-03-14,98.35
2017-03-15,2017-03-15,102.92
2017-03-16,2017-03-16,103.44
2017-03-17,2017-03-17,104.69
2017-03-20,2017-03-20,103.71
2017-03-21,2017-03-21,102.12
2017-03-22,2017-03-22,101.17
2017-03-23,2017-03-23,99.6
2017-03-24,2017-03-24,99.73
2017-03-27,2017-03-27,98.94
2017-03-28,2017-03-28,101.23
2017-03-29,2017-03-29,103.16
2017-03-30,2017-03-30,102.67
2017-03-31,2017-03-31,103.715
2017-04-03,2017-04-03,104.08
