DATE,DATE,CLOSE
2016-11-01,2016-11-01,136.98
2016-11-02,2016-11-02,135.32
2016-11-03,2016-11-03,137.81
2016-11-04,2016-11-04,135.73
2016-11-07,2016-11-07,136.45
2016-11-08,2016-11-08,137.77
2016-11-09,2016-11-09,140.23
2016-11-10,2016-11-10,139.85
2016-11-11,2016-11-11,141.15
2016-11-14,2016-11-14,141.95
2016-11-15,2016-11-15,143.44
2016-11-16,2016-11-16,142.7
2016-11-17,2016-11-17,143.91
2016-11-18,2016-11-18,142.01
2016-11-21,2016-11-21,143.77
2016-11-22,2016-11-22,143.75
2016-11-23,2016-11-23,143.9
2016-11-25,2016-11-25,144.12
2016-11-28,2016-11-28,142.61
2016-11-29,2016-11-29,142.81
2016-11-30,2016-11-30,140.75
2016-12-01,2016-12-01,139.36
2016-12-02,2016-12-02,138.99
2016-12-05,2016-12-05,140.33
2016-12-06,2016-12-06,140.86
2016-12-07,2016-12-07,141.16
2016-12-08,2016-12-08,142.83
2016-12-09,2016-12-09,142.54
2016-12-12,2016-12-12,141.22
2016-12-13,2016-12-13,142.36
2016-12-14,2016-12-14,144.08
2016-12-15,2016-12-15,145.54
2016-12-16,2016-12-16,144.64
2016-12-19,2016-12-19,145.15
2016-12-20,2016-12-20,146.56
2016-12-21,2016-12-21,146.11
2016-12-22,2016-12-22,144.24
2016-12-23,2016-12-23,145.45
2016-12-27,2016-12-27,145.33
2016-12-28,2016-12-28,144.06
2016-12-29,2016-12-29,144.92
2016-12-30,2016-12-30,144.72
2017-01-03,2017-01-03,144.8
2017-01-04,2017-01-04,145.46
2017-01-05,2017-01-05,144.42
2017-01-06,2017-01-06,144.45
2017-01-09,2017-01-09,144.15
2017-01-10,2017-01-10,144.24
2017-01-11,2017-01-11,144.03
2017-01-12,2017-01-12,142.99
2017-01-13,2017-01-13,143.37
2017-01-17,2017-01-17,141.63
2017-01-18,2017-01-18,142.84
2017-01-19,2017-01-19,142.54
2017-01-20,2017-01-20,142.1
2017-01-23,2017-01-23,141.14
2017-01-24,2017-01-24,144.15
2017-01-25,2017-01-25,145.75
2017-01-26,2017-01-26,133.72
2017-01-27,2017-01-27,135.54
2017-01-30,2017-01-30,134.69
2017-01-31,2017-01-31,134.03
2017-02-01,2017-02-01,132.34
2017-02-02,2017-02-02,134.45
2017-02-03,2017-02-03,136.23
2017-02-06,2017-02-06,136.68
2017-02-07,2017-02-07,138.57
2017-02-08,2017-02-08,138.88
2017-02-09,2017-02-09,139.73
2017-02-10,2017-02-10,139.69
2017-02-13,2017-02-13,140.47
2017-02-14,2017-02-14,141.1
2017-02-15,2017-02-15,143.13
2017-02-16,2017-02-16,143.24
2017-02-17,2017-02-17,143.35
2017-02-21,2017-02-21,145.05
2017-02-22,2017-02-22,144.84
2017-02-23,2017-02-23,144.2
2017-02-24,2017-02-24,144.41
2017-02-27,2017-02-27,143.61
2017-02-28,2017-02-28,143.27
2017-03-01,2017-03-01,145.08
2017-03-02,2017-03-02,142.1
2017-03-03,2017-03-03,142.87
2017-03-06,2017-03-06,141.34
2017-03-07,2017-03-07,143.6
2017-03-08,2017-03-08,142.88
2017-03-09,2017-03-09,143.76
2017-03-10,2017-03-10,145.93
2017-03-13,2017-03-13,146.29
2017-03-14,2017-03-14,145.13
2017-03-15,2017-03-15,146.48
2017-03-16,2017-03-16,147.82
2017-03-17,2017-03-17,148.79
2017-03-20,2017-03-20,148.75
2017-03-21,2017-03-21,145.77
2017-03-22,2017-03-22,145.69
2017-03-23,2017-03-23,146.55
2017-03-24,2017-03-24,146.57
2017-03-27,2017-03-27,146.52
2017-03-28,2017-03-28,147.13
2017-03-29,2017-03-29,142.1
2017-03-30,2017-03-30,142.48
2017-03-31,2017-03-31,142.57
2017-04-03,2017-04-03,141.02
2017-04-04,2017-04-04,139.43
2017-04-05,2017-04-05,138.09
2017-04-06,2017-04-06,138.3
2017-04-07,2017-04-07,137.03
2017-04-10,2017-04-10,136.86
2017-04-11,2017-04-11,136.68
2017-04-12,2017-04-12,134.88
2017-04-13,2017-04-13,134.43
2017-04-17,2017-04-17,135.98
2017-04-18,2017-04-18,135.43
2017-04-19,2017-04-19,135.93
2017-04-20,2017-04-20,136.87
2017-04-21,2017-04-21,136.54
2017-04-24,2017-04-24,137.93
2017-04-25,2017-04-25,138.19
2017-04-26,2017-04-26,137.3
2017-04-27,2017-04-27,126.99
2017-04-28,2017-04-28,129.13
2017-05-01,2017-05-01,127.4
2017-05-02,2017-05-02,127.5
2017-05-03,2017-05-03,126.99
2017-05-04,2017-05-04,126.42
2017-05-05,2017-05-05,128.57
2017-05-08,2017-05-08,129.76
2017-05-09,2017-05-09,130.84
2017-05-10,2017-05-10,131.6
2017-05-11,2017-05-11,129.94
2017-05-12,2017-05-12,129.16
2017-05-15,2017-05-15,131.72
2017-05-16,2017-05-16,131.38
2017-05-17,2017-05-17,127.87
2017-05-18,2017-05-18,125.9
2017-05-19,2017-05-19,127.15
2017-05-22,2017-05-22,128.55
2017-05-23,2017-05-23,125.99
2017-05-24,2017-05-24,126.85
2017-05-25,2017-05-25,127.58
2017-05-26,2017-05-26,127.16
2017-05-30,2017-05-30,128.0
2017-05-31,2017-05-31,128.13
2017-06-01,2017-06-01,130.09
2017-06-02,2017-06-02,129.31
2017-06-05,2017-06-05,129.66
2017-06-06,2017-06-06,129.52
2017-06-07,2017-06-07,127.97
2017-06-08,2017-06-08,130.83
2017-06-09,2017-06-09,129.3
2017-06-12,2017-06-12,128.68
2017-06-13,2017-06-13,130.14
2017-06-14,2017-06-14,129.78
2017-06-15,2017-06-15,129.35
2017-06-16,2017-06-16,129.19
2017-06-19,2017-06-19,130.63
2017-06-20,2017-06-20,128.85
2017-06-21,2017-06-21,128.99
2017-06-22,2017-06-22,128.95
2017-06-23,2017-06-23,129.99
2017-06-26,2017-06-26,129.04
2017-06-27,2017-06-27,127.8
2017-06-28,2017-06-28,128.95
2017-06-29,2017-06-29,127.32
2017-06-30,2017-06-30,127.06
2017-07-03,2017-07-03,127.81
