DATE,DATE,CLOSE
2016-11-01,2016-11-01,49.28
2016-11-02,2016-11-02,49.33
2016-11-03,2016-11-03,49.055
2016-11-04,2016-11-04,48.965
2016-11-07,2016-11-07,49.78
2016-11-08,2016-11-08,50.085
2016-11-09,2016-11-09,50.255
2016-11-10,2016-11-10,49.9
2016-11-11,2016-11-11,50.27
2016-11-14,2016-11-14,50.06
2016-11-15,2016-11-15,50.77
2016-11-16,2016-11-16,51.605
2016-11-17,2016-11-17,52.53
2016-11-18,2016-11-18,52.145
2016-11-21,2016-11-21,52.72
2016-11-22,2016-11-22,53.155
2016-11-23,2016-11-23,53.8
2016-11-25,2016-11-25,53.615
2016-11-28,2016-11-28,53.305
2016-11-29,2016-11-29,53.27
2016-11-30,2016-11-30,52.31
2016-12-01,2016-12-01,51.66
2016-12-02,2016-12-02,51.685
2016-12-05,2016-12-05,51.815
2016-12-06,2016-12-06,51.625
2016-12-07,2016-12-07,52.41
2016-12-08,2016-12-08,52.355
2016-12-09,2016-12-09,52.395
2016-12-12,2016-12-12,52.41
2016-12-13,2016-12-13,53.05
2016-12-14,2016-12-14,53.015
2016-12-15,2016-12-15,53.635
2016-12-16,2016-12-16,53.515
2016-12-19,2016-12-19,53.675
2016-12-20,2016-12-20,54.535
2016-12-21,2016-12-21,54.285
2016-12-22,2016-12-22,53.805
2016-12-23,2016-12-23,54.0
2016-12-27,2016-12-27,54.07
2016-12-28,2016-12-28,53.6
2016-12-29,2016-12-29,53.64
2016-12-30,2016-12-30,53.14
2017-01-03,2017-01-03,53.67
2017-01-04,2017-01-04,54.325
2017-01-05,2017-01-05,54.305
2017-01-06,2017-01-06,54.915
2017-01-09,2017-01-09,54.05
2017-01-10,2017-01-10,54.115
2017-01-11,2017-01-11,54.27
2017-01-12,2017-01-12,54.71
2017-01-13,2017-01-13,55.15
2017-01-17,2017-01-17,55.22
2017-01-18,2017-01-18,55.04
2017-01-19,2017-01-19,54.675
2017-01-20,2017-01-20,54.785
2017-01-23,2017-01-23,54.33
2017-01-24,2017-01-24,54.26
2017-01-25,2017-01-25,54.27
2017-01-26,2017-01-26,53.925
2017-01-27,2017-01-27,54.05
2017-01-30,2017-01-30,54.075
2017-01-31,2017-01-31,53.715
2017-02-01,2017-02-01,52.69
2017-02-02,2017-02-02,52.73
2017-02-03,2017-02-03,53.36
2017-02-06,2017-02-06,53.425
2017-02-07,2017-02-07,53.21
2017-02-08,2017-02-08,53.89
2017-02-09,2017-02-09,54.735
2017-02-10,2017-02-10,54.535
2017-02-13,2017-02-13,55.05
2017-02-14,2017-02-14,55.07
2017-02-15,2017-02-15,55.54
2017-02-16,2017-02-16,55.625
2017-02-17,2017-02-17,55.99
2017-02-21,2017-02-21,56.195
2017-02-22,2017-02-22,56.91
2017-02-23,2017-02-23,57.45
