DATE,DATE,CLOSE
2016-11-01,2016-11-01,21.85
2016-11-02,2016-11-02,21.62
2016-11-03,2016-11-03,21.42
2016-11-04,2016-11-04,21.21
2016-11-07,2016-11-07,21.9
2016-11-08,2016-11-08,21.65
2016-11-09,2016-11-09,22.95
2016-11-10,2016-11-10,23.74
2016-11-11,2016-11-11,24.47
2016-11-14,2016-11-14,25.27
2016-11-15,2016-11-15,25.67
2016-11-16,2016-11-16,24.9
2016-11-17,2016-11-17,25.43
2016-11-18,2016-11-18,25.68
2016-11-21,2016-11-21,25.85
2016-11-22,2016-11-22,26.14
2016-11-23,2016-11-23,26.29
2016-11-25,2016-11-25,26.14
2016-11-28,2016-11-28,25.38
2016-11-29,2016-11-29,25.39
2016-11-30,2016-11-30,26.02
2016-12-01,2016-12-01,26.44
2016-12-02,2016-12-02,25.89
2016-12-05,2016-12-05,26.09
2016-12-06,2016-12-06,26.32
2016-12-07,2016-12-07,26.55
2016-12-08,2016-12-08,26.98
2016-12-09,2016-12-09,26.89
2016-12-12,2016-12-12,26.54
2016-12-13,2016-12-13,26.76
2016-12-14,2016-12-14,26.91
2016-12-15,2016-12-15,27.2
2016-12-16,2016-12-16,26.8
2016-12-19,2016-12-19,27.23
2016-12-20,2016-12-20,27.79
2016-12-21,2016-12-21,27.69
2016-12-22,2016-12-22,27.62
2016-12-23,2016-12-23,27.68
2016-12-27,2016-12-27,27.76
2016-12-28,2016-12-28,27.26
2016-12-29,2016-12-29,26.73
2016-12-30,2016-12-30,26.97
2017-01-03,2017-01-03,27.05
2017-01-04,2017-01-04,27.42
2017-01-05,2017-01-05,26.64
2017-01-06,2017-01-06,26.87
2017-01-09,2017-01-09,26.76
2017-01-10,2017-01-10,27.07
2017-01-11,2017-01-11,27.09
2017-01-12,2017-01-12,26.91
2017-01-13,2017-01-13,27.29
2017-01-17,2017-01-17,26.03
2017-01-18,2017-01-18,26.33
2017-01-19,2017-01-19,25.99
2017-01-20,2017-01-20,26.29
2017-01-23,2017-01-23,26.5
2017-01-24,2017-01-24,26.6
2017-01-25,2017-01-25,26.91
2017-01-26,2017-01-26,27.11
2017-01-27,2017-01-27,26.76
2017-01-30,2017-01-30,26.33
2017-01-31,2017-01-31,26.1
2017-02-01,2017-02-01,26.24
2017-02-02,2017-02-02,25.94
2017-02-03,2017-02-03,26.52
2017-02-06,2017-02-06,26.76
2017-02-07,2017-02-07,26.49
2017-02-08,2017-02-08,25.89
2017-02-09,2017-02-09,26.15
2017-02-10,2017-02-10,26.51
2017-02-13,2017-02-13,26.74
2017-02-14,2017-02-14,27.55
2017-02-15,2017-02-15,27.56
2017-02-16,2017-02-16,27.6
2017-02-17,2017-02-17,27.54
2017-02-21,2017-02-21,27.57
2017-02-22,2017-02-22,27.5
2017-02-23,2017-02-23,27.47
2017-02-24,2017-02-24,27.32
2017-02-27,2017-02-27,27.57
2017-02-28,2017-02-28,27.44
2017-03-01,2017-03-01,28.75
2017-03-02,2017-03-02,27.74
2017-03-03,2017-03-03,27.84
2017-03-06,2017-03-06,27.54
2017-03-07,2017-03-07,27.37
2017-03-08,2017-03-08,27.37
2017-03-09,2017-03-09,27.49
2017-03-10,2017-03-10,27.16
2017-03-13,2017-03-13,26.96
2017-03-14,2017-03-14,26.75
2017-03-15,2017-03-15,26.45
2017-03-16,2017-03-16,26.65
2017-03-17,2017-03-17,26.35
2017-03-20,2017-03-20,26.185
2017-03-21,2017-03-21,24.91
2017-03-22,2017-03-22,24.84
2017-03-23,2017-03-23,25.06
2017-03-24,2017-03-24,24.89
2017-03-27,2017-03-27,24.73
2017-03-28,2017-03-28,25.24
2017-03-29,2017-03-29,25.04
2017-03-30,2017-03-30,25.73
2017-03-31,2017-03-31,25.4
2017-04-03,2017-04-03,25.29
2017-04-04,2017-04-04,25.35
2017-04-05,2017-04-05,24.9
2017-04-06,2017-04-06,25.18
2017-04-07,2017-04-07,25.01
2017-04-10,2017-04-10,24.8
2017-04-11,2017-04-11,24.69
2017-04-12,2017-04-12,24.33
2017-04-13,2017-04-13,23.93
2017-04-17,2017-04-17,24.4
2017-04-18,2017-04-18,24.01
2017-04-19,2017-04-19,24.21
2017-04-20,2017-04-20,24.95
2017-04-21,2017-04-21,24.62
2017-04-24,2017-04-24,25.33
2017-04-25,2017-04-25,25.01
2017-04-26,2017-04-26,24.97
2017-04-27,2017-04-27,24.65
2017-04-28,2017-04-28,24.43
2017-05-01,2017-05-01,24.79
2017-05-02,2017-05-02,24.46
2017-05-03,2017-05-03,24.72
2017-05-04,2017-05-04,24.91
2017-05-05,2017-05-05,24.8
2017-05-08,2017-05-08,24.94
2017-05-09,2017-05-09,24.84
2017-05-10,2017-05-10,24.63
2017-05-11,2017-05-11,24.44
2017-05-12,2017-05-12,24.16
2017-05-15,2017-05-15,24.64
2017-05-16,2017-05-16,24.9
2017-05-17,2017-05-17,23.78
2017-05-18,2017-05-18,23.82
2017-05-19,2017-05-19,24.18
2017-05-22,2017-05-22,24.39
2017-05-23,2017-05-23,24.74
2017-05-24,2017-05-24,24.48
2017-05-25,2017-05-25,24.47
2017-05-26,2017-05-26,24.26
2017-05-30,2017-05-30,24.05
2017-05-31,2017-05-31,23.74
2017-06-01,2017-06-01,24.03
2017-06-02,2017-06-02,23.64
2017-06-05,2017-06-05,23.7
2017-06-06,2017-06-06,23.62
2017-06-07,2017-06-07,23.875
2017-06-08,2017-06-08,24.33
2017-06-09,2017-06-09,25.06
2017-06-12,2017-06-12,25.19
2017-06-13,2017-06-13,25.33
2017-06-14,2017-06-14,25.58
2017-06-15,2017-06-15,25.48
2017-06-16,2017-06-16,25.47
2017-06-19,2017-06-19,25.59
2017-06-20,2017-06-20,25.56
2017-06-21,2017-06-21,25.39
2017-06-22,2017-06-22,25.14
2017-06-23,2017-06-23,24.66
2017-06-26,2017-06-26,24.82
2017-06-27,2017-06-27,25.09
2017-06-28,2017-06-28,25.49
2017-06-29,2017-06-29,26.07
2017-06-30,2017-06-30,25.96
2017-07-03,2017-07-03,26.47
2017-07-05,2017-07-05,26.58
2017-07-06,2017-07-06,26.46
2017-07-07,2017-07-07,26.48
2017-07-10,2017-07-10,26.34
2017-07-11,2017-07-11,26.19
2017-07-12,2017-07-12,26.11
2017-07-13,2017-07-13,26.29
2017-07-14,2017-07-14,26.08
2017-07-17,2017-07-17,26.16
2017-07-18,2017-07-18,25.82
2017-07-19,2017-07-19,25.8
2017-07-20,2017-07-20,25.49
2017-07-21,2017-07-21,26.18
2017-07-24,2017-07-24,26.43
2017-07-25,2017-07-25,26.59
2017-07-26,2017-07-26,26.18
2017-07-27,2017-07-27,26.14
2017-07-28,2017-07-28,26.38
2017-07-31,2017-07-31,26.7
2017-08-01,2017-08-01,26.92
2017-08-02,2017-08-02,26.96
2017-08-03,2017-08-03,26.9
2017-08-04,2017-08-04,27.18
2017-08-07,2017-08-07,27.03
2017-08-08,2017-08-08,27.45
2017-08-09,2017-08-09,27.14
2017-08-10,2017-08-10,26.38
2017-08-11,2017-08-11,26.11
2017-08-14,2017-08-14,26.68
2017-08-15,2017-08-15,27.02
2017-08-16,2017-08-16,26.83
2017-08-17,2017-08-17,26.26
2017-08-18,2017-08-18,26.33
2017-08-21,2017-08-21,26.21
2017-08-22,2017-08-22,26.62
2017-08-23,2017-08-23,26.6
2017-08-24,2017-08-24,26.85
2017-08-25,2017-08-25,26.67
2017-08-28,2017-08-28,26.59
2017-08-29,2017-08-29,26.26
2017-08-30,2017-08-30,26.3
2017-08-31,2017-08-31,26.13
2017-09-01,2017-09-01,26.41
2017-09-05,2017-09-05,25.79
2017-09-06,2017-09-06,25.77
2017-09-07,2017-09-07,24.97
2017-09-08,2017-09-08,25.1
2017-09-11,2017-09-11,25.7
2017-09-12,2017-09-12,26.18
2017-09-13,2017-09-13,26.33
2017-09-14,2017-09-14,26.31
2017-09-15,2017-09-15,26.52
2017-09-18,2017-09-18,26.87
2017-09-19,2017-09-19,27.18
2017-09-20,2017-09-20,27.41
2017-09-21,2017-09-21,27.54
2017-09-22,2017-09-22,27.31
2017-09-25,2017-09-25,27.14
2017-09-26,2017-09-26,27.39
2017-09-27,2017-09-27,27.68
2017-09-28,2017-09-28,27.59
2017-09-29,2017-09-29,27.98
2017-10-02,2017-10-02,27.87
2017-10-03,2017-10-03,27.91
2017-10-04,2017-10-04,27.81
2017-10-05,2017-10-05,28.22
2017-10-06,2017-10-06,28.19
2017-10-09,2017-10-09,28.13
2017-10-10,2017-10-10,28.42
2017-10-11,2017-10-11,28.26
2017-10-12,2017-10-12,28.15
2017-10-13,2017-10-13,28.06
2017-10-16,2017-10-16,28.37
2017-10-17,2017-10-17,27.97
2017-10-18,2017-10-18,28.07
2017-10-19,2017-10-19,28.28
2017-10-20,2017-10-20,28.6
2017-10-23,2017-10-23,28.43
2017-10-24,2017-10-24,28.6
2017-10-25,2017-10-25,28.58
2017-10-26,2017-10-26,28.85
2017-10-27,2017-10-27,29.07
2017-10-30,2017-10-30,29.01
2017-10-31,2017-10-31,28.9
2017-11-01,2017-11-01,28.96
2017-11-02,2017-11-02,29.26
2017-11-03,2017-11-03,29.12
2017-11-06,2017-11-06,29.24
2017-11-07,2017-11-07,28.45
2017-11-08,2017-11-08,28.3
2017-11-09,2017-11-09,28.01
2017-11-10,2017-11-10,27.67
2017-11-13,2017-11-13,28.19
2017-11-14,2017-11-14,28.61
2017-11-15,2017-11-15,28.46
2017-11-16,2017-11-16,28.47
2017-11-17,2017-11-17,28.45
2017-11-20,2017-11-20,28.57
2017-11-21,2017-11-21,28.48
2017-11-22,2017-11-22,28.42
2017-11-24,2017-11-24,28.2
2017-11-27,2017-11-27,28.4
2017-11-28,2017-11-28,29.24
2017-11-29,2017-11-29,30.46
2017-11-30,2017-11-30,30.51
2017-12-01,2017-12-01,30.69
2017-12-04,2017-12-04,31.36
2017-12-05,2017-12-05,30.78
2017-12-06,2017-12-06,30.58
2017-12-07,2017-12-07,30.4
2017-12-08,2017-12-08,30.37
2017-12-11,2017-12-11,30.3
2017-12-12,2017-12-12,30.45
2017-12-13,2017-12-13,29.94
2017-12-14,2017-12-14,29.67
2017-12-15,2017-12-15,30.03
2017-12-18,2017-12-18,30.47
2017-12-19,2017-12-19,30.62
2017-12-20,2017-12-20,30.51
2017-12-21,2017-12-21,30.93
2017-12-22,2017-12-22,30.84
2017-12-26,2017-12-26,30.68
2017-12-27,2017-12-27,30.66
2017-12-28,2017-12-28,30.64
2017-12-29,2017-12-29,30.34
2018-01-02,2018-01-02,30.43
2018-01-03,2018-01-03,30.52
2018-01-04,2018-01-04,30.63
2018-01-05,2018-01-05,30.71
2018-01-08,2018-01-08,30.7
2018-01-09,2018-01-09,31.25
2018-01-10,2018-01-10,31.58
2018-01-11,2018-01-11,31.86
2018-01-12,2018-01-12,32.35
2018-01-16,2018-01-16,32.28
2018-01-17,2018-01-17,32.49
2018-01-18,2018-01-18,32.17
2018-01-19,2018-01-19,32.5
2018-01-22,2018-01-22,32.77
2018-01-23,2018-01-23,32.92
2018-01-24,2018-01-24,33.33
2018-01-25,2018-01-25,32.84
2018-01-26,2018-01-26,33.35
2018-01-29,2018-01-29,33.17
2018-01-30,2018-01-30,33.02
2018-01-31,2018-01-31,33.1
2018-02-01,2018-02-01,33.66
2018-02-02,2018-02-02,33.13
2018-02-05,2018-02-05,31.7
2018-02-06,2018-02-06,32.02
2018-02-07,2018-02-07,32.34
2018-02-08,2018-02-08,31.1
2018-02-09,2018-02-09,31.98
2018-02-12,2018-02-12,32.25
2018-02-13,2018-02-13,32.39
2018-02-14,2018-02-14,33.25
2018-02-15,2018-02-15,33.2
2018-02-16,2018-02-16,33.13
2018-02-20,2018-02-20,33.21
2018-02-21,2018-02-21,33.44
2018-02-22,2018-02-22,32.87
2018-02-23,2018-02-23,33.45
2018-02-26,2018-02-26,33.76
2018-02-27,2018-02-27,33.26
2018-02-28,2018-02-28,33.05
2018-03-01,2018-03-01,32.79
2018-03-02,2018-03-02,32.91
2018-03-05,2018-03-05,33.36
2018-03-06,2018-03-06,33.66
2018-03-07,2018-03-07,33.68
2018-03-08,2018-03-08,33.67
2018-03-09,2018-03-09,34.21
2018-03-12,2018-03-12,34.26
2018-03-13,2018-03-13,34.06
2018-03-14,2018-03-14,33.62
2018-03-15,2018-03-15,33.57
2018-03-16,2018-03-16,33.72
2018-03-19,2018-03-19,33.62
2018-03-20,2018-03-20,33.53
2018-03-21,2018-03-21,33.62
2018-03-22,2018-03-22,32.3
2018-03-23,2018-03-23,31.03
2018-03-26,2018-03-26,32.12
2018-03-27,2018-03-27,31.34
2018-03-28,2018-03-28,31.56
2018-03-29,2018-03-29,31.75
2018-04-02,2018-04-02,30.95
2018-04-03,2018-04-03,31.56
2018-04-04,2018-04-04,32.28
2018-04-05,2018-04-05,32.33
2018-04-06,2018-04-06,31.24
2018-04-09,2018-04-09,31.4
2018-04-10,2018-04-10,31.78
2018-04-11,2018-04-11,31.47
2018-04-12,2018-04-12,32.26
2018-04-13,2018-04-13,31.41
2018-04-16,2018-04-16,31.49
2018-04-17,2018-04-17,30.94
2018-04-18,2018-04-18,30.78
2018-04-19,2018-04-19,31.36
2018-04-20,2018-04-20,31.42
2018-04-23,2018-04-23,31.93
2018-04-24,2018-04-24,33.25
2018-04-25,2018-04-25,33.54
