DATE,DATE,CLOSE
2016-11-01,2016-11-01,32.83
2016-11-02,2016-11-02,32.72
2016-11-03,2016-11-03,32.17
2016-11-04,2016-11-04,31.93
2016-11-07,2016-11-07,32.19
2016-11-08,2016-11-08,32.33
2016-11-09,2016-11-09,33.46
2016-11-10,2016-11-10,34.2
2016-11-11,2016-11-11,34.69
2016-11-14,2016-11-14,35.47
2016-11-15,2016-11-15,35.28
2016-11-16,2016-11-16,35.24
2016-11-17,2016-11-17,35.37
2016-11-18,2016-11-18,35.08
2016-11-21,2016-11-21,35.45
2016-11-22,2016-11-22,35.35
2016-11-23,2016-11-23,35.52
2016-11-25,2016-11-25,35.64
2016-11-28,2016-11-28,35.27
2016-11-29,2016-11-29,35.25
2016-11-30,2016-11-30,35.91
2016-12-01,2016-12-01,35.59
2016-12-02,2016-12-02,35.53
2016-12-05,2016-12-05,35.71
2016-12-06,2016-12-06,35.92
2016-12-07,2016-12-07,36.34
2016-12-08,2016-12-08,36.65
2016-12-09,2016-12-09,36.77
2016-12-12,2016-12-12,36.75
2016-12-13,2016-12-13,36.68
2016-12-14,2016-12-14,36.2
2016-12-15,2016-12-15,36.52
2016-12-16,2016-12-16,36.22
2016-12-19,2016-12-19,36.16
2016-12-20,2016-12-20,36.36
2016-12-21,2016-12-21,36.19
2016-12-22,2016-12-22,36.07
2016-12-23,2016-12-23,36.57
2016-12-27,2016-12-27,36.72
2016-12-28,2016-12-28,36.28
2016-12-29,2016-12-29,36.36
2016-12-30,2016-12-30,36.19
2017-01-03,2017-01-03,36.09
2017-01-04,2017-01-04,36.6
2017-01-05,2017-01-05,36.41
2017-01-06,2017-01-06,35.92
2017-01-09,2017-01-09,35.62
2017-01-10,2017-01-10,35.77
2017-01-11,2017-01-11,35.79
2017-01-12,2017-01-12,35.49
2017-01-13,2017-01-13,35.64
2017-01-17,2017-01-17,35.25
2017-01-18,2017-01-18,35.4
2017-01-19,2017-01-19,35.04
2017-01-20,2017-01-20,34.69
2017-01-23,2017-01-23,34.6
2017-01-24,2017-01-24,34.7
2017-01-25,2017-01-25,35.2
2017-01-26,2017-01-26,35.66
2017-01-27,2017-01-27,35.5
2017-01-30,2017-01-30,35.39
2017-01-31,2017-01-31,35.33
2017-02-01,2017-02-01,35.42
2017-02-02,2017-02-02,35.76
2017-02-03,2017-02-03,36.34
2017-02-06,2017-02-06,36.08
2017-02-07,2017-02-07,35.66
2017-02-08,2017-02-08,35.71
2017-02-09,2017-02-09,36.09
2017-02-10,2017-02-10,36.15
2017-02-13,2017-02-13,36.4
2017-02-14,2017-02-14,34.15
2017-02-15,2017-02-15,36.93
2017-02-16,2017-02-16,36.4
2017-02-17,2017-02-17,36.62
2017-02-21,2017-02-21,36.76
2017-02-22,2017-02-22,36.68
2017-02-23,2017-02-23,36.41
2017-02-24,2017-02-24,36.72
2017-02-27,2017-02-27,36.62
2017-02-28,2017-02-28,36.71
2017-03-01,2017-03-01,37.05
2017-03-02,2017-03-02,36.6
2017-03-03,2017-03-03,36.44
2017-03-06,2017-03-06,36.5
2017-03-07,2017-03-07,36.5
2017-03-08,2017-03-08,36.26
2017-03-09,2017-03-09,36.44
2017-03-10,2017-03-10,36.2
2017-03-13,2017-03-13,36.41
2017-03-14,2017-03-14,36.39
2017-03-15,2017-03-15,36.7
2017-03-16,2017-03-16,36.59
2017-03-17,2017-03-17,36.74
2017-03-20,2017-03-20,36.59
2017-03-21,2017-03-21,35.95
2017-03-22,2017-03-22,36.03
2017-03-23,2017-03-23,36.3
2017-03-24,2017-03-24,36.06
2017-03-27,2017-03-27,35.83
2017-03-28,2017-03-28,36.3
2017-03-29,2017-03-29,36.16
2017-03-30,2017-03-30,36.58
2017-03-31,2017-03-31,36.28
2017-04-03,2017-04-03,35.6
2017-04-04,2017-04-04,35.82
2017-04-05,2017-04-05,35.37
2017-04-06,2017-04-06,35.73
