DATE,DATE,CLOSE
2016-11-01,2016-11-01,42.11
2016-11-02,2016-11-02,41.59
2016-11-03,2016-11-03,41.68
2016-11-04,2016-11-04,41.35
2016-11-07,2016-11-07,42.04
2016-11-08,2016-11-08,41.86
2016-11-09,2016-11-09,44.19
2016-11-10,2016-11-10,45.94
2016-11-11,2016-11-11,45.83
2016-11-14,2016-11-14,45.67
2016-11-15,2016-11-15,45.62
2016-11-16,2016-11-16,45.64
2016-11-17,2016-11-17,45.74
2016-11-18,2016-11-18,45.98
2016-11-21,2016-11-21,46.6
2016-11-22,2016-11-22,46.78
2016-11-23,2016-11-23,46.84
2016-11-25,2016-11-25,46.89
2016-11-28,2016-11-28,46.48
2016-11-29,2016-11-29,45.04
2016-11-30,2016-11-30,47.45
2016-12-01,2016-12-01,49.85
2016-12-02,2016-12-02,49.42
2016-12-05,2016-12-05,49.0
2016-12-06,2016-12-06,49.75
2016-12-07,2016-12-07,51.06
2016-12-08,2016-12-08,51.03
2016-12-09,2016-12-09,51.72
2016-12-12,2016-12-12,51.03
2016-12-13,2016-12-13,50.56
2016-12-14,2016-12-14,49.24
2016-12-15,2016-12-15,48.97
2016-12-16,2016-12-16,48.2
2016-12-19,2016-12-19,48.49
2016-12-20,2016-12-20,49.07
2016-12-21,2016-12-21,49.38
2016-12-22,2016-12-22,49.16
2016-12-23,2016-12-23,48.82
2016-12-27,2016-12-27,49.44
2016-12-28,2016-12-28,48.51
2016-12-29,2016-12-29,48.05
2016-12-30,2016-12-30,48.05
2017-01-03,2017-01-03,49.01
2017-01-04,2017-01-04,49.56
2017-01-05,2017-01-05,48.65
2017-01-06,2017-01-06,48.86
2017-01-09,2017-01-09,48.51
2017-01-10,2017-01-10,49.01
2017-01-11,2017-01-11,49.63
2017-01-12,2017-01-12,49.31
2017-01-13,2017-01-13,49.76
2017-01-17,2017-01-17,49.53
2017-01-18,2017-01-18,49.86
2017-01-19,2017-01-19,50.33
2017-01-20,2017-01-20,50.26
2017-01-23,2017-01-23,50.0
2017-01-24,2017-01-24,50.95
2017-01-25,2017-01-25,51.85
2017-01-26,2017-01-26,51.54
2017-01-27,2017-01-27,51.44
2017-01-30,2017-01-30,50.48
2017-01-31,2017-01-31,49.16
2017-02-01,2017-02-01,49.27
2017-02-02,2017-02-02,48.19
2017-02-03,2017-02-03,48.65
2017-02-06,2017-02-06,48.36
2017-02-07,2017-02-07,49.59
2017-02-08,2017-02-08,50.63
2017-02-09,2017-02-09,50.68
2017-02-10,2017-02-10,50.96
2017-02-13,2017-02-13,51.5
2017-02-14,2017-02-14,50.93
2017-02-15,2017-02-15,51.2
2017-02-16,2017-02-16,50.81
2017-02-17,2017-02-17,48.37
2017-02-21,2017-02-21,48.38
2017-02-22,2017-02-22,48.65
2017-02-23,2017-02-23,46.78
2017-02-24,2017-02-24,47.72
2017-02-27,2017-02-27,47.94
2017-02-28,2017-02-28,46.45
2017-03-01,2017-03-01,48.09
2017-03-02,2017-03-02,47.03
2017-03-03,2017-03-03,46.52
2017-03-06,2017-03-06,46.15
2017-03-07,2017-03-07,46.0
2017-03-08,2017-03-08,45.97
2017-03-09,2017-03-09,45.22
2017-03-10,2017-03-10,46.0
2017-03-13,2017-03-13,46.22
2017-03-14,2017-03-14,45.49
2017-03-15,2017-03-15,47.18
2017-03-16,2017-03-16,46.92
2017-03-17,2017-03-17,46.99
2017-03-20,2017-03-20,46.78
2017-03-21,2017-03-21,45.81
2017-03-22,2017-03-22,45.95
2017-03-23,2017-03-23,46.08
2017-03-24,2017-03-24,45.65
2017-03-27,2017-03-27,46.97
2017-03-28,2017-03-28,47.18
2017-03-29,2017-03-29,47.4
2017-03-30,2017-03-30,48.0
2017-03-31,2017-03-31,48.42
2017-04-03,2017-04-03,48.15
2017-04-04,2017-04-04,47.83
2017-04-05,2017-04-05,47.69
2017-04-06,2017-04-06,48.79
2017-04-07,2017-04-07,48.64
2017-04-10,2017-04-10,49.2
2017-04-11,2017-04-11,49.16
2017-04-12,2017-04-12,47.72
2017-04-13,2017-04-13,47.0
2017-04-17,2017-04-17,47.94
2017-04-18,2017-04-18,47.7
2017-04-19,2017-04-19,48.08
2017-04-20,2017-04-20,49.17
2017-04-21,2017-04-21,48.66
2017-04-24,2017-04-24,49.35
2017-04-25,2017-04-25,50.6
2017-04-26,2017-04-26,51.14
2017-04-27,2017-04-27,50.78
2017-04-28,2017-04-28,50.87
2017-05-01,2017-05-01,49.65
2017-05-02,2017-05-02,49.97
2017-05-03,2017-05-03,50.22
2017-05-04,2017-05-04,48.63
2017-05-05,2017-05-05,49.98
2017-05-08,2017-05-08,49.62
2017-05-09,2017-05-09,49.14
2017-05-10,2017-05-10,49.76
2017-05-11,2017-05-11,49.17
2017-05-12,2017-05-12,49.05
2017-05-15,2017-05-15,49.68
2017-05-16,2017-05-16,49.58
2017-05-17,2017-05-17,48.34
2017-05-18,2017-05-18,48.56
2017-05-19,2017-05-19,49.11
2017-05-22,2017-05-22,49.11
2017-05-23,2017-05-23,49.47
2017-05-24,2017-05-24,49.0
2017-05-25,2017-05-25,47.89
2017-05-26,2017-05-26,48.1
2017-05-30,2017-05-30,48.3
2017-05-31,2017-05-31,48.5
2017-06-01,2017-06-01,49.3
2017-06-02,2017-06-02,48.59
2017-06-05,2017-06-05,48.56
2017-06-06,2017-06-06,47.55
2017-06-07,2017-06-07,46.28
2017-06-08,2017-06-08,46.68
2017-06-09,2017-06-09,47.3
2017-06-12,2017-06-12,48.66
2017-06-13,2017-06-13,48.71
2017-06-14,2017-06-14,47.47
2017-06-15,2017-06-15,47.45
2017-06-16,2017-06-16,47.45
2017-06-19,2017-06-19,47.53
2017-06-20,2017-06-20,46.0
2017-06-21,2017-06-21,44.04
2017-06-22,2017-06-22,44.25
2017-06-23,2017-06-23,44.47
2017-06-26,2017-06-26,45.5
2017-06-27,2017-06-27,45.31
2017-06-28,2017-06-28,45.64
2017-06-29,2017-06-29,45.71
2017-06-30,2017-06-30,46.43
2017-07-03,2017-07-03,46.94
2017-07-05,2017-07-05,46.72
2017-07-06,2017-07-06,46.32
2017-07-07,2017-07-07,46.31
2017-07-10,2017-07-10,46.38
2017-07-11,2017-07-11,45.76
2017-07-12,2017-07-12,46.26
2017-07-13,2017-07-13,45.78
2017-07-14,2017-07-14,46.17
2017-07-17,2017-07-17,45.9
2017-07-18,2017-07-18,46.12
2017-07-19,2017-07-19,46.54
2017-07-20,2017-07-20,46.59
2017-07-21,2017-07-21,46.23
2017-07-24,2017-07-24,46.24
2017-07-25,2017-07-25,47.25
2017-07-26,2017-07-26,46.64
2017-07-27,2017-07-27,46.36
2017-07-28,2017-07-28,41.3
2017-07-31,2017-07-31,41.13
2017-08-01,2017-08-01,41.59
2017-08-02,2017-08-02,41.92
2017-08-03,2017-08-03,41.22
2017-08-04,2017-08-04,41.19
2017-08-07,2017-08-07,40.55
2017-08-08,2017-08-08,39.84
2017-08-09,2017-08-09,39.12
2017-08-10,2017-08-10,38.64
2017-08-11,2017-08-11,38.83
2017-08-14,2017-08-14,39.48
2017-08-15,2017-08-15,39.44
2017-08-16,2017-08-16,39.42
