DATE,DATE,CLOSE
2016-11-01,2016-11-01,40.903142
2016-11-02,2016-11-02,39.941225
2016-11-03,2016-11-03,44.135531
2016-11-04,2016-11-04,45.461416
2016-11-07,2016-11-07,46.440665
2016-11-08,2016-11-08,46.241349
2016-11-09,2016-11-09,47.012616
2016-11-10,2016-11-10,46.882627
2016-11-11,2016-11-11,45.400755
2016-11-14,2016-11-14,45.721394
2016-11-15,2016-11-15,46.795968
2016-11-16,2016-11-16,46.362672
2016-11-17,2016-11-17,46.62265
2016-11-18,2016-11-18,46.8133
2016-11-21,2016-11-21,47.1946
2016-11-22,2016-11-22,47.272594
2016-11-23,2016-11-23,47.913872
2016-11-25,2016-11-25,47.757885
2016-11-28,2016-11-28,47.783883
2016-11-29,2016-11-29,47.489242
2016-11-30,2016-11-30,48.633143
2016-12-01,2016-12-01,48.823793
2016-12-02,2016-12-02,48.988446
2016-12-05,2016-12-05,49.317751
2016-12-06,2016-12-06,49.083771
2016-12-07,2016-12-07,50.452986
2016-12-08,2016-12-08,51.128928
2016-12-09,2016-12-09,50.964276
2016-12-12,2016-12-12,50.929612
2016-12-13,2016-12-13,50.322997
2016-12-14,2016-12-14,49.63839
2016-12-15,2016-12-15,50.513648
2016-12-16,2016-12-16,49.811708
2016-12-19,2016-12-19,49.517067
2016-12-20,2016-12-20,49.413076
2016-12-21,2016-12-21,49.551731
2016-12-22,2016-12-22,49.378412
2016-12-23,2016-12-23,49.1271
2016-12-27,2016-12-27,49.673053
2016-12-28,2016-12-28,49.101103
2016-12-29,2016-12-29,49.187762
2016-12-30,2016-12-30,49.014444
2017-01-03,2017-01-03,49.421742
2017-01-04,2017-01-04,50.44432
2017-01-05,2017-01-05,50.634971
2017-01-06,2017-01-06,50.539645
2017-01-09,2017-01-09,50.219006
2017-01-10,2017-01-10,50.002358
2017-01-11,2017-01-11,50.894948
2017-01-12,2017-01-12,51.38024
2017-01-13,2017-01-13,51.362908
2017-01-17,2017-01-17,50.91228
2017-01-18,2017-01-18,50.738962
2017-01-19,2017-01-19,51.423569
2017-01-20,2017-01-20,52.264164
2017-01-23,2017-01-23,52.636798
2017-01-24,2017-01-24,53.408065
2017-01-25,2017-01-25,54.049343
2017-01-26,2017-01-26,53.858693
2017-01-27,2017-01-27,53.512056
2017-01-30,2017-01-30,52.428816
2017-01-31,2017-01-31,52.134175
2017-02-01,2017-02-01,52.515475
2017-02-02,2017-02-02,52.411484
2017-02-03,2017-02-03,52.255498
