DATE,DATE,CLOSE
2016-11-01,2016-11-01,141.88
2016-11-02,2016-11-02,140.52
2016-11-03,2016-11-03,137.31
2016-11-04,2016-11-04,138.24
2016-11-07,2016-11-07,141.76
2016-11-08,2016-11-08,142.15
2016-11-09,2016-11-09,139.04
2016-11-10,2016-11-10,136.98
2016-11-11,2016-11-11,137.35
2016-11-14,2016-11-14,138.98
2016-11-15,2016-11-15,138.0
2016-11-16,2016-11-16,138.17
2016-11-17,2016-11-17,137.36
2016-11-18,2016-11-18,137.81
2016-11-21,2016-11-21,138.61
2016-11-22,2016-11-22,140.74
2016-11-23,2016-11-23,140.15
2016-11-25,2016-11-25,140.98
2016-11-28,2016-11-28,141.17
2016-11-29,2016-11-29,141.8
2016-11-30,2016-11-30,140.42
2016-12-01,2016-12-01,137.22
2016-12-02,2016-12-02,138.29
2016-12-05,2016-12-05,139.45
2016-12-06,2016-12-06,139.95
2016-12-07,2016-12-07,141.84
2016-12-08,2016-12-08,141.78
2016-12-09,2016-12-09,141.49
2016-12-12,2016-12-12,141.35
2016-12-13,2016-12-13,142.09
2016-12-14,2016-12-14,138.61
2016-12-15,2016-12-15,138.08
2016-12-16,2016-12-16,140.26
2016-12-19,2016-12-19,142.09
2016-12-20,2016-12-20,142.14
2016-12-21,2016-12-21,139.8
2016-12-22,2016-12-22,139.71
2016-12-23,2016-12-23,139.66
2016-12-27,2016-12-27,140.1
2016-12-28,2016-12-28,138.93
2016-12-29,2016-12-29,140.05
2016-12-30,2016-12-30,142.11
2017-01-03,2017-01-03,143.4
2017-01-04,2017-01-04,144.22
2017-01-05,2017-01-05,145.29
2017-01-06,2017-01-06,144.49
2017-01-09,2017-01-09,142.68
2017-01-10,2017-01-10,141.19
2017-01-11,2017-01-11,139.77
2017-01-12,2017-01-12,140.62
2017-01-13,2017-01-13,140.18
2017-01-17,2017-01-17,141.29
2017-01-18,2017-01-18,141.53
2017-01-19,2017-01-19,139.25
2017-01-20,2017-01-20,140.72
2017-01-23,2017-01-23,141.72
2017-01-24,2017-01-24,140.96
2017-01-25,2017-01-25,140.77
2017-01-26,2017-01-26,140.8
2017-01-27,2017-01-27,139.69
2017-01-30,2017-01-30,139.14
2017-01-31,2017-01-31,140.43
2017-02-01,2017-02-01,137.5
2017-02-02,2017-02-02,140.11
2017-02-03,2017-02-03,139.94
2017-02-06,2017-02-06,139.79
2017-02-07,2017-02-07,139.68
2017-02-08,2017-02-08,140.33
2017-02-09,2017-02-09,142.02
2017-02-10,2017-02-10,142.96
2017-02-13,2017-02-13,142.95
2017-02-14,2017-02-14,141.08
2017-02-15,2017-02-15,139.98
2017-02-16,2017-02-16,140.5
2017-02-17,2017-02-17,140.66
2017-02-21,2017-02-21,142.5
2017-02-22,2017-02-22,141.55
2017-02-23,2017-02-23,142.4
2017-02-24,2017-02-24,142.34
2017-02-27,2017-02-27,142.22
2017-02-28,2017-02-28,140.73
2017-03-01,2017-03-01,138.97
2017-03-02,2017-03-02,136.76
2017-03-03,2017-03-03,135.02
2017-03-06,2017-03-06,134.3
2017-03-07,2017-03-07,133.39
2017-03-08,2017-03-08,130.5
2017-03-09,2017-03-09,127.44
2017-03-10,2017-03-10,126.98
2017-03-13,2017-03-13,128.32
2017-03-14,2017-03-14,129.62
2017-03-15,2017-03-15,133.02
2017-03-16,2017-03-16,133.0
2017-03-17,2017-03-17,134.75
2017-03-20,2017-03-20,134.44
2017-03-21,2017-03-21,134.67
2017-03-22,2017-03-22,133.11
2017-03-23,2017-03-23,134.73
2017-03-24,2017-03-24,134.8
2017-03-27,2017-03-27,132.74
2017-03-28,2017-03-28,133.26
2017-03-29,2017-03-29,133.15
2017-03-30,2017-03-30,133.34
2017-03-31,2017-03-31,133.5
2017-04-03,2017-04-03,133.84
2017-04-04,2017-04-04,133.11
2017-04-05,2017-04-05,133.11
2017-04-06,2017-04-06,133.11
2017-04-07,2017-04-07,132.73
2017-04-10,2017-04-10,133.95
2017-04-11,2017-04-11,135.08
2017-04-12,2017-04-12,134.87
2017-04-13,2017-04-13,134.74
2017-04-17,2017-04-17,136.45
2017-04-18,2017-04-18,137.05
2017-04-19,2017-04-19,137.48
2017-04-20,2017-04-20,137.22
2017-04-21,2017-04-21,136.18
2017-04-24,2017-04-24,133.75
2017-04-25,2017-04-25,134.61
2017-04-26,2017-04-26,132.56
2017-04-27,2017-04-27,133.16
2017-04-28,2017-04-28,130.89
2017-05-01,2017-05-01,133.16
2017-05-02,2017-05-02,133.81
2017-05-03,2017-05-03,132.3
2017-05-04,2017-05-04,131.4
2017-05-05,2017-05-05,132.78
2017-05-08,2017-05-08,130.44
2017-05-09,2017-05-09,130.55
2017-05-10,2017-05-10,132.0
2017-05-11,2017-05-11,129.72
2017-05-12,2017-05-12,125.43
2017-05-15,2017-05-15,126.57
2017-05-16,2017-05-16,122.46
2017-05-17,2017-05-17,122.97
2017-05-18,2017-05-18,124.29
2017-05-19,2017-05-19,125.59
2017-05-22,2017-05-22,126.48
2017-05-23,2017-05-23,125.71
2017-05-24,2017-05-24,127.4
2017-05-25,2017-05-25,127.38
2017-05-26,2017-05-26,126.32
2017-05-30,2017-05-30,123.82
2017-05-31,2017-05-31,122.74
2017-06-01,2017-06-01,124.29
2017-06-02,2017-06-02,123.37
2017-06-05,2017-06-05,121.73
2017-06-06,2017-06-06,122.18
2017-06-07,2017-06-07,124.99
2017-06-08,2017-06-08,122.88
2017-06-09,2017-06-09,124.68
2017-06-12,2017-06-12,126.94
2017-06-13,2017-06-13,127.88
2017-06-14,2017-06-14,126.99
2017-06-15,2017-06-15,128.32
2017-06-16,2017-06-16,125.37
2017-06-19,2017-06-19,125.19
2017-06-20,2017-06-20,123.84
2017-06-21,2017-06-21,123.33
2017-06-22,2017-06-22,124.19
2017-06-23,2017-06-23,125.05
2017-06-26,2017-06-26,127.72
2017-06-27,2017-06-27,127.44
2017-06-28,2017-06-28,128.13
2017-06-29,2017-06-29,127.71
2017-06-30,2017-06-30,126.39
2017-07-03,2017-07-03,129.04
2017-07-05,2017-07-05,126.26
2017-07-06,2017-07-06,125.38
2017-07-07,2017-07-07,126.28
2017-07-10,2017-07-10,124.76
2017-07-11,2017-07-11,124.84
2017-07-12,2017-07-12,125.41
2017-07-13,2017-07-13,126.67
2017-07-14,2017-07-14,128.27
2017-07-17,2017-07-17,129.01
2017-07-18,2017-07-18,128.71
2017-07-19,2017-07-19,129.93
2017-07-20,2017-07-20,130.0
2017-07-21,2017-07-21,130.48
2017-07-24,2017-07-24,131.26
