DATE,DATE,CLOSE
2016-11-01,2016-11-01,74.07
2016-11-02,2016-11-02,72.51
2016-11-03,2016-11-03,71.76
2016-11-04,2016-11-04,72.43
2016-11-07,2016-11-07,74.0
2016-11-08,2016-11-08,74.04
2016-11-09,2016-11-09,78.47
2016-11-10,2016-11-10,77.84
2016-11-11,2016-11-11,76.42
2016-11-14,2016-11-14,76.75
2016-11-15,2016-11-15,76.35
2016-11-16,2016-11-16,76.0
2016-11-17,2016-11-17,75.58
2016-11-18,2016-11-18,74.62
2016-11-21,2016-11-21,74.98
2016-11-22,2016-11-22,74.46
2016-11-23,2016-11-23,75.3
2016-11-25,2016-11-25,75.44
2016-11-28,2016-11-28,74.54
2016-11-29,2016-11-29,74.87
2016-11-30,2016-11-30,73.7
2016-12-01,2016-12-01,72.84
2016-12-02,2016-12-02,72.42
2016-12-05,2016-12-05,72.36
2016-12-06,2016-12-06,72.47
2016-12-07,2016-12-07,72.78
2016-12-08,2016-12-08,72.02
2016-12-09,2016-12-09,72.7
2016-12-12,2016-12-12,73.47
2016-12-13,2016-12-13,74.84
2016-12-14,2016-12-14,75.71
2016-12-15,2016-12-15,75.55
2016-12-16,2016-12-16,74.1
2016-12-19,2016-12-19,74.4
2016-12-20,2016-12-20,74.05
2016-12-21,2016-12-21,73.96
2016-12-22,2016-12-22,73.3
2016-12-23,2016-12-23,73.64
2016-12-27,2016-12-27,73.73
2016-12-28,2016-12-28,72.77
2016-12-29,2016-12-29,72.13
2016-12-30,2016-12-30,71.61
2017-01-03,2017-01-03,74.16
2017-01-04,2017-01-04,76.38
2017-01-05,2017-01-05,76.01
2017-01-06,2017-01-06,75.49
2017-01-09,2017-01-09,75.84
2017-01-10,2017-01-10,75.01
2017-01-11,2017-01-11,73.77
2017-01-12,2017-01-12,73.36
2017-01-13,2017-01-13,73.07
2017-01-17,2017-01-17,71.91
2017-01-18,2017-01-18,72.13
2017-01-19,2017-01-19,71.57
2017-01-20,2017-01-20,71.01
2017-01-23,2017-01-23,70.69
2017-01-24,2017-01-24,70.25
2017-01-25,2017-01-25,71.91
2017-01-26,2017-01-26,71.22
2017-01-27,2017-01-27,71.26
2017-01-30,2017-01-30,71.51
2017-01-31,2017-01-31,72.45
2017-02-01,2017-02-01,72.82
2017-02-02,2017-02-02,72.25
2017-02-03,2017-02-03,72.34
2017-02-06,2017-02-06,72.39
2017-02-07,2017-02-07,73.13
2017-02-08,2017-02-08,66.83
2017-02-09,2017-02-09,65.59
2017-02-10,2017-02-10,66.36
2017-02-13,2017-02-13,67.65
2017-02-14,2017-02-14,67.55
2017-02-15,2017-02-15,69.8
2017-02-16,2017-02-16,70.31
2017-02-17,2017-02-17,69.85
2017-02-21,2017-02-21,69.29
2017-02-22,2017-02-22,68.83
2017-02-23,2017-02-23,69.37
2017-02-24,2017-02-24,69.94
2017-02-27,2017-02-27,70.5
2017-02-28,2017-02-28,70.48
2017-03-01,2017-03-01,70.19
2017-03-02,2017-03-02,70.53
2017-03-03,2017-03-03,70.74
2017-03-06,2017-03-06,70.12
2017-03-07,2017-03-07,69.02
2017-03-08,2017-03-08,69.7
2017-03-09,2017-03-09,68.39
2017-03-10,2017-03-10,68.19
2017-03-13,2017-03-13,68.1
2017-03-14,2017-03-14,67.77
2017-03-15,2017-03-15,68.47
2017-03-16,2017-03-16,68.54
2017-03-17,2017-03-17,69.06
2017-03-20,2017-03-20,68.71
2017-03-21,2017-03-21,67.74
2017-03-22,2017-03-22,67.83
2017-03-23,2017-03-23,67.49
2017-03-24,2017-03-24,67.51
2017-03-27,2017-03-27,67.5
2017-03-28,2017-03-28,67.1
2017-03-29,2017-03-29,67.26
2017-03-30,2017-03-30,67.53
2017-03-31,2017-03-31,67.92
2017-04-03,2017-04-03,67.1
2017-04-04,2017-04-04,66.98
2017-04-05,2017-04-05,66.47
2017-04-06,2017-04-06,66.48
2017-04-07,2017-04-07,66.58
2017-04-10,2017-04-10,66.42
2017-04-11,2017-04-11,66.02
2017-04-12,2017-04-12,66.22
2017-04-13,2017-04-13,66.51
2017-04-17,2017-04-17,66.7
2017-04-18,2017-04-18,66.06
2017-04-19,2017-04-19,66.28
2017-04-20,2017-04-20,66.5
2017-04-21,2017-04-21,65.93
2017-04-24,2017-04-24,66.25
2017-04-25,2017-04-25,67.12
2017-04-26,2017-04-26,68.22
2017-04-27,2017-04-27,68.58
2017-04-28,2017-04-28,68.55
2017-05-01,2017-05-01,68.11
2017-05-02,2017-05-02,68.59
2017-05-03,2017-05-03,67.21
2017-05-04,2017-05-04,68.08
2017-05-05,2017-05-05,67.8
2017-05-08,2017-05-08,67.21
2017-05-09,2017-05-09,67.61
2017-05-10,2017-05-10,66.92
2017-05-11,2017-05-11,66.71
2017-05-12,2017-05-12,66.06
2017-05-15,2017-05-15,65.95
2017-05-16,2017-05-16,65.72
2017-05-17,2017-05-17,64.51
2017-05-18,2017-05-18,64.43
2017-05-19,2017-05-19,64.23
2017-05-22,2017-05-22,64.36
2017-05-23,2017-05-23,64.69
2017-05-24,2017-05-24,64.31
2017-05-25,2017-05-25,64.56
2017-05-26,2017-05-26,64.5
2017-05-30,2017-05-30,64.49
2017-05-31,2017-05-31,64.89
2017-06-01,2017-06-01,64.62
2017-06-02,2017-06-02,65.4
2017-06-05,2017-06-05,65.48
2017-06-06,2017-06-06,64.85
2017-06-07,2017-06-07,64.32
2017-06-08,2017-06-08,64.12
2017-06-09,2017-06-09,64.7
2017-06-12,2017-06-12,65.43
2017-06-13,2017-06-13,65.15
2017-06-14,2017-06-14,64.99
2017-06-15,2017-06-15,64.81
2017-06-16,2017-06-16,64.12
2017-06-19,2017-06-19,64.82
2017-06-20,2017-06-20,65.59
2017-06-21,2017-06-21,67.5
2017-06-22,2017-06-22,70.48
2017-06-23,2017-06-23,70.52
2017-06-26,2017-06-26,71.24
2017-06-27,2017-06-27,70.65
2017-06-28,2017-06-28,71.92
2017-06-29,2017-06-29,70.86
2017-06-30,2017-06-30,70.78
2017-07-03,2017-07-03,70.7
2017-07-05,2017-07-05,70.86
2017-07-06,2017-07-06,69.48
2017-07-07,2017-07-07,69.25
2017-07-10,2017-07-10,69.29
2017-07-11,2017-07-11,69.35
2017-07-12,2017-07-12,69.8
2017-07-13,2017-07-13,70.58
2017-07-14,2017-07-14,70.57
2017-07-17,2017-07-17,71.15
2017-07-18,2017-07-18,71.69
2017-07-19,2017-07-19,72.72
2017-07-20,2017-07-20,73.42
2017-07-21,2017-07-21,73.76
2017-07-24,2017-07-24,74.39
2017-07-25,2017-07-25,73.74
2017-07-26,2017-07-26,74.19
2017-07-27,2017-07-27,74.96
2017-07-28,2017-07-28,75.94
2017-07-31,2017-07-31,76.09
2017-08-01,2017-08-01,75.7
2017-08-02,2017-08-02,75.84
2017-08-03,2017-08-03,74.37
2017-08-04,2017-08-04,73.16
2017-08-07,2017-08-07,73.44
2017-08-08,2017-08-08,73.27
2017-08-09,2017-08-09,73.9
2017-08-10,2017-08-10,72.7
2017-08-11,2017-08-11,72.4
2017-08-14,2017-08-14,72.81
2017-08-15,2017-08-15,73.12
2017-08-16,2017-08-16,73.35
2017-08-17,2017-08-17,72.34
2017-08-18,2017-08-18,72.11
2017-08-21,2017-08-21,72.6
2017-08-22,2017-08-22,73.34
2017-08-23,2017-08-23,73.74
2017-08-24,2017-08-24,74.02
2017-08-25,2017-08-25,73.79
2017-08-28,2017-08-28,74.69
2017-08-29,2017-08-29,75.74
2017-08-30,2017-08-30,81.23
2017-08-31,2017-08-31,83.71
2017-09-01,2017-09-01,83.75
2017-09-05,2017-09-05,82.56
2017-09-06,2017-09-06,82.95
2017-09-07,2017-09-07,85.47
2017-09-08,2017-09-08,85.1
2017-09-11,2017-09-11,84.52
2017-09-12,2017-09-12,84.51
2017-09-13,2017-09-13,83.68
2017-09-14,2017-09-14,82.29
2017-09-15,2017-09-15,82.36
2017-09-18,2017-09-18,82.97
2017-09-19,2017-09-19,82.29
2017-09-20,2017-09-20,82.64
2017-09-21,2017-09-21,82.62
2017-09-22,2017-09-22,83.27
2017-09-25,2017-09-25,83.61
2017-09-26,2017-09-26,83.76
2017-09-27,2017-09-27,83.86
2017-09-28,2017-09-28,80.91
2017-09-29,2017-09-29,81.02
2017-10-02,2017-10-02,83.52
2017-10-03,2017-10-03,83.19
2017-10-04,2017-10-04,82.42
2017-10-05,2017-10-05,83.51
2017-10-06,2017-10-06,82.14
2017-10-09,2017-10-09,81.98
2017-10-10,2017-10-10,83.04
2017-10-11,2017-10-11,82.57
2017-10-12,2017-10-12,81.3
2017-10-13,2017-10-13,81.17
2017-10-16,2017-10-16,79.95
2017-10-17,2017-10-17,80.24
2017-10-18,2017-10-18,80.01
2017-10-19,2017-10-19,81.59
2017-10-20,2017-10-20,81.21
2017-10-23,2017-10-23,80.17
2017-10-24,2017-10-24,80.1
2017-10-25,2017-10-25,79.89
2017-10-26,2017-10-26,77.88
2017-10-27,2017-10-27,77.07
2017-10-30,2017-10-30,75.99
2017-10-31,2017-10-31,74.96
2017-11-01,2017-11-01,74.835
2017-11-02,2017-11-02,73.81
2017-11-03,2017-11-03,73.46
2017-11-06,2017-11-06,72.38
2017-11-07,2017-11-07,73.21
2017-11-08,2017-11-08,73.1
2017-11-09,2017-11-09,73.02
2017-11-10,2017-11-10,73.77
2017-11-13,2017-11-13,72.85
2017-11-14,2017-11-14,71.15
2017-11-15,2017-11-15,71.81
2017-11-16,2017-11-16,72.41
2017-11-17,2017-11-17,72.44
2017-11-20,2017-11-20,72.13
2017-11-21,2017-11-21,72.51
