DATE,DATE,CLOSE
2016-11-01,2016-11-01,61.63
2016-11-02,2016-11-02,61.38
2016-11-03,2016-11-03,61.12
2016-11-04,2016-11-04,60.65
2016-11-07,2016-11-07,61.83
2016-11-08,2016-11-08,63.71
2016-11-09,2016-11-09,62.74
2016-11-10,2016-11-10,61.07
2016-11-11,2016-11-11,61.04
2016-11-14,2016-11-14,61.2
2016-11-15,2016-11-15,61.3
2016-11-16,2016-11-16,61.26
2016-11-17,2016-11-17,61.36
2016-11-18,2016-11-18,61.26
2016-11-21,2016-11-21,61.63
2016-11-22,2016-11-22,62.68
2016-11-23,2016-11-23,61.48
2016-11-25,2016-11-25,62.3
2016-11-28,2016-11-28,62.08
2016-11-29,2016-11-29,62.66
2016-11-30,2016-11-30,60.94
2016-12-01,2016-12-01,60.59
2016-12-02,2016-12-02,60.94
2016-12-05,2016-12-05,61.13
2016-12-06,2016-12-06,61.03
2016-12-07,2016-12-07,62.99
2016-12-08,2016-12-08,62.48
2016-12-09,2016-12-09,63.2
2016-12-12,2016-12-12,63.87
2016-12-13,2016-12-13,63.74
2016-12-14,2016-12-14,62.87
2016-12-15,2016-12-15,62.82
2016-12-16,2016-12-16,63.5
2016-12-19,2016-12-19,63.06
2016-12-20,2016-12-20,61.45
2016-12-21,2016-12-21,62.39
2016-12-22,2016-12-22,62.46
2016-12-23,2016-12-23,62.16
2016-12-27,2016-12-27,62.2
2016-12-28,2016-12-28,61.89
2016-12-29,2016-12-29,62.36
2016-12-30,2016-12-30,61.77
2017-01-03,2017-01-03,62.09
2017-01-04,2017-01-04,62.07
2017-01-05,2017-01-05,62.25
2017-01-06,2017-01-06,61.47
2017-01-09,2017-01-09,60.56
2017-01-10,2017-01-10,60.45
2017-01-11,2017-01-11,60.98
2017-01-12,2017-01-12,61.27
2017-01-13,2017-01-13,61.08
2017-01-17,2017-01-17,61.98
2017-01-18,2017-01-18,62.08
2017-01-19,2017-01-19,61.65
2017-01-20,2017-01-20,62.42
2017-01-23,2017-01-23,62.12
2017-01-24,2017-01-24,62.67
2017-01-25,2017-01-25,63.01
2017-01-26,2017-01-26,62.7
2017-01-27,2017-01-27,62.72
2017-01-30,2017-01-30,62.6
2017-01-31,2017-01-31,62.48
2017-02-01,2017-02-01,61.37
2017-02-02,2017-02-02,61.72
2017-02-03,2017-02-03,62.73
2017-02-06,2017-02-06,61.44
2017-02-07,2017-02-07,61.82
2017-02-08,2017-02-08,62.22
2017-02-09,2017-02-09,63.06
2017-02-10,2017-02-10,62.76
2017-02-13,2017-02-13,62.89
2017-02-14,2017-02-14,63.09
2017-02-15,2017-02-15,63.19
2017-02-16,2017-02-16,61.54
2017-02-17,2017-02-17,59.23
2017-02-21,2017-02-21,61.02
2017-02-22,2017-02-22,60.59
2017-02-23,2017-02-23,60.78
2017-02-24,2017-02-24,61.37
2017-02-27,2017-02-27,59.94
2017-02-28,2017-02-28,60.37
2017-03-01,2017-03-01,60.55
2017-03-02,2017-03-02,60.91
2017-03-03,2017-03-03,60.73
2017-03-06,2017-03-06,60.43
2017-03-07,2017-03-07,60.25
2017-03-08,2017-03-08,60.07
2017-03-09,2017-03-09,60.63
2017-03-10,2017-03-10,60.57
2017-03-13,2017-03-13,60.52
2017-03-14,2017-03-14,60.46
2017-03-15,2017-03-15,61.16
2017-03-16,2017-03-16,60.81
2017-03-17,2017-03-17,60.66
2017-03-20,2017-03-20,60.26
2017-03-21,2017-03-21,59.76
2017-03-22,2017-03-22,58.94
2017-03-23,2017-03-23,59.37
2017-03-24,2017-03-24,59.16
2017-03-27,2017-03-27,58.79
2017-03-28,2017-03-28,59.01
2017-03-29,2017-03-29,59.44
2017-03-30,2017-03-30,59.07
2017-03-31,2017-03-31,59.01
2017-04-03,2017-04-03,58.55
2017-04-04,2017-04-04,58.38
2017-04-05,2017-04-05,58.25
2017-04-06,2017-04-06,57.69
2017-04-07,2017-04-07,57.65
2017-04-10,2017-04-10,57.52
2017-04-11,2017-04-11,57.42
2017-04-12,2017-04-12,57.58
2017-04-13,2017-04-13,57.17
2017-04-17,2017-04-17,57.6
2017-04-18,2017-04-18,58.16
2017-04-19,2017-04-19,57.84
2017-04-20,2017-04-20,57.88
2017-04-21,2017-04-21,57.73
