DATE,DATE,CLOSE
2016-11-01,2016-11-01,63.33
2016-11-02,2016-11-02,63.31
2016-11-03,2016-11-03,63.81
2016-11-04,2016-11-04,63.65
2016-11-07,2016-11-07,64.9
2016-11-08,2016-11-08,65.43
2016-11-09,2016-11-09,67.54
2016-11-10,2016-11-10,69.59
2016-11-11,2016-11-11,70.02
2016-11-14,2016-11-14,70.81
2016-11-15,2016-11-15,69.99
2016-11-16,2016-11-16,69.2
2016-11-17,2016-11-17,70.16
2016-11-18,2016-11-18,70.06
2016-11-21,2016-11-21,70.38
2016-11-22,2016-11-22,70.67
2016-11-23,2016-11-23,70.92
2016-11-25,2016-11-25,71.1
2016-11-28,2016-11-28,69.59
2016-11-29,2016-11-29,69.67
2016-11-30,2016-11-30,70.09
2016-12-01,2016-12-01,71.36
2016-12-02,2016-12-02,70.98
2016-12-05,2016-12-05,71.53
2016-12-06,2016-12-06,72.29
2016-12-07,2016-12-07,73.29
2016-12-08,2016-12-08,74.0
2016-12-09,2016-12-09,73.69
2016-12-12,2016-12-12,73.03
2016-12-13,2016-12-13,73.48
2016-12-14,2016-12-14,73.45
2016-12-15,2016-12-15,73.74
2016-12-16,2016-12-16,73.35
2016-12-19,2016-12-19,74.34
2016-12-20,2016-12-20,74.8
2016-12-21,2016-12-21,74.83
2016-12-22,2016-12-22,74.62
2016-12-23,2016-12-23,74.27
2016-12-27,2016-12-27,74.49
2016-12-28,2016-12-28,73.88
2016-12-29,2016-12-29,73.63
2016-12-30,2016-12-30,73.76
2017-01-03,2017-01-03,73.92
2017-01-04,2017-01-04,74.65
2017-01-05,2017-01-05,74.19
2017-01-06,2017-01-06,74.59
2017-01-09,2017-01-09,73.91
2017-01-10,2017-01-10,74.01
2017-01-11,2017-01-11,73.75
2017-01-12,2017-01-12,73.4
2017-01-13,2017-01-13,73.88
2017-01-17,2017-01-17,73.0
2017-01-18,2017-01-18,73.81
2017-01-19,2017-01-19,73.62
2017-01-20,2017-01-20,73.99
2017-01-23,2017-01-23,73.59
2017-01-24,2017-01-24,74.26
2017-01-25,2017-01-25,74.69
2017-01-26,2017-01-26,74.86
2017-01-27,2017-01-27,74.55
2017-01-30,2017-01-30,74.05
2017-01-31,2017-01-31,73.54
2017-02-01,2017-02-01,73.54
2017-02-02,2017-02-02,73.66
2017-02-03,2017-02-03,74.25
2017-02-06,2017-02-06,74.39
2017-02-07,2017-02-07,74.18
2017-02-08,2017-02-08,73.83
2017-02-09,2017-02-09,74.45
2017-02-10,2017-02-10,74.92
2017-02-13,2017-02-13,75.86
2017-02-14,2017-02-14,76.17
2017-02-15,2017-02-15,76.99
2017-02-16,2017-02-16,77.42
2017-02-17,2017-02-17,77.12
2017-02-21,2017-02-21,77.26
2017-02-22,2017-02-22,77.51
2017-02-23,2017-02-23,77.56
2017-02-24,2017-02-24,77.55
2017-02-27,2017-02-27,77.47
2017-02-28,2017-02-28,77.53
2017-03-01,2017-03-01,78.7
2017-03-02,2017-03-02,77.88
2017-03-03,2017-03-03,78.19
2017-03-06,2017-03-06,77.92
2017-03-07,2017-03-07,78.03
2017-03-08,2017-03-08,77.59
2017-03-09,2017-03-09,78.21
2017-03-10,2017-03-10,78.34
2017-03-13,2017-03-13,78.38
2017-03-14,2017-03-14,78.41
2017-03-15,2017-03-15,78.63
2017-03-16,2017-03-16,78.71
2017-03-17,2017-03-17,78.63
2017-03-20,2017-03-20,78.42
2017-03-21,2017-03-21,76.57
2017-03-22,2017-03-22,76.48
2017-03-23,2017-03-23,76.56
2017-03-24,2017-03-24,76.59
2017-03-27,2017-03-27,76.34
2017-03-28,2017-03-28,76.92
2017-03-29,2017-03-29,76.24
2017-03-30,2017-03-30,77.17
2017-03-31,2017-03-31,77.04
2017-04-03,2017-04-03,76.66
2017-04-04,2017-04-04,76.82
2017-04-05,2017-04-05,76.03
2017-04-06,2017-04-06,76.26
2017-04-07,2017-04-07,76.16
2017-04-10,2017-04-10,76.09
2017-04-11,2017-04-11,76.23
2017-04-12,2017-04-12,75.39
2017-04-13,2017-04-13,74.48
2017-04-17,2017-04-17,75.55
2017-04-18,2017-04-18,75.0
2017-04-19,2017-04-19,74.76
2017-04-20,2017-04-20,76.0
2017-04-21,2017-04-21,76.33
2017-04-24,2017-04-24,77.28
2017-04-25,2017-04-25,77.27
2017-04-26,2017-04-26,77.07
2017-04-27,2017-04-27,77.43
2017-04-28,2017-04-28,76.71
2017-05-01,2017-05-01,76.9
2017-05-02,2017-05-02,76.76
2017-05-03,2017-05-03,76.88
2017-05-04,2017-05-04,76.71
2017-05-05,2017-05-05,76.83
2017-05-08,2017-05-08,76.62
2017-05-09,2017-05-09,76.04
2017-05-10,2017-05-10,76.12
2017-05-11,2017-05-11,75.58
2017-05-12,2017-05-12,75.24
2017-05-15,2017-05-15,76.02
2017-05-16,2017-05-16,75.64
2017-05-17,2017-05-17,74.11
2017-05-18,2017-05-18,74.57
2017-05-19,2017-05-19,74.37
2017-05-22,2017-05-22,74.75
2017-05-23,2017-05-23,75.06
2017-05-24,2017-05-24,74.76
2017-05-25,2017-05-25,75.65
2017-05-26,2017-05-26,75.23
2017-05-30,2017-05-30,75.27
2017-05-31,2017-05-31,75.5
2017-06-01,2017-06-01,76.59
2017-06-02,2017-06-02,76.47
2017-06-05,2017-06-05,75.86
2017-06-06,2017-06-06,74.8
2017-06-07,2017-06-07,74.71
2017-06-08,2017-06-08,75.29
2017-06-09,2017-06-09,76.76
2017-06-12,2017-06-12,76.63
2017-06-13,2017-06-13,76.96
2017-06-14,2017-06-14,76.94
2017-06-15,2017-06-15,76.99
2017-06-16,2017-06-16,77.24
2017-06-19,2017-06-19,77.77
2017-06-20,2017-06-20,77.21
2017-06-21,2017-06-21,76.14
2017-06-22,2017-06-22,75.64
2017-06-23,2017-06-23,75.68
2017-06-26,2017-06-26,75.96
2017-06-27,2017-06-27,75.67
2017-06-28,2017-06-28,76.81
2017-06-29,2017-06-29,76.32
2017-06-30,2017-06-30,76.5
2017-07-03,2017-07-03,77.25
2017-07-05,2017-07-05,76.8
2017-07-06,2017-07-06,76.73
2017-07-07,2017-07-07,77.64
2017-07-10,2017-07-10,77.86
2017-07-11,2017-07-11,77.45
2017-07-12,2017-07-12,77.8
2017-07-13,2017-07-13,78.23
2017-07-14,2017-07-14,78.15
2017-07-17,2017-07-17,78.37
2017-07-18,2017-07-18,78.09
2017-07-19,2017-07-19,78.21
2017-07-20,2017-07-20,78.24
2017-07-21,2017-07-21,78.32
2017-07-24,2017-07-24,78.49
2017-07-25,2017-07-25,78.79
2017-07-26,2017-07-26,77.96
2017-07-27,2017-07-27,78.8
2017-07-28,2017-07-28,78.89
2017-07-31,2017-07-31,78.97
2017-08-01,2017-08-01,79.12
2017-08-02,2017-08-02,78.93
2017-08-03,2017-08-03,78.84
2017-08-04,2017-08-04,79.07
2017-08-07,2017-08-07,78.98
2017-08-08,2017-08-08,79.27
2017-08-09,2017-08-09,79.23
2017-08-10,2017-08-10,78.45
2017-08-11,2017-08-11,78.16
2017-08-14,2017-08-14,78.77
2017-08-15,2017-08-15,78.86
2017-08-16,2017-08-16,78.75
2017-08-17,2017-08-17,76.85
2017-08-18,2017-08-18,76.61
2017-08-21,2017-08-21,76.52
2017-08-22,2017-08-22,77.43
2017-08-23,2017-08-23,77.3
2017-08-24,2017-08-24,77.1
2017-08-25,2017-08-25,77.7
2017-08-28,2017-08-28,77.21
2017-08-29,2017-08-29,76.81
2017-08-30,2017-08-30,76.94
2017-08-31,2017-08-31,76.97
2017-09-01,2017-09-01,77.52
2017-09-05,2017-09-05,75.87
2017-09-06,2017-09-06,76.05
2017-09-07,2017-09-07,74.68
2017-09-08,2017-09-08,76.07
2017-09-11,2017-09-11,76.84
2017-09-12,2017-09-12,77.78
2017-09-13,2017-09-13,77.16
2017-09-14,2017-09-14,76.93
2017-09-15,2017-09-15,77.22
2017-09-18,2017-09-18,77.53
2017-09-19,2017-09-19,77.89
2017-09-20,2017-09-20,78.62
2017-09-21,2017-09-21,78.65
2017-09-22,2017-09-22,78.64
2017-09-25,2017-09-25,78.92
2017-09-26,2017-09-26,78.87
2017-09-27,2017-09-27,79.84
2017-09-28,2017-09-28,79.74
2017-09-29,2017-09-29,80.09
2017-10-02,2017-10-02,80.33
2017-10-03,2017-10-03,80.41
2017-10-04,2017-10-04,80.32
2017-10-05,2017-10-05,80.81
2017-10-06,2017-10-06,80.81
2017-10-09,2017-10-09,80.53
2017-10-10,2017-10-10,80.93
2017-10-11,2017-10-11,81.1
2017-10-12,2017-10-12,81.53
2017-10-13,2017-10-13,81.61
2017-10-16,2017-10-16,82.05
2017-10-17,2017-10-17,81.89
2017-10-18,2017-10-18,82.16
2017-10-19,2017-10-19,82.53
2017-10-20,2017-10-20,83.12
2017-10-23,2017-10-23,83.7
2017-10-24,2017-10-24,83.88
2017-10-25,2017-10-25,84.58
2017-10-26,2017-10-26,85.08
2017-10-27,2017-10-27,84.96
2017-10-30,2017-10-30,84.52
2017-10-31,2017-10-31,84.13
2017-11-01,2017-11-01,84.76
2017-11-02,2017-11-02,85.54
2017-11-03,2017-11-03,85.42
2017-11-06,2017-11-06,85.68
2017-11-07,2017-11-07,85.18
2017-11-08,2017-11-08,85.24
2017-11-09,2017-11-09,84.5
2017-11-10,2017-11-10,84.26
2017-11-13,2017-11-13,84.69
2017-11-14,2017-11-14,85.18
2017-11-15,2017-11-15,85.37
2017-11-16,2017-11-16,85.01
2017-11-17,2017-11-17,85.44
2017-11-20,2017-11-20,85.08
2017-11-21,2017-11-21,85.27
2017-11-22,2017-11-22,85.17
2017-11-24,2017-11-24,85.16
2017-11-27,2017-11-27,85.74
2017-11-28,2017-11-28,87.53
2017-11-29,2017-11-29,89.09
2017-11-30,2017-11-30,88.85
