DATE,DATE,CLOSE
2016-11-01,2016-11-01,22.58
2016-11-02,2016-11-02,22.46
2016-11-03,2016-11-03,22.33
2016-11-04,2016-11-04,22.4
2016-11-07,2016-11-07,22.98
2016-11-08,2016-11-08,23.16
2016-11-09,2016-11-09,23.21
2016-11-10,2016-11-10,23.19
2016-11-11,2016-11-11,23.4
2016-11-14,2016-11-14,23.49
2016-11-15,2016-11-15,23.65
2016-11-16,2016-11-16,23.67
2016-11-17,2016-11-17,23.82
2016-11-18,2016-11-18,23.83
2016-11-21,2016-11-21,23.87
2016-11-22,2016-11-22,24.0
2016-11-23,2016-11-23,24.19
2016-11-25,2016-11-25,24.29
2016-11-28,2016-11-28,24.2
2016-11-29,2016-11-29,24.17
2016-11-30,2016-11-30,24.03
2016-12-01,2016-12-01,23.53
2016-12-02,2016-12-02,23.55
2016-12-05,2016-12-05,23.63
2016-12-06,2016-12-06,23.99
2016-12-07,2016-12-07,24.58
2016-12-08,2016-12-08,24.88
2016-12-09,2016-12-09,24.56
2016-12-12,2016-12-12,24.32
2016-12-13,2016-12-13,24.46
2016-12-14,2016-12-14,24.34
2016-12-15,2016-12-15,24.24
2016-12-16,2016-12-16,24.3
2016-12-19,2016-12-19,24.36
2016-12-20,2016-12-20,24.59
2016-12-21,2016-12-21,24.83
2016-12-22,2016-12-22,24.75
2016-12-23,2016-12-23,24.77
2016-12-27,2016-12-27,24.94
2016-12-28,2016-12-28,24.45
2016-12-29,2016-12-29,24.44
2016-12-30,2016-12-30,24.27
2017-01-03,2017-01-03,24.3
2017-01-04,2017-01-04,24.46
2017-01-05,2017-01-05,24.31
2017-01-06,2017-01-06,24.52
2017-01-09,2017-01-09,24.47
2017-01-10,2017-01-10,24.49
2017-01-11,2017-01-11,24.67
2017-01-12,2017-01-12,24.53
2017-01-13,2017-01-13,24.84
2017-01-17,2017-01-17,24.19
2017-01-18,2017-01-18,24.56
2017-01-19,2017-01-19,24.42
2017-01-20,2017-01-20,24.79
2017-01-23,2017-01-23,24.77
2017-01-24,2017-01-24,26.18
2017-01-25,2017-01-25,26.68
2017-01-26,2017-01-26,26.55
2017-01-27,2017-01-27,26.68
2017-01-30,2017-01-30,26.65
2017-01-31,2017-01-31,26.49
2017-02-01,2017-02-01,26.21
2017-02-02,2017-02-02,26.38
2017-02-03,2017-02-03,26.73
2017-02-06,2017-02-06,26.71
2017-02-07,2017-02-07,26.59
2017-02-08,2017-02-08,26.48
2017-02-09,2017-02-09,26.8
2017-02-10,2017-02-10,26.7
2017-02-13,2017-02-13,26.73
2017-02-14,2017-02-14,27.24
2017-02-15,2017-02-15,27.36
2017-02-16,2017-02-16,27.71
2017-02-17,2017-02-17,27.65
2017-02-21,2017-02-21,27.73
2017-02-22,2017-02-22,27.74
2017-02-23,2017-02-23,27.56
2017-02-24,2017-02-24,27.73
2017-02-27,2017-02-27,27.65
2017-02-28,2017-02-28,27.61
2017-03-01,2017-03-01,28.2
2017-03-02,2017-03-02,27.88
2017-03-03,2017-03-03,27.88
2017-03-06,2017-03-06,27.72
2017-03-07,2017-03-07,27.72
2017-03-08,2017-03-08,27.62
2017-03-09,2017-03-09,27.57
2017-03-10,2017-03-10,27.56
2017-03-13,2017-03-13,27.71
2017-03-14,2017-03-14,26.85
2017-03-15,2017-03-15,27.23
2017-03-16,2017-03-16,27.28
2017-03-17,2017-03-17,27.24
2017-03-20,2017-03-20,27.3
2017-03-21,2017-03-21,26.87
2017-03-22,2017-03-22,27.35
2017-03-23,2017-03-23,27.34
2017-03-24,2017-03-24,27.41
2017-03-27,2017-03-27,27.41
2017-03-28,2017-03-28,27.55
2017-03-29,2017-03-29,27.48
2017-03-30,2017-03-30,27.56
2017-03-31,2017-03-31,27.0
2017-04-03,2017-04-03,26.84
2017-04-04,2017-04-04,26.79
2017-04-05,2017-04-05,26.7
2017-04-06,2017-04-06,26.78
2017-04-07,2017-04-07,26.81
2017-04-10,2017-04-10,26.79
2017-04-11,2017-04-11,26.85
2017-04-12,2017-04-12,26.48
2017-04-13,2017-04-13,26.32
2017-04-17,2017-04-17,26.54
2017-04-18,2017-04-18,26.89
2017-04-19,2017-04-19,26.86
2017-04-20,2017-04-20,27.11
2017-04-21,2017-04-21,27.02
2017-04-24,2017-04-24,27.52
2017-04-25,2017-04-25,28.54
2017-04-26,2017-04-26,28.39
2017-04-27,2017-04-27,29.02
2017-04-28,2017-04-28,28.85
2017-05-01,2017-05-01,29.11
2017-05-02,2017-05-02,29.02
2017-05-03,2017-05-03,28.76
2017-05-04,2017-05-04,28.84
2017-05-05,2017-05-05,28.91
2017-05-08,2017-05-08,29.12
2017-05-09,2017-05-09,29.08
2017-05-10,2017-05-10,29.11
2017-05-11,2017-05-11,28.8
2017-05-12,2017-05-12,29.06
2017-05-15,2017-05-15,29.33
2017-05-16,2017-05-16,29.6
2017-05-17,2017-05-17,28.64
2017-05-18,2017-05-18,28.77
2017-05-19,2017-05-19,29.05
2017-05-22,2017-05-22,29.31
2017-05-23,2017-05-23,29.18
2017-05-24,2017-05-24,29.17
2017-05-25,2017-05-25,29.57
2017-05-26,2017-05-26,29.3
2017-05-30,2017-05-30,29.32
2017-05-31,2017-05-31,29.1
2017-06-01,2017-06-01,29.67
2017-06-02,2017-06-02,29.69
2017-06-05,2017-06-05,29.54
2017-06-06,2017-06-06,29.57
2017-06-07,2017-06-07,29.49
2017-06-08,2017-06-08,29.3
2017-06-09,2017-06-09,28.95
2017-06-12,2017-06-12,29.06
2017-06-13,2017-06-13,29.4
2017-06-14,2017-06-14,29.25
2017-06-15,2017-06-15,29.39
2017-06-16,2017-06-16,29.41
2017-06-19,2017-06-19,29.88
2017-06-20,2017-06-20,29.67
2017-06-21,2017-06-21,29.76
2017-06-22,2017-06-22,29.71
2017-06-23,2017-06-23,29.99
2017-06-26,2017-06-26,30.23
2017-06-27,2017-06-27,29.99
2017-06-28,2017-06-28,30.5
2017-06-29,2017-06-29,30.37
2017-06-30,2017-06-30,30.05
2017-07-03,2017-07-03,30.13
2017-07-05,2017-07-05,30.49
2017-07-06,2017-07-06,29.81
2017-07-07,2017-07-07,30.28
2017-07-10,2017-07-10,30.54
