DATE,DATE,CLOSE
2016-11-01,2016-11-01,805.48
2016-11-02,2016-11-02,788.42
2016-11-03,2016-11-03,782.19
2016-11-04,2016-11-04,781.1
2016-11-07,2016-11-07,802.03
2016-11-08,2016-11-08,811.98
2016-11-09,2016-11-09,805.59
2016-11-10,2016-11-10,780.29
2016-11-11,2016-11-11,771.75
2016-11-14,2016-11-14,753.22
2016-11-15,2016-11-15,775.16
2016-11-16,2016-11-16,779.98
2016-11-17,2016-11-17,786.16
2016-11-18,2016-11-18,775.97
2016-11-21,2016-11-21,784.8
2016-11-22,2016-11-22,785.0
2016-11-23,2016-11-23,779.0
2016-11-25,2016-11-25,780.23
2016-11-28,2016-11-28,785.79
2016-11-29,2016-11-29,789.44
2016-11-30,2016-11-30,775.88
2016-12-01,2016-12-01,764.33
2016-12-02,2016-12-02,764.46
2016-12-05,2016-12-05,778.22
2016-12-06,2016-12-06,776.18
2016-12-07,2016-12-07,791.47
2016-12-08,2016-12-08,795.17
2016-12-09,2016-12-09,809.45
2016-12-12,2016-12-12,807.9
2016-12-13,2016-12-13,815.34
2016-12-14,2016-12-14,817.89
2016-12-15,2016-12-15,815.65
2016-12-16,2016-12-16,809.84
2016-12-19,2016-12-19,812.5
2016-12-20,2016-12-20,815.2
2016-12-21,2016-12-21,812.2
2016-12-22,2016-12-22,809.68
2016-12-23,2016-12-23,807.8
2016-12-27,2016-12-27,809.93
2016-12-28,2016-12-28,804.57
2016-12-29,2016-12-29,802.88
2016-12-30,2016-12-30,792.45
2017-01-03,2017-01-03,808.01
2017-01-04,2017-01-04,807.77
2017-01-05,2017-01-05,813.02
2017-01-06,2017-01-06,825.21
2017-01-09,2017-01-09,827.18
2017-01-10,2017-01-10,826.01
2017-01-11,2017-01-11,829.86
2017-01-12,2017-01-12,829.53
2017-01-13,2017-01-13,830.94
2017-01-17,2017-01-17,827.46
2017-01-18,2017-01-18,829.02
2017-01-19,2017-01-19,824.37
2017-01-20,2017-01-20,828.17
2017-01-23,2017-01-23,844.43
2017-01-24,2017-01-24,849.53
2017-01-25,2017-01-25,858.45
2017-01-26,2017-01-26,856.98
2017-01-27,2017-01-27,845.03
2017-01-30,2017-01-30,823.83
2017-01-31,2017-01-31,820.19
2017-02-01,2017-02-01,815.24
2017-02-02,2017-02-02,818.26
2017-02-03,2017-02-03,820.13
2017-02-06,2017-02-06,821.62
2017-02-07,2017-02-07,829.23
2017-02-08,2017-02-08,829.88
2017-02-09,2017-02-09,830.06
2017-02-10,2017-02-10,834.85
2017-02-13,2017-02-13,838.96
2017-02-14,2017-02-14,840.03
2017-02-15,2017-02-15,837.32
2017-02-16,2017-02-16,842.17
2017-02-17,2017-02-17,846.55
2017-02-21,2017-02-21,849.27
2017-02-22,2017-02-22,851.36
2017-02-23,2017-02-23,851.0
2017-02-24,2017-02-24,847.81
2017-02-27,2017-02-27,849.67
2017-02-28,2017-02-28,844.93
2017-03-01,2017-03-01,856.75
2017-03-02,2017-03-02,849.85
2017-03-03,2017-03-03,849.08
2017-03-06,2017-03-06,847.27
2017-03-07,2017-03-07,851.15
2017-03-08,2017-03-08,853.64
2017-03-09,2017-03-09,857.84
2017-03-10,2017-03-10,861.405
2017-03-13,2017-03-13,864.58
2017-03-14,2017-03-14,865.91
2017-03-15,2017-03-15,868.39
2017-03-16,2017-03-16,870.0
2017-03-17,2017-03-17,872.37
2017-03-20,2017-03-20,867.91
2017-03-21,2017-03-21,850.14
2017-03-22,2017-03-22,849.8
2017-03-23,2017-03-23,839.65
2017-03-24,2017-03-24,835.14
2017-03-27,2017-03-27,838.51
2017-03-28,2017-03-28,840.63
2017-03-29,2017-03-29,849.87
2017-03-30,2017-03-30,849.48
2017-03-31,2017-03-31,847.8
2017-04-03,2017-04-03,856.75
2017-04-04,2017-04-04,852.57
2017-04-05,2017-04-05,848.91
2017-04-06,2017-04-06,845.095
2017-04-07,2017-04-07,842.1
2017-04-10,2017-04-10,841.7
2017-04-11,2017-04-11,839.88
2017-04-12,2017-04-12,841.46
2017-04-13,2017-04-13,840.18
2017-04-17,2017-04-17,855.13
2017-04-18,2017-04-18,853.99
2017-04-19,2017-04-19,856.51
2017-04-20,2017-04-20,860.08
2017-04-21,2017-04-21,858.95
2017-04-24,2017-04-24,878.93
2017-04-25,2017-04-25,888.84
2017-04-26,2017-04-26,889.14
2017-04-27,2017-04-27,891.44
2017-04-28,2017-04-28,924.52
2017-05-01,2017-05-01,932.82
2017-05-02,2017-05-02,937.09
2017-05-03,2017-05-03,948.45
2017-05-04,2017-05-04,954.72
2017-05-05,2017-05-05,950.28
2017-05-08,2017-05-08,958.69
2017-05-09,2017-05-09,956.71
2017-05-10,2017-05-10,954.84
2017-05-11,2017-05-11,955.89
2017-05-12,2017-05-12,955.14
2017-05-15,2017-05-15,959.22
2017-05-16,2017-05-16,964.61
2017-05-17,2017-05-17,942.17
2017-05-18,2017-05-18,950.5
