DATE,DATE,CLOSE
2016-11-01,2016-11-01,89.0
2016-11-02,2016-11-02,88.44
2016-11-03,2016-11-03,87.91
2016-11-04,2016-11-04,87.67
2016-11-07,2016-11-07,88.63
2016-11-08,2016-11-08,88.71
2016-11-09,2016-11-09,90.18
2016-11-10,2016-11-10,93.5
2016-11-11,2016-11-11,94.62
2016-11-14,2016-11-14,96.15
2016-11-15,2016-11-15,96.08
2016-11-16,2016-11-16,95.35
2016-11-17,2016-11-17,94.6
2016-11-18,2016-11-18,94.55
2016-11-21,2016-11-21,95.96
2016-11-22,2016-11-22,97.17
2016-11-23,2016-11-23,97.31
2016-11-25,2016-11-25,97.9
2016-11-28,2016-11-28,97.05
2016-11-29,2016-11-29,96.55
2016-11-30,2016-11-30,96.23
2016-12-01,2016-12-01,96.22
2016-12-02,2016-12-02,95.75
2016-12-05,2016-12-05,97.35
2016-12-06,2016-12-06,97.49
2016-12-07,2016-12-07,99.81
2016-12-08,2016-12-08,98.85
2016-12-09,2016-12-09,98.63
2016-12-12,2016-12-12,98.21
2016-12-13,2016-12-13,99.82
2016-12-14,2016-12-14,97.92
2016-12-15,2016-12-15,98.15
2016-12-16,2016-12-16,97.98
2016-12-19,2016-12-19,98.56
2016-12-20,2016-12-20,98.72
2016-12-21,2016-12-21,97.83
2016-12-22,2016-12-22,96.57
2016-12-23,2016-12-23,96.9
2016-12-27,2016-12-27,97.58
2016-12-28,2016-12-28,96.37
2016-12-29,2016-12-29,96.45
2016-12-30,2016-12-30,95.54
2017-01-03,2017-01-03,95.63
2017-01-04,2017-01-04,97.12
2017-01-05,2017-01-05,96.67
2017-01-06,2017-01-06,96.16
2017-01-09,2017-01-09,96.05
2017-01-10,2017-01-10,97.28
2017-01-11,2017-01-11,97.48
2017-01-12,2017-01-12,98.09
2017-01-13,2017-01-13,98.57
2017-01-17,2017-01-17,97.56
2017-01-18,2017-01-18,99.29
2017-01-19,2017-01-19,99.11
2017-01-20,2017-01-20,99.74
2017-01-23,2017-01-23,96.25
2017-01-24,2017-01-24,96.92
2017-01-25,2017-01-25,97.81
2017-01-26,2017-01-26,97.14
2017-01-27,2017-01-27,96.67
2017-01-30,2017-01-30,97.08
2017-01-31,2017-01-31,96.81
2017-02-01,2017-02-01,96.34
2017-02-02,2017-02-02,96.62
2017-02-03,2017-02-03,97.14
2017-02-06,2017-02-06,97.21
2017-02-07,2017-02-07,96.97
2017-02-08,2017-02-08,99.04
2017-02-09,2017-02-09,99.67
2017-02-10,2017-02-10,99.78
2017-02-13,2017-02-13,99.89
2017-02-14,2017-02-14,99.66
2017-02-15,2017-02-15,100.12
2017-02-16,2017-02-16,99.23
2017-02-17,2017-02-17,100.67
2017-02-21,2017-02-21,97.67
2017-02-22,2017-02-22,95.99
2017-02-23,2017-02-23,95.0
2017-02-24,2017-02-24,96.25
2017-02-27,2017-02-27,96.18
2017-02-28,2017-02-28,95.71
2017-03-01,2017-03-01,96.57
2017-03-02,2017-03-02,95.87
2017-03-03,2017-03-03,94.7
2017-03-06,2017-03-06,94.18
2017-03-07,2017-03-07,93.52
2017-03-08,2017-03-08,93.15
2017-03-09,2017-03-09,92.95
2017-03-10,2017-03-10,93.21
2017-03-13,2017-03-13,94.14
2017-03-14,2017-03-14,94.06
2017-03-15,2017-03-15,93.96
2017-03-16,2017-03-16,94.27
2017-03-17,2017-03-17,94.9
2017-03-20,2017-03-20,94.33
2017-03-21,2017-03-21,93.3
2017-03-22,2017-03-22,93.47
2017-03-23,2017-03-23,93.45
2017-03-24,2017-03-24,92.84
2017-03-27,2017-03-27,92.76
2017-03-28,2017-03-28,93.1
2017-03-29,2017-03-29,92.67
2017-03-30,2017-03-30,92.34
2017-03-31,2017-03-31,92.41
2017-04-03,2017-04-03,90.34
2017-04-04,2017-04-04,90.03
2017-04-05,2017-04-05,90.23
2017-04-06,2017-04-06,90.32
2017-04-07,2017-04-07,89.86
2017-04-10,2017-04-10,89.79
2017-04-11,2017-04-11,90.61
2017-04-12,2017-04-12,89.42
2017-04-13,2017-04-13,88.94
2017-04-17,2017-04-17,90.1
2017-04-18,2017-04-18,90.14
2017-04-19,2017-04-19,91.91
2017-04-20,2017-04-20,92.9
2017-04-21,2017-04-21,93.11
2017-04-24,2017-04-24,93.6
2017-04-25,2017-04-25,93.29
2017-04-26,2017-04-26,93.13
2017-04-27,2017-04-27,93.33
2017-04-28,2017-04-28,92.02
2017-05-01,2017-05-01,91.34
2017-05-02,2017-05-02,92.07
2017-05-03,2017-05-03,92.06
2017-05-04,2017-05-04,92.25
2017-05-05,2017-05-05,92.73
2017-05-08,2017-05-08,92.54
2017-05-09,2017-05-09,92.83
2017-05-10,2017-05-10,92.79
2017-05-11,2017-05-11,91.85
2017-05-12,2017-05-12,91.44
2017-05-15,2017-05-15,91.86
2017-05-16,2017-05-16,91.54
2017-05-17,2017-05-17,91.13
2017-05-18,2017-05-18,91.65
2017-05-19,2017-05-19,92.12
2017-05-22,2017-05-22,92.46
2017-05-23,2017-05-23,90.65
2017-05-24,2017-05-24,90.17
2017-05-25,2017-05-25,91.36
2017-05-26,2017-05-26,93.28
2017-05-30,2017-05-30,92.54
2017-05-31,2017-05-31,92.62
2017-06-01,2017-06-01,94.11
2017-06-02,2017-06-02,94.28
2017-06-05,2017-06-05,93.78
2017-06-06,2017-06-06,92.12
2017-06-07,2017-06-07,91.84
2017-06-08,2017-06-08,90.89
2017-06-09,2017-06-09,91.61
2017-06-12,2017-06-12,92.97
2017-06-13,2017-06-13,93.86
2017-06-14,2017-06-14,94.26
2017-06-15,2017-06-15,94.84
2017-06-16,2017-06-16,95.61
2017-06-19,2017-06-19,93.49
2017-06-20,2017-06-20,91.27
2017-06-21,2017-06-21,89.89
2017-06-22,2017-06-22,89.67
2017-06-23,2017-06-23,90.74
2017-06-26,2017-06-26,91.16
2017-06-27,2017-06-27,90.85
2017-06-28,2017-06-28,91.94
2017-06-29,2017-06-29,91.12
2017-06-30,2017-06-30,92.76
2017-07-03,2017-07-03,93.66
2017-07-05,2017-07-05,89.16
2017-07-06,2017-07-06,86.74
2017-07-07,2017-07-07,86.86
2017-07-10,2017-07-10,85.1
2017-07-11,2017-07-11,84.27
2017-07-12,2017-07-12,84.0
2017-07-13,2017-07-13,83.7
2017-07-14,2017-07-14,83.35
2017-07-17,2017-07-17,84.07
2017-07-18,2017-07-18,83.01
2017-07-19,2017-07-19,82.96
2017-07-20,2017-07-20,81.69
2017-07-21,2017-07-21,82.71
2017-07-24,2017-07-24,81.81
2017-07-25,2017-07-25,83.32
2017-07-26,2017-07-26,82.81
2017-07-27,2017-07-27,84.79
2017-07-28,2017-07-28,83.93
2017-07-31,2017-07-31,84.93
2017-08-01,2017-08-01,84.96
2017-08-02,2017-08-02,84.43
2017-08-03,2017-08-03,84.11
2017-08-04,2017-08-04,83.88
2017-08-07,2017-08-07,84.15
2017-08-08,2017-08-08,83.45
2017-08-09,2017-08-09,83.48
2017-08-10,2017-08-10,82.29
2017-08-11,2017-08-11,82.81
2017-08-14,2017-08-14,83.77
2017-08-15,2017-08-15,80.48
2017-08-16,2017-08-16,82.25
2017-08-17,2017-08-17,81.49
2017-08-18,2017-08-18,81.6
2017-08-21,2017-08-21,82.67
2017-08-22,2017-08-22,82.64
2017-08-23,2017-08-23,82.57
2017-08-24,2017-08-24,82.48
2017-08-25,2017-08-25,83.3
2017-08-28,2017-08-28,82.95
2017-08-29,2017-08-29,81.83
2017-08-30,2017-08-30,82.9
2017-08-31,2017-08-31,82.83
2017-09-01,2017-09-01,83.84
2017-09-05,2017-09-05,84.31
2017-09-06,2017-09-06,85.31
2017-09-07,2017-09-07,84.44
2017-09-08,2017-09-08,85.35
2017-09-11,2017-09-11,85.82
2017-09-12,2017-09-12,86.44
2017-09-13,2017-09-13,86.94
2017-09-14,2017-09-14,86.39
2017-09-15,2017-09-15,86.65
2017-09-18,2017-09-18,86.88
2017-09-19,2017-09-19,85.86
2017-09-20,2017-09-20,86.72
2017-09-21,2017-09-21,86.35
2017-09-22,2017-09-22,87.98
2017-09-25,2017-09-25,93.22
2017-09-26,2017-09-26,94.16
2017-09-27,2017-09-27,94.46
2017-09-28,2017-09-28,95.19
2017-09-29,2017-09-29,95.65
2017-10-02,2017-10-02,96.37
2017-10-03,2017-10-03,95.95
2017-10-04,2017-10-04,95.49
2017-10-05,2017-10-05,95.79
2017-10-06,2017-10-06,95.55
2017-10-09,2017-10-09,95.18
2017-10-10,2017-10-10,95.52
2017-10-11,2017-10-11,95.5
2017-10-12,2017-10-12,95.86
2017-10-13,2017-10-13,95.86
2017-10-16,2017-10-16,96.01
2017-10-17,2017-10-17,96.86
2017-10-18,2017-10-18,98.04
2017-10-19,2017-10-19,89.71
2017-10-20,2017-10-20,88.63
2017-10-23,2017-10-23,89.27
2017-10-24,2017-10-24,88.91
2017-10-25,2017-10-25,88.46
2017-10-26,2017-10-26,89.4
2017-10-27,2017-10-27,88.35
2017-10-30,2017-10-30,88.04
2017-10-31,2017-10-31,88.23
2017-11-01,2017-11-01,87.43
2017-11-02,2017-11-02,88.53
2017-11-03,2017-11-03,87.8
2017-11-06,2017-11-06,87.26
2017-11-07,2017-11-07,86.43
2017-11-08,2017-11-08,86.02
2017-11-09,2017-11-09,85.56
2017-11-10,2017-11-10,85.45
2017-11-13,2017-11-13,85.29
2017-11-14,2017-11-14,86.01
2017-11-15,2017-11-15,85.0
2017-11-16,2017-11-16,85.99
2017-11-17,2017-11-17,86.13
2017-11-20,2017-11-20,86.26
2017-11-21,2017-11-21,85.95
2017-11-22,2017-11-22,86.91
2017-11-24,2017-11-24,86.84
2017-11-27,2017-11-27,87.62
2017-11-28,2017-11-28,89.34
2017-11-29,2017-11-29,91.5
2017-11-30,2017-11-30,92.97
2017-12-01,2017-12-01,92.86
2017-12-04,2017-12-04,93.96
2017-12-05,2017-12-05,94.16
2017-12-06,2017-12-06,93.72
2017-12-07,2017-12-07,93.8
2017-12-08,2017-12-08,94.85
2017-12-11,2017-12-11,93.49
2017-12-12,2017-12-12,92.73
2017-12-13,2017-12-13,93.26
2017-12-14,2017-12-14,91.48
2017-12-15,2017-12-15,91.98
2017-12-18,2017-12-18,93.44
2017-12-19,2017-12-19,93.01
2017-12-20,2017-12-20,93.22
2017-12-21,2017-12-21,94.53
2017-12-22,2017-12-22,95.11
2017-12-26,2017-12-26,95.39
2017-12-27,2017-12-27,95.67
2017-12-28,2017-12-28,95.48
2017-12-29,2017-12-29,95.01
2018-01-02,2018-01-02,96.58
2018-01-03,2018-01-03,97.3
2018-01-04,2018-01-04,97.41
2018-01-05,2018-01-05,97.5
2018-01-08,2018-01-08,97.98
2018-01-09,2018-01-09,98.95
2018-01-10,2018-01-10,99.4
2018-01-11,2018-01-11,101.9
2018-01-12,2018-01-12,103.28
2018-01-16,2018-01-16,102.8
2018-01-17,2018-01-17,103.48
2018-01-18,2018-01-18,102.93
2018-01-19,2018-01-19,104.14
2018-01-22,2018-01-22,104.13
2018-01-23,2018-01-23,104.73
2018-01-24,2018-01-24,106.63
2018-01-25,2018-01-25,106.31
2018-01-26,2018-01-26,107.58
2018-01-29,2018-01-29,107.01
2018-01-30,2018-01-30,105.19
2018-01-31,2018-01-31,104.07
2018-02-01,2018-02-01,103.21
2018-02-02,2018-02-02,102.19
2018-02-05,2018-02-05,99.67
2018-02-06,2018-02-06,100.06
2018-02-07,2018-02-07,99.27
2018-02-08,2018-02-08,96.31
2018-02-09,2018-02-09,97.05
2018-02-12,2018-02-12,97.72
2018-02-13,2018-02-13,96.73
2018-02-14,2018-02-14,98.95
2018-02-15,2018-02-15,100.91
2018-02-16,2018-02-16,99.83
2018-02-20,2018-02-20,94.67
2018-02-21,2018-02-21,93.34
2018-02-22,2018-02-22,92.93
2018-02-23,2018-02-23,94.53
2018-02-26,2018-02-26,94.87
2018-02-27,2018-02-27,92.56
2018-02-28,2018-02-28,91.84
2018-03-01,2018-03-01,91.41
2018-03-02,2018-03-02,90.86
2018-03-05,2018-03-05,91.78
2018-03-06,2018-03-06,92.53
2018-03-07,2018-03-07,91.66
2018-03-08,2018-03-08,90.52
2018-03-09,2018-03-09,92.62
2018-03-12,2018-03-12,92.37
2018-03-13,2018-03-13,91.73
2018-03-14,2018-03-14,90.38
2018-03-15,2018-03-15,90.25
2018-03-16,2018-03-16,90.78
2018-03-19,2018-03-19,90.49
2018-03-20,2018-03-20,90.78
2018-03-21,2018-03-21,90.48
2018-03-22,2018-03-22,87.98
2018-03-23,2018-03-23,86.52
2018-03-26,2018-03-26,88.61
2018-03-27,2018-03-27,88.6
2018-03-28,2018-03-28,88.68
2018-03-29,2018-03-29,89.84
2018-04-02,2018-04-02,86.76
2018-04-03,2018-04-03,88.13
2018-04-04,2018-04-04,89.73
2018-04-05,2018-04-05,90.66
2018-04-06,2018-04-06,89.26
2018-04-09,2018-04-09,88.81
2018-04-10,2018-04-10,90.37
2018-04-11,2018-04-11,89.66
2018-04-12,2018-04-12,90.13
2018-04-13,2018-04-13,89.52
2018-04-16,2018-04-16,90.66
2018-04-17,2018-04-17,90.74
2018-04-18,2018-04-18,91.36
2018-04-19,2018-04-19,88.14
2018-04-20,2018-04-20,87.75
2018-04-23,2018-04-23,88.79
2018-04-24,2018-04-24,88.4
2018-04-25,2018-04-25,88.82
2018-04-26,2018-04-26,88.99
2018-04-27,2018-04-27,90.93
2018-04-30,2018-04-30,88.32
2018-05-01,2018-05-01,88.68
