DATE,DATE,CLOSE
2016-11-01,2016-11-01,71.75
2016-11-02,2016-11-02,70.63
2016-11-03,2016-11-03,70.48
2016-11-04,2016-11-04,70.81
2016-11-07,2016-11-07,71.82
2016-11-08,2016-11-08,72.63
2016-11-09,2016-11-09,72.81
2016-11-10,2016-11-10,70.93
2016-11-11,2016-11-11,69.49
2016-11-14,2016-11-14,66.57
2016-11-15,2016-11-15,68.05
2016-11-16,2016-11-16,69.94
2016-11-17,2016-11-17,69.76
2016-11-18,2016-11-18,70.71
2016-11-21,2016-11-21,71.99
2016-11-22,2016-11-22,71.72
2016-11-23,2016-11-23,72.09
2016-11-25,2016-11-25,72.09
2016-11-28,2016-11-28,71.54
2016-11-29,2016-11-29,70.59
2016-11-30,2016-11-30,68.55
2016-12-01,2016-12-01,66.42
2016-12-02,2016-12-02,68.13
2016-12-05,2016-12-05,69.73
2016-12-06,2016-12-06,69.9
2016-12-07,2016-12-07,70.87
2016-12-08,2016-12-08,71.78
2016-12-09,2016-12-09,72.19
2016-12-12,2016-12-12,71.24
2016-12-13,2016-12-13,71.85
2016-12-14,2016-12-14,71.46
2016-12-15,2016-12-15,70.63
2016-12-16,2016-12-16,70.29
2016-12-19,2016-12-19,70.78
2016-12-20,2016-12-20,71.42
2016-12-21,2016-12-21,70.87
2016-12-22,2016-12-22,70.03
2016-12-23,2016-12-23,70.3
2016-12-27,2016-12-27,70.73
2016-12-28,2016-12-28,69.67
2016-12-29,2016-12-29,69.82
2016-12-30,2016-12-30,69.41
2017-01-03,2017-01-03,70.5
2017-01-04,2017-01-04,73.13
2017-01-05,2017-01-05,73.42
2017-01-06,2017-01-06,74.45
2017-01-09,2017-01-09,79.79
2017-01-10,2017-01-10,77.88
2017-01-11,2017-01-11,78.23
2017-01-12,2017-01-12,77.6
2017-01-13,2017-01-13,77.74
2017-01-17,2017-01-17,78.04
2017-01-18,2017-01-18,78.62
2017-01-19,2017-01-19,79.39
2017-01-20,2017-01-20,79.08
2017-01-23,2017-01-23,78.39
2017-01-24,2017-01-24,79.03
2017-01-25,2017-01-25,78.28
2017-01-26,2017-01-26,76.8
2017-01-27,2017-01-27,77.44
2017-01-30,2017-01-30,77.81
2017-01-31,2017-01-31,77.28
2017-02-01,2017-02-01,77.05
2017-02-02,2017-02-02,76.72
2017-02-03,2017-02-03,78.6
2017-02-06,2017-02-06,78.18
2017-02-07,2017-02-07,78.7
2017-02-08,2017-02-08,79.07
2017-02-09,2017-02-09,78.62
2017-02-10,2017-02-10,78.47
2017-02-13,2017-02-13,78.22
2017-02-14,2017-02-14,79.21
2017-02-15,2017-02-15,78.96
2017-02-16,2017-02-16,77.67
2017-02-17,2017-02-17,77.95
2017-02-21,2017-02-21,78.85
2017-02-22,2017-02-22,78.7
2017-02-23,2017-02-23,78.21
2017-02-24,2017-02-24,78.97
2017-02-27,2017-02-27,79.9
2017-02-28,2017-02-28,79.69
2017-03-01,2017-03-01,79.45
2017-03-02,2017-03-02,78.27
2017-03-03,2017-03-03,80.61
2017-03-06,2017-03-06,80.21
2017-03-07,2017-03-07,80.89
2017-03-08,2017-03-08,80.27
2017-03-09,2017-03-09,79.67
2017-03-10,2017-03-10,79.14
2017-03-13,2017-03-13,79.67
2017-03-14,2017-03-14,79.07
2017-03-15,2017-03-15,78.73
2017-03-16,2017-03-16,79.7
2017-03-17,2017-03-17,80.03
2017-03-20,2017-03-20,79.38
2017-03-21,2017-03-21,78.25
2017-03-22,2017-03-22,79.07
2017-03-23,2017-03-23,78.94
2017-03-24,2017-03-24,78.42
2017-03-27,2017-03-27,78.12
2017-03-28,2017-03-28,78.75
2017-03-29,2017-03-29,78.83
2017-03-30,2017-03-30,80.7
2017-03-31,2017-03-31,80.68
2017-04-03,2017-04-03,79.33
2017-04-04,2017-04-04,78.35
2017-04-05,2017-04-05,77.75
2017-04-06,2017-04-06,78.09
2017-04-07,2017-04-07,77.93
2017-04-10,2017-04-10,77.5
2017-04-11,2017-04-11,77.69
2017-04-12,2017-04-12,77.51
2017-04-13,2017-04-13,77.54
2017-04-17,2017-04-17,78.58
2017-04-18,2017-04-18,79.0
2017-04-19,2017-04-19,78.95
2017-04-20,2017-04-20,80.99
2017-04-21,2017-04-21,80.86
2017-04-24,2017-04-24,81.39
2017-04-25,2017-04-25,81.98
2017-04-26,2017-04-26,81.42
2017-04-27,2017-04-27,81.97
2017-04-28,2017-04-28,81.76
2017-05-01,2017-05-01,81.5
2017-05-02,2017-05-02,81.72
2017-05-03,2017-05-03,81.1
2017-05-04,2017-05-04,86.14
2017-05-05,2017-05-05,86.07
2017-05-08,2017-05-08,86.54
2017-05-09,2017-05-09,87.27
2017-05-10,2017-05-10,87.79
2017-05-11,2017-05-11,88.25
2017-05-12,2017-05-12,87.74
2017-05-15,2017-05-15,89.44
2017-05-16,2017-05-16,89.36
2017-05-17,2017-05-17,88.1
2017-05-18,2017-05-18,88.77
2017-05-19,2017-05-19,90.04
2017-05-22,2017-05-22,91.73
2017-05-23,2017-05-23,91.21
2017-05-24,2017-05-24,92.51
2017-05-25,2017-05-25,92.37
2017-05-26,2017-05-26,91.85
2017-05-30,2017-05-30,91.98
2017-05-31,2017-05-31,91.61
2017-06-01,2017-06-01,93.31
2017-06-02,2017-06-02,92.39
2017-06-05,2017-06-05,91.72
2017-06-06,2017-06-06,92.24
