DATE,DATE,CLOSE
2016-11-01,2016-11-01,46.23
2016-11-02,2016-11-02,45.93
2016-11-03,2016-11-03,46.58
2016-11-04,2016-11-04,46.38
2016-11-07,2016-11-07,47.44
2016-11-08,2016-11-08,47.12
2016-11-09,2016-11-09,47.82
2016-11-10,2016-11-10,48.81
2016-11-11,2016-11-11,48.01
2016-11-14,2016-11-14,48.14
2016-11-15,2016-11-15,49.76
2016-11-16,2016-11-16,48.76
2016-11-17,2016-11-17,48.6
2016-11-18,2016-11-18,49.31
2016-11-21,2016-11-21,50.1
2016-11-22,2016-11-22,49.84
2016-11-23,2016-11-23,49.47
2016-11-25,2016-11-25,49.51
2016-11-28,2016-11-28,48.8
2016-11-29,2016-11-29,47.79
2016-11-30,2016-11-30,53.09
2016-12-01,2016-12-01,53.24
2016-12-02,2016-12-02,54.17
2016-12-05,2016-12-05,53.9
2016-12-06,2016-12-06,54.02
2016-12-07,2016-12-07,53.54
2016-12-08,2016-12-08,54.43
2016-12-09,2016-12-09,54.2
2016-12-12,2016-12-12,54.49
2016-12-13,2016-12-13,54.9
2016-12-14,2016-12-14,53.51
2016-12-15,2016-12-15,53.79
2016-12-16,2016-12-16,53.99
2016-12-19,2016-12-19,53.72
2016-12-20,2016-12-20,53.33
2016-12-21,2016-12-21,54.96
2016-12-22,2016-12-22,55.07
2016-12-23,2016-12-23,54.84
2016-12-27,2016-12-27,54.91
2016-12-28,2016-12-28,54.3
2016-12-29,2016-12-29,54.04
2016-12-30,2016-12-30,54.09
2017-01-03,2017-01-03,55.68
2017-01-04,2017-01-04,55.89
2017-01-05,2017-01-05,56.21
2017-01-06,2017-01-06,56.66
2017-01-09,2017-01-09,56.07
2017-01-10,2017-01-10,54.64
2017-01-11,2017-01-11,55.39
2017-01-12,2017-01-12,55.18
2017-01-13,2017-01-13,54.54
2017-01-17,2017-01-17,55.01
2017-01-18,2017-01-18,55.13
2017-01-19,2017-01-19,55.34
2017-01-20,2017-01-20,56.45
2017-01-23,2017-01-23,54.8
2017-01-24,2017-01-24,56.62
2017-01-25,2017-01-25,57.41
2017-01-26,2017-01-26,58.06
2017-01-27,2017-01-27,58.21
2017-01-30,2017-01-30,56.48
2017-01-31,2017-01-31,56.57
2017-02-01,2017-02-01,56.23
2017-02-02,2017-02-02,56.29
2017-02-03,2017-02-03,56.58
2017-02-06,2017-02-06,56.1
2017-02-07,2017-02-07,54.88
2017-02-08,2017-02-08,55.44
2017-02-09,2017-02-09,56.68
2017-02-10,2017-02-10,56.13
2017-02-13,2017-02-13,56.32
2017-02-14,2017-02-14,56.54
2017-02-15,2017-02-15,55.77
2017-02-16,2017-02-16,54.31
2017-02-17,2017-02-17,53.71
2017-02-21,2017-02-21,53.84
2017-02-22,2017-02-22,53.06
2017-02-23,2017-02-23,53.19
2017-02-24,2017-02-24,52.87
2017-02-27,2017-02-27,53.2
2017-02-28,2017-02-28,53.46
2017-03-01,2017-03-01,54.7
2017-03-02,2017-03-02,53.87
2017-03-03,2017-03-03,53.87
2017-03-06,2017-03-06,53.8
2017-03-07,2017-03-07,52.97
2017-03-08,2017-03-08,51.29
2017-03-09,2017-03-09,50.89
2017-03-10,2017-03-10,50.91
2017-03-13,2017-03-13,50.88
2017-03-14,2017-03-14,49.8
2017-03-15,2017-03-15,51.54
2017-03-16,2017-03-16,50.92
2017-03-17,2017-03-17,50.78
2017-03-20,2017-03-20,50.64
2017-03-21,2017-03-21,50.15
2017-03-22,2017-03-22,49.83
2017-03-23,2017-03-23,49.71
2017-03-24,2017-03-24,49.41
2017-03-27,2017-03-27,47.78
2017-03-28,2017-03-28,48.02
2017-03-29,2017-03-29,49.22
2017-03-30,2017-03-30,49.02
2017-03-31,2017-03-31,49.21
2017-04-03,2017-04-03,49.28
2017-04-04,2017-04-04,49.55
2017-04-05,2017-04-05,49.85
2017-04-06,2017-04-06,50.15
2017-04-07,2017-04-07,49.68
2017-04-10,2017-04-10,49.97
2017-04-11,2017-04-11,50.01
2017-04-12,2017-04-12,49.33
2017-04-13,2017-04-13,48.38
2017-04-17,2017-04-17,48.84
2017-04-18,2017-04-18,48.53
2017-04-19,2017-04-19,47.43
2017-04-20,2017-04-20,47.69
2017-04-21,2017-04-21,47.06
2017-04-24,2017-04-24,46.75
