DATE,DATE,CLOSE
2016-11-01,2016-11-01,10.56
2016-11-02,2016-11-02,10.33
2016-11-03,2016-11-03,10.25
2016-11-04,2016-11-04,10.16
2016-11-07,2016-11-07,10.45
2016-11-08,2016-11-08,10.25
2016-11-09,2016-11-09,10.91
2016-11-10,2016-11-10,11.6
2016-11-11,2016-11-11,11.7
2016-11-14,2016-11-14,11.96
2016-11-15,2016-11-15,11.96
2016-11-16,2016-11-16,11.93
2016-11-17,2016-11-17,12.23
2016-11-18,2016-11-18,12.5
2016-11-21,2016-11-21,12.44
2016-11-22,2016-11-22,12.52
2016-11-23,2016-11-23,12.61
2016-11-25,2016-11-25,12.56
2016-11-28,2016-11-28,12.26
2016-11-29,2016-11-29,12.28
2016-11-30,2016-11-30,12.46
2016-12-01,2016-12-01,13.03
2016-12-02,2016-12-02,12.94
2016-12-05,2016-12-05,13.03
2016-12-06,2016-12-06,13.22
2016-12-07,2016-12-07,13.21
2016-12-08,2016-12-08,13.46
2016-12-09,2016-12-09,13.51
2016-12-12,2016-12-12,13.3
2016-12-13,2016-12-13,13.25
2016-12-14,2016-12-14,13.1
2016-12-15,2016-12-15,13.34
2016-12-16,2016-12-16,13.02
2016-12-19,2016-12-19,13.09
2016-12-20,2016-12-20,13.36
2016-12-21,2016-12-21,13.33
2016-12-22,2016-12-22,13.33
2016-12-23,2016-12-23,13.42
2016-12-27,2016-12-27,13.44
2016-12-28,2016-12-28,13.25
2016-12-29,2016-12-29,13.08
2016-12-30,2016-12-30,13.22
2017-01-03,2017-01-03,13.32
2017-01-04,2017-01-04,13.48
2017-01-05,2017-01-05,13.26
2017-01-06,2017-01-06,13.29
2017-01-09,2017-01-09,13.32
2017-01-10,2017-01-10,13.33
2017-01-11,2017-01-11,13.44
2017-01-12,2017-01-12,13.32
2017-01-13,2017-01-13,13.47
2017-01-17,2017-01-17,12.95
2017-01-18,2017-01-18,13.15
2017-01-19,2017-01-19,13.01
2017-01-20,2017-01-20,13.12
2017-01-23,2017-01-23,13.06
2017-01-24,2017-01-24,13.25
2017-01-25,2017-01-25,14.02
2017-01-26,2017-01-26,14.01
2017-01-27,2017-01-27,13.78
2017-01-30,2017-01-30,13.62
2017-01-31,2017-01-31,13.53
2017-02-01,2017-02-01,13.5
2017-02-02,2017-02-02,13.24
2017-02-03,2017-02-03,13.61
2017-02-06,2017-02-06,13.53
2017-02-07,2017-02-07,13.48
2017-02-08,2017-02-08,13.4
2017-02-09,2017-02-09,13.55
2017-02-10,2017-02-10,13.62
2017-02-13,2017-02-13,13.81
2017-02-14,2017-02-14,14.12
2017-02-15,2017-02-15,14.22
2017-02-16,2017-02-16,14.17
2017-02-17,2017-02-17,14.13
2017-02-21,2017-02-21,14.19
2017-02-22,2017-02-22,14.19
2017-02-23,2017-02-23,14.18
2017-02-24,2017-02-24,14.18
2017-02-27,2017-02-27,14.21
2017-02-28,2017-02-28,14.14
2017-03-01,2017-03-01,14.66
2017-03-02,2017-03-02,14.29
2017-03-03,2017-03-03,14.4
2017-03-06,2017-03-06,14.31
2017-03-07,2017-03-07,14.24
2017-03-08,2017-03-08,14.18
2017-03-09,2017-03-09,14.21
2017-03-10,2017-03-10,14.19
2017-03-13,2017-03-13,14.21
2017-03-14,2017-03-14,14.08
2017-03-15,2017-03-15,13.93
2017-03-16,2017-03-16,13.92
2017-03-17,2017-03-17,13.73
2017-03-20,2017-03-20,13.52
2017-03-21,2017-03-21,12.7
2017-03-22,2017-03-22,12.78
2017-03-23,2017-03-23,13.02
2017-03-24,2017-03-24,13.11
2017-03-27,2017-03-27,13.02
2017-03-28,2017-03-28,13.22
2017-03-29,2017-03-29,13.22
2017-03-30,2017-03-30,13.59
2017-03-31,2017-03-31,13.39
2017-04-03,2017-04-03,13.35
2017-04-04,2017-04-04,13.31
2017-04-05,2017-04-05,13.07
2017-04-06,2017-04-06,13.2
2017-04-07,2017-04-07,13.12
2017-04-10,2017-04-10,13.0
2017-04-11,2017-04-11,13.0
2017-04-12,2017-04-12,12.86
2017-04-13,2017-04-13,12.59
2017-04-17,2017-04-17,12.91
2017-04-18,2017-04-18,12.8
2017-04-19,2017-04-19,12.59
2017-04-20,2017-04-20,12.72
2017-04-21,2017-04-21,12.6
2017-04-24,2017-04-24,12.99
2017-04-25,2017-04-25,13.04
2017-04-26,2017-04-26,13.12
2017-04-27,2017-04-27,12.99
2017-04-28,2017-04-28,12.86
2017-05-01,2017-05-01,13.09
2017-05-02,2017-05-02,12.95
2017-05-03,2017-05-03,13.14
2017-05-04,2017-05-04,13.05
2017-05-05,2017-05-05,12.99
2017-05-08,2017-05-08,13.05
2017-05-09,2017-05-09,12.93
2017-05-10,2017-05-10,12.9
2017-05-11,2017-05-11,12.79
2017-05-12,2017-05-12,12.76
2017-05-15,2017-05-15,12.95
2017-05-16,2017-05-16,13.04
2017-05-17,2017-05-17,12.29
2017-05-18,2017-05-18,12.5
2017-05-19,2017-05-19,12.57
2017-05-22,2017-05-22,12.64
2017-05-23,2017-05-23,12.89
2017-05-24,2017-05-24,12.82
2017-05-25,2017-05-25,12.87
2017-05-26,2017-05-26,12.86
2017-05-30,2017-05-30,12.74
2017-05-31,2017-05-31,12.54
2017-06-01,2017-06-01,12.72
2017-06-02,2017-06-02,12.58
2017-06-05,2017-06-05,12.57
2017-06-06,2017-06-06,12.45
