DATE,DATE,CLOSE
2016-11-01,2016-11-01,75.4
2016-11-02,2016-11-02,75.1
2016-11-03,2016-11-03,73.41
2016-11-04,2016-11-04,75.33
2016-11-07,2016-11-07,79.62
2016-11-08,2016-11-08,80.88
2016-11-09,2016-11-09,72.16
2016-11-10,2016-11-10,72.06
2016-11-11,2016-11-11,69.58
2016-11-14,2016-11-14,71.94
2016-11-15,2016-11-15,74.0
2016-11-16,2016-11-16,73.54
2016-11-17,2016-11-17,74.66
2016-11-18,2016-11-18,72.39
2016-11-21,2016-11-21,72.94
2016-11-22,2016-11-22,70.09
2016-11-23,2016-11-23,71.0
2016-11-25,2016-11-25,71.39
2016-11-28,2016-11-28,70.44
2016-11-29,2016-11-29,71.52
2016-11-30,2016-11-30,70.89
2016-12-01,2016-12-01,71.2
2016-12-02,2016-12-02,70.31
2016-12-05,2016-12-05,70.58
2016-12-06,2016-12-06,71.2
2016-12-07,2016-12-07,71.96
2016-12-08,2016-12-08,72.54
2016-12-09,2016-12-09,73.25
2016-12-12,2016-12-12,73.97
2016-12-13,2016-12-13,73.95
2016-12-14,2016-12-14,73.07
2016-12-15,2016-12-15,74.46
2016-12-16,2016-12-16,74.16
2016-12-19,2016-12-19,73.5
2016-12-20,2016-12-20,73.35
2016-12-21,2016-12-21,73.52
2016-12-22,2016-12-22,73.96
2016-12-23,2016-12-23,74.46
2016-12-27,2016-12-27,74.37
2016-12-28,2016-12-28,73.56
2016-12-29,2016-12-29,73.89
2016-12-30,2016-12-30,74.02
2017-01-03,2017-01-03,74.46
2017-01-04,2017-01-04,77.13
2017-01-05,2017-01-05,76.81
2017-01-06,2017-01-06,76.62
2017-01-09,2017-01-09,78.92
2017-01-10,2017-01-10,78.27
2017-01-11,2017-01-11,79.31
2017-01-12,2017-01-12,79.12
2017-01-13,2017-01-13,79.4
2017-01-17,2017-01-17,80.93
2017-01-18,2017-01-18,79.73
2017-01-19,2017-01-19,78.62
2017-01-20,2017-01-20,79.71
2017-01-23,2017-01-23,79.84
2017-01-24,2017-01-24,80.33
2017-01-25,2017-01-25,80.57
2017-01-26,2017-01-26,80.28
2017-01-27,2017-01-27,79.52
2017-01-30,2017-01-30,79.29
2017-01-31,2017-01-31,80.28
2017-02-01,2017-02-01,81.96
2017-02-02,2017-02-02,82.29
2017-02-03,2017-02-03,83.8
2017-02-06,2017-02-06,82.67
2017-02-07,2017-02-07,82.59
2017-02-08,2017-02-08,83.0
2017-02-09,2017-02-09,83.64
2017-02-10,2017-02-10,83.63
2017-02-13,2017-02-13,83.75
2017-02-14,2017-02-14,83.71
2017-02-15,2017-02-15,84.29
2017-02-16,2017-02-16,84.14
2017-02-17,2017-02-17,84.63
2017-02-21,2017-02-21,85.74
2017-02-22,2017-02-22,85.91
2017-02-23,2017-02-23,86.45
2017-02-24,2017-02-24,87.07
2017-02-27,2017-02-27,87.78
2017-02-28,2017-02-28,87.24
2017-03-01,2017-03-01,88.04
2017-03-02,2017-03-02,87.34
2017-03-03,2017-03-03,88.53
2017-03-06,2017-03-06,87.78
2017-03-07,2017-03-07,86.63
2017-03-08,2017-03-08,86.48
2017-03-09,2017-03-09,86.89
2017-03-10,2017-03-10,85.75
2017-03-13,2017-03-13,84.99
2017-03-14,2017-03-14,83.68
2017-03-15,2017-03-15,85.55
2017-03-16,2017-03-16,84.25
2017-03-17,2017-03-17,84.59
2017-03-20,2017-03-20,83.92
2017-03-21,2017-03-21,82.62
2017-03-22,2017-03-22,82.54
2017-03-23,2017-03-23,83.17
2017-03-24,2017-03-24,86.04
2017-03-27,2017-03-27,90.49
2017-03-28,2017-03-28,89.63
2017-03-29,2017-03-29,89.19
2017-03-30,2017-03-30,89.25
2017-03-31,2017-03-31,88.99
2017-04-03,2017-04-03,89.33
2017-04-04,2017-04-04,87.67
2017-04-05,2017-04-05,88.47
2017-04-06,2017-04-06,88.72
2017-04-07,2017-04-07,87.9
2017-04-10,2017-04-10,88.25
2017-04-11,2017-04-11,88.0
2017-04-12,2017-04-12,88.2
2017-04-13,2017-04-13,87.72
2017-04-17,2017-04-17,85.65
2017-04-18,2017-04-18,85.21
2017-04-19,2017-04-19,84.61
2017-04-20,2017-04-20,84.12
2017-04-21,2017-04-21,83.55
2017-04-24,2017-04-24,84.26
