DATE,DATE,CLOSE
2016-11-01,2016-11-01,119.89
2016-11-02,2016-11-02,120.29
2016-11-03,2016-11-03,120.18
2016-11-04,2016-11-04,120.91
2016-11-07,2016-11-07,123.75
2016-11-08,2016-11-08,124.25
2016-11-09,2016-11-09,126.02
2016-11-10,2016-11-10,129.03
2016-11-11,2016-11-11,129.85
2016-11-14,2016-11-14,127.67
2016-11-15,2016-11-15,124.4
2016-11-16,2016-11-16,125.33
2016-11-17,2016-11-17,128.93
2016-11-18,2016-11-18,128.33
2016-11-21,2016-11-21,128.22
2016-11-22,2016-11-22,130.98
2016-11-23,2016-11-23,131.21
2016-11-25,2016-11-25,131.57
2016-11-28,2016-11-28,130.64
2016-11-29,2016-11-29,129.62
2016-11-30,2016-11-30,129.4
2016-12-01,2016-12-01,129.47
2016-12-02,2016-12-02,129.87
2016-12-05,2016-12-05,129.68
2016-12-06,2016-12-06,128.74
2016-12-07,2016-12-07,132.46
2016-12-08,2016-12-08,132.53
2016-12-09,2016-12-09,133.39
2016-12-12,2016-12-12,134.58
2016-12-13,2016-12-13,136.54
2016-12-14,2016-12-14,135.98
2016-12-15,2016-12-15,135.84
2016-12-16,2016-12-16,135.11
2016-12-19,2016-12-19,135.44
2016-12-20,2016-12-20,137.11
2016-12-21,2016-12-21,136.83
2016-12-22,2016-12-22,135.43
2016-12-23,2016-12-23,135.05
2016-12-27,2016-12-27,135.26
2016-12-28,2016-12-28,135.07
2016-12-29,2016-12-29,135.1
2016-12-30,2016-12-30,134.08
2017-01-03,2017-01-03,134.31
2017-01-04,2017-01-04,135.5
2017-01-05,2017-01-05,133.9
2017-01-06,2017-01-06,133.53
2017-01-09,2017-01-09,134.31
2017-01-10,2017-01-10,136.1
2017-01-11,2017-01-11,135.7
2017-01-12,2017-01-12,135.07
2017-01-13,2017-01-13,135.04
2017-01-17,2017-01-17,135.93
2017-01-18,2017-01-18,136.16
2017-01-19,2017-01-19,135.39
2017-01-20,2017-01-20,135.6
2017-01-23,2017-01-23,138.07
2017-01-24,2017-01-24,138.06
2017-01-25,2017-01-25,137.48
2017-01-26,2017-01-26,138.46
2017-01-27,2017-01-27,138.33
2017-01-30,2017-01-30,138.47
2017-01-31,2017-01-31,137.58
2017-02-01,2017-02-01,137.44
2017-02-02,2017-02-02,136.95
2017-02-03,2017-02-03,137.98
2017-02-06,2017-02-06,136.49
2017-02-07,2017-02-07,136.65
2017-02-08,2017-02-08,137.88
2017-02-09,2017-02-09,138.71
2017-02-10,2017-02-10,139.85
2017-02-13,2017-02-13,139.87
2017-02-14,2017-02-14,141.36
2017-02-15,2017-02-15,142.19
2017-02-16,2017-02-16,141.54
2017-02-17,2017-02-17,143.0
2017-02-21,2017-02-21,145.02
2017-02-22,2017-02-22,145.25
2017-02-23,2017-02-23,144.71
2017-02-24,2017-02-24,145.95
2017-02-27,2017-02-27,145.3
2017-02-28,2017-02-28,144.91
2017-03-01,2017-03-01,146.68
2017-03-02,2017-03-02,147.95
2017-03-03,2017-03-03,147.81
2017-03-06,2017-03-06,147.13
2017-03-07,2017-03-07,146.02
2017-03-08,2017-03-08,146.92
2017-03-09,2017-03-09,146.62
2017-03-10,2017-03-10,146.85
2017-03-13,2017-03-13,147.43
2017-03-14,2017-03-14,147.16
2017-03-15,2017-03-15,147.95
2017-03-16,2017-03-16,148.73
2017-03-17,2017-03-17,149.6
2017-03-20,2017-03-20,147.8
2017-03-21,2017-03-21,146.61
2017-03-22,2017-03-22,147.36
2017-03-23,2017-03-23,147.99
2017-03-24,2017-03-24,147.71
2017-03-27,2017-03-27,146.87
2017-03-28,2017-03-28,147.2
2017-03-29,2017-03-29,147.04
2017-03-30,2017-03-30,146.95
2017-03-31,2017-03-31,146.83
2017-04-03,2017-04-03,146.62
2017-04-04,2017-04-04,146.34
2017-04-05,2017-04-05,146.64
2017-04-06,2017-04-06,147.24
2017-04-07,2017-04-07,147.13
2017-04-10,2017-04-10,148.21
2017-04-11,2017-04-11,148.2
2017-04-12,2017-04-12,146.54
2017-04-13,2017-04-13,145.91
2017-04-17,2017-04-17,147.31
2017-04-18,2017-04-18,147.76
2017-04-19,2017-04-19,147.22
2017-04-20,2017-04-20,148.72
2017-04-21,2017-04-21,150.0
2017-04-24,2017-04-24,151.89
2017-04-25,2017-04-25,153.03
2017-04-26,2017-04-26,154.22
2017-04-27,2017-04-27,156.12
2017-04-28,2017-04-28,156.1
2017-05-01,2017-05-01,154.21
2017-05-02,2017-05-02,154.95
2017-05-03,2017-05-03,155.0
2017-05-04,2017-05-04,154.86
2017-05-05,2017-05-05,155.73
2017-05-08,2017-05-08,156.89
2017-05-09,2017-05-09,157.68
2017-05-10,2017-05-10,158.13
2017-05-11,2017-05-11,156.2
2017-05-12,2017-05-12,156.92
2017-05-15,2017-05-15,157.33
2017-05-16,2017-05-16,158.26
2017-05-17,2017-05-17,156.09
2017-05-18,2017-05-18,155.7
2017-05-19,2017-05-19,156.3
2017-05-22,2017-05-22,155.96
2017-05-23,2017-05-23,154.83
2017-05-24,2017-05-24,155.0
2017-05-25,2017-05-25,156.46
2017-05-26,2017-05-26,154.9
2017-05-30,2017-05-30,153.88
2017-05-31,2017-05-31,153.51
2017-06-01,2017-06-01,155.15
2017-06-02,2017-06-02,155.35
2017-06-05,2017-06-05,154.79
2017-06-06,2017-06-06,154.2
2017-06-07,2017-06-07,154.96
2017-06-08,2017-06-08,153.5
2017-06-09,2017-06-09,152.96
2017-06-12,2017-06-12,152.18
2017-06-13,2017-06-13,153.99
2017-06-14,2017-06-14,156.76
2017-06-15,2017-06-15,156.77
2017-06-16,2017-06-16,156.64
2017-06-19,2017-06-19,158.81
2017-06-20,2017-06-20,157.67
2017-06-21,2017-06-21,156.59
2017-06-22,2017-06-22,155.48
2017-06-23,2017-06-23,151.31
2017-06-26,2017-06-26,151.42
2017-06-27,2017-06-27,152.24
2017-06-28,2017-06-28,153.23
2017-06-29,2017-06-29,152.16
2017-06-30,2017-06-30,153.4
2017-07-03,2017-07-03,154.01
2017-07-05,2017-07-05,152.69
2017-07-06,2017-07-06,152.05
2017-07-07,2017-07-07,152.23
2017-07-10,2017-07-10,151.18
2017-07-11,2017-07-11,150.6
2017-07-12,2017-07-12,152.59
2017-07-13,2017-07-13,153.29
2017-07-14,2017-07-14,152.88
2017-07-17,2017-07-17,153.89
2017-07-18,2017-07-18,152.17
2017-07-19,2017-07-19,153.3
2017-07-20,2017-07-20,147.03
2017-07-21,2017-07-21,146.65
2017-07-24,2017-07-24,144.58
2017-07-25,2017-07-25,146.97
2017-07-26,2017-07-26,146.69
2017-07-27,2017-07-27,147.73
2017-07-28,2017-07-28,148.08
2017-07-31,2017-07-31,149.6
2017-08-01,2017-08-01,149.85
2017-08-02,2017-08-02,150.5
2017-08-03,2017-08-03,150.79
2017-08-04,2017-08-04,152.75
2017-08-07,2017-08-07,153.35
2017-08-08,2017-08-08,153.35
2017-08-09,2017-08-09,155.26
2017-08-10,2017-08-10,153.88
2017-08-11,2017-08-11,154.88
2017-08-14,2017-08-14,154.26
2017-08-15,2017-08-15,150.17
2017-08-16,2017-08-16,152.25
2017-08-17,2017-08-17,149.67
2017-08-18,2017-08-18,147.49
2017-08-21,2017-08-21,149.2
2017-08-22,2017-08-22,149.91
2017-08-23,2017-08-23,149.1
2017-08-24,2017-08-24,148.25
2017-08-25,2017-08-25,149.65
2017-08-28,2017-08-28,151.39
2017-08-29,2017-08-29,149.84
2017-08-30,2017-08-30,150.0
2017-08-31,2017-08-31,149.87
2017-09-01,2017-09-01,150.78
2017-09-05,2017-09-05,152.93
2017-09-06,2017-09-06,156.56
2017-09-07,2017-09-07,157.93
2017-09-08,2017-09-08,159.66
2017-09-11,2017-09-11,158.37
