DATE,DATE,CLOSE
2016-11-01,2016-11-01,47.85
2016-11-02,2016-11-02,47.09
2016-11-03,2016-11-03,47.09
2016-11-04,2016-11-04,46.42
2016-11-07,2016-11-07,47.44
2016-11-08,2016-11-08,47.74
2016-11-09,2016-11-09,49.0
2016-11-10,2016-11-10,49.64
2016-11-11,2016-11-11,47.58
2016-11-14,2016-11-14,48.07
2016-11-15,2016-11-15,50.59
2016-11-16,2016-11-16,50.82
2016-11-17,2016-11-17,50.5
2016-11-18,2016-11-18,50.97
2016-11-21,2016-11-21,52.81
2016-11-22,2016-11-22,52.62
2016-11-23,2016-11-23,53.2
2016-11-25,2016-11-25,52.73
2016-11-28,2016-11-28,51.0
2016-11-29,2016-11-29,49.05
2016-11-30,2016-11-30,55.96
2016-12-01,2016-12-01,56.11
2016-12-02,2016-12-02,57.92
2016-12-05,2016-12-05,59.0
2016-12-06,2016-12-06,59.81
2016-12-07,2016-12-07,60.95
2016-12-08,2016-12-08,61.67
2016-12-09,2016-12-09,62.76
2016-12-12,2016-12-12,62.9
2016-12-13,2016-12-13,65.14
2016-12-14,2016-12-14,63.17
2016-12-15,2016-12-15,62.68
2016-12-16,2016-12-16,62.5
2016-12-19,2016-12-19,63.37
2016-12-20,2016-12-20,63.39
2016-12-21,2016-12-21,63.56
2016-12-22,2016-12-22,63.71
2016-12-23,2016-12-23,63.78
2016-12-27,2016-12-27,64.41
2016-12-28,2016-12-28,63.48
2016-12-29,2016-12-29,62.9
2016-12-30,2016-12-30,62.29
2017-01-03,2017-01-03,62.82
2017-01-04,2017-01-04,61.93
2017-01-05,2017-01-05,62.1
2017-01-06,2017-01-06,61.9
2017-01-09,2017-01-09,60.61
2017-01-10,2017-01-10,61.45
2017-01-11,2017-01-11,61.84
2017-01-12,2017-01-12,58.85
2017-01-13,2017-01-13,58.89
2017-01-17,2017-01-17,59.3
2017-01-18,2017-01-18,58.83
2017-01-19,2017-01-19,57.72
2017-01-20,2017-01-20,57.98
2017-01-23,2017-01-23,57.15
2017-01-24,2017-01-24,57.52
2017-01-25,2017-01-25,56.46
2017-01-26,2017-01-26,56.17
2017-01-27,2017-01-27,54.87
2017-01-30,2017-01-30,53.94
2017-01-31,2017-01-31,54.18
2017-02-01,2017-02-01,53.51
2017-02-02,2017-02-02,53.96
2017-02-03,2017-02-03,54.31
2017-02-06,2017-02-06,53.16
2017-02-07,2017-02-07,51.51
2017-02-08,2017-02-08,51.54
2017-02-09,2017-02-09,52.32
2017-02-10,2017-02-10,52.51
2017-02-13,2017-02-13,51.88
2017-02-14,2017-02-14,52.0
2017-02-15,2017-02-15,51.05
2017-02-16,2017-02-16,51.3
2017-02-17,2017-02-17,51.75
2017-02-21,2017-02-21,52.82
2017-02-22,2017-02-22,51.56
2017-02-23,2017-02-23,52.52
2017-02-24,2017-02-24,52.49
2017-02-27,2017-02-27,52.69
2017-02-28,2017-02-28,51.44
2017-03-01,2017-03-01,51.66
2017-03-02,2017-03-02,51.76
2017-03-03,2017-03-03,51.03
