DATE,DATE,CLOSE
2016-11-01,2016-11-01,25.45
2016-11-02,2016-11-02,24.62
2016-11-03,2016-11-03,23.89
2016-11-04,2016-11-04,23.67
2016-11-07,2016-11-07,23.38
2016-11-08,2016-11-08,22.7
2016-11-09,2016-11-09,26.22
2016-11-10,2016-11-10,26.06
2016-11-11,2016-11-11,25.99
2016-11-14,2016-11-14,26.92
2016-11-15,2016-11-15,27.09
2016-11-16,2016-11-16,27.77
2016-11-17,2016-11-17,27.91
2016-11-18,2016-11-18,27.35
2016-11-21,2016-11-21,29.0
2016-11-22,2016-11-22,29.32
2016-11-23,2016-11-23,28.45
2016-11-25,2016-11-25,28.09
2016-11-28,2016-11-28,27.74
2016-11-29,2016-11-29,27.54
2016-11-30,2016-11-30,28.77
2016-12-01,2016-12-01,29.1
2016-12-02,2016-12-02,29.23
2016-12-05,2016-12-05,31.09
2016-12-06,2016-12-06,31.13
2016-12-07,2016-12-07,33.02
2016-12-08,2016-12-08,34.1
2016-12-09,2016-12-09,33.07
2016-12-12,2016-12-12,32.38
2016-12-13,2016-12-13,32.66
2016-12-14,2016-12-14,31.61
2016-12-15,2016-12-15,31.76
2016-12-16,2016-12-16,31.78
2016-12-19,2016-12-19,31.19
2016-12-20,2016-12-20,31.46
2016-12-21,2016-12-21,31.87
2016-12-22,2016-12-22,32.63
2016-12-23,2016-12-23,33.13
2016-12-27,2016-12-27,33.52
2016-12-28,2016-12-28,33.24
2016-12-29,2016-12-29,33.16
2016-12-30,2016-12-30,32.76
2017-01-03,2017-01-03,33.57
2017-01-04,2017-01-04,34.3
2017-01-05,2017-01-05,33.75
2017-01-06,2017-01-06,32.01
2017-01-09,2017-01-09,30.95
2017-01-10,2017-01-10,30.71
2017-01-11,2017-01-11,31.05
2017-01-12,2017-01-12,30.55
2017-01-13,2017-01-13,30.03
2017-01-17,2017-01-17,30.05
2017-01-18,2017-01-18,30.21
2017-01-19,2017-01-19,29.85
2017-01-20,2017-01-20,29.98
2017-01-23,2017-01-23,29.3
2017-01-24,2017-01-24,30.59
2017-01-25,2017-01-25,30.86
2017-01-26,2017-01-26,29.7
2017-01-27,2017-01-27,29.09
2017-01-30,2017-01-30,29.39
2017-01-31,2017-01-31,28.97
2017-02-01,2017-02-01,28.12
2017-02-02,2017-02-02,28.17
2017-02-03,2017-02-03,28.66
2017-02-06,2017-02-06,28.59
2017-02-07,2017-02-07,28.43
2017-02-08,2017-02-08,29.55
2017-02-09,2017-02-09,30.18
2017-02-10,2017-02-10,30.15
2017-02-13,2017-02-13,29.66
2017-02-14,2017-02-14,29.92
2017-02-15,2017-02-15,30.15
2017-02-16,2017-02-16,30.0
2017-02-17,2017-02-17,29.92
2017-02-21,2017-02-21,29.99
2017-02-22,2017-02-22,28.9
2017-02-23,2017-02-23,29.4
2017-02-24,2017-02-24,28.94
2017-02-27,2017-02-27,28.51
2017-02-28,2017-02-28,29.28
2017-03-01,2017-03-01,29.38
2017-03-02,2017-03-02,28.13
2017-03-03,2017-03-03,28.09
2017-03-06,2017-03-06,28.21
2017-03-07,2017-03-07,27.41
