DATE,DATE,CLOSE
2016-11-01,2016-11-01,44.14
2016-11-02,2016-11-02,44.1
2016-11-03,2016-11-03,43.75
2016-11-04,2016-11-04,43.22
2016-11-07,2016-11-07,44.46
2016-11-08,2016-11-08,44.73
2016-11-09,2016-11-09,45.72
2016-11-10,2016-11-10,46.3
2016-11-11,2016-11-11,46.82
2016-11-14,2016-11-14,47.93
2016-11-15,2016-11-15,47.89
2016-11-16,2016-11-16,46.58
2016-11-17,2016-11-17,46.97
2016-11-18,2016-11-18,47.25
2016-11-21,2016-11-21,47.31
2016-11-22,2016-11-22,47.56
2016-11-23,2016-11-23,48.0
2016-11-25,2016-11-25,47.87
2016-11-28,2016-11-28,47.41
2016-11-29,2016-11-29,46.92
2016-11-30,2016-11-30,47.12
2016-12-01,2016-12-01,47.77
2016-12-02,2016-12-02,47.42
2016-12-05,2016-12-05,47.62
2016-12-06,2016-12-06,48.24
2016-12-07,2016-12-07,47.52
2016-12-08,2016-12-08,47.99
2016-12-09,2016-12-09,48.54
2016-12-12,2016-12-12,48.58
2016-12-13,2016-12-13,48.26
2016-12-14,2016-12-14,47.85
2016-12-15,2016-12-15,47.97
2016-12-16,2016-12-16,47.65
2016-12-19,2016-12-19,47.83
2016-12-20,2016-12-20,48.01
2016-12-21,2016-12-21,48.21
2016-12-22,2016-12-22,48.16
2016-12-23,2016-12-23,48.25
2016-12-27,2016-12-27,48.25
2016-12-28,2016-12-28,47.73
2016-12-29,2016-12-29,47.72
2016-12-30,2016-12-30,47.65
2017-01-03,2017-01-03,47.75
2017-01-04,2017-01-04,48.55
2017-01-05,2017-01-05,48.35
2017-01-06,2017-01-06,48.45
2017-01-09,2017-01-09,48.07
2017-01-10,2017-01-10,48.43
2017-01-11,2017-01-11,48.51
2017-01-12,2017-01-12,48.23
2017-01-13,2017-01-13,48.33
2017-01-17,2017-01-17,48.54
2017-01-18,2017-01-18,49.4
2017-01-19,2017-01-19,48.24
2017-01-20,2017-01-20,48.31
2017-01-23,2017-01-23,47.7
2017-01-24,2017-01-24,47.9
2017-01-25,2017-01-25,48.35
2017-01-26,2017-01-26,48.57
2017-01-27,2017-01-27,48.93
2017-01-30,2017-01-30,48.96
2017-01-31,2017-01-31,48.71
2017-02-01,2017-02-01,48.44
2017-02-02,2017-02-02,47.97
2017-02-03,2017-02-03,47.33
2017-02-06,2017-02-06,47.55
2017-02-07,2017-02-07,47.35
2017-02-08,2017-02-08,47.05
2017-02-09,2017-02-09,47.54
2017-02-10,2017-02-10,47.86
2017-02-13,2017-02-13,48.05
2017-02-14,2017-02-14,48.5
2017-02-15,2017-02-15,48.6
2017-02-16,2017-02-16,48.6
2017-02-17,2017-02-17,48.36
2017-02-21,2017-02-21,48.93
2017-02-22,2017-02-22,48.69
2017-02-23,2017-02-23,48.79
2017-02-24,2017-02-24,48.62
2017-02-27,2017-02-27,48.93
2017-02-28,2017-02-28,48.89
2017-03-01,2017-03-01,49.69
2017-03-02,2017-03-02,49.02
2017-03-03,2017-03-03,49.15
2017-03-06,2017-03-06,48.79
2017-03-07,2017-03-07,48.66
2017-03-08,2017-03-08,48.5
2017-03-09,2017-03-09,49.29
2017-03-10,2017-03-10,49.72
2017-03-13,2017-03-13,49.56
2017-03-14,2017-03-14,49.75
2017-03-15,2017-03-15,49.87
2017-03-16,2017-03-16,48.81
2017-03-17,2017-03-17,48.78
2017-03-20,2017-03-20,48.26
2017-03-21,2017-03-21,47.71
2017-03-22,2017-03-22,47.8
2017-03-23,2017-03-23,47.57
2017-03-24,2017-03-24,47.33
2017-03-27,2017-03-27,47.45
2017-03-28,2017-03-28,47.69
2017-03-29,2017-03-29,47.28
2017-03-30,2017-03-30,47.81
2017-03-31,2017-03-31,48.07
2017-04-03,2017-04-03,48.13
2017-04-04,2017-04-04,47.91
2017-04-05,2017-04-05,47.76
2017-04-06,2017-04-06,48.08
2017-04-07,2017-04-07,47.83
2017-04-10,2017-04-10,48.08
2017-04-11,2017-04-11,48.21
2017-04-12,2017-04-12,47.82
2017-04-13,2017-04-13,47.73
2017-04-17,2017-04-17,48.36
2017-04-18,2017-04-18,47.69
2017-04-19,2017-04-19,47.26
2017-04-20,2017-04-20,47.63
2017-04-21,2017-04-21,47.28
2017-04-24,2017-04-24,47.36
2017-04-25,2017-04-25,47.75
2017-04-26,2017-04-26,48.11
2017-04-27,2017-04-27,48.24
2017-04-28,2017-04-28,48.36
2017-05-01,2017-05-01,48.71
2017-05-02,2017-05-02,48.77
2017-05-03,2017-05-03,49.04
2017-05-04,2017-05-04,49.36
2017-05-05,2017-05-05,49.5
2017-05-08,2017-05-08,49.37
2017-05-09,2017-05-09,49.26
2017-05-10,2017-05-10,49.75
2017-05-11,2017-05-11,49.54
2017-05-12,2017-05-12,49.08
2017-05-15,2017-05-15,49.2
2017-05-16,2017-05-16,49.28
2017-05-17,2017-05-17,48.9
2017-05-18,2017-05-18,48.69
2017-05-19,2017-05-19,48.42
2017-05-22,2017-05-22,48.8
2017-05-23,2017-05-23,49.15
2017-05-24,2017-05-24,49.23
2017-05-25,2017-05-25,49.72
2017-05-26,2017-05-26,49.23
2017-05-30,2017-05-30,49.05
2017-05-31,2017-05-31,49.39
2017-06-01,2017-06-01,49.84
2017-06-02,2017-06-02,49.64
2017-06-05,2017-06-05,49.45
2017-06-06,2017-06-06,49.58
2017-06-07,2017-06-07,49.71
2017-06-08,2017-06-08,50.72
2017-06-09,2017-06-09,51.51
2017-06-12,2017-06-12,51.12
2017-06-13,2017-06-13,51.67
2017-06-14,2017-06-14,51.85
2017-06-15,2017-06-15,51.87
2017-06-16,2017-06-16,52.41
2017-06-19,2017-06-19,52.45
2017-06-20,2017-06-20,52.23
2017-06-21,2017-06-21,51.75
2017-06-22,2017-06-22,51.6
2017-06-23,2017-06-23,51.45
2017-06-26,2017-06-26,52.02
2017-06-27,2017-06-27,52.2
2017-06-28,2017-06-28,52.73
2017-06-29,2017-06-29,52.75
2017-06-30,2017-06-30,52.57
2017-07-03,2017-07-03,52.84
2017-07-05,2017-07-05,52.71
2017-07-06,2017-07-06,52.56
2017-07-07,2017-07-07,52.73
2017-07-10,2017-07-10,52.87
2017-07-11,2017-07-11,52.75
2017-07-12,2017-07-12,52.87
2017-07-13,2017-07-13,53.28
2017-07-14,2017-07-14,53.36
2017-07-17,2017-07-17,53.58
2017-07-18,2017-07-18,53.57
2017-07-19,2017-07-19,53.89
2017-07-20,2017-07-20,53.78
2017-07-21,2017-07-21,53.79
2017-07-24,2017-07-24,53.7
2017-07-25,2017-07-25,53.94
2017-07-26,2017-07-26,53.22
2017-07-27,2017-07-27,52.92
2017-07-28,2017-07-28,54.82
2017-07-31,2017-07-31,55.0
2017-08-01,2017-08-01,55.71
2017-08-02,2017-08-02,55.63
2017-08-03,2017-08-03,55.84
2017-08-04,2017-08-04,56.29
2017-08-07,2017-08-07,55.97
2017-08-08,2017-08-08,56.05
2017-08-09,2017-08-09,56.24
2017-08-10,2017-08-10,55.73
2017-08-11,2017-08-11,56.04
2017-08-14,2017-08-14,56.45
2017-08-15,2017-08-15,56.81
2017-08-16,2017-08-16,56.51
2017-08-17,2017-08-17,55.6
2017-08-18,2017-08-18,55.56
2017-08-21,2017-08-21,55.28
2017-08-22,2017-08-22,55.56
2017-08-23,2017-08-23,55.15
2017-08-24,2017-08-24,54.63
2017-08-25,2017-08-25,55.03
2017-08-28,2017-08-28,54.49
2017-08-29,2017-08-29,54.33
2017-08-30,2017-08-30,54.35
2017-08-31,2017-08-31,54.07
2017-09-01,2017-09-01,54.05
2017-09-05,2017-09-05,52.88
2017-09-06,2017-09-06,52.77
2017-09-07,2017-09-07,51.64
2017-09-08,2017-09-08,53.17
2017-09-11,2017-09-11,53.94
2017-09-12,2017-09-12,53.84
2017-09-13,2017-09-13,53.51
2017-09-14,2017-09-14,53.33
2017-09-15,2017-09-15,53.71
2017-09-18,2017-09-18,53.83
2017-09-19,2017-09-19,54.41
2017-09-20,2017-09-20,55.13
2017-09-21,2017-09-21,54.35
2017-09-22,2017-09-22,54.45
2017-09-25,2017-09-25,54.68
2017-09-26,2017-09-26,54.9
2017-09-27,2017-09-27,55.04
2017-09-28,2017-09-28,55.12
2017-09-29,2017-09-29,55.43
2017-10-02,2017-10-02,55.6
2017-10-03,2017-10-03,55.42
2017-10-04,2017-10-04,55.68
2017-10-05,2017-10-05,55.49
2017-10-06,2017-10-06,55.62
2017-10-09,2017-10-09,55.58
2017-10-10,2017-10-10,55.93
2017-10-11,2017-10-11,55.87
2017-10-12,2017-10-12,55.86
2017-10-13,2017-10-13,55.99
2017-10-16,2017-10-16,56.08
2017-10-17,2017-10-17,55.81
2017-10-18,2017-10-18,55.52
2017-10-19,2017-10-19,56.47
2017-10-20,2017-10-20,56.49
2017-10-23,2017-10-23,54.06
2017-10-24,2017-10-24,54.88
2017-10-25,2017-10-25,54.84
2017-10-26,2017-10-26,55.56
2017-10-27,2017-10-27,55.2
2017-10-30,2017-10-30,55.18
2017-10-31,2017-10-31,55.05
2017-11-01,2017-11-01,55.25
2017-11-02,2017-11-02,55.71
2017-11-03,2017-11-03,55.84
2017-11-06,2017-11-06,55.89
2017-11-07,2017-11-07,55.34
2017-11-08,2017-11-08,55.2
2017-11-09,2017-11-09,55.25
2017-11-10,2017-11-10,55.52
2017-11-13,2017-11-13,55.69
2017-11-14,2017-11-14,56.22
2017-11-15,2017-11-15,56.67
2017-11-16,2017-11-16,56.01
2017-11-17,2017-11-17,56.14
2017-11-20,2017-11-20,55.85
2017-11-21,2017-11-21,56.09
2017-11-22,2017-11-22,55.78
2017-11-24,2017-11-24,55.64
2017-11-27,2017-11-27,55.8
2017-11-28,2017-11-28,56.69
2017-11-29,2017-11-29,57.65
2017-11-30,2017-11-30,57.44
2017-12-01,2017-12-01,57.43
2017-12-04,2017-12-04,56.5
2017-12-05,2017-12-05,54.64
2017-12-06,2017-12-06,54.92
2017-12-07,2017-12-07,54.77
2017-12-08,2017-12-08,55.17
2017-12-11,2017-12-11,55.42
2017-12-12,2017-12-12,56.03
2017-12-13,2017-12-13,55.55
2017-12-14,2017-12-14,55.21
2017-12-15,2017-12-15,55.75
2017-12-18,2017-12-18,55.64
2017-12-19,2017-12-19,56.73
2017-12-20,2017-12-20,56.35
2017-12-21,2017-12-21,55.93
2017-12-22,2017-12-22,55.55
2017-12-26,2017-12-26,55.97
2017-12-27,2017-12-27,56.28
2017-12-28,2017-12-28,56.56
2017-12-29,2017-12-29,56.28
2018-01-02,2018-01-02,55.27
2018-01-03,2018-01-03,54.83
2018-01-04,2018-01-04,55.4
2018-01-05,2018-01-05,55.16
2018-01-08,2018-01-08,54.78
2018-01-09,2018-01-09,54.97
2018-01-10,2018-01-10,55.04
2018-01-11,2018-01-11,55.09
2018-01-12,2018-01-12,55.29
2018-01-16,2018-01-16,55.24
2018-01-17,2018-01-17,56.23
2018-01-18,2018-01-18,56.09
2018-01-19,2018-01-19,55.96
2018-01-22,2018-01-22,56.05
2018-01-23,2018-01-23,56.67
2018-01-24,2018-01-24,58.15
2018-01-25,2018-01-25,58.49
2018-01-26,2018-01-26,59.11
2018-01-29,2018-01-29,58.42
2018-01-30,2018-01-30,58.25
2018-01-31,2018-01-31,58.76
2018-02-01,2018-02-01,58.77
2018-02-02,2018-02-02,58.01
2018-02-05,2018-02-05,55.58
2018-02-06,2018-02-06,55.13
2018-02-07,2018-02-07,55.86
2018-02-08,2018-02-08,53.34
2018-02-09,2018-02-09,53.98
2018-02-12,2018-02-12,53.5
2018-02-13,2018-02-13,53.97
2018-02-14,2018-02-14,54.53
2018-02-15,2018-02-15,54.46
2018-02-16,2018-02-16,54.14
2018-02-20,2018-02-20,53.82
2018-02-21,2018-02-21,53.95
2018-02-22,2018-02-22,53.22
2018-02-23,2018-02-23,54.04
2018-02-26,2018-02-26,54.5
2018-02-27,2018-02-27,53.81
2018-02-28,2018-02-28,52.85
2018-03-01,2018-03-01,51.91
2018-03-02,2018-03-02,51.77
2018-03-05,2018-03-05,53.94
2018-03-06,2018-03-06,54.42
2018-03-07,2018-03-07,54.27
2018-03-08,2018-03-08,54.36
2018-03-09,2018-03-09,56.13
2018-03-12,2018-03-12,55.2
2018-03-13,2018-03-13,54.31
2018-03-14,2018-03-14,53.87
2018-03-15,2018-03-15,53.81
2018-03-16,2018-03-16,53.93
2018-03-19,2018-03-19,53.45
2018-03-20,2018-03-20,53.67
2018-03-21,2018-03-21,53.4
2018-03-22,2018-03-22,51.88
2018-03-23,2018-03-23,50.29
2018-03-26,2018-03-26,51.48
2018-03-27,2018-03-27,51.11
2018-03-28,2018-03-28,51.73
2018-03-29,2018-03-29,51.52
2018-04-02,2018-04-02,50.46
2018-04-03,2018-04-03,50.79
2018-04-04,2018-04-04,51.75
2018-04-05,2018-04-05,52.2
2018-04-06,2018-04-06,51.12
2018-04-09,2018-04-09,51.2
2018-04-10,2018-04-10,51.9
2018-04-11,2018-04-11,51.53
2018-04-12,2018-04-12,52.02
2018-04-13,2018-04-13,51.67
2018-04-16,2018-04-16,52.04
2018-04-17,2018-04-17,51.74
2018-04-18,2018-04-18,51.79
2018-04-19,2018-04-19,52.03
2018-04-20,2018-04-20,52.03
2018-04-23,2018-04-23,51.96
2018-04-24,2018-04-24,51.23
2018-04-25,2018-04-25,51.83
2018-04-26,2018-04-26,52.2
2018-04-27,2018-04-27,54.58
2018-04-30,2018-04-30,53.84
2018-05-01,2018-05-01,53.9
