DATE,DATE,CLOSE
2016-11-01,2016-11-01,161.57
2016-11-02,2016-11-02,159.97
2016-11-03,2016-11-03,148.74
2016-11-04,2016-11-04,146.75
2016-11-07,2016-11-07,148.94
2016-11-08,2016-11-08,150.42
2016-11-09,2016-11-09,167.59
2016-11-10,2016-11-10,172.9
2016-11-11,2016-11-11,174.61
2016-11-14,2016-11-14,176.95
2016-11-15,2016-11-15,171.25
2016-11-16,2016-11-16,174.38
2016-11-17,2016-11-17,176.91
2016-11-18,2016-11-18,176.12
2016-11-21,2016-11-21,176.2
2016-11-22,2016-11-22,178.92
2016-11-23,2016-11-23,177.72
2016-11-25,2016-11-25,180.8
2016-11-28,2016-11-28,180.02
2016-11-29,2016-11-29,180.55
2016-11-30,2016-11-30,178.76
2016-12-01,2016-12-01,179.29
2016-12-02,2016-12-02,180.85
2016-12-05,2016-12-05,183.3
2016-12-06,2016-12-06,183.87
2016-12-07,2016-12-07,183.94
2016-12-08,2016-12-08,181.2
2016-12-09,2016-12-09,181.5
2016-12-12,2016-12-12,178.2
2016-12-13,2016-12-13,176.54
2016-12-14,2016-12-14,176.23
2016-12-15,2016-12-15,179.69
2016-12-16,2016-12-16,182.4
2016-12-19,2016-12-19,184.21
2016-12-20,2016-12-20,187.96
2016-12-21,2016-12-21,184.85
2016-12-22,2016-12-22,187.9
2016-12-23,2016-12-23,187.01
2016-12-27,2016-12-27,185.45
2016-12-28,2016-12-28,184.11
2016-12-29,2016-12-29,184.65
2016-12-30,2016-12-30,184.19
2017-01-03,2017-01-03,189.05
2017-01-04,2017-01-04,191.87
2017-01-05,2017-01-05,195.61
2017-01-06,2017-01-06,193.55
2017-01-09,2017-01-09,190.45
2017-01-10,2017-01-10,191.3
2017-01-11,2017-01-11,190.34
2017-01-12,2017-01-12,191.07
2017-01-13,2017-01-13,191.58
2017-01-17,2017-01-17,189.61
2017-01-18,2017-01-18,190.94
2017-01-19,2017-01-19,194.82
2017-01-20,2017-01-20,195.71
2017-01-23,2017-01-23,193.54
2017-01-24,2017-01-24,194.76
2017-01-25,2017-01-25,192.72
2017-01-26,2017-01-26,194.3
2017-01-27,2017-01-27,191.53
2017-01-30,2017-01-30,192.61
2017-01-31,2017-01-31,193.96
2017-02-01,2017-02-01,192.79
2017-02-02,2017-02-02,194.75
2017-02-03,2017-02-03,199.28
2017-02-06,2017-02-06,199.45
2017-02-07,2017-02-07,199.01
2017-02-08,2017-02-08,198.64
2017-02-09,2017-02-09,198.87
2017-02-10,2017-02-10,200.35
2017-02-13,2017-02-13,201.19
2017-02-14,2017-02-14,202.59
2017-02-15,2017-02-15,205.7
2017-02-16,2017-02-16,209.94
2017-02-17,2017-02-17,211.91
2017-02-21,2017-02-21,212.66
2017-02-22,2017-02-22,215.26
2017-02-23,2017-02-23,214.35
2017-02-24,2017-02-24,216.98
2017-02-27,2017-02-27,218.13
2017-02-28,2017-02-28,218.5
2017-03-01,2017-03-01,219.47
2017-03-02,2017-03-02,218.32
2017-03-03,2017-03-03,218.82
2017-03-06,2017-03-06,218.03
2017-03-07,2017-03-07,217.77
2017-03-08,2017-03-08,215.38
2017-03-09,2017-03-09,213.7
2017-03-10,2017-03-10,211.7
2017-03-13,2017-03-13,213.25
2017-03-14,2017-03-14,211.49
2017-03-15,2017-03-15,211.63
2017-03-16,2017-03-16,210.16
2017-03-17,2017-03-17,213.72
2017-03-20,2017-03-20,211.31
2017-03-21,2017-03-21,207.12
2017-03-22,2017-03-22,208.86
2017-03-23,2017-03-23,207.94
2017-03-24,2017-03-24,204.93
2017-03-27,2017-03-27,202.08
2017-03-28,2017-03-28,202.46
2017-03-29,2017-03-29,202.13
2017-03-30,2017-03-30,202.39
2017-03-31,2017-03-31,200.24
2017-04-03,2017-04-03,201.84
2017-04-04,2017-04-04,202.06
2017-04-05,2017-04-05,198.67
2017-04-06,2017-04-06,200.44
2017-04-07,2017-04-07,203.8
2017-04-10,2017-04-10,203.89
2017-04-11,2017-04-11,205.62
2017-04-12,2017-04-12,203.65
2017-04-13,2017-04-13,202.97
2017-04-17,2017-04-17,200.79
2017-04-18,2017-04-18,199.29
2017-04-19,2017-04-19,200.05
2017-04-20,2017-04-20,200.05
2017-04-21,2017-04-21,199.63
2017-04-24,2017-04-24,203.72
2017-04-25,2017-04-25,205.0
2017-04-26,2017-04-26,203.08
2017-04-27,2017-04-27,202.19
2017-04-28,2017-04-28,200.89
2017-05-01,2017-05-01,199.54
2017-05-02,2017-05-02,200.66
2017-05-03,2017-05-03,201.05
2017-05-04,2017-05-04,188.21
2017-05-05,2017-05-05,195.5
2017-05-08,2017-05-08,195.31
2017-05-09,2017-05-09,195.99
2017-05-10,2017-05-10,196.47
2017-05-11,2017-05-11,195.58
2017-05-12,2017-05-12,194.09
2017-05-15,2017-05-15,197.3
2017-05-16,2017-05-16,196.27
2017-05-17,2017-05-17,191.15
2017-05-18,2017-05-18,190.34
2017-05-19,2017-05-19,195.49
2017-05-22,2017-05-22,195.93
2017-05-23,2017-05-23,196.03
2017-05-24,2017-05-24,195.25
2017-05-25,2017-05-25,197.44
2017-05-26,2017-05-26,196.32
2017-05-30,2017-05-30,194.08
2017-05-31,2017-05-31,195.81
2017-06-01,2017-06-01,194.29
2017-06-02,2017-06-02,193.79
2017-06-05,2017-06-05,191.18
2017-06-06,2017-06-06,188.83
2017-06-07,2017-06-07,189.88
2017-06-08,2017-06-08,192.51
2017-06-09,2017-06-09,193.47
2017-06-12,2017-06-12,194.77
2017-06-13,2017-06-13,196.67
2017-06-14,2017-06-14,196.77
2017-06-15,2017-06-15,195.56
2017-06-16,2017-06-16,185.98
2017-06-19,2017-06-19,187.16
2017-06-20,2017-06-20,186.27
2017-06-21,2017-06-21,186.58
2017-06-22,2017-06-22,185.54
2017-06-23,2017-06-23,186.84
2017-06-26,2017-06-26,186.29
2017-06-27,2017-06-27,186.97
2017-06-28,2017-06-28,187.36
2017-06-29,2017-06-29,185.22
2017-06-30,2017-06-30,186.16
2017-07-03,2017-07-03,191.54
2017-07-05,2017-07-05,192.97
2017-07-06,2017-07-06,191.38
2017-07-07,2017-07-07,192.9
2017-07-10,2017-07-10,193.28
2017-07-11,2017-07-11,194.88
2017-07-12,2017-07-12,199.4
2017-07-13,2017-07-13,198.39
2017-07-14,2017-07-14,198.15
2017-07-17,2017-07-17,198.28
2017-07-18,2017-07-18,197.38
2017-07-19,2017-07-19,198.49
2017-07-20,2017-07-20,199.19
2017-07-21,2017-07-21,201.35
2017-07-24,2017-07-24,201.66
2017-07-25,2017-07-25,203.62
2017-07-26,2017-07-26,203.49
2017-07-27,2017-07-27,202.84
2017-07-28,2017-07-28,205.65
2017-07-31,2017-07-31,206.11
2017-08-01,2017-08-01,206.59
2017-08-02,2017-08-02,208.21
2017-08-03,2017-08-03,213.93
2017-08-04,2017-08-04,213.95
2017-08-07,2017-08-07,213.54
2017-08-08,2017-08-08,214.0
2017-08-09,2017-08-09,214.76
2017-08-10,2017-08-10,213.08
2017-08-11,2017-08-11,213.16
2017-08-14,2017-08-14,215.01
2017-08-15,2017-08-15,214.33
2017-08-16,2017-08-16,210.82
2017-08-17,2017-08-17,208.44
2017-08-18,2017-08-18,205.22
2017-08-21,2017-08-21,203.92
2017-08-22,2017-08-22,207.73
2017-08-23,2017-08-23,206.84
2017-08-24,2017-08-24,209.37
2017-08-25,2017-08-25,208.94
2017-08-28,2017-08-28,206.12
2017-08-29,2017-08-29,208.8
2017-08-30,2017-08-30,210.55
2017-08-31,2017-08-31,213.96
2017-09-01,2017-09-01,215.03
2017-09-05,2017-09-05,213.34
2017-09-06,2017-09-06,211.6
2017-09-07,2017-09-07,209.93
2017-09-08,2017-09-08,210.43
2017-09-11,2017-09-11,211.78
2017-09-12,2017-09-12,213.56
2017-09-13,2017-09-13,210.43
2017-09-14,2017-09-14,210.15
2017-09-15,2017-09-15,212.41
2017-09-18,2017-09-18,215.57
2017-09-19,2017-09-19,217.07
2017-09-20,2017-09-20,218.12
2017-09-21,2017-09-21,219.18
2017-09-22,2017-09-22,220.37
2017-09-25,2017-09-25,220.48
2017-09-26,2017-09-26,222.21
2017-09-27,2017-09-27,223.46
2017-09-28,2017-09-28,223.06
2017-09-29,2017-09-29,226.44
2017-10-02,2017-10-02,229.93
2017-10-03,2017-10-03,232.0
2017-10-04,2017-10-04,234.14
2017-10-05,2017-10-05,234.16
2017-10-06,2017-10-06,235.83
2017-10-09,2017-10-09,235.94
2017-10-10,2017-10-10,234.88
2017-10-11,2017-10-11,233.93
2017-10-12,2017-10-12,235.44
2017-10-13,2017-10-13,234.4
2017-10-16,2017-10-16,235.93
2017-10-17,2017-10-17,235.23
2017-10-18,2017-10-18,234.89
2017-10-19,2017-10-19,234.81
2017-10-20,2017-10-20,235.42
2017-10-23,2017-10-23,234.58
2017-10-24,2017-10-24,235.93
2017-10-25,2017-10-25,234.0
2017-10-26,2017-10-26,231.82
2017-10-27,2017-10-27,233.46
2017-10-30,2017-10-30,232.15
2017-10-31,2017-10-31,232.83
2017-11-01,2017-11-01,233.66
2017-11-02,2017-11-02,234.57
2017-11-03,2017-11-03,235.07
2017-11-06,2017-11-06,236.21
2017-11-07,2017-11-07,233.35
2017-11-08,2017-11-08,251.96
2017-11-09,2017-11-09,242.55
2017-11-10,2017-11-10,240.66
2017-11-13,2017-11-13,239.18
2017-11-14,2017-11-14,237.53
2017-11-15,2017-11-15,235.56
2017-11-16,2017-11-16,235.82
2017-11-17,2017-11-17,232.87
2017-11-20,2017-11-20,234.35
2017-11-21,2017-11-21,236.64
2017-11-22,2017-11-22,234.07
2017-11-24,2017-11-24,234.45
2017-11-27,2017-11-27,235.05
2017-11-28,2017-11-28,241.11
2017-11-29,2017-11-29,239.68
2017-11-30,2017-11-30,241.67
2017-12-01,2017-12-01,235.99
2017-12-04,2017-12-04,234.31
2017-12-05,2017-12-05,232.79
2017-12-06,2017-12-06,233.65
2017-12-07,2017-12-07,235.86
2017-12-08,2017-12-08,237.01
2017-12-11,2017-12-11,234.1
2017-12-12,2017-12-12,233.54
2017-12-13,2017-12-13,235.09
2017-12-14,2017-12-14,233.88
2017-12-15,2017-12-15,238.83
2017-12-18,2017-12-18,238.6
2017-12-19,2017-12-19,238.0
2017-12-20,2017-12-20,238.02
2017-12-21,2017-12-21,235.38
2017-12-22,2017-12-22,237.44
2017-12-26,2017-12-26,236.8
2017-12-27,2017-12-27,237.59
2017-12-28,2017-12-28,239.45
2017-12-29,2017-12-29,235.7
2018-01-02,2018-01-02,228.01
2018-01-03,2018-01-03,229.39
2018-01-04,2018-01-04,232.66
2018-01-05,2018-01-05,233.75
2018-01-08,2018-01-08,236.04
2018-01-09,2018-01-09,239.2
2018-01-10,2018-01-10,237.33
2018-01-11,2018-01-11,239.27
2018-01-12,2018-01-12,247.43
2018-01-16,2018-01-16,235.15
2018-01-17,2018-01-17,237.24
2018-01-18,2018-01-18,236.88
2018-01-19,2018-01-19,242.12
2018-01-22,2018-01-22,238.88
2018-01-23,2018-01-23,235.04
2018-01-24,2018-01-24,238.14
2018-01-25,2018-01-25,241.25
2018-01-26,2018-01-26,247.76
2018-01-29,2018-01-29,247.7
2018-01-30,2018-01-30,244.79
2018-01-31,2018-01-31,237.54
2018-02-01,2018-02-01,241.47
2018-02-02,2018-02-02,243.77
2018-02-05,2018-02-05,228.61
2018-02-06,2018-02-06,227.67
2018-02-07,2018-02-07,234.82
2018-02-08,2018-02-08,225.37
2018-02-09,2018-02-09,230.31
2018-02-12,2018-02-12,234.93
2018-02-13,2018-02-13,237.46
2018-02-14,2018-02-14,241.4
2018-02-15,2018-02-15,255.39
2018-02-16,2018-02-16,265.7
2018-02-20,2018-02-20,266.11
2018-02-21,2018-02-21,270.88
2018-02-22,2018-02-22,262.83
2018-02-23,2018-02-23,265.02
2018-02-26,2018-02-26,266.17
2018-02-27,2018-02-27,262.76
2018-02-28,2018-02-28,262.01
2018-03-01,2018-03-01,260.31
2018-03-02,2018-03-02,260.85
2018-03-05,2018-03-05,260.08
2018-03-06,2018-03-06,258.62
2018-03-07,2018-03-07,259.55
2018-03-08,2018-03-08,260.95
2018-03-09,2018-03-09,264.03
2018-03-12,2018-03-12,258.16
2018-03-13,2018-03-13,258.67
2018-03-14,2018-03-14,255.51
2018-03-15,2018-03-15,253.87
2018-03-16,2018-03-16,254.09
2018-03-19,2018-03-19,254.0
2018-03-20,2018-03-20,256.52
2018-03-21,2018-03-21,255.67
2018-03-22,2018-03-22,249.15
2018-03-23,2018-03-23,253.98
2018-03-26,2018-03-26,262.24
2018-03-27,2018-03-27,254.78
2018-03-28,2018-03-28,253.18
2018-03-29,2018-03-29,257.76
2018-04-02,2018-04-02,253.41
2018-04-03,2018-04-03,259.13
2018-04-04,2018-04-04,259.91
2018-04-05,2018-04-05,260.99
