DATE,DATE,CLOSE
2016-11-01,2016-11-01,47.440285
2016-11-02,2016-11-02,47.144312
2016-11-03,2016-11-03,47.10203
2016-11-04,2016-11-04,47.7574
2016-11-07,2016-11-07,48.43391
2016-11-08,2016-11-08,49.258407
2016-11-09,2016-11-09,49.913776
2016-11-10,2016-11-10,49.596662
2016-11-11,2016-11-11,50.125186
2016-11-14,2016-11-14,51.414784
2016-11-15,2016-11-15,51.77418
2016-11-16,2016-11-16,51.901025
2016-11-17,2016-11-17,51.943307
2016-11-18,2016-11-18,51.626193
2016-11-21,2016-11-21,52.070153
2016-11-22,2016-11-22,52.535254
2016-11-23,2016-11-23,52.915791
2016-11-25,2016-11-25,53.507737
2016-11-28,2016-11-28,52.45069
2016-11-29,2016-11-29,52.45069
2016-11-30,2016-11-30,53.000355
2016-12-01,2016-12-01,53.296328
2016-12-02,2016-12-02,53.402033
2016-12-05,2016-12-05,55.156731
2016-12-06,2016-12-06,55.621832
2016-12-07,2016-12-07,57.165121
2016-12-08,2016-12-08,55.473845
2016-12-09,2016-12-09,56.065792
2016-12-12,2016-12-12,54.945322
2016-12-13,2016-12-13,55.769819
2016-12-14,2016-12-14,56.404047
2016-12-15,2016-12-15,57.735927
2016-12-16,2016-12-16,58.201028
2016-12-19,2016-12-19,58.560424
2016-12-20,2016-12-20,58.644987
2016-12-21,2016-12-21,58.623846
2016-12-22,2016-12-22,58.0319
2016-12-23,2016-12-23,57.862772
2016-12-27,2016-12-27,57.989618
2016-12-28,2016-12-28,57.186262
2016-12-29,2016-12-29,57.609081
2016-12-30,2016-12-30,57.503376
2017-01-03,2017-01-03,57.905054
2017-01-04,2017-01-04,58.0
2017-01-05,2017-01-05,57.32
2017-01-06,2017-01-06,57.47
2017-01-09,2017-01-09,56.96
2017-01-10,2017-01-10,56.02
2017-01-11,2017-01-11,56.0
2017-01-12,2017-01-12,55.4
2017-01-13,2017-01-13,56.22
2017-01-17,2017-01-17,56.09
2017-01-18,2017-01-18,56.95
2017-01-19,2017-01-19,57.5
2017-01-20,2017-01-20,57.7
2017-01-23,2017-01-23,57.75
2017-01-24,2017-01-24,58.1
2017-01-25,2017-01-25,58.78
2017-01-26,2017-01-26,58.75
2017-01-27,2017-01-27,58.55
2017-01-30,2017-01-30,58.04
2017-01-31,2017-01-31,57.58
2017-02-01,2017-02-01,57.35
2017-02-02,2017-02-02,57.3
2017-02-03,2017-02-03,57.8
2017-02-06,2017-02-06,57.72
2017-02-07,2017-02-07,57.81
2017-02-08,2017-02-08,58.26
2017-02-09,2017-02-09,58.64
2017-02-10,2017-02-10,58.69
2017-02-13,2017-02-13,58.85
2017-02-14,2017-02-14,58.47
2017-02-15,2017-02-15,59.46
2017-02-16,2017-02-16,59.24
2017-02-17,2017-02-17,58.5
2017-02-21,2017-02-21,58.02
2017-02-22,2017-02-22,57.85
2017-02-23,2017-02-23,57.21
2017-02-24,2017-02-24,57.78
2017-02-27,2017-02-27,58.02
2017-02-28,2017-02-28,57.2
2017-03-01,2017-03-01,57.7
2017-03-02,2017-03-02,58.17
2017-03-03,2017-03-03,57.75
2017-03-06,2017-03-06,57.31
2017-03-07,2017-03-07,56.64
2017-03-08,2017-03-08,56.29
2017-03-09,2017-03-09,55.84
2017-03-10,2017-03-10,56.48
2017-03-13,2017-03-13,57.51
2017-03-14,2017-03-14,57.29
2017-03-15,2017-03-15,58.15
2017-03-16,2017-03-16,58.21
2017-03-17,2017-03-17,57.92
2017-03-20,2017-03-20,57.5
2017-03-21,2017-03-21,56.69
2017-03-22,2017-03-22,57.7
2017-03-23,2017-03-23,58.32
2017-03-24,2017-03-24,58.31
2017-03-27,2017-03-27,57.85
2017-03-28,2017-03-28,58.67
2017-03-29,2017-03-29,58.61
2017-03-30,2017-03-30,58.77
2017-03-31,2017-03-31,58.46
2017-04-03,2017-04-03,57.62
2017-04-04,2017-04-04,57.07
2017-04-05,2017-04-05,56.75
2017-04-06,2017-04-06,57.1
