DATE,DATE,CLOSE
2016-11-01,2016-11-01,56.33
2016-11-02,2016-11-02,55.98
2016-11-03,2016-11-03,55.92
2016-11-04,2016-11-04,55.88
2016-11-07,2016-11-07,56.52
2016-11-08,2016-11-08,57.0
2016-11-09,2016-11-09,58.78
2016-11-10,2016-11-10,59.44
2016-11-11,2016-11-11,59.0
2016-11-14,2016-11-14,59.02
2016-11-15,2016-11-15,58.29
2016-11-16,2016-11-16,57.68
2016-11-17,2016-11-17,58.1
2016-11-18,2016-11-18,58.14
2016-11-21,2016-11-21,58.65
2016-11-22,2016-11-22,59.75
2016-11-23,2016-11-23,59.95
2016-11-25,2016-11-25,60.16
2016-11-28,2016-11-28,59.81
2016-11-29,2016-11-29,59.92
2016-11-30,2016-11-30,60.89
2016-12-01,2016-12-01,62.07
2016-12-02,2016-12-02,59.71
2016-12-05,2016-12-05,59.98
2016-12-06,2016-12-06,60.35
2016-12-07,2016-12-07,61.71
2016-12-08,2016-12-08,61.57
2016-12-09,2016-12-09,60.81
2016-12-12,2016-12-12,60.75
2016-12-13,2016-12-13,61.06
2016-12-14,2016-12-14,60.0
2016-12-15,2016-12-15,59.83
2016-12-16,2016-12-16,59.17
2016-12-19,2016-12-19,59.23
2016-12-20,2016-12-20,59.79
2016-12-21,2016-12-21,59.71
2016-12-22,2016-12-22,57.84
2016-12-23,2016-12-23,58.18
2016-12-27,2016-12-27,58.44
2016-12-28,2016-12-28,57.91
2016-12-29,2016-12-29,58.16
2016-12-30,2016-12-30,58.34
2017-01-03,2017-01-03,58.94
2017-01-04,2017-01-04,59.59
2017-01-05,2017-01-05,59.65
2017-01-06,2017-01-06,59.1
2017-01-09,2017-01-09,58.15
2017-01-10,2017-01-10,58.5
2017-01-11,2017-01-11,58.01
2017-01-12,2017-01-12,58.32
2017-01-13,2017-01-13,58.73
2017-01-17,2017-01-17,58.95
2017-01-18,2017-01-18,58.52
2017-01-19,2017-01-19,58.23
2017-01-20,2017-01-20,58.62
2017-01-23,2017-01-23,59.26
2017-01-24,2017-01-24,59.7
2017-01-25,2017-01-25,60.02
2017-01-26,2017-01-26,60.18
2017-01-27,2017-01-27,59.09
2017-01-30,2017-01-30,57.92
2017-01-31,2017-01-31,57.04
2017-02-01,2017-02-01,56.59
2017-02-02,2017-02-02,56.25
2017-02-03,2017-02-03,56.45
2017-02-06,2017-02-06,56.66
2017-02-07,2017-02-07,56.61
2017-02-08,2017-02-08,56.84
2017-02-09,2017-02-09,56.76
2017-02-10,2017-02-10,57.34
2017-02-13,2017-02-13,57.16
2017-02-14,2017-02-14,57.74
2017-02-15,2017-02-15,57.31
2017-02-16,2017-02-16,56.42
2017-02-17,2017-02-17,56.93
2017-02-21,2017-02-21,57.13
2017-02-22,2017-02-22,57.55
2017-02-23,2017-02-23,57.68
2017-02-24,2017-02-24,56.56
2017-02-27,2017-02-27,57.02
2017-02-28,2017-02-28,56.38
2017-03-01,2017-03-01,58.4
2017-03-02,2017-03-02,58.64
2017-03-03,2017-03-03,58.82
2017-03-06,2017-03-06,57.58
2017-03-07,2017-03-07,57.78
2017-03-08,2017-03-08,58.53
2017-03-09,2017-03-09,58.75
2017-03-10,2017-03-10,60.05
2017-03-13,2017-03-13,60.51
2017-03-14,2017-03-14,60.1
2017-03-15,2017-03-15,62.94
2017-03-16,2017-03-16,62.47
2017-03-17,2017-03-17,62.25
2017-03-20,2017-03-20,61.85
2017-03-21,2017-03-21,60.57
2017-03-22,2017-03-22,60.53
2017-03-23,2017-03-23,60.53
2017-03-24,2017-03-24,60.2
2017-03-27,2017-03-27,60.18
2017-03-28,2017-03-28,60.69
2017-03-29,2017-03-29,60.6
2017-03-30,2017-03-30,61.01
2017-03-31,2017-03-31,60.5
2017-04-03,2017-04-03,61.48
2017-04-04,2017-04-04,60.99
2017-04-05,2017-04-05,60.02
2017-04-06,2017-04-06,60.84
2017-04-07,2017-04-07,60.91
2017-04-10,2017-04-10,61.84
2017-04-11,2017-04-11,62.05
2017-04-12,2017-04-12,61.05
2017-04-13,2017-04-13,59.7
2017-04-17,2017-04-17,59.4
2017-04-18,2017-04-18,56.91
2017-04-19,2017-04-19,56.41
2017-04-20,2017-04-20,56.47
2017-04-21,2017-04-21,55.81
2017-04-24,2017-04-24,56.32
2017-04-25,2017-04-25,57.21
2017-04-26,2017-04-26,57.88
2017-04-27,2017-04-27,58.03
2017-04-28,2017-04-28,56.81
2017-05-01,2017-05-01,56.39
2017-05-02,2017-05-02,56.11
2017-05-03,2017-05-03,55.56
2017-05-04,2017-05-04,55.62
2017-05-05,2017-05-05,56.19
2017-05-08,2017-05-08,55.54
2017-05-09,2017-05-09,56.22
2017-05-10,2017-05-10,56.75
2017-05-11,2017-05-11,55.54
2017-05-12,2017-05-12,55.21
2017-05-15,2017-05-15,54.04
2017-05-16,2017-05-16,54.11
2017-05-17,2017-05-17,52.99
2017-05-18,2017-05-18,52.76
2017-05-19,2017-05-19,52.62
2017-05-22,2017-05-22,52.95
2017-05-23,2017-05-23,52.84
2017-05-24,2017-05-24,52.0
2017-05-25,2017-05-25,51.86
2017-05-26,2017-05-26,52.32
2017-05-30,2017-05-30,53.01
2017-05-31,2017-05-31,53.01
2017-06-01,2017-06-01,53.31
2017-06-02,2017-06-02,53.24
2017-06-05,2017-06-05,53.43
2017-06-06,2017-06-06,52.07
2017-06-07,2017-06-07,52.13
2017-06-08,2017-06-08,52.85
2017-06-09,2017-06-09,53.28
2017-06-12,2017-06-12,53.23
2017-06-13,2017-06-13,53.69
2017-06-14,2017-06-14,53.34
2017-06-15,2017-06-15,54.89
2017-06-16,2017-06-16,55.49
2017-06-19,2017-06-19,55.45
2017-06-20,2017-06-20,55.51
2017-06-21,2017-06-21,55.96
2017-06-22,2017-06-22,56.23
2017-06-23,2017-06-23,55.54
2017-06-26,2017-06-26,55.1
2017-06-27,2017-06-27,54.51
2017-06-28,2017-06-28,54.71
2017-06-29,2017-06-29,54.08
2017-06-30,2017-06-30,54.02
2017-07-03,2017-07-03,54.83
2017-07-05,2017-07-05,53.93
2017-07-06,2017-07-06,52.84
2017-07-07,2017-07-07,52.5
2017-07-10,2017-07-10,52.49
2017-07-11,2017-07-11,51.99
2017-07-12,2017-07-12,50.35
2017-07-13,2017-07-13,51.42
2017-07-14,2017-07-14,51.62
2017-07-17,2017-07-17,52.0
2017-07-18,2017-07-18,48.95
2017-07-19,2017-07-19,48.77
2017-07-20,2017-07-20,48.77
2017-07-21,2017-07-21,48.26
2017-07-24,2017-07-24,48.48
2017-07-25,2017-07-25,48.14
2017-07-26,2017-07-26,48.64
2017-07-27,2017-07-27,50.26
2017-07-28,2017-07-28,48.86
2017-07-31,2017-07-31,48.67
2017-08-01,2017-08-01,48.86
2017-08-02,2017-08-02,47.8
2017-08-03,2017-08-03,47.99
2017-08-04,2017-08-04,48.34
2017-08-07,2017-08-07,48.06
2017-08-08,2017-08-08,47.81
2017-08-09,2017-08-09,47.8
2017-08-10,2017-08-10,47.32
2017-08-11,2017-08-11,47.54
2017-08-14,2017-08-14,47.9
2017-08-15,2017-08-15,47.68
2017-08-16,2017-08-16,47.55
2017-08-17,2017-08-17,47.1
2017-08-18,2017-08-18,46.88
2017-08-21,2017-08-21,47.22
2017-08-22,2017-08-22,47.97
2017-08-23,2017-08-23,46.85
2017-08-24,2017-08-24,47.2
2017-08-25,2017-08-25,47.72
2017-08-28,2017-08-28,47.06
2017-08-29,2017-08-29,47.07
2017-08-30,2017-08-30,47.19
2017-08-31,2017-08-31,47.01
2017-09-01,2017-09-01,47.37
2017-09-05,2017-09-05,45.93
2017-09-06,2017-09-06,46.65
2017-09-07,2017-09-07,46.95
2017-09-08,2017-09-08,47.38
2017-09-11,2017-09-11,47.57
2017-09-12,2017-09-12,47.52
2017-09-13,2017-09-13,47.96
2017-09-14,2017-09-14,48.91
2017-09-15,2017-09-15,48.01
2017-09-18,2017-09-18,48.56
2017-09-19,2017-09-19,48.14
2017-09-20,2017-09-20,48.35
2017-09-21,2017-09-21,47.96
2017-09-22,2017-09-22,48.24
2017-09-25,2017-09-25,48.95
2017-09-26,2017-09-26,49.59
2017-09-27,2017-09-27,49.3
2017-09-28,2017-09-28,49.15
2017-09-29,2017-09-29,48.21
2017-10-02,2017-10-02,48.55
2017-10-03,2017-10-03,48.95
2017-10-04,2017-10-04,48.78
2017-10-05,2017-10-05,46.85
2017-10-06,2017-10-06,46.21
2017-10-09,2017-10-09,45.78
2017-10-10,2017-10-10,46.32
2017-10-11,2017-10-11,46.27
2017-10-12,2017-10-12,46.46
2017-10-13,2017-10-13,46.62
2017-10-16,2017-10-16,46.57
2017-10-17,2017-10-17,47.52
2017-10-18,2017-10-18,48.02
2017-10-19,2017-10-19,48.09
2017-10-20,2017-10-20,49.5
2017-10-23,2017-10-23,48.51
2017-10-24,2017-10-24,49.47
2017-10-25,2017-10-25,48.89
2017-10-26,2017-10-26,48.8
2017-10-27,2017-10-27,47.84
2017-10-30,2017-10-30,47.2
2017-10-31,2017-10-31,47.34
2017-11-01,2017-11-01,47.8
2017-11-02,2017-11-02,48.32
2017-11-03,2017-11-03,47.04
2017-11-06,2017-11-06,45.15
2017-11-07,2017-11-07,44.78
2017-11-08,2017-11-08,45.51
2017-11-09,2017-11-09,45.85
2017-11-10,2017-11-10,47.3
2017-11-13,2017-11-13,46.88
2017-11-14,2017-11-14,46.93
2017-11-15,2017-11-15,47.47
2017-11-16,2017-11-16,48.1
2017-11-17,2017-11-17,47.25
2017-11-20,2017-11-20,46.76
2017-11-21,2017-11-21,46.68
2017-11-22,2017-11-22,47.68
2017-11-24,2017-11-24,47.4
2017-11-27,2017-11-27,47.52
2017-11-28,2017-11-28,49.25
2017-11-29,2017-11-29,48.98
2017-11-30,2017-11-30,50.2
2017-12-01,2017-12-01,50.03
2017-12-04,2017-12-04,51.81
2017-12-05,2017-12-05,50.64
2017-12-06,2017-12-06,50.88
2017-12-07,2017-12-07,51.18
2017-12-08,2017-12-08,51.19
2017-12-11,2017-12-11,50.79
2017-12-12,2017-12-12,51.02
2017-12-13,2017-12-13,51.01
2017-12-14,2017-12-14,50.02
2017-12-15,2017-12-15,50.46
2017-12-18,2017-12-18,51.65
2017-12-19,2017-12-19,51.19
2017-12-20,2017-12-20,50.71
2017-12-21,2017-12-21,51.81
2017-12-22,2017-12-22,51.84
2017-12-26,2017-12-26,51.77
2017-12-27,2017-12-27,51.28
2017-12-28,2017-12-28,51.57
2017-12-29,2017-12-29,50.88
2018-01-02,2018-01-02,52.06
2018-01-03,2018-01-03,50.1
2018-01-04,2018-01-04,50.97
2018-01-05,2018-01-05,50.97
2018-01-08,2018-01-08,51.54
2018-01-09,2018-01-09,52.27
2018-01-10,2018-01-10,52.15
2018-01-11,2018-01-11,53.63
2018-01-12,2018-01-12,54.41
2018-01-16,2018-01-16,51.98
2018-01-17,2018-01-17,52.51
2018-01-18,2018-01-18,52.34
2018-01-19,2018-01-19,53.0
2018-01-22,2018-01-22,53.81
2018-01-23,2018-01-23,54.07
2018-01-24,2018-01-24,55.95
2018-01-25,2018-01-25,54.7
2018-01-26,2018-01-26,55.15
2018-01-29,2018-01-29,55.29
2018-01-30,2018-01-30,50.84
2018-01-31,2018-01-31,48.46
2018-02-01,2018-02-01,48.68
2018-02-02,2018-02-02,47.5
2018-02-05,2018-02-05,46.4
2018-02-06,2018-02-06,48.62
2018-02-07,2018-02-07,48.48
2018-02-08,2018-02-08,47.54
2018-02-09,2018-02-09,47.83
2018-02-12,2018-02-12,48.35
2018-02-13,2018-02-13,47.25
2018-02-14,2018-02-14,47.94
2018-02-15,2018-02-15,47.65
2018-02-16,2018-02-16,47.16
2018-02-20,2018-02-20,46.64
2018-02-21,2018-02-21,46.3
2018-02-22,2018-02-22,46.67
2018-02-23,2018-02-23,46.61
2018-02-26,2018-02-26,46.63
2018-02-27,2018-02-27,45.54
2018-02-28,2018-02-28,45.38
2018-03-01,2018-03-01,45.11
2018-03-02,2018-03-02,44.2
2018-03-05,2018-03-05,45.23
2018-03-06,2018-03-06,44.33
2018-03-07,2018-03-07,43.9
2018-03-08,2018-03-08,44.34
2018-03-09,2018-03-09,44.35
2018-03-12,2018-03-12,44.82
2018-03-13,2018-03-13,44.85
2018-03-14,2018-03-14,43.46
2018-03-15,2018-03-15,43.42
2018-03-16,2018-03-16,44.14
2018-03-19,2018-03-19,43.54
2018-03-20,2018-03-20,43.0
2018-03-21,2018-03-21,43.28
2018-03-22,2018-03-22,42.13
2018-03-23,2018-03-23,41.44
2018-03-26,2018-03-26,42.4
2018-03-27,2018-03-27,42.02
2018-03-28,2018-03-28,42.68
2018-03-29,2018-03-29,42.88
2018-04-02,2018-04-02,42.05
2018-04-03,2018-04-03,42.62
2018-04-04,2018-04-04,42.69
2018-04-05,2018-04-05,42.61
2018-04-06,2018-04-06,42.19
2018-04-09,2018-04-09,41.95
2018-04-10,2018-04-10,42.38
2018-04-11,2018-04-11,42.05
2018-04-12,2018-04-12,42.14
2018-04-13,2018-04-13,42.2
2018-04-16,2018-04-16,42.04
2018-04-17,2018-04-17,41.99
2018-04-18,2018-04-18,41.9
2018-04-19,2018-04-19,40.96
2018-04-20,2018-04-20,41.04
2018-04-23,2018-04-23,41.01
2018-04-24,2018-04-24,42.01
2018-04-25,2018-04-25,42.33
2018-04-26,2018-04-26,41.82
2018-04-27,2018-04-27,41.82
2018-04-30,2018-04-30,41.13
2018-05-01,2018-05-01,40.73
