DATE,DATE,CLOSE
2016-11-01,2016-11-01,35.66
2016-11-02,2016-11-02,35.37
2016-11-03,2016-11-03,37.19
2016-11-04,2016-11-04,38.08
2016-11-07,2016-11-07,38.68
2016-11-08,2016-11-08,38.77
2016-11-09,2016-11-09,37.16
2016-11-10,2016-11-10,37.6
2016-11-11,2016-11-11,36.74
2016-11-14,2016-11-14,36.45
2016-11-15,2016-11-15,37.6
2016-11-16,2016-11-16,37.48
2016-11-17,2016-11-17,38.58
2016-11-18,2016-11-18,38.37
2016-11-21,2016-11-21,38.65
2016-11-22,2016-11-22,38.47
2016-11-23,2016-11-23,38.97
2016-11-25,2016-11-25,39.06
2016-11-28,2016-11-28,38.68
2016-11-29,2016-11-29,38.98
2016-11-30,2016-11-30,38.28
2016-12-01,2016-12-01,37.64
2016-12-02,2016-12-02,37.92
2016-12-05,2016-12-05,38.51
2016-12-06,2016-12-06,38.89
2016-12-07,2016-12-07,39.0
2016-12-08,2016-12-08,38.96
2016-12-09,2016-12-09,39.02
2016-12-12,2016-12-12,39.75
2016-12-13,2016-12-13,40.52
2016-12-14,2016-12-14,40.79
2016-12-15,2016-12-15,40.69
2016-12-16,2016-12-16,40.09
2016-12-19,2016-12-19,40.08
2016-12-20,2016-12-20,40.03
2016-12-21,2016-12-21,39.99
2016-12-22,2016-12-22,40.07
2016-12-23,2016-12-23,40.33
2016-12-27,2016-12-27,40.28
2016-12-28,2016-12-28,39.89
2016-12-29,2016-12-29,40.08
2016-12-30,2016-12-30,40.12
2017-01-03,2017-01-03,40.15
2017-01-04,2017-01-04,40.03
2017-01-05,2017-01-05,39.79
2017-01-06,2017-01-06,39.88
2017-01-09,2017-01-09,40.05
2017-01-10,2017-01-10,40.435
2017-01-11,2017-01-11,40.69
2017-01-12,2017-01-12,40.17
2017-01-13,2017-01-13,40.18
2017-01-17,2017-01-17,39.93
2017-01-18,2017-01-18,39.95
2017-01-19,2017-01-19,39.6
2017-01-20,2017-01-20,39.35
2017-01-23,2017-01-23,39.26
2017-01-24,2017-01-24,39.38
2017-01-25,2017-01-25,40.27
2017-01-26,2017-01-26,40.17
