DATE,DATE,CLOSE
2016-11-01,2016-11-01,104.505278
2016-11-02,2016-11-02,103.84464
2016-11-03,2016-11-03,103.739321
2016-11-04,2016-11-04,103.643576
2016-11-07,2016-11-07,106.515915
2016-11-08,2016-11-08,105.912724
2016-11-09,2016-11-09,107.578681
2016-11-10,2016-11-10,108.373361
2016-11-11,2016-11-11,108.430808
2016-11-14,2016-11-14,108.229744
2016-11-15,2016-11-15,108.30634
2016-11-16,2016-11-16,107.492511
2016-11-17,2016-11-17,108.287191
2016-11-18,2016-11-18,107.32017
2016-11-21,2016-11-21,107.435064
2016-11-22,2016-11-22,107.731872
2016-11-23,2016-11-23,108.986127
2016-11-25,2016-11-25,109.311659
2016-11-28,2016-11-28,109.005276
2016-11-29,2016-11-29,108.516978
2016-11-30,2016-11-30,109.091446
2016-12-01,2016-12-01,108.832936
2016-12-02,2016-12-02,107.664851
2016-12-05,2016-12-05,108.076553
2016-12-06,2016-12-06,108.258468
2016-12-07,2016-12-07,111.552084
2016-12-08,2016-12-08,110.72868
2016-12-09,2016-12-09,111.283999
2016-12-12,2016-12-12,112.413785
2016-12-13,2016-12-13,113.064849
2016-12-14,2016-12-14,111.552084
2016-12-15,2016-12-15,111.389318
2016-12-16,2016-12-16,111.427616
2016-12-19,2016-12-19,112.298892
2016-12-20,2016-12-20,112.701019
2016-12-21,2016-12-21,112.212722
2016-12-22,2016-12-22,111.944637
2016-12-23,2016-12-23,112.011658
2016-12-27,2016-12-27,112.049956
2016-12-28,2016-12-28,110.824424
2016-12-29,2016-12-29,111.063786
2016-12-30,2016-12-30,110.920169
2017-01-03,2017-01-03,111.236126
2017-01-04,2017-01-04,111.542509
2017-01-05,2017-01-05,111.791445
2017-01-06,2017-01-06,113.486125
2017-01-09,2017-01-09,112.547828
2017-01-10,2017-01-10,112.835062
2017-01-11,2017-01-11,112.988253
2017-01-12,2017-01-12,112.624424
2017-01-13,2017-01-13,113.0457
2017-01-17,2017-01-17,112.241445
2017-01-18,2017-01-18,113.036126
2017-01-19,2017-01-19,112.892509
2017-01-20,2017-01-20,112.806338
2017-01-23,2017-01-23,112.413785
2017-01-24,2017-01-24,112.940381
2017-01-25,2017-01-25,112.863785
2017-01-26,2017-01-26,112.949955
2017-01-27,2017-01-27,113.380806
2017-01-30,2017-01-30,114.041444
2017-01-31,2017-01-31,113.285062
2017-02-01,2017-02-01,112.978679
2017-02-02,2017-02-02,112.969104
2017-02-03,2017-02-03,114.11804
2017-02-06,2017-02-06,114.261657
2017-02-07,2017-02-07,114.625487
2017-02-08,2017-02-08,114.635061
2017-02-09,2017-02-09,115.525486
2017-02-10,2017-02-10,116.664848
2017-02-13,2017-02-13,118.359528
2017-02-14,2017-02-14,118.359528
2017-02-15,2017-02-15,118.991442
2017-02-16,2017-02-16,118.876549
2017-02-17,2017-02-17,119.259527
2017-02-21,2017-02-21,119.403144
2017-02-22,2017-02-22,119.719102
2017-02-23,2017-02-23,119.508463
2017-02-24,2017-02-24,119.709527
2017-02-27,2017-02-27,119.575485
2017-02-28,2017-02-28,119.202081
2017-03-01,2017-03-01,121.835058
2017-03-02,2017-03-02,120.954208
2017-03-03,2017-03-03,120.839314
2017-03-06,2017-03-06,120.714846
2017-03-07,2017-03-07,120.887186
2017-03-08,2017-03-08,121.203144
2017-03-09,2017-03-09,120.820165
2017-03-10,2017-03-10,121.633994
2017-03-13,2017-03-13,121.337186
2017-03-14,2017-03-14,120.360591
2017-03-15,2017-03-15,121.566973
2017-03-16,2017-03-16,120.982931
2017-03-17,2017-03-17,121.748888
2017-03-20,2017-03-20,121.116973
2017-03-21,2017-03-21,120.312718
2017-03-22,2017-03-22,120.159527
2017-03-23,2017-03-23,120.178676
2017-03-24,2017-03-24,119.460591
2017-03-27,2017-03-27,119.202081
2017-03-28,2017-03-28,119.948889
2017-03-29,2017-03-29,119.968038
2017-03-30,2017-03-30,120.073357
2017-03-31,2017-03-31,119.556336
2017-04-03,2017-04-03,119.039315
2017-04-04,2017-04-04,118.895698
2017-04-05,2017-04-05,118.311655
2017-04-06,2017-04-06,118.560591
2017-04-07,2017-04-07,118.981868
2017-04-10,2017-04-10,119.163783
2017-04-11,2017-04-11,119.240378
2017-04-12,2017-04-12,117.909528
2017-04-13,2017-04-13,117.287188
2017-04-17,2017-04-17,118.177613
2017-04-18,2017-04-18,117.842507
2017-04-19,2017-04-19,117.516975
2017-04-20,2017-04-20,118.503145
2017-04-21,2017-04-21,121.672292
2017-04-24,2017-04-24,124.266972
2017-04-25,2017-04-25,123.797823
2017-04-26,2017-04-26,124.563781
2017-04-27,2017-04-27,124.353142
2017-04-28,2017-04-28,125.559525
2017-05-01,2017-05-01,125.329738
2017-05-02,2017-05-02,125.607397
2017-05-03,2017-05-03,125.492504
2017-05-04,2017-05-04,125.616972
2017-05-05,2017-05-05,125.818035
2017-05-08,2017-05-08,125.54995
2017-05-09,2017-05-09,126.296759
2017-05-10,2017-05-10,126.133993
2017-05-11,2017-05-11,126.287184
2017-05-12,2017-05-12,125.894631
2017-05-15,2017-05-15,126.36378
2017-05-16,2017-05-16,126.392503
2017-05-17,2017-05-17,124.410589
2017-05-18,2017-05-18,124.870163
2017-05-19,2017-05-19,125.808461
2017-05-22,2017-05-22,126.229737
2017-05-23,2017-05-23,126.239312
2017-05-24,2017-05-24,126.516971
2017-05-25,2017-05-25,128.05846
2017-05-26,2017-05-26,127.579737
2017-05-30,2017-05-30,127.273354
2017-05-31,2017-05-31,127.330801
2017-06-01,2017-06-01,127.771226
2017-06-02,2017-06-02,128.326545
2017-06-05,2017-06-05,127.809524
2017-06-06,2017-06-06,127.091439
2017-06-07,2017-06-07,127.07229
2017-06-08,2017-06-08,127.866971
2017-06-09,2017-06-09,128.096758
2017-06-12,2017-06-12,127.589311
2017-06-13,2017-06-13,128.671226
2017-06-14,2017-06-14,128.527609
2017-06-15,2017-06-15,128.747821
2017-06-16,2017-06-16,128.901013
2017-06-19,2017-06-19,130.059523
2017-06-20,2017-06-20,129.169098
2017-06-21,2017-06-21,128.537183
2017-06-22,2017-06-22,128.364843
2017-06-23,2017-06-23,128.288247
2017-06-26,2017-06-26,128.546758
2017-06-27,2017-06-27,127.273354
2017-06-28,2017-06-28,128.269098
2017-06-29,2017-06-29,126.689312
2017-06-30,2017-06-30,127.618035
2017-07-03,2017-07-03,128.020162
2017-07-05,2017-07-05,128.106332
2017-07-06,2017-07-06,127.69463
2017-07-07,2017-07-07,128.412715
2017-07-10,2017-07-10,128.95846
2017-07-11,2017-07-11,128.50846
2017-07-12,2017-07-12,129.035055
2017-07-13,2017-07-13,129.571225
2017-07-14,2017-07-14,130.049949
2017-07-17,2017-07-17,129.504204
2017-07-18,2017-07-18,129.437183
2017-07-19,2017-07-19,130.356331
2017-07-20,2017-07-20,129.207396
