DATE,DATE,CLOSE
2016-11-01,2016-11-01,63.68
2016-11-02,2016-11-02,62.38
2016-11-03,2016-11-03,62.49
2016-11-04,2016-11-04,62.42
2016-11-07,2016-11-07,62.46
2016-11-08,2016-11-08,62.48
2016-11-09,2016-11-09,63.56
2016-11-10,2016-11-10,63.69
2016-11-11,2016-11-11,62.17
2016-11-14,2016-11-14,63.78
2016-11-15,2016-11-15,66.64
2016-11-16,2016-11-16,65.94
2016-11-17,2016-11-17,67.18
2016-11-18,2016-11-18,68.25
2016-11-21,2016-11-21,69.12
2016-11-22,2016-11-22,69.47
2016-11-23,2016-11-23,70.23
2016-11-25,2016-11-25,69.6
2016-11-28,2016-11-28,68.43
2016-11-29,2016-11-29,67.57
2016-11-30,2016-11-30,75.65
2016-12-01,2016-12-01,77.85
2016-12-02,2016-12-02,79.45
2016-12-05,2016-12-05,81.31
2016-12-06,2016-12-06,79.92
2016-12-07,2016-12-07,80.86
2016-12-08,2016-12-08,81.38
2016-12-09,2016-12-09,81.75
2016-12-12,2016-12-12,83.18
2016-12-13,2016-12-13,83.46
2016-12-14,2016-12-14,81.27
2016-12-15,2016-12-15,80.45
2016-12-16,2016-12-16,78.7
2016-12-19,2016-12-19,78.45
2016-12-20,2016-12-20,78.84
2016-12-21,2016-12-21,79.5
2016-12-22,2016-12-22,78.65
2016-12-23,2016-12-23,78.34
2016-12-27,2016-12-27,79.96
2016-12-28,2016-12-28,78.39
2016-12-29,2016-12-29,78.17
2016-12-30,2016-12-30,77.4
2017-01-03,2017-01-03,78.76
2017-01-04,2017-01-04,78.54
2017-01-05,2017-01-05,78.8
2017-01-06,2017-01-06,81.07
2017-01-09,2017-01-09,79.3
2017-01-10,2017-01-10,78.84
2017-01-11,2017-01-11,79.63
2017-01-12,2017-01-12,79.01
2017-01-13,2017-01-13,78.31
2017-01-17,2017-01-17,79.8
2017-01-18,2017-01-18,78.49
2017-01-19,2017-01-19,77.72
2017-01-20,2017-01-20,77.99
2017-01-23,2017-01-23,76.8
2017-01-24,2017-01-24,79.91
2017-01-25,2017-01-25,81.11
2017-01-26,2017-01-26,75.11
2017-01-27,2017-01-27,72.68
2017-01-30,2017-01-30,70.45
2017-01-31,2017-01-31,71.16
2017-02-01,2017-02-01,71.1
2017-02-02,2017-02-02,70.07
2017-02-03,2017-02-03,70.61
2017-02-06,2017-02-06,69.02
2017-02-07,2017-02-07,68.32
2017-02-08,2017-02-08,69.47
2017-02-09,2017-02-09,68.5
2017-02-10,2017-02-10,69.23
2017-02-13,2017-02-13,69.18
2017-02-14,2017-02-14,70.65
2017-02-15,2017-02-15,68.73
2017-02-16,2017-02-16,68.49
2017-02-17,2017-02-17,68.26
2017-02-21,2017-02-21,69.03
2017-02-22,2017-02-22,67.41
2017-02-23,2017-02-23,68.77
2017-02-24,2017-02-24,67.53
2017-02-27,2017-02-27,68.58
2017-02-28,2017-02-28,68.37
2017-03-01,2017-03-01,69.91
2017-03-02,2017-03-02,68.47
2017-03-03,2017-03-03,69.24
2017-03-06,2017-03-06,69.74
2017-03-07,2017-03-07,68.37
2017-03-08,2017-03-08,66.48
2017-03-09,2017-03-09,66.96
2017-03-10,2017-03-10,67.3
2017-03-13,2017-03-13,68.47
2017-03-14,2017-03-14,67.9
2017-03-15,2017-03-15,69.47
2017-03-16,2017-03-16,68.23
2017-03-17,2017-03-17,67.98
2017-03-20,2017-03-20,67.89
2017-03-21,2017-03-21,66.95
2017-03-22,2017-03-22,66.32
2017-03-23,2017-03-23,65.91
2017-03-24,2017-03-24,65.03
2017-03-27,2017-03-27,64.15
2017-03-28,2017-03-28,64.78
2017-03-29,2017-03-29,66.11
2017-03-30,2017-03-30,66.53
2017-03-31,2017-03-31,66.57
2017-04-03,2017-04-03,66.69
2017-04-04,2017-04-04,66.97
2017-04-05,2017-04-05,67.12
2017-04-06,2017-04-06,68.01
2017-04-07,2017-04-07,67.32
2017-04-10,2017-04-10,68.78
2017-04-11,2017-04-11,69.08
2017-04-12,2017-04-12,68.71
2017-04-13,2017-04-13,67.35
2017-04-17,2017-04-17,67.27
2017-04-18,2017-04-18,66.52
2017-04-19,2017-04-19,64.89
2017-04-20,2017-04-20,64.83
2017-04-21,2017-04-21,65.09
2017-04-24,2017-04-24,65.15
2017-04-25,2017-04-25,65.39
2017-04-26,2017-04-26,65.21
2017-04-27,2017-04-27,61.55
2017-04-28,2017-04-28,60.64
2017-05-01,2017-05-01,58.79
2017-05-02,2017-05-02,58.72
2017-05-03,2017-05-03,59.11
2017-05-04,2017-05-04,58.05
2017-05-05,2017-05-05,59.63
2017-05-08,2017-05-08,59.77
2017-05-09,2017-05-09,58.18
2017-05-10,2017-05-10,59.28
2017-05-11,2017-05-11,58.38
2017-05-12,2017-05-12,57.42
2017-05-15,2017-05-15,58.55
2017-05-16,2017-05-16,58.24
2017-05-17,2017-05-17,56.71
2017-05-18,2017-05-18,57.05
2017-05-19,2017-05-19,60.04
2017-05-22,2017-05-22,59.88
2017-05-23,2017-05-23,57.49
2017-05-24,2017-05-24,56.01
2017-05-25,2017-05-25,53.79
2017-05-26,2017-05-26,53.67
2017-05-30,2017-05-30,52.82
2017-05-31,2017-05-31,52.66
2017-06-01,2017-06-01,53.74
2017-06-02,2017-06-02,53.11
2017-06-05,2017-06-05,53.69
2017-06-06,2017-06-06,53.3
2017-06-07,2017-06-07,50.08
2017-06-08,2017-06-08,50.4
2017-06-09,2017-06-09,53.27
2017-06-12,2017-06-12,54.89
2017-06-13,2017-06-13,55.85
2017-06-14,2017-06-14,53.83
2017-06-15,2017-06-15,53.65
2017-06-16,2017-06-16,55.0
2017-06-19,2017-06-19,54.07
2017-06-20,2017-06-20,53.47
2017-06-21,2017-06-21,51.92
2017-06-22,2017-06-22,52.12
2017-06-23,2017-06-23,52.74
2017-06-26,2017-06-26,53.16
2017-06-27,2017-06-27,52.81
2017-06-28,2017-06-28,53.51
2017-06-29,2017-06-29,54.37
2017-06-30,2017-06-30,54.34
2017-07-03,2017-07-03,55.74
2017-07-05,2017-07-05,54.34
2017-07-06,2017-07-06,53.47
2017-07-07,2017-07-07,52.88
2017-07-10,2017-07-10,53.29
2017-07-11,2017-07-11,53.91
2017-07-12,2017-07-12,53.5
2017-07-13,2017-07-13,54.48
2017-07-14,2017-07-14,55.35
2017-07-17,2017-07-17,55.32
2017-07-18,2017-07-18,55.36
2017-07-19,2017-07-19,58.12
2017-07-20,2017-07-20,57.26
2017-07-21,2017-07-21,54.13
2017-07-24,2017-07-24,54.37
2017-07-25,2017-07-25,56.16
2017-07-26,2017-07-26,55.07
2017-07-27,2017-07-27,53.05
2017-07-28,2017-07-28,51.82
2017-07-31,2017-07-31,50.62
2017-08-01,2017-08-01,49.2
2017-08-02,2017-08-02,49.06
2017-08-03,2017-08-03,49.54
2017-08-04,2017-08-04,49.34
2017-08-07,2017-08-07,47.43
2017-08-08,2017-08-08,46.4
2017-08-09,2017-08-09,46.48
2017-08-10,2017-08-10,46.41
2017-08-11,2017-08-11,46.18
2017-08-14,2017-08-14,46.09
2017-08-15,2017-08-15,45.58
2017-08-16,2017-08-16,43.77
2017-08-17,2017-08-17,43.15
2017-08-18,2017-08-18,43.7
2017-08-21,2017-08-21,43.25
2017-08-22,2017-08-22,43.85
2017-08-23,2017-08-23,44.52
