DATE,DATE,CLOSE
2016-11-01,2016-11-01,14.35
2016-11-02,2016-11-02,14.65
2016-11-03,2016-11-03,14.54
2016-11-04,2016-11-04,14.71
2016-11-07,2016-11-07,15.05
2016-11-08,2016-11-08,15.28
2016-11-09,2016-11-09,15.57
2016-11-10,2016-11-10,15.49
2016-11-11,2016-11-11,15.82
2016-11-14,2016-11-14,16.1
2016-11-15,2016-11-15,15.87
2016-11-16,2016-11-16,15.8
2016-11-17,2016-11-17,15.89
2016-11-18,2016-11-18,15.87
2016-11-21,2016-11-21,16.0
2016-11-22,2016-11-22,15.95
2016-11-23,2016-11-23,14.87
2016-11-25,2016-11-25,15.18
2016-11-28,2016-11-28,15.08
2016-11-29,2016-11-29,15.15
2016-11-30,2016-11-30,15.4
2016-12-01,2016-12-01,15.06
2016-12-02,2016-12-02,15.12
2016-12-05,2016-12-05,15.55
2016-12-06,2016-12-06,15.6
2016-12-07,2016-12-07,16.15
2016-12-08,2016-12-08,16.16
2016-12-09,2016-12-09,15.78
2016-12-12,2016-12-12,15.83
2016-12-13,2016-12-13,15.82
2016-12-14,2016-12-14,15.61
2016-12-15,2016-12-15,15.51
2016-12-16,2016-12-16,15.05
2016-12-19,2016-12-19,15.12
2016-12-20,2016-12-20,15.08
2016-12-21,2016-12-21,15.14
2016-12-22,2016-12-22,15.14
2016-12-23,2016-12-23,15.1
2016-12-27,2016-12-27,15.21
2016-12-28,2016-12-28,14.94
2016-12-29,2016-12-29,14.94
2016-12-30,2016-12-30,14.84
2017-01-03,2017-01-03,14.85
2017-01-04,2017-01-04,15.08
2017-01-05,2017-01-05,15.07
2017-01-06,2017-01-06,15.0
2017-01-09,2017-01-09,14.68
2017-01-10,2017-01-10,14.69
2017-01-11,2017-01-11,14.94
2017-01-12,2017-01-12,14.79
2017-01-13,2017-01-13,14.77
2017-01-17,2017-01-17,14.58
2017-01-18,2017-01-18,14.58
2017-01-19,2017-01-19,14.86
2017-01-20,2017-01-20,14.73
2017-01-23,2017-01-23,14.67
2017-01-24,2017-01-24,15.17
2017-01-25,2017-01-25,15.19
2017-01-26,2017-01-26,14.79
2017-01-27,2017-01-27,14.8
2017-01-30,2017-01-30,14.84
2017-01-31,2017-01-31,15.05
2017-02-01,2017-02-01,14.99
2017-02-02,2017-02-02,15.21
2017-02-03,2017-02-03,15.27
2017-02-06,2017-02-06,15.26
2017-02-07,2017-02-07,15.43
2017-02-08,2017-02-08,15.51
2017-02-09,2017-02-09,15.64
2017-02-10,2017-02-10,15.72
2017-02-13,2017-02-13,16.04
2017-02-14,2017-02-14,16.06
2017-02-15,2017-02-15,15.98
2017-02-16,2017-02-16,15.92
2017-02-17,2017-02-17,15.95
2017-02-21,2017-02-21,16.13
2017-02-22,2017-02-22,16.2
2017-02-23,2017-02-23,17.6
2017-02-24,2017-02-24,17.65
2017-02-27,2017-02-27,17.65
2017-02-28,2017-02-28,17.37
2017-03-01,2017-03-01,17.62
2017-03-02,2017-03-02,17.32
2017-03-03,2017-03-03,17.35
2017-03-06,2017-03-06,17.3
2017-03-07,2017-03-07,17.27
2017-03-08,2017-03-08,17.32
2017-03-09,2017-03-09,17.36
2017-03-10,2017-03-10,17.39
2017-03-13,2017-03-13,17.49
2017-03-14,2017-03-14,17.47
2017-03-15,2017-03-15,17.57
2017-03-16,2017-03-16,17.65
2017-03-17,2017-03-17,17.56
2017-03-20,2017-03-20,17.56
2017-03-21,2017-03-21,17.15
2017-03-22,2017-03-22,17.23
2017-03-23,2017-03-23,17.21
2017-03-24,2017-03-24,17.23
2017-03-27,2017-03-27,17.2
2017-03-28,2017-03-28,17.26
2017-03-29,2017-03-29,17.26
2017-03-30,2017-03-30,17.65
2017-03-31,2017-03-31,17.88
