DATE,DATE,CLOSE
2016-11-01,2016-11-01,15.174572
2016-11-02,2016-11-02,15.154684
2016-11-03,2016-11-03,14.746979
2016-11-04,2016-11-04,15.075132
2016-11-07,2016-11-07,15.622053
2016-11-08,2016-11-08,15.880597
2016-11-09,2016-11-09,16.019813
2016-11-10,2016-11-10,15.980037
2016-11-11,2016-11-11,16.387742
2016-11-14,2016-11-14,17.282704
2016-11-15,2016-11-15,17.024159
2016-11-16,2016-11-16,16.884943
2016-11-17,2016-11-17,16.596567
2016-11-18,2016-11-18,16.318134
2016-11-21,2016-11-21,16.586623
2016-11-22,2016-11-22,16.835223
2016-11-23,2016-11-23,16.795447
2016-11-25,2016-11-25,16.845167
2016-11-28,2016-11-28,16.874999
2016-11-29,2016-11-29,17.203152
2016-11-30,2016-11-30,17.740129
2016-12-01,2016-12-01,18.038449
2016-12-02,2016-12-02,17.640688
2016-12-05,2016-12-05,18.167721
2016-12-06,2016-12-06,18.376546
2016-12-07,2016-12-07,18.814083
2016-12-08,2016-12-08,18.903579
2016-12-09,2016-12-09,19.072627
2016-12-12,2016-12-12,18.883691
2016-12-13,2016-12-13,18.943355
2016-12-14,2016-12-14,18.764363
2016-12-15,2016-12-15,18.814083
2016-12-16,2016-12-16,18.903579
2016-12-19,2016-12-19,19.072627
2016-12-20,2016-12-20,19.012963
2016-12-21,2016-12-21,19.062683
2016-12-22,2016-12-22,18.694754
2016-12-23,2016-12-23,18.824027
2016-12-27,2016-12-27,18.853859
2016-12-28,2016-12-28,18.514866
2016-12-29,2016-12-29,18.694331
2016-12-30,2016-12-30,18.784064
2017-01-03,2017-01-03,19.073203
2017-01-04,2017-01-04,19.28258
2017-01-05,2017-01-05,18.445074
2017-01-06,2017-01-06,18.195816
2017-01-09,2017-01-09,18.145964
2017-01-10,2017-01-10,17.976469
2017-01-11,2017-01-11,18.126024
2017-01-12,2017-01-12,17.966499
2017-01-13,2017-01-13,18.205786
2017-01-17,2017-01-17,18.096113
2017-01-18,2017-01-18,18.255638
2017-01-19,2017-01-19,18.165905
2017-01-20,2017-01-20,18.275578
2017-01-23,2017-01-23,18.185845
2017-01-24,2017-01-24,18.215756
2017-01-25,2017-01-25,18.425133
2017-01-26,2017-01-26,18.554747
2017-01-27,2017-01-27,18.534806
2017-01-30,2017-01-30,17.886736
2017-01-31,2017-01-31,18.01635
2017-02-01,2017-02-01,17.816944
2017-02-02,2017-02-02,17.856825
2017-02-03,2017-02-03,18.036291
2017-02-06,2017-02-06,17.826914
2017-02-07,2017-02-07,17.956528
2017-02-08,2017-02-08,18.275578
2017-02-09,2017-02-09,18.295519
2017-02-10,2017-02-10,18.305489
2017-02-13,2017-02-13,18.504895
2017-02-14,2017-02-14,18.694331
2017-02-15,2017-02-15,18.564717
2017-02-16,2017-02-16,18.524836
2017-02-17,2017-02-17,18.3354
