DATE,DATE,CLOSE
2016-11-01,2016-11-01,101.99
2016-11-02,2016-11-02,101.84
2016-11-03,2016-11-03,100.68
2016-11-04,2016-11-04,100.0
2016-11-07,2016-11-07,101.6
2016-11-08,2016-11-08,101.19
2016-11-09,2016-11-09,100.46
2016-11-10,2016-11-10,97.27
2016-11-11,2016-11-11,97.25
2016-11-14,2016-11-14,98.92
2016-11-15,2016-11-15,99.13
2016-11-16,2016-11-16,99.3
2016-11-17,2016-11-17,99.16
2016-11-18,2016-11-18,98.56
2016-11-21,2016-11-21,97.79
2016-11-22,2016-11-22,97.72
2016-11-23,2016-11-23,97.16
2016-11-25,2016-11-25,97.73
2016-11-28,2016-11-28,97.84
2016-11-29,2016-11-29,98.13
2016-11-30,2016-11-30,96.64
2016-12-01,2016-12-01,96.28
2016-12-02,2016-12-02,97.08
2016-12-05,2016-12-05,97.89
2016-12-06,2016-12-06,98.49
2016-12-07,2016-12-07,99.16
2016-12-08,2016-12-08,98.44
2016-12-09,2016-12-09,100.3
2016-12-12,2016-12-12,101.1
2016-12-13,2016-12-13,100.89
2016-12-14,2016-12-14,99.99
2016-12-15,2016-12-15,100.71
2016-12-16,2016-12-16,101.16
2016-12-19,2016-12-19,101.46
2016-12-20,2016-12-20,102.61
2016-12-21,2016-12-21,103.17
2016-12-22,2016-12-22,104.44
2016-12-23,2016-12-23,103.62
2016-12-27,2016-12-27,103.8
2016-12-28,2016-12-28,103.15
2016-12-29,2016-12-29,103.99
2016-12-30,2016-12-30,103.43
2017-01-03,2017-01-03,103.92
2017-01-04,2017-01-04,104.12
2017-01-05,2017-01-05,103.45
2017-01-06,2017-01-06,104.51
2017-01-09,2017-01-09,103.89
2017-01-10,2017-01-10,104.83
2017-01-11,2017-01-11,104.95
2017-01-12,2017-01-12,104.68
2017-01-13,2017-01-13,104.85
2017-01-17,2017-01-17,105.17
2017-01-18,2017-01-18,105.65
2017-01-19,2017-01-19,105.22
2017-01-20,2017-01-20,105.57
2017-01-23,2017-01-23,105.3
2017-01-24,2017-01-24,106.52
2017-01-25,2017-01-25,106.3
2017-01-26,2017-01-26,105.67
2017-01-27,2017-01-27,105.51
2017-01-30,2017-01-30,105.07
2017-01-31,2017-01-31,105.47
2017-02-01,2017-02-01,105.12
2017-02-02,2017-02-02,105.59
2017-02-03,2017-02-03,106.98
2017-02-06,2017-02-06,107.41
2017-02-07,2017-02-07,107.19
2017-02-08,2017-02-08,106.98
2017-02-09,2017-02-09,108.11
2017-02-10,2017-02-10,107.62
2017-02-13,2017-02-13,108.21
2017-02-14,2017-02-14,108.34
2017-02-15,2017-02-15,108.8
2017-02-16,2017-02-16,107.65
2017-02-17,2017-02-17,107.25
2017-02-21,2017-02-21,108.48
2017-02-22,2017-02-22,107.95
2017-02-23,2017-02-23,108.65
2017-02-24,2017-02-24,108.9
2017-02-27,2017-02-27,107.8
2017-02-28,2017-02-28,108.35
2017-03-01,2017-03-01,109.4
2017-03-02,2017-03-02,109.13
2017-03-03,2017-03-03,108.66
2017-03-06,2017-03-06,108.6
2017-03-07,2017-03-07,108.15
2017-03-08,2017-03-08,108.57
2017-03-09,2017-03-09,109.36
2017-03-10,2017-03-10,108.93
2017-03-13,2017-03-13,108.7
2017-03-14,2017-03-14,108.52
2017-03-15,2017-03-15,109.29
2017-03-16,2017-03-16,109.47
2017-03-17,2017-03-17,109.01
2017-03-20,2017-03-20,108.85
2017-03-21,2017-03-21,108.11
2017-03-22,2017-03-22,107.94
2017-03-23,2017-03-23,108.1
2017-03-24,2017-03-24,107.98
2017-03-27,2017-03-27,108.26
2017-03-28,2017-03-28,109.15
2017-03-29,2017-03-29,109.61
2017-03-30,2017-03-30,108.9
2017-03-31,2017-03-31,109.25
2017-04-03,2017-04-03,108.92
2017-04-04,2017-04-04,108.39
2017-04-05,2017-04-05,109.07
2017-04-06,2017-04-06,108.88
2017-04-07,2017-04-07,109.52
2017-04-10,2017-04-10,108.32
2017-04-11,2017-04-11,108.41
2017-04-12,2017-04-12,109.05
2017-04-13,2017-04-13,108.2
2017-04-17,2017-04-17,108.7
2017-04-18,2017-04-18,109.47
2017-04-19,2017-04-19,108.63
2017-04-20,2017-04-20,108.8
2017-04-21,2017-04-21,107.4
2017-04-24,2017-04-24,108.44
2017-04-25,2017-04-25,108.46
2017-04-26,2017-04-26,107.5
2017-04-27,2017-04-27,107.38
2017-04-28,2017-04-28,108.2
2017-05-01,2017-05-01,107.05
2017-05-02,2017-05-02,107.06
2017-05-03,2017-05-03,106.74
2017-05-04,2017-05-04,107.28
2017-05-05,2017-05-05,107.55
2017-05-08,2017-05-08,107.0
2017-05-09,2017-05-09,106.41
2017-05-10,2017-05-10,106.63
2017-05-11,2017-05-11,106.55
2017-05-12,2017-05-12,107.07
2017-05-15,2017-05-15,107.85
2017-05-16,2017-05-16,107.21
2017-05-17,2017-05-17,108.77
2017-05-18,2017-05-18,110.76
2017-05-19,2017-05-19,111.98
2017-05-22,2017-05-22,112.77
2017-05-23,2017-05-23,113.14
2017-05-24,2017-05-24,114.36
2017-05-25,2017-05-25,115.31
2017-05-26,2017-05-26,115.96
2017-05-30,2017-05-30,115.52
2017-05-31,2017-05-31,115.27
2017-06-01,2017-06-01,115.82
2017-06-02,2017-06-02,115.88
2017-06-05,2017-06-05,115.43
2017-06-06,2017-06-06,115.48
2017-06-07,2017-06-07,115.48
2017-06-08,2017-06-08,113.81
2017-06-09,2017-06-09,114.02
2017-06-12,2017-06-12,113.6
