DATE,DATE,CLOSE
2016-11-01,2016-11-01,168.66
2016-11-02,2016-11-02,168.19
2016-11-03,2016-11-03,165.31
2016-11-04,2016-11-04,167.42
2016-11-07,2016-11-07,174.91
2016-11-08,2016-11-08,179.03
2016-11-09,2016-11-09,186.0
2016-11-10,2016-11-10,192.88
2016-11-11,2016-11-11,193.19
2016-11-14,2016-11-14,198.84
2016-11-15,2016-11-15,198.82
2016-11-16,2016-11-16,200.47
2016-11-17,2016-11-17,202.06
2016-11-18,2016-11-18,200.16
2016-11-21,2016-11-21,199.99
2016-11-22,2016-11-22,205.71
2016-11-23,2016-11-23,207.93
2016-11-25,2016-11-25,207.88
2016-11-28,2016-11-28,208.0
2016-11-29,2016-11-29,210.0
2016-11-30,2016-11-30,212.64
2016-12-01,2016-12-01,216.76
2016-12-02,2016-12-02,213.63
2016-12-05,2016-12-05,208.83
2016-12-06,2016-12-06,204.3
2016-12-07,2016-12-07,203.0
2016-12-08,2016-12-08,206.7
2016-12-09,2016-12-09,203.29
2016-12-12,2016-12-12,202.93
2016-12-13,2016-12-13,204.57
2016-12-14,2016-12-14,205.24
2016-12-15,2016-12-15,204.65
2016-12-16,2016-12-16,205.64
2016-12-19,2016-12-19,200.41
2016-12-20,2016-12-20,200.25
2016-12-21,2016-12-21,199.8
2016-12-22,2016-12-22,202.93
2016-12-23,2016-12-23,205.53
2016-12-27,2016-12-27,206.06
2016-12-28,2016-12-28,204.6
2016-12-29,2016-12-29,202.92
2016-12-30,2016-12-30,204.03
2017-01-03,2017-01-03,197.61
2017-01-04,2017-01-04,197.78
2017-01-05,2017-01-05,200.73
2017-01-06,2017-01-06,201.73
2017-01-09,2017-01-09,202.99
2017-01-10,2017-01-10,200.95
2017-01-11,2017-01-11,203.48
2017-01-12,2017-01-12,205.25
2017-01-13,2017-01-13,202.92
2017-01-17,2017-01-17,204.04
2017-01-18,2017-01-18,206.11
2017-01-19,2017-01-19,206.0
2017-01-20,2017-01-20,200.53
2017-01-23,2017-01-23,205.02
2017-01-24,2017-01-24,199.94
2017-01-25,2017-01-25,201.74
2017-01-26,2017-01-26,200.13
2017-01-27,2017-01-27,201.66
2017-01-30,2017-01-30,199.26
2017-01-31,2017-01-31,198.5
2017-02-01,2017-02-01,198.48
2017-02-02,2017-02-02,199.39
2017-02-03,2017-02-03,198.24
2017-02-06,2017-02-06,196.47
2017-02-07,2017-02-07,195.24
2017-02-08,2017-02-08,199.64
2017-02-09,2017-02-09,207.03
2017-02-10,2017-02-10,205.43
2017-02-13,2017-02-13,206.7
2017-02-14,2017-02-14,205.97
2017-02-15,2017-02-15,205.32
2017-02-16,2017-02-16,208.74
2017-02-17,2017-02-17,204.6
2017-02-21,2017-02-21,205.34
2017-02-22,2017-02-22,205.7
2017-02-23,2017-02-23,205.01
2017-02-24,2017-02-24,207.28
2017-02-27,2017-02-27,208.75
2017-02-28,2017-02-28,211.25
2017-03-01,2017-03-01,213.99
2017-03-02,2017-03-02,212.57
2017-03-03,2017-03-03,213.97
2017-03-06,2017-03-06,212.74
2017-03-07,2017-03-07,217.95
2017-03-08,2017-03-08,217.45
2017-03-09,2017-03-09,217.79
2017-03-10,2017-03-10,217.93
2017-03-13,2017-03-13,219.18
2017-03-14,2017-03-14,218.0
2017-03-15,2017-03-15,219.08
2017-03-16,2017-03-16,219.25
2017-03-17,2017-03-17,218.9
2017-03-20,2017-03-20,215.4
2017-03-21,2017-03-21,213.55
2017-03-22,2017-03-22,213.33
2017-03-23,2017-03-23,209.91
2017-03-24,2017-03-24,207.27
2017-03-27,2017-03-27,203.48
2017-03-28,2017-03-28,206.63
2017-03-29,2017-03-29,206.03
2017-03-30,2017-03-30,206.87
2017-03-31,2017-03-31,206.14
2017-04-03,2017-04-03,209.77
2017-04-04,2017-04-04,211.05
2017-04-05,2017-04-05,210.07
2017-04-06,2017-04-06,212.6
2017-04-07,2017-04-07,210.75
2017-04-10,2017-04-10,212.58
2017-04-11,2017-04-11,212.9
2017-04-12,2017-04-12,212.99
2017-04-13,2017-04-13,211.8
2017-04-17,2017-04-17,212.77
2017-04-18,2017-04-18,211.7
2017-04-19,2017-04-19,213.11
2017-04-20,2017-04-20,214.24
2017-04-21,2017-04-21,213.67
2017-04-24,2017-04-24,213.76
2017-04-25,2017-04-25,217.97
2017-04-26,2017-04-26,219.35
2017-04-27,2017-04-27,218.67
2017-04-28,2017-04-28,221.98
2017-05-01,2017-05-01,223.37
2017-05-02,2017-05-02,225.6
2017-05-03,2017-05-03,224.02
2017-05-04,2017-05-04,228.85
2017-05-05,2017-05-05,229.76
2017-05-08,2017-05-08,229.25
2017-05-09,2017-05-09,230.59
2017-05-10,2017-05-10,230.8
2017-05-11,2017-05-11,230.73
2017-05-12,2017-05-12,231.99
2017-05-15,2017-05-15,231.11
2017-05-16,2017-05-16,226.2
2017-05-17,2017-05-17,224.92
2017-05-18,2017-05-18,228.81
2017-05-19,2017-05-19,227.89
2017-05-22,2017-05-22,230.3
2017-05-23,2017-05-23,229.28
2017-05-24,2017-05-24,231.61
2017-05-25,2017-05-25,232.23
2017-05-26,2017-05-26,232.25
2017-05-30,2017-05-30,230.37
2017-05-31,2017-05-31,232.26
2017-06-01,2017-06-01,235.0
2017-06-02,2017-06-02,234.21
2017-06-05,2017-06-05,232.76
2017-06-06,2017-06-06,233.5
2017-06-07,2017-06-07,233.75
2017-06-08,2017-06-08,230.26
2017-06-09,2017-06-09,229.69
2017-06-12,2017-06-12,228.1
2017-06-13,2017-06-13,231.95
2017-06-14,2017-06-14,231.71
2017-06-15,2017-06-15,232.41
2017-06-16,2017-06-16,234.46
2017-06-19,2017-06-19,235.49
2017-06-20,2017-06-20,232.97
2017-06-21,2017-06-21,236.21
2017-06-22,2017-06-22,237.0
2017-06-23,2017-06-23,238.42
2017-06-26,2017-06-26,234.75
2017-06-27,2017-06-27,237.07
2017-06-28,2017-06-28,239.76
2017-06-29,2017-06-29,239.34
2017-06-30,2017-06-30,240.62
2017-07-03,2017-07-03,238.95
2017-07-05,2017-07-05,242.32
2017-07-06,2017-07-06,238.46
2017-07-07,2017-07-07,238.23
2017-07-10,2017-07-10,239.04
2017-07-11,2017-07-11,239.04
2017-07-12,2017-07-12,239.22
2017-07-13,2017-07-13,238.06
2017-07-14,2017-07-14,239.09
2017-07-17,2017-07-17,237.56
2017-07-18,2017-07-18,235.06
2017-07-19,2017-07-19,236.23
2017-07-20,2017-07-20,235.83
2017-07-21,2017-07-21,235.92
2017-07-24,2017-07-24,235.5
2017-07-25,2017-07-25,234.91
2017-07-26,2017-07-26,233.5
2017-07-27,2017-07-27,232.6
2017-07-28,2017-07-28,233.08
2017-07-31,2017-07-31,231.2
2017-08-01,2017-08-01,230.77
2017-08-02,2017-08-02,241.09
2017-08-03,2017-08-03,248.84
2017-08-04,2017-08-04,245.93
2017-08-07,2017-08-07,249.62
2017-08-08,2017-08-08,250.22
2017-08-09,2017-08-09,254.96
2017-08-10,2017-08-10,251.67
2017-08-11,2017-08-11,249.99
2017-08-14,2017-08-14,250.25
2017-08-15,2017-08-15,246.83
2017-08-16,2017-08-16,247.36
2017-08-17,2017-08-17,247.66
2017-08-18,2017-08-18,247.28
2017-08-21,2017-08-21,249.36
2017-08-22,2017-08-22,253.28
