DATE,DATE,CLOSE
2016-11-01,2016-11-01,85.3
2016-11-02,2016-11-02,84.97
2016-11-03,2016-11-03,85.19
2016-11-04,2016-11-04,85.1
2016-11-07,2016-11-07,87.55
2016-11-08,2016-11-08,87.92
2016-11-09,2016-11-09,90.58
2016-11-10,2016-11-10,92.59
2016-11-11,2016-11-11,92.5
2016-11-14,2016-11-14,92.81
2016-11-15,2016-11-15,92.64
2016-11-16,2016-11-16,92.33
2016-11-17,2016-11-17,92.03
2016-11-18,2016-11-18,91.97
2016-11-21,2016-11-21,92.52
2016-11-22,2016-11-22,93.5
2016-11-23,2016-11-23,93.52
2016-11-25,2016-11-25,93.72
2016-11-28,2016-11-28,93.54
2016-11-29,2016-11-29,93.47
2016-11-30,2016-11-30,93.61
2016-12-01,2016-12-01,95.64
2016-12-02,2016-12-02,94.96
2016-12-05,2016-12-05,95.24
2016-12-06,2016-12-06,95.27
2016-12-07,2016-12-07,94.8
2016-12-08,2016-12-08,94.28
2016-12-09,2016-12-09,93.73
2016-12-12,2016-12-12,93.51
2016-12-13,2016-12-13,93.51
2016-12-14,2016-12-14,92.08
2016-12-15,2016-12-15,91.82
2016-12-16,2016-12-16,91.15
2016-12-19,2016-12-19,91.82
2016-12-20,2016-12-20,91.56
2016-12-21,2016-12-21,90.9
2016-12-22,2016-12-22,90.86
2016-12-23,2016-12-23,90.79
2016-12-27,2016-12-27,91.1
2016-12-28,2016-12-28,89.64
2016-12-29,2016-12-29,89.92
2016-12-30,2016-12-30,90.06
2017-01-03,2017-01-03,91.22
2017-01-04,2017-01-04,91.64
2017-01-05,2017-01-05,90.82
2017-01-06,2017-01-06,90.6
2017-01-09,2017-01-09,89.53
2017-01-10,2017-01-10,90.81
2017-01-11,2017-01-11,91.39
2017-01-12,2017-01-12,90.57
2017-01-13,2017-01-13,91.72
2017-01-17,2017-01-17,90.47
2017-01-18,2017-01-18,90.62
2017-01-19,2017-01-19,90.75
2017-01-20,2017-01-20,91.14
2017-01-23,2017-01-23,90.35
2017-01-24,2017-01-24,92.14
2017-01-25,2017-01-25,92.97
2017-01-26,2017-01-26,92.65
2017-01-27,2017-01-27,92.5
2017-01-30,2017-01-30,92.02
2017-01-31,2017-01-31,90.16
2017-02-01,2017-02-01,89.47
2017-02-02,2017-02-02,89.34
2017-02-03,2017-02-03,91.03
2017-02-06,2017-02-06,90.12
2017-02-07,2017-02-07,90.13
2017-02-08,2017-02-08,90.03
2017-02-09,2017-02-09,90.14
2017-02-10,2017-02-10,90.93
2017-02-13,2017-02-13,91.96
2017-02-14,2017-02-14,91.44
2017-02-15,2017-02-15,92.4
2017-02-16,2017-02-16,92.22
2017-02-17,2017-02-17,92.38
2017-02-21,2017-02-21,93.62
2017-02-22,2017-02-22,93.27
2017-02-23,2017-02-23,92.49
2017-02-24,2017-02-24,92.43
2017-02-27,2017-02-27,93.65
2017-02-28,2017-02-28,92.19
2017-03-01,2017-03-01,96.14
2017-03-02,2017-03-02,94.69
2017-03-03,2017-03-03,94.19
2017-03-06,2017-03-06,94.0
2017-03-07,2017-03-07,93.53
2017-03-08,2017-03-08,92.42
2017-03-09,2017-03-09,91.87
2017-03-10,2017-03-10,92.24
2017-03-13,2017-03-13,92.77
2017-03-14,2017-03-14,91.78
2017-03-15,2017-03-15,93.41
2017-03-16,2017-03-16,92.72
2017-03-17,2017-03-17,92.63
2017-03-20,2017-03-20,92.07
2017-03-21,2017-03-21,90.85
