DATE,DATE,CLOSE
2016-11-01,2016-11-01,133.84
2016-11-02,2016-11-02,130.65
2016-11-03,2016-11-03,129.29
2016-11-04,2016-11-04,128.66
2016-11-07,2016-11-07,131.12
2016-11-08,2016-11-08,126.06
2016-11-09,2016-11-09,124.03
2016-11-10,2016-11-10,118.47
2016-11-11,2016-11-11,118.4
2016-11-14,2016-11-14,117.52
2016-11-15,2016-11-15,118.06
2016-11-16,2016-11-16,120.83
2016-11-17,2016-11-17,119.45
2016-11-18,2016-11-18,119.78
2016-11-21,2016-11-21,120.05
2016-11-22,2016-11-22,120.34
2016-11-23,2016-11-23,120.33
2016-11-25,2016-11-25,120.38
2016-11-28,2016-11-28,120.35
2016-11-29,2016-11-29,121.25
2016-11-30,2016-11-30,121.05
2016-12-01,2016-12-01,118.51
2016-12-02,2016-12-02,120.07
2016-12-05,2016-12-05,121.01
2016-12-06,2016-12-06,121.79
2016-12-07,2016-12-07,124.66
2016-12-08,2016-12-08,125.76
2016-12-09,2016-12-09,125.3
2016-12-12,2016-12-12,123.2
2016-12-13,2016-12-13,121.75
2016-12-14,2016-12-14,118.43
2016-12-15,2016-12-15,120.17
2016-12-16,2016-12-16,118.01
2016-12-19,2016-12-19,117.87
2016-12-20,2016-12-20,117.79
2016-12-21,2016-12-21,118.24
2016-12-22,2016-12-22,119.35
2016-12-23,2016-12-23,118.24
2016-12-27,2016-12-27,119.02
2016-12-28,2016-12-28,118.8
2016-12-29,2016-12-29,118.9
2016-12-30,2016-12-30,117.83
2017-01-03,2017-01-03,117.17
2017-01-04,2017-01-04,117.39
2017-01-05,2017-01-05,116.1
2017-01-06,2017-01-06,116.02
2017-01-09,2017-01-09,115.56
2017-01-10,2017-01-10,115.48
2017-01-11,2017-01-11,116.3
2017-01-12,2017-01-12,115.26
2017-01-13,2017-01-13,116.66
2017-01-17,2017-01-17,116.81
2017-01-18,2017-01-18,117.83
2017-01-19,2017-01-19,117.51
2017-01-20,2017-01-20,118.13
2017-01-23,2017-01-23,117.37
2017-01-24,2017-01-24,119.54
2017-01-25,2017-01-25,119.82
2017-01-26,2017-01-26,119.7
2017-01-27,2017-01-27,119.85
2017-01-30,2017-01-30,119.0
2017-01-31,2017-01-31,117.21
2017-02-01,2017-02-01,116.54
2017-02-02,2017-02-02,116.84
2017-02-03,2017-02-03,117.98
2017-02-06,2017-02-06,117.47
2017-02-07,2017-02-07,116.75
2017-02-08,2017-02-08,117.92
2017-02-09,2017-02-09,117.74
2017-02-10,2017-02-10,117.91
2017-02-13,2017-02-13,120.03
2017-02-14,2017-02-14,117.9
2017-02-15,2017-02-15,119.16
2017-02-16,2017-02-16,124.03
2017-02-17,2017-02-17,122.37
2017-02-21,2017-02-21,121.62
2017-02-22,2017-02-22,122.63
2017-02-23,2017-02-23,125.14
2017-02-24,2017-02-24,125.0
2017-02-27,2017-02-27,124.81
2017-02-28,2017-02-28,125.7
2017-03-01,2017-03-01,127.1
2017-03-02,2017-03-02,126.13
2017-03-03,2017-03-03,125.13
2017-03-06,2017-03-06,124.39
2017-03-07,2017-03-07,123.89
2017-03-08,2017-03-08,124.28
2017-03-09,2017-03-09,123.66
2017-03-10,2017-03-10,125.33
2017-03-13,2017-03-13,126.6
2017-03-14,2017-03-14,126.22
2017-03-15,2017-03-15,128.1
2017-03-16,2017-03-16,128.94
2017-03-17,2017-03-17,132.1
2017-03-20,2017-03-20,135.4
2017-03-21,2017-03-21,135.1
2017-03-22,2017-03-22,136.89
2017-03-23,2017-03-23,135.07
2017-03-24,2017-03-24,133.19
2017-03-27,2017-03-27,132.56
2017-03-28,2017-03-28,131.55
2017-03-29,2017-03-29,131.96
2017-03-30,2017-03-30,132.37
2017-03-31,2017-03-31,132.53
2017-04-03,2017-04-03,131.59
2017-04-04,2017-04-04,131.45
2017-04-05,2017-04-05,131.77
2017-04-06,2017-04-06,133.04
2017-04-07,2017-04-07,132.25
2017-04-10,2017-04-10,132.85
2017-04-11,2017-04-11,133.4
2017-04-12,2017-04-12,132.56
2017-04-13,2017-04-13,131.94
2017-04-17,2017-04-17,133.02
2017-04-18,2017-04-18,134.07
2017-04-19,2017-04-19,134.53
2017-04-20,2017-04-20,135.8
2017-04-21,2017-04-21,136.12
2017-04-24,2017-04-24,138.03
2017-04-25,2017-04-25,139.09
2017-04-26,2017-04-26,138.8
2017-04-27,2017-04-27,139.73
