DATE,DATE,CLOSE
2016-11-01,2016-11-01,34.52
2016-11-02,2016-11-02,34.6
2016-11-03,2016-11-03,33.93
2016-11-04,2016-11-04,33.61
2016-11-07,2016-11-07,34.69
2016-11-08,2016-11-08,34.74
2016-11-09,2016-11-09,34.75
2016-11-10,2016-11-10,34.5
2016-11-11,2016-11-11,34.61
2016-11-14,2016-11-14,34.48
2016-11-15,2016-11-15,34.91
2016-11-16,2016-11-16,34.84
2016-11-17,2016-11-17,35.02
2016-11-18,2016-11-18,34.95
2016-11-21,2016-11-21,34.98
2016-11-22,2016-11-22,35.48
2016-11-23,2016-11-23,35.2
2016-11-25,2016-11-25,35.44
2016-11-28,2016-11-28,35.51
2016-11-29,2016-11-29,35.31
2016-11-30,2016-11-30,34.7
2016-12-01,2016-12-01,33.76
2016-12-02,2016-12-02,34.16
2016-12-05,2016-12-05,34.39
2016-12-06,2016-12-06,34.72
2016-12-07,2016-12-07,35.5
2016-12-08,2016-12-08,35.7
2016-12-09,2016-12-09,35.76
2016-12-12,2016-12-12,35.97
2016-12-13,2016-12-13,36.8
2016-12-14,2016-12-14,36.55
2016-12-15,2016-12-15,36.79
2016-12-16,2016-12-16,36.31
2016-12-19,2016-12-19,36.89
2016-12-20,2016-12-20,37.21
2016-12-21,2016-12-21,36.98
2016-12-22,2016-12-22,36.93
2016-12-23,2016-12-23,36.97
2016-12-27,2016-12-27,37.07
2016-12-28,2016-12-28,36.63
2016-12-29,2016-12-29,36.66
2016-12-30,2016-12-30,36.27
2017-01-03,2017-01-03,36.6
2017-01-04,2017-01-04,36.41
2017-01-05,2017-01-05,36.35
2017-01-06,2017-01-06,36.48
2017-01-09,2017-01-09,36.61
2017-01-10,2017-01-10,36.54
2017-01-11,2017-01-11,36.95
2017-01-12,2017-01-12,36.71
2017-01-13,2017-01-13,36.79
2017-01-17,2017-01-17,36.8
2017-01-18,2017-01-18,36.76
2017-01-19,2017-01-19,36.57
2017-01-20,2017-01-20,36.94
2017-01-23,2017-01-23,36.77
2017-01-24,2017-01-24,37.62
2017-01-25,2017-01-25,37.8
2017-01-26,2017-01-26,37.56
2017-01-27,2017-01-27,37.98
2017-01-30,2017-01-30,37.42
2017-01-31,2017-01-31,36.82
2017-02-01,2017-02-01,36.52
2017-02-02,2017-02-02,36.68
2017-02-03,2017-02-03,36.52
2017-02-06,2017-02-06,36.27
2017-02-07,2017-02-07,36.35
2017-02-08,2017-02-08,36.38
2017-02-09,2017-02-09,35.46
2017-02-10,2017-02-10,35.34
2017-02-13,2017-02-13,35.8
2017-02-14,2017-02-14,35.93
2017-02-15,2017-02-15,36.05
2017-02-16,2017-02-16,36.41
2017-02-17,2017-02-17,36.48
2017-02-21,2017-02-21,36.52
2017-02-22,2017-02-22,36.07
2017-02-23,2017-02-23,36.18
2017-02-24,2017-02-24,36.53
2017-02-27,2017-02-27,36.51
2017-02-28,2017-02-28,36.2
2017-03-01,2017-03-01,35.93
2017-03-02,2017-03-02,35.91
2017-03-03,2017-03-03,35.9
2017-03-06,2017-03-06,35.57
2017-03-07,2017-03-07,35.8
2017-03-08,2017-03-08,35.62
2017-03-09,2017-03-09,35.82
2017-03-10,2017-03-10,35.91
2017-03-13,2017-03-13,35.16
2017-03-14,2017-03-14,35.18
2017-03-15,2017-03-15,35.1
2017-03-16,2017-03-16,35.14
2017-03-17,2017-03-17,35.27
2017-03-20,2017-03-20,35.43
2017-03-21,2017-03-21,35.04
2017-03-22,2017-03-22,35.37
2017-03-23,2017-03-23,35.27
2017-03-24,2017-03-24,35.16
2017-03-27,2017-03-27,35.39
2017-03-28,2017-03-28,35.6
2017-03-29,2017-03-29,35.57
2017-03-30,2017-03-30,35.75
2017-03-31,2017-03-31,36.07
2017-04-03,2017-04-03,36.16
2017-04-04,2017-04-04,36.28
2017-04-05,2017-04-05,36.22
2017-04-06,2017-04-06,36.03
2017-04-07,2017-04-07,36.03
2017-04-10,2017-04-10,35.8
2017-04-11,2017-04-11,35.74
2017-04-12,2017-04-12,35.63
2017-04-13,2017-04-13,35.25
2017-04-17,2017-04-17,35.48
2017-04-18,2017-04-18,35.765
2017-04-19,2017-04-19,35.91
2017-04-20,2017-04-20,36.18
2017-04-21,2017-04-21,36.32
2017-04-24,2017-04-24,36.75
2017-04-25,2017-04-25,36.87
2017-04-26,2017-04-26,36.93
2017-04-27,2017-04-27,37.43
2017-04-28,2017-04-28,36.15
2017-05-01,2017-05-01,36.31
2017-05-02,2017-05-02,36.97
2017-05-03,2017-05-03,36.98
2017-05-04,2017-05-04,36.85
2017-05-05,2017-05-05,36.82
2017-05-08,2017-05-08,36.54
2017-05-09,2017-05-09,36.37
2017-05-10,2017-05-10,36.01
