DATE,DATE,CLOSE
2016-11-01,2016-11-01,95.26
2016-11-02,2016-11-02,93.88
2016-11-03,2016-11-03,93.61
2016-11-04,2016-11-04,93.86
2016-11-07,2016-11-07,96.02
2016-11-08,2016-11-08,94.76
2016-11-09,2016-11-09,96.7
2016-11-10,2016-11-10,94.84
2016-11-11,2016-11-11,94.99
2016-11-14,2016-11-14,94.2
2016-11-15,2016-11-15,94.54
2016-11-16,2016-11-16,95.03
2016-11-17,2016-11-17,96.08
2016-11-18,2016-11-18,95.98
2016-11-21,2016-11-21,97.6
2016-11-22,2016-11-22,97.11
2016-11-23,2016-11-23,97.12
2016-11-25,2016-11-25,97.42
2016-11-28,2016-11-28,97.27
2016-11-29,2016-11-29,96.26
2016-11-30,2016-11-30,95.92
2016-12-01,2016-12-01,94.07
2016-12-02,2016-12-02,95.06
2016-12-05,2016-12-05,97.16
2016-12-06,2016-12-06,97.8
2016-12-07,2016-12-07,98.16
2016-12-08,2016-12-08,99.44
2016-12-09,2016-12-09,99.56
2016-12-12,2016-12-12,99.47
2016-12-13,2016-12-13,100.56
2016-12-14,2016-12-14,99.32
2016-12-15,2016-12-15,99.1
2016-12-16,2016-12-16,97.3
2016-12-19,2016-12-19,98.67
2016-12-20,2016-12-20,100.28
2016-12-21,2016-12-21,99.99
2016-12-22,2016-12-22,101.43
2016-12-23,2016-12-23,99.65
2016-12-27,2016-12-27,102.03
2016-12-28,2016-12-28,99.52
2016-12-29,2016-12-29,99.6
2016-12-30,2016-12-30,98.71
2017-01-03,2017-01-03,98.78
2017-01-04,2017-01-04,100.07
2017-01-05,2017-01-05,95.91
2017-01-06,2017-01-06,95.15
2017-01-09,2017-01-09,97.82
2017-01-10,2017-01-10,97.57
2017-01-11,2017-01-11,98.75
2017-01-12,2017-01-12,99.22
2017-01-13,2017-01-13,100.15
2017-01-17,2017-01-17,99.75
2017-01-18,2017-01-18,100.83
2017-01-19,2017-01-19,100.77
2017-01-20,2017-01-20,102.33
2017-01-23,2017-01-23,101.96
2017-01-24,2017-01-24,106.11
2017-01-25,2017-01-25,108.02
2017-01-26,2017-01-26,106.16
2017-01-27,2017-01-27,104.47
2017-01-30,2017-01-30,113.58
2017-01-31,2017-01-31,114.99
2017-02-01,2017-02-01,114.19
2017-02-02,2017-02-02,113.21
2017-02-03,2017-02-03,114.48
2017-02-06,2017-02-06,113.4
2017-02-07,2017-02-07,114.37
2017-02-08,2017-02-08,113.26
2017-02-09,2017-02-09,116.06
2017-02-10,2017-02-10,116.38
2017-02-13,2017-02-13,116.08
2017-02-14,2017-02-14,117.02
2017-02-15,2017-02-15,121.75
2017-02-16,2017-02-16,118.47
2017-02-17,2017-02-17,119.5
2017-02-21,2017-02-21,121.81
2017-02-22,2017-02-22,120.82
2017-02-23,2017-02-23,119.88
2017-02-24,2017-02-24,120.39
2017-02-27,2017-02-27,120.88
2017-02-28,2017-02-28,118.3
2017-03-01,2017-03-01,120.75
2017-03-02,2017-03-02,118.71
2017-03-03,2017-03-03,118.82
2017-03-06,2017-03-06,117.92
2017-03-07,2017-03-07,118.11
2017-03-08,2017-03-08,118.98
2017-03-09,2017-03-09,118.57
2017-03-10,2017-03-10,119.55
2017-03-13,2017-03-13,118.66
2017-03-14,2017-03-14,118.29
2017-03-15,2017-03-15,119.44
2017-03-16,2017-03-16,120.16
2017-03-17,2017-03-17,121.46
2017-03-20,2017-03-20,121.09
2017-03-21,2017-03-21,116.94
2017-03-22,2017-03-22,118.45
2017-03-23,2017-03-23,118.55
2017-03-24,2017-03-24,119.03
2017-03-27,2017-03-27,118.63
2017-03-28,2017-03-28,120.01
2017-03-29,2017-03-29,119.9
2017-03-30,2017-03-30,119.92
2017-03-31,2017-03-31,120.7
2017-04-03,2017-04-03,119.44
2017-04-04,2017-04-04,119.24
2017-04-05,2017-04-05,118.35
2017-04-06,2017-04-06,120.15
2017-04-07,2017-04-07,120.98
2017-04-10,2017-04-10,120.82
2017-04-11,2017-04-11,119.96
2017-04-12,2017-04-12,117.51
2017-04-13,2017-04-13,117.17
2017-04-17,2017-04-17,117.86
2017-04-18,2017-04-18,118.61
2017-04-19,2017-04-19,119.46
2017-04-20,2017-04-20,121.1
2017-04-21,2017-04-21,120.55
2017-04-24,2017-04-24,124.46
2017-04-25,2017-04-25,125.75
2017-04-26,2017-04-26,125.11
2017-04-27,2017-04-27,127.04
2017-04-28,2017-04-28,126.32
2017-05-01,2017-05-01,126.62
2017-05-02,2017-05-02,136.2
2017-05-03,2017-05-03,135.36
2017-05-04,2017-05-04,133.51
2017-05-05,2017-05-05,133.735
2017-05-08,2017-05-08,134.41
2017-05-09,2017-05-09,134.31
2017-05-10,2017-05-10,135.6
2017-05-11,2017-05-11,138.18
2017-05-12,2017-05-12,138.65
2017-05-15,2017-05-15,142.65
