DATE,DATE,CLOSE
2016-11-01,2016-11-01,71.66
2016-11-02,2016-11-02,72.36
2016-11-03,2016-11-03,72.21
2016-11-04,2016-11-04,72.59
2016-11-07,2016-11-07,74.59
2016-11-08,2016-11-08,75.94
2016-11-09,2016-11-09,77.68
2016-11-10,2016-11-10,78.34
2016-11-11,2016-11-11,77.13
2016-11-14,2016-11-14,76.89
2016-11-15,2016-11-15,77.94
2016-11-16,2016-11-16,77.31
2016-11-17,2016-11-17,79.48
2016-11-18,2016-11-18,79.88
2016-11-21,2016-11-21,80.02
2016-11-22,2016-11-22,80.2
2016-11-23,2016-11-23,79.87
2016-11-25,2016-11-25,80.57
2016-11-28,2016-11-28,79.82
2016-11-29,2016-11-29,80.93
2016-11-30,2016-11-30,76.83
2016-12-01,2016-12-01,73.0
2016-12-02,2016-12-02,74.03
2016-12-05,2016-12-05,75.7
2016-12-06,2016-12-06,77.58
2016-12-07,2016-12-07,76.93
2016-12-08,2016-12-08,77.54
2016-12-09,2016-12-09,78.34
2016-12-12,2016-12-12,79.41
2016-12-13,2016-12-13,79.32
2016-12-14,2016-12-14,79.39
2016-12-15,2016-12-15,80.54
2016-12-16,2016-12-16,77.88
2016-12-19,2016-12-19,76.68
2016-12-20,2016-12-20,76.89
2016-12-21,2016-12-21,75.44
2016-12-22,2016-12-22,74.95
2016-12-23,2016-12-23,76.22
2016-12-27,2016-12-27,75.85
2016-12-28,2016-12-28,75.96
2016-12-29,2016-12-29,75.88
2016-12-30,2016-12-30,76.05
2017-01-03,2017-01-03,76.93
2017-01-04,2017-01-04,77.28
2017-01-05,2017-01-05,77.0
2017-01-06,2017-01-06,77.82
2017-01-09,2017-01-09,77.99
2017-01-10,2017-01-10,77.88
2017-01-11,2017-01-11,76.98
2017-01-12,2017-01-12,77.19
2017-01-13,2017-01-13,77.16
2017-01-17,2017-01-17,76.79
2017-01-18,2017-01-18,75.59
2017-01-19,2017-01-19,76.07
2017-01-20,2017-01-20,76.1
2017-01-23,2017-01-23,75.85
2017-01-24,2017-01-24,75.35
2017-01-25,2017-01-25,75.53
2017-01-26,2017-01-26,75.54
2017-01-27,2017-01-27,76.36
2017-01-30,2017-01-30,75.35
2017-01-31,2017-01-31,78.49
2017-02-01,2017-02-01,78.56
2017-02-02,2017-02-02,78.21
2017-02-03,2017-02-03,77.62
2017-02-06,2017-02-06,77.75
2017-02-07,2017-02-07,77.99
2017-02-08,2017-02-08,78.13
2017-02-09,2017-02-09,78.85
2017-02-10,2017-02-10,79.56
2017-02-13,2017-02-13,80.0
2017-02-14,2017-02-14,82.3
2017-02-15,2017-02-15,77.85
2017-02-16,2017-02-16,76.87
2017-02-17,2017-02-17,76.75
2017-02-21,2017-02-21,76.25
2017-02-22,2017-02-22,77.35
2017-02-23,2017-02-23,78.12
2017-02-24,2017-02-24,77.64
2017-02-27,2017-02-27,79.47
2017-02-28,2017-02-28,77.39
2017-03-01,2017-03-01,77.1
2017-03-02,2017-03-02,76.78
2017-03-03,2017-03-03,77.85
2017-03-06,2017-03-06,77.9
2017-03-07,2017-03-07,77.48
2017-03-08,2017-03-08,79.13
2017-03-09,2017-03-09,79.8
2017-03-10,2017-03-10,80.7
2017-03-13,2017-03-13,80.54
2017-03-14,2017-03-14,79.63
2017-03-15,2017-03-15,80.84
2017-03-16,2017-03-16,80.41
2017-03-17,2017-03-17,81.51
2017-03-20,2017-03-20,80.0
2017-03-21,2017-03-21,77.92
2017-03-22,2017-03-22,77.53
2017-03-23,2017-03-23,77.47
2017-03-24,2017-03-24,77.99
2017-03-27,2017-03-27,78.7
2017-03-28,2017-03-28,78.7
2017-03-29,2017-03-29,80.15
2017-03-30,2017-03-30,79.93
2017-03-31,2017-03-31,80.53
2017-04-03,2017-04-03,80.02
2017-04-04,2017-04-04,78.85
2017-04-05,2017-04-05,78.23
2017-04-06,2017-04-06,79.33
2017-04-07,2017-04-07,79.19
2017-04-10,2017-04-10,78.85
2017-04-11,2017-04-11,78.76
2017-04-12,2017-04-12,78.67
2017-04-13,2017-04-13,78.95
2017-04-17,2017-04-17,79.48
2017-04-18,2017-04-18,79.99
2017-04-19,2017-04-19,81.3
2017-04-20,2017-04-20,82.88
2017-04-21,2017-04-21,82.25
2017-04-24,2017-04-24,82.75
2017-04-25,2017-04-25,82.65
2017-04-26,2017-04-26,83.02
2017-04-27,2017-04-27,83.68
2017-04-28,2017-04-28,84.28
2017-05-01,2017-05-01,84.59
2017-05-02,2017-05-02,85.34
2017-05-03,2017-05-03,82.64
2017-05-04,2017-05-04,82.2
2017-05-05,2017-05-05,83.3
2017-05-08,2017-05-08,83.64
2017-05-09,2017-05-09,84.27
2017-05-10,2017-05-10,83.8
2017-05-11,2017-05-11,83.46
2017-05-12,2017-05-12,82.89
2017-05-15,2017-05-15,83.62
2017-05-16,2017-05-16,83.19
2017-05-17,2017-05-17,82.22
2017-05-18,2017-05-18,83.09
2017-05-19,2017-05-19,83.05
2017-05-22,2017-05-22,83.54
2017-05-23,2017-05-23,83.8
2017-05-24,2017-05-24,84.22
2017-05-25,2017-05-25,84.7
2017-05-26,2017-05-26,86.02
