DATE,DATE,CLOSE
2016-11-01,2016-11-01,67.32
2016-11-02,2016-11-02,67.29
2016-11-03,2016-11-03,66.99
2016-11-04,2016-11-04,68.75
2016-11-07,2016-11-07,70.72
2016-11-08,2016-11-08,71.87
2016-11-09,2016-11-09,74.26
2016-11-10,2016-11-10,75.72
2016-11-11,2016-11-11,75.83
2016-11-14,2016-11-14,75.07
2016-11-15,2016-11-15,75.92
2016-11-16,2016-11-16,75.23
2016-11-17,2016-11-17,74.68
2016-11-18,2016-11-18,74.46
2016-11-21,2016-11-21,75.11
2016-11-22,2016-11-22,75.62
2016-11-23,2016-11-23,75.58
2016-11-25,2016-11-25,76.12
2016-11-28,2016-11-28,74.73
2016-11-29,2016-11-29,75.06
2016-11-30,2016-11-30,74.54
2016-12-01,2016-12-01,74.59
2016-12-02,2016-12-02,74.5
2016-12-05,2016-12-05,74.89
2016-12-06,2016-12-06,75.91
2016-12-07,2016-12-07,78.0
2016-12-08,2016-12-08,78.75
2016-12-09,2016-12-09,78.45
2016-12-12,2016-12-12,77.75
2016-12-13,2016-12-13,77.84
2016-12-14,2016-12-14,77.68
2016-12-15,2016-12-15,77.23
2016-12-16,2016-12-16,77.14
2016-12-19,2016-12-19,76.96
2016-12-20,2016-12-20,77.29
2016-12-21,2016-12-21,76.73
2016-12-22,2016-12-22,76.41
2016-12-23,2016-12-23,76.86
2016-12-27,2016-12-27,77.02
2016-12-28,2016-12-28,75.91
2016-12-29,2016-12-29,75.57
2016-12-30,2016-12-30,75.04
2017-01-03,2017-01-03,75.93
2017-01-04,2017-01-04,76.12
2017-01-05,2017-01-05,75.23
2017-01-06,2017-01-06,75.06
2017-01-09,2017-01-09,74.9
2017-01-10,2017-01-10,76.01
2017-01-11,2017-01-11,77.16
2017-01-12,2017-01-12,76.64
2017-01-13,2017-01-13,77.27
2017-01-17,2017-01-17,76.59
2017-01-18,2017-01-18,77.14
2017-01-19,2017-01-19,78.25
2017-01-20,2017-01-20,78.64
2017-01-23,2017-01-23,78.42
2017-01-24,2017-01-24,79.59
2017-01-25,2017-01-25,80.4
2017-01-26,2017-01-26,80.17
2017-01-27,2017-01-27,80.0
2017-01-30,2017-01-30,79.55
2017-01-31,2017-01-31,79.35
2017-02-01,2017-02-01,78.0
2017-02-02,2017-02-02,78.0
2017-02-03,2017-02-03,79.02
2017-02-06,2017-02-06,79.91
2017-02-07,2017-02-07,79.85
2017-02-08,2017-02-08,80.08
2017-02-09,2017-02-09,80.82
2017-02-10,2017-02-10,81.19
2017-02-13,2017-02-13,81.98
2017-02-14,2017-02-14,81.67
2017-02-15,2017-02-15,81.62
2017-02-16,2017-02-16,81.1
2017-02-17,2017-02-17,80.99
2017-02-21,2017-02-21,81.51
2017-02-22,2017-02-22,81.5
2017-02-23,2017-02-23,81.24
2017-02-24,2017-02-24,81.32
2017-02-27,2017-02-27,81.04
2017-02-28,2017-02-28,79.36
2017-03-01,2017-03-01,81.0
2017-03-02,2017-03-02,80.02
2017-03-03,2017-03-03,79.96
2017-03-06,2017-03-06,79.34
2017-03-07,2017-03-07,79.59
2017-03-08,2017-03-08,79.17
2017-03-09,2017-03-09,78.6
2017-03-10,2017-03-10,79.49
2017-03-13,2017-03-13,79.66
2017-03-14,2017-03-14,79.01
2017-03-15,2017-03-15,80.81
2017-03-16,2017-03-16,80.55
2017-03-17,2017-03-17,80.99
2017-03-20,2017-03-20,81.26
2017-03-21,2017-03-21,79.36
2017-03-22,2017-03-22,79.62
2017-03-23,2017-03-23,79.81
2017-03-24,2017-03-24,79.18
2017-03-27,2017-03-27,78.56
2017-03-28,2017-03-28,79.69
2017-03-29,2017-03-29,79.82
2017-03-30,2017-03-30,80.9
2017-03-31,2017-03-31,81.32
2017-04-03,2017-04-03,81.22
2017-04-04,2017-04-04,81.48
2017-04-05,2017-04-05,81.87
2017-04-06,2017-04-06,82.67
2017-04-07,2017-04-07,82.62
2017-04-10,2017-04-10,83.25
2017-04-11,2017-04-11,83.65
2017-04-12,2017-04-12,82.29
2017-04-13,2017-04-13,81.86
2017-04-17,2017-04-17,82.24
2017-04-18,2017-04-18,81.93
2017-04-19,2017-04-19,81.85
2017-04-20,2017-04-20,82.75
2017-04-21,2017-04-21,83.03
2017-04-24,2017-04-24,84.19
2017-04-25,2017-04-25,85.66
2017-04-26,2017-04-26,88.68
2017-04-27,2017-04-27,89.25
2017-04-28,2017-04-28,88.75
2017-05-01,2017-05-01,88.78
2017-05-02,2017-05-02,89.3
2017-05-03,2017-05-03,89.1
2017-05-04,2017-05-04,89.82
2017-05-05,2017-05-05,90.01
2017-05-08,2017-05-08,89.4
2017-05-09,2017-05-09,89.36
2017-05-10,2017-05-10,88.52
2017-05-11,2017-05-11,88.43
2017-05-12,2017-05-12,88.01
2017-05-15,2017-05-15,88.53
2017-05-16,2017-05-16,88.81
2017-05-17,2017-05-17,87.71
2017-05-18,2017-05-18,88.17
2017-05-19,2017-05-19,89.24
2017-05-22,2017-05-22,89.23
2017-05-23,2017-05-23,89.03
2017-05-24,2017-05-24,88.52
2017-05-25,2017-05-25,89.31
2017-05-26,2017-05-26,89.35
2017-05-30,2017-05-30,89.19
2017-05-31,2017-05-31,89.6
2017-06-01,2017-06-01,89.6
2017-06-02,2017-06-02,89.48
2017-06-05,2017-06-05,89.35
2017-06-06,2017-06-06,88.91
2017-06-07,2017-06-07,88.13
2017-06-08,2017-06-08,87.97
2017-06-09,2017-06-09,88.11
2017-06-12,2017-06-12,87.84
2017-06-13,2017-06-13,89.67
2017-06-14,2017-06-14,88.69
2017-06-15,2017-06-15,89.86
2017-06-16,2017-06-16,92.34
2017-06-19,2017-06-19,92.59
2017-06-20,2017-06-20,91.25
2017-06-21,2017-06-21,90.48
2017-06-22,2017-06-22,90.72
2017-06-23,2017-06-23,91.08
2017-06-26,2017-06-26,90.93
2017-06-27,2017-06-27,90.51
2017-06-28,2017-06-28,91.63
2017-06-29,2017-06-29,90.37
2017-06-30,2017-06-30,91.39
2017-07-03,2017-07-03,91.44
2017-07-05,2017-07-05,92.16
2017-07-06,2017-07-06,92.12
2017-07-07,2017-07-07,93.25
2017-07-10,2017-07-10,93.73
2017-07-11,2017-07-11,92.91
2017-07-12,2017-07-12,93.51
2017-07-13,2017-07-13,92.85
2017-07-14,2017-07-14,92.83
2017-07-17,2017-07-17,93.07
2017-07-18,2017-07-18,92.46
2017-07-19,2017-07-19,93.2
2017-07-20,2017-07-20,92.18
2017-07-21,2017-07-21,91.67
2017-07-24,2017-07-24,91.05
2017-07-25,2017-07-25,90.47
2017-07-26,2017-07-26,86.94
2017-07-27,2017-07-27,87.78
2017-07-28,2017-07-28,88.54
2017-07-31,2017-07-31,87.88
2017-08-01,2017-08-01,86.49
2017-08-02,2017-08-02,87.15
2017-08-03,2017-08-03,86.73
2017-08-04,2017-08-04,88.18
2017-08-07,2017-08-07,88.1
2017-08-08,2017-08-08,87.5
2017-08-09,2017-08-09,87.26
2017-08-10,2017-08-10,84.98
2017-08-11,2017-08-11,85.09
2017-08-14,2017-08-14,85.91
2017-08-15,2017-08-15,86.2
2017-08-16,2017-08-16,86.74
2017-08-17,2017-08-17,85.46
2017-08-18,2017-08-18,85.18
2017-08-21,2017-08-21,85.13
2017-08-22,2017-08-22,86.12
2017-08-23,2017-08-23,84.4
2017-08-24,2017-08-24,83.77
2017-08-25,2017-08-25,84.63
2017-08-28,2017-08-28,83.86
2017-08-29,2017-08-29,84.28
2017-08-30,2017-08-30,85.53
2017-08-31,2017-08-31,85.39
2017-09-01,2017-09-01,85.08
2017-09-05,2017-09-05,84.78
2017-09-06,2017-09-06,84.39
2017-09-07,2017-09-07,85.06
2017-09-08,2017-09-08,87.46
2017-09-11,2017-09-11,88.52
2017-09-12,2017-09-12,90.01
2017-09-13,2017-09-13,90.37
2017-09-14,2017-09-14,90.02
2017-09-15,2017-09-15,89.44
2017-09-18,2017-09-18,90.51
2017-09-19,2017-09-19,90.46
2017-09-20,2017-09-20,89.3
2017-09-21,2017-09-21,89.24
2017-09-22,2017-09-22,88.92
2017-09-25,2017-09-25,88.85
2017-09-26,2017-09-26,88.75
2017-09-27,2017-09-27,88.05
2017-09-28,2017-09-28,88.18
2017-09-29,2017-09-29,89.17
2017-10-02,2017-10-02,89.96
2017-10-03,2017-10-03,90.14
2017-10-04,2017-10-04,90.46
2017-10-05,2017-10-05,90.89
2017-10-06,2017-10-06,92.05
2017-10-09,2017-10-09,92.06
2017-10-10,2017-10-10,91.38
2017-10-11,2017-10-11,91.43
2017-10-12,2017-10-12,91.38
2017-10-13,2017-10-13,91.32
2017-10-16,2017-10-16,91.3
2017-10-17,2017-10-17,91.1
2017-10-18,2017-10-18,91.22
2017-10-19,2017-10-19,91.08
2017-10-20,2017-10-20,93.51
2017-10-23,2017-10-23,93.76
2017-10-24,2017-10-24,95.61
2017-10-25,2017-10-25,91.32
2017-10-26,2017-10-26,90.66
2017-10-27,2017-10-27,91.15
2017-10-30,2017-10-30,88.88
2017-10-31,2017-10-31,88.6
2017-11-01,2017-11-01,87.53
2017-11-02,2017-11-02,87.6
2017-11-03,2017-11-03,86.25
2017-11-06,2017-11-06,86.15
2017-11-07,2017-11-07,85.56
2017-11-08,2017-11-08,85.68
2017-11-09,2017-11-09,84.41
2017-11-10,2017-11-10,84.96
2017-11-13,2017-11-13,84.76
2017-11-14,2017-11-14,84.7
2017-11-15,2017-11-15,83.36
2017-11-16,2017-11-16,85.26
2017-11-17,2017-11-17,85.12
2017-11-20,2017-11-20,84.73
2017-11-21,2017-11-21,85.28
2017-11-22,2017-11-22,84.59
2017-11-24,2017-11-24,84.23
2017-11-27,2017-11-27,84.73
2017-11-28,2017-11-28,86.65
2017-11-29,2017-11-29,86.07
2017-11-30,2017-11-30,87.62
2017-12-01,2017-12-01,86.21
2017-12-04,2017-12-04,85.12
2017-12-05,2017-12-05,84.58
2017-12-06,2017-12-06,86.26
2017-12-07,2017-12-07,86.3
2017-12-08,2017-12-08,87.61
2017-12-11,2017-12-11,87.82
2017-12-12,2017-12-12,86.38
2017-12-13,2017-12-13,87.13
2017-12-14,2017-12-14,86.03
2017-12-15,2017-12-15,86.75
2017-12-18,2017-12-18,86.64
2017-12-19,2017-12-19,86.74
2017-12-20,2017-12-20,87.21
2017-12-21,2017-12-21,90.38
2017-12-22,2017-12-22,89.77
2017-12-26,2017-12-26,89.21
2017-12-27,2017-12-27,89.11
2017-12-28,2017-12-28,89.23
2017-12-29,2017-12-29,89.19
2018-01-02,2018-01-02,88.75
2018-01-03,2018-01-03,89.95
2018-01-04,2018-01-04,90.39
2018-01-05,2018-01-05,89.71
2018-01-08,2018-01-08,90.42
2018-01-09,2018-01-09,90.89
2018-01-10,2018-01-10,90.98
2018-01-11,2018-01-11,91.99
2018-01-12,2018-01-12,91.1
2018-01-16,2018-01-16,90.26
2018-01-17,2018-01-17,90.18
2018-01-18,2018-01-18,90.33
2018-01-19,2018-01-19,90.93
2018-01-22,2018-01-22,89.84
2018-01-23,2018-01-23,91.77
2018-01-24,2018-01-24,91.98
2018-01-25,2018-01-25,91.57
2018-01-26,2018-01-26,93.82
2018-01-29,2018-01-29,93.87
2018-01-30,2018-01-30,92.53
2018-01-31,2018-01-31,94.63
2018-02-01,2018-02-01,96.6
2018-02-02,2018-02-02,95.24
2018-02-05,2018-02-05,90.53
2018-02-06,2018-02-06,91.75
2018-02-07,2018-02-07,91.19
2018-02-08,2018-02-08,87.6
2018-02-09,2018-02-09,89.16
2018-02-12,2018-02-12,90.91
2018-02-13,2018-02-13,90.26
2018-02-14,2018-02-14,90.39
2018-02-15,2018-02-15,92.01
2018-02-16,2018-02-16,91.03
2018-02-20,2018-02-20,90.04
2018-02-21,2018-02-21,90.01
2018-02-22,2018-02-22,90.31
2018-02-23,2018-02-23,90.15
2018-02-26,2018-02-26,90.65
2018-02-27,2018-02-27,90.08
2018-02-28,2018-02-28,88.8
2018-03-01,2018-03-01,85.87
2018-03-02,2018-03-02,86.29
2018-03-05,2018-03-05,86.22
2018-03-06,2018-03-06,86.99
2018-03-07,2018-03-07,87.23
2018-03-08,2018-03-08,87.48
2018-03-09,2018-03-09,89.63
2018-03-12,2018-03-12,88.08
2018-03-13,2018-03-13,88.24
2018-03-14,2018-03-14,88.32
2018-03-15,2018-03-15,90.22
2018-03-16,2018-03-16,89.48
2018-03-19,2018-03-19,88.52
2018-03-20,2018-03-20,88.96
2018-03-21,2018-03-21,88.99
2018-03-22,2018-03-22,86.08
2018-03-23,2018-03-23,83.86
2018-03-26,2018-03-26,86.17
2018-03-27,2018-03-27,85.0
2018-03-28,2018-03-28,83.95
2018-03-29,2018-03-29,85.51
2018-04-02,2018-04-02,83.15
2018-04-03,2018-04-03,84.48
2018-04-04,2018-04-04,85.04
2018-04-05,2018-04-05,85.87
2018-04-06,2018-04-06,83.19
2018-04-09,2018-04-09,82.76
2018-04-10,2018-04-10,84.42
2018-04-11,2018-04-11,83.59
2018-04-12,2018-04-12,84.3
2018-04-13,2018-04-13,84.13
2018-04-16,2018-04-16,84.99
2018-04-17,2018-04-17,86.06
2018-04-18,2018-04-18,86.36
2018-04-19,2018-04-19,84.49
2018-04-20,2018-04-20,83.56
2018-04-23,2018-04-23,83.26
2018-04-24,2018-04-24,80.39
2018-04-25,2018-04-25,85.16
2018-04-26,2018-04-26,85.01
2018-04-27,2018-04-27,86.11
2018-04-30,2018-04-30,83.89
2018-05-01,2018-05-01,85.93
