DATE,DATE,CLOSE
2016-11-01,2016-11-01,223.239777
2016-11-02,2016-11-02,222.189778
2016-11-03,2016-11-03,224.433109
2016-11-04,2016-11-04,223.806443
2016-11-07,2016-11-07,226.143107
2016-11-08,2016-11-08,228.376438
2016-11-09,2016-11-09,217.153116
2016-11-10,2016-11-10,211.839788
2016-11-11,2016-11-11,207.253126
2016-11-14,2016-11-14,208.199792
2016-11-15,2016-11-15,213.516453
2016-11-16,2016-11-16,214.453119
2016-11-17,2016-11-17,218.199782
2016-11-18,2016-11-18,218.296448
2016-11-21,2016-11-21,220.696446
2016-11-22,2016-11-22,213.40312
2016-11-23,2016-11-23,215.093118
2016-11-25,2016-11-25,218.836448
2016-11-28,2016-11-28,215.896451
2016-11-29,2016-11-29,216.769783
2016-11-30,2016-11-30,214.579785
2016-12-01,2016-12-01,210.776456
2016-12-02,2016-12-02,212.213121
2016-12-05,2016-12-05,212.316454
2016-12-06,2016-12-06,207.196459
2016-12-07,2016-12-07,206.33646
2016-12-08,2016-12-08,206.48646
2016-12-09,2016-12-09,208.403125
2016-12-12,2016-12-12,211.246455
2016-12-13,2016-12-13,211.989788
2016-12-14,2016-12-14,212.196454
2016-12-15,2016-12-15,212.999787
2016-12-16,2016-12-16,213.796453
2016-12-19,2016-12-19,212.636454
2016-12-20,2016-12-20,211.336455
2016-12-21,2016-12-21,210.096457
2016-12-22,2016-12-22,212.526454
2016-12-23,2016-12-23,213.58312
2016-12-27,2016-12-27,213.169787
2016-12-28,2016-12-28,211.849788
2016-12-29,2016-12-29,212.183121
2016-12-30,2016-12-30,211.389789
2017-01-03,2017-01-03,213.929786
2017-01-04,2017-01-04,209.82979
2017-01-05,2017-01-05,210.969789
2017-01-06,2017-01-06,212.036455
2017-01-09,2017-01-09,213.766453
2017-01-10,2017-01-10,220.733113
2017-01-11,2017-01-11,226.053107
2017-01-12,2017-01-12,221.626445
2017-01-13,2017-01-13,221.569778
2017-01-17,2017-01-17,221.246445
2017-01-18,2017-01-18,221.023112
2017-01-19,2017-01-19,219.353114
2017-01-20,2017-01-20,218.916448
2017-01-23,2017-01-23,218.343115
2017-01-24,2017-01-24,222.016445
2017-01-25,2017-01-25,233.3331
2017-01-26,2017-01-26,229.186437
2017-01-27,2017-01-27,230.42977
2017-01-30,2017-01-30,230.043103
2017-01-31,2017-01-31,230.896436
2017-02-01,2017-02-01,232.339768
2017-02-02,2017-02-02,233.386433
2017-02-03,2017-02-03,234.043099
2017-02-06,2017-02-06,234.986432
2017-02-07,2017-02-07,234.746432
2017-02-08,2017-02-08,234.223099
2017-02-09,2017-02-09,235.126432
2017-02-10,2017-02-10,235.173098
2017-02-13,2017-02-13,236.899763
2017-02-14,2017-02-14,238.306428
2017-02-15,2017-02-15,238.913094
2017-02-16,2017-02-16,240.48976
2017-02-17,2017-02-17,241.553092
2017-02-21,2017-02-21,244.056423
2017-02-22,2017-02-22,244.026423
2017-02-23,2017-02-23,245.116422
2017-02-24,2017-02-24,245.619754
2017-02-27,2017-02-27,244.676422
2017-02-28,2017-02-28,245.666421
2017-03-01,2017-03-01,247.029753
2017-03-02,2017-03-02,247.523086
2017-03-03,2017-03-03,248.263085
2017-03-06,2017-03-06,245.233088
2017-03-07,2017-03-07,243.38309
2017-03-08,2017-03-08,242.703091
2017-03-09,2017-03-09,245.339755
2017-03-10,2017-03-10,244.719755
2017-03-13,2017-03-13,244.629755
2017-03-14,2017-03-14,246.693087
2017-03-15,2017-03-15,248.889751
2017-03-16,2017-03-16,247.843085
2017-03-17,2017-03-17,249.943083
2017-03-20,2017-03-20,250.00975
2017-03-21,2017-03-21,248.649751
2017-03-22,2017-03-22,249.436417
2017-03-23,2017-03-23,248.726418
2017-03-24,2017-03-24,252.666414
2017-03-27,2017-03-27,255.773078
2017-03-28,2017-03-28,254.823079
2017-03-29,2017-03-29,255.226411
2017-03-30,2017-03-30,255.419745
2017-03-31,2017-03-31,255.489745
2017-04-03,2017-04-03,254.903078
2017-04-04,2017-04-04,254.113079
2017-04-05,2017-04-05,254.266412
2017-04-06,2017-04-06,254.256412
2017-04-07,2017-04-07,255.706411
2017-04-10,2017-04-10,255.679744
2017-04-11,2017-04-11,254.943078
2017-04-12,2017-04-12,254.753079
2017-04-13,2017-04-13,254.929745
2017-04-17,2017-04-17,256.093077
2017-04-18,2017-04-18,253.11308
2017-04-19,2017-04-19,269.233064
2017-04-20,2017-04-20,271.483062
2017-04-21,2017-04-21,271.143062
2017-04-24,2017-04-24,274.059726
2017-04-25,2017-04-25,275.746391
2017-04-26,2017-04-26,278.006389
2017-04-27,2017-04-27,278.853054
2017-04-28,2017-04-28,278.623055
2017-05-01,2017-05-01,279.856387
2017-05-02,2017-05-02,281.589718
2017-05-03,2017-05-03,281.776385
2017-05-04,2017-05-04,282.406384
2017-05-05,2017-05-05,283.51305
2017-05-08,2017-05-08,280.263053
2017-05-09,2017-05-09,281.056386
2017-05-10,2017-05-10,281.019719
2017-05-11,2017-05-11,281.643052
2017-05-12,2017-05-12,281.239719
2017-05-15,2017-05-15,283.556383
2017-05-16,2017-05-16,286.489714
2017-05-17,2017-05-17,283.659716
2017-05-18,2017-05-18,286.659713
2017-05-19,2017-05-19,290.10971
2017-05-22,2017-05-22,297.346369
2017-05-23,2017-05-23,299.013034
2017-05-24,2017-05-24,299.956367
2017-05-25,2017-05-25,302.523031
2017-05-26,2017-05-26,303.45303
2017-05-30,2017-05-30,304.809695
2017-05-31,2017-05-31,304.893028
2017-06-01,2017-06-01,306.359694
2017-06-02,2017-06-02,308.229692
2017-06-05,2017-06-05,307.336359
2017-06-06,2017-06-06,308.119692
2017-06-07,2017-06-07,310.666356
2017-06-08,2017-06-08,309.94969
2017-06-09,2017-06-09,305.446361
2017-06-12,2017-06-12,301.096366
2017-06-13,2017-06-13,302.743031
2017-06-14,2017-06-14,301.943031
2017-06-15,2017-06-15,299.646367
2017-06-16,2017-06-16,304.946362
2017-06-19,2017-06-19,312.133021
2017-06-20,2017-06-20,313.45302
2017-06-21,2017-06-21,317.756349
2017-06-22,2017-06-22,318.053015
2017-06-23,2017-06-23,316.313017
2017-06-26,2017-06-26,313.479687
2017-06-27,2017-06-27,312.003021
2017-06-28,2017-06-28,315.436351
2017-06-29,2017-06-29,310.166357
2017-06-30,2017-06-30,311.789688
2017-07-03,2017-07-03,307.219693
2017-07-05,2017-07-05,312.696354
2017-07-06,2017-07-06,311.599688
2017-07-07,2017-07-07,314.756352
2017-07-10,2017-07-10,315.749684
2017-07-11,2017-07-11,314.163019
2017-07-12,2017-07-12,316.113017
2017-07-13,2017-07-13,312.846354
