DATE,DATE,CLOSE
2016-11-01,2016-11-01,112.12
2016-11-02,2016-11-02,113.42
2016-11-03,2016-11-03,113.56
2016-11-04,2016-11-04,114.02
2016-11-07,2016-11-07,117.16
2016-11-08,2016-11-08,117.74
2016-11-09,2016-11-09,121.15
2016-11-10,2016-11-10,123.25
2016-11-11,2016-11-11,123.91
2016-11-14,2016-11-14,123.51
2016-11-15,2016-11-15,124.97
2016-11-16,2016-11-16,124.57
2016-11-17,2016-11-17,124.09
2016-11-18,2016-11-18,123.96
2016-11-21,2016-11-21,123.48
2016-11-22,2016-11-22,124.44
2016-11-23,2016-11-23,124.94
2016-11-25,2016-11-25,125.77
2016-11-28,2016-11-28,124.87
2016-11-29,2016-11-29,125.61
2016-11-30,2016-11-30,125.18
2016-12-01,2016-12-01,125.3
2016-12-02,2016-12-02,125.2
2016-12-05,2016-12-05,126.11
2016-12-06,2016-12-06,126.49
2016-12-07,2016-12-07,127.93
2016-12-08,2016-12-08,126.78
2016-12-09,2016-12-09,127.02
2016-12-12,2016-12-12,126.99
2016-12-13,2016-12-13,126.16
2016-12-14,2016-12-14,124.16
2016-12-15,2016-12-15,125.07
2016-12-16,2016-12-16,124.92
2016-12-19,2016-12-19,125.96
2016-12-20,2016-12-20,125.92
2016-12-21,2016-12-21,124.7
2016-12-22,2016-12-22,124.65
2016-12-23,2016-12-23,124.85
2016-12-27,2016-12-27,125.21
2016-12-28,2016-12-28,122.64
2016-12-29,2016-12-29,122.49
2016-12-30,2016-12-30,122.46
2017-01-03,2017-01-03,122.52
2017-01-04,2017-01-04,122.99
2017-01-05,2017-01-05,121.61
2017-01-06,2017-01-06,122.88
2017-01-09,2017-01-09,122.28
2017-01-10,2017-01-10,122.57
2017-01-11,2017-01-11,123.16
2017-01-12,2017-01-12,122.61
2017-01-13,2017-01-13,123.39
2017-01-17,2017-01-17,122.82
2017-01-18,2017-01-18,123.66
2017-01-19,2017-01-19,123.37
2017-01-20,2017-01-20,123.74
2017-01-23,2017-01-23,124.05
2017-01-24,2017-01-24,127.06
2017-01-25,2017-01-25,128.57
2017-01-26,2017-01-26,128.21
2017-01-27,2017-01-27,128.86
2017-01-30,2017-01-30,128.79
2017-01-31,2017-01-31,127.2
2017-02-01,2017-02-01,126.88
2017-02-02,2017-02-02,126.98
2017-02-03,2017-02-03,127.21
