DATE,DATE,CLOSE
2016-11-01,2016-11-01,50.75
2016-11-02,2016-11-02,50.55
2016-11-03,2016-11-03,51.03
2016-11-04,2016-11-04,49.25
2016-11-07,2016-11-07,49.42
2016-11-08,2016-11-08,49.99
2016-11-09,2016-11-09,54.91
2016-11-10,2016-11-10,55.89
2016-11-11,2016-11-11,55.62
2016-11-14,2016-11-14,58.63
2016-11-15,2016-11-15,59.19
2016-11-16,2016-11-16,58.63
2016-11-17,2016-11-17,58.83
2016-11-18,2016-11-18,58.15
2016-11-21,2016-11-21,58.0
2016-11-22,2016-11-22,59.32
2016-11-23,2016-11-23,61.69
2016-11-25,2016-11-25,62.17
2016-11-28,2016-11-28,61.92
2016-11-29,2016-11-29,61.72
2016-11-30,2016-11-30,62.01
2016-12-01,2016-12-01,61.63
2016-12-02,2016-12-02,60.66
2016-12-05,2016-12-05,59.85
2016-12-06,2016-12-06,60.49
2016-12-07,2016-12-07,60.3
2016-12-08,2016-12-08,60.89
2016-12-09,2016-12-09,61.57
2016-12-12,2016-12-12,61.58
2016-12-13,2016-12-13,60.6
2016-12-14,2016-12-14,59.95
2016-12-15,2016-12-15,59.36
2016-12-16,2016-12-16,58.79
2016-12-19,2016-12-19,58.74
2016-12-20,2016-12-20,59.43
2016-12-21,2016-12-21,58.46
2016-12-22,2016-12-22,58.35
2016-12-23,2016-12-23,58.19
2016-12-27,2016-12-27,58.47
2016-12-28,2016-12-28,57.49
2016-12-29,2016-12-29,57.28
2016-12-30,2016-12-30,57.0
2017-01-03,2017-01-03,58.15
2017-01-04,2017-01-04,58.78
2017-01-05,2017-01-05,58.56
2017-01-06,2017-01-06,57.98
2017-01-09,2017-01-09,56.74
2017-01-10,2017-01-10,57.29
2017-01-11,2017-01-11,57.31
2017-01-12,2017-01-12,57.39
2017-01-13,2017-01-13,58.16
2017-01-17,2017-01-17,57.01
2017-01-18,2017-01-18,58.02
2017-01-19,2017-01-19,57.61
2017-01-20,2017-01-20,57.38
2017-01-23,2017-01-23,57.12
2017-01-24,2017-01-24,60.12
2017-01-25,2017-01-25,61.87
2017-01-26,2017-01-26,61.22
2017-01-27,2017-01-27,60.36
2017-01-30,2017-01-30,59.38
2017-01-31,2017-01-31,58.55
2017-02-01,2017-02-01,58.84
2017-02-02,2017-02-02,58.7
2017-02-03,2017-02-03,59.22
2017-02-06,2017-02-06,59.18
2017-02-07,2017-02-07,58.8
2017-02-08,2017-02-08,56.63
2017-02-09,2017-02-09,56.48
2017-02-10,2017-02-10,57.4
2017-02-13,2017-02-13,57.45
2017-02-14,2017-02-14,57.53
2017-02-15,2017-02-15,58.32
2017-02-16,2017-02-16,59.03
2017-02-17,2017-02-17,57.61
2017-02-21,2017-02-21,58.19
2017-02-22,2017-02-22,56.8
2017-02-23,2017-02-23,56.1
2017-02-24,2017-02-24,56.03
2017-02-27,2017-02-27,57.05
2017-02-28,2017-02-28,56.41
2017-03-01,2017-03-01,57.54
2017-03-02,2017-03-02,56.8
2017-03-03,2017-03-03,56.48
2017-03-06,2017-03-06,56.42
2017-03-07,2017-03-07,56.51
2017-03-08,2017-03-08,56.68
2017-03-09,2017-03-09,55.87
2017-03-10,2017-03-10,56.42
2017-03-13,2017-03-13,56.44
2017-03-14,2017-03-14,55.55
2017-03-15,2017-03-15,56.33
2017-03-16,2017-03-16,55.87
2017-03-17,2017-03-17,55.46
2017-03-20,2017-03-20,55.45
2017-03-21,2017-03-21,54.53
2017-03-22,2017-03-22,54.78
2017-03-23,2017-03-23,54.76
2017-03-24,2017-03-24,54.13
2017-03-27,2017-03-27,53.7
2017-03-28,2017-03-28,54.19
2017-03-29,2017-03-29,55.11
2017-03-30,2017-03-30,55.33
2017-03-31,2017-03-31,55.28
2017-04-03,2017-04-03,54.67
2017-04-04,2017-04-04,54.67
2017-04-05,2017-04-05,54.31
2017-04-06,2017-04-06,54.58
2017-04-07,2017-04-07,54.51
2017-04-10,2017-04-10,54.94
2017-04-11,2017-04-11,54.61
2017-04-12,2017-04-12,53.11
2017-04-13,2017-04-13,52.97
2017-04-17,2017-04-17,53.45
2017-04-18,2017-04-18,53.64
2017-04-19,2017-04-19,53.88
2017-04-20,2017-04-20,53.68
2017-04-21,2017-04-21,53.54
2017-04-24,2017-04-24,54.66
2017-04-25,2017-04-25,55.11
2017-04-26,2017-04-26,55.4
2017-04-27,2017-04-27,55.72
2017-04-28,2017-04-28,54.92
2017-05-01,2017-05-01,54.52
2017-05-02,2017-05-02,55.15
2017-05-03,2017-05-03,54.58
2017-05-04,2017-05-04,54.78
2017-05-05,2017-05-05,54.66
2017-05-08,2017-05-08,54.71
2017-05-09,2017-05-09,55.92
2017-05-10,2017-05-10,54.56
2017-05-11,2017-05-11,54.56
2017-05-12,2017-05-12,52.75
2017-05-15,2017-05-15,52.82
2017-05-16,2017-05-16,52.6
2017-05-17,2017-05-17,51.71
2017-05-18,2017-05-18,51.4
2017-05-19,2017-05-19,53.01
2017-05-22,2017-05-22,52.88
2017-05-23,2017-05-23,53.18
2017-05-24,2017-05-24,52.94
2017-05-25,2017-05-25,52.59
2017-05-26,2017-05-26,52.66
2017-05-30,2017-05-30,52.63
2017-05-31,2017-05-31,52.42
2017-06-01,2017-06-01,53.21
2017-06-02,2017-06-02,53.2
2017-06-05,2017-06-05,52.31
2017-06-06,2017-06-06,52.09
2017-06-07,2017-06-07,52.0
2017-06-08,2017-06-08,52.91
2017-06-09,2017-06-09,54.95
2017-06-12,2017-06-12,55.01
2017-06-13,2017-06-13,55.0
2017-06-14,2017-06-14,54.59
2017-06-15,2017-06-15,53.8
2017-06-16,2017-06-16,53.82
2017-06-19,2017-06-19,54.2
2017-06-20,2017-06-20,53.45
2017-06-21,2017-06-21,52.49
2017-06-22,2017-06-22,52.66
2017-06-23,2017-06-23,52.81
2017-06-26,2017-06-26,53.55
2017-06-27,2017-06-27,53.53
2017-06-28,2017-06-28,54.21
2017-06-29,2017-06-29,53.56
2017-06-30,2017-06-30,54.39
2017-07-03,2017-07-03,55.15
2017-07-05,2017-07-05,54.86
2017-07-06,2017-07-06,54.17
2017-07-07,2017-07-07,54.82
2017-07-10,2017-07-10,54.78
2017-07-11,2017-07-11,54.6
2017-07-12,2017-07-12,54.68
2017-07-13,2017-07-13,54.24
2017-07-14,2017-07-14,54.37
