DATE,DATE,CLOSE
2016-11-01,2016-11-01,50.86
2016-11-02,2016-11-02,50.94
2016-11-03,2016-11-03,50.21
2016-11-04,2016-11-04,50.39
2016-11-07,2016-11-07,51.82
2016-11-08,2016-11-08,52.05
2016-11-09,2016-11-09,52.29
2016-11-10,2016-11-10,56.03
2016-11-11,2016-11-11,58.72
2016-11-14,2016-11-14,59.55
2016-11-15,2016-11-15,58.3
2016-11-16,2016-11-16,58.3
2016-11-17,2016-11-17,58.5
2016-11-18,2016-11-18,58.94
2016-11-21,2016-11-21,57.73
2016-11-22,2016-11-22,57.9
2016-11-23,2016-11-23,58.53
2016-11-25,2016-11-25,57.85
2016-11-28,2016-11-28,56.06
2016-11-29,2016-11-29,56.35
2016-11-30,2016-11-30,55.92
2016-12-01,2016-12-01,56.04
2016-12-02,2016-12-02,56.54
2016-12-05,2016-12-05,57.2
2016-12-06,2016-12-06,57.26
2016-12-07,2016-12-07,60.09
2016-12-08,2016-12-08,61.49
2016-12-09,2016-12-09,60.75
2016-12-12,2016-12-12,58.41
2016-12-13,2016-12-13,58.35
2016-12-14,2016-12-14,57.02
2016-12-15,2016-12-15,55.28
2016-12-16,2016-12-16,50.48
2016-12-19,2016-12-19,50.84
2016-12-20,2016-12-20,51.77
2016-12-21,2016-12-21,51.21
2016-12-22,2016-12-22,48.24
2016-12-23,2016-12-23,48.75
2016-12-27,2016-12-27,48.96
2016-12-28,2016-12-28,48.41
2016-12-29,2016-12-29,48.29
2016-12-30,2016-12-30,47.93
2017-01-03,2017-01-03,47.62
2017-01-04,2017-01-04,48.92
2017-01-05,2017-01-05,45.56
2017-01-06,2017-01-06,45.47
2017-01-09,2017-01-09,45.05
2017-01-10,2017-01-10,45.67
2017-01-11,2017-01-11,44.9
2017-01-12,2017-01-12,45.03
2017-01-13,2017-01-13,44.2
2017-01-17,2017-01-17,44.38
2017-01-18,2017-01-18,44.31
2017-01-19,2017-01-19,42.93
2017-01-20,2017-01-20,44.64
2017-01-23,2017-01-23,44.41
2017-01-24,2017-01-24,44.99
2017-01-25,2017-01-25,45.01
2017-01-26,2017-01-26,44.32
2017-01-27,2017-01-27,42.83
2017-01-30,2017-01-30,43.7
2017-01-31,2017-01-31,44.22
2017-02-01,2017-02-01,43.82
2017-02-02,2017-02-02,43.51
2017-02-03,2017-02-03,43.9
2017-02-06,2017-02-06,42.88
2017-02-07,2017-02-07,42.78
2017-02-08,2017-02-08,44.53
2017-02-09,2017-02-09,45.55
2017-02-10,2017-02-10,45.0
2017-02-13,2017-02-13,44.36
2017-02-14,2017-02-14,45.44
2017-02-15,2017-02-15,46.12
2017-02-16,2017-02-16,44.18
2017-02-17,2017-02-17,45.69
2017-02-21,2017-02-21,45.87
2017-02-22,2017-02-22,45.35
2017-02-23,2017-02-23,43.94
2017-02-24,2017-02-24,46.46
2017-02-27,2017-02-27,47.61
2017-02-28,2017-02-28,46.66
2017-03-01,2017-03-01,45.6
2017-03-02,2017-03-02,46.65
2017-03-03,2017-03-03,46.35
2017-03-06,2017-03-06,45.5
2017-03-07,2017-03-07,44.03
2017-03-08,2017-03-08,45.15
2017-03-09,2017-03-09,44.67
2017-03-10,2017-03-10,44.45
2017-03-13,2017-03-13,43.6
2017-03-14,2017-03-14,43.78
2017-03-15,2017-03-15,44.34
2017-03-16,2017-03-16,44.31
2017-03-17,2017-03-17,43.92
2017-03-20,2017-03-20,42.58
2017-03-21,2017-03-21,41.81
2017-03-22,2017-03-22,41.96
2017-03-23,2017-03-23,41.61
2017-03-24,2017-03-24,41.95
2017-03-27,2017-03-27,42.46
2017-03-28,2017-03-28,43.58
2017-03-29,2017-03-29,45.92
2017-03-30,2017-03-30,46.45
2017-03-31,2017-03-31,46.57
2017-04-03,2017-04-03,46.48
2017-04-04,2017-04-04,43.92
2017-04-05,2017-04-05,43.44
2017-04-06,2017-04-06,44.72
2017-04-07,2017-04-07,44.53
2017-04-10,2017-04-10,45.4
2017-04-11,2017-04-11,46.57
2017-04-12,2017-04-12,46.43
2017-04-13,2017-04-13,46.57
2017-04-17,2017-04-17,46.1
2017-04-18,2017-04-18,46.08
2017-04-19,2017-04-19,46.53
2017-04-20,2017-04-20,47.87
2017-04-21,2017-04-21,47.62
2017-04-24,2017-04-24,47.23
2017-04-25,2017-04-25,47.15
2017-04-26,2017-04-26,47.68
2017-04-27,2017-04-27,48.3
2017-04-28,2017-04-28,48.27
2017-05-01,2017-05-01,47.35
2017-05-02,2017-05-02,48.64
2017-05-03,2017-05-03,49.64
2017-05-04,2017-05-04,49.14
2017-05-05,2017-05-05,49.01
2017-05-08,2017-05-08,48.7
2017-05-09,2017-05-09,49.35
2017-05-10,2017-05-10,50.01
2017-05-11,2017-05-11,46.21
2017-05-12,2017-05-12,41.2
2017-05-15,2017-05-15,41.4
2017-05-16,2017-05-16,40.64
2017-05-17,2017-05-17,40.81
2017-05-18,2017-05-18,40.66
