DATE,DATE,CLOSE
2016-11-01,2016-11-01,75.21
2016-11-02,2016-11-02,75.09
2016-11-03,2016-11-03,73.97
2016-11-04,2016-11-04,73.67
2016-11-07,2016-11-07,74.95
2016-11-08,2016-11-08,76.96
2016-11-09,2016-11-09,74.88
2016-11-10,2016-11-10,72.65
2016-11-11,2016-11-11,72.5
2016-11-14,2016-11-14,72.53
2016-11-15,2016-11-15,73.4
2016-11-16,2016-11-16,73.26
2016-11-17,2016-11-17,73.44
2016-11-18,2016-11-18,73.07
2016-11-21,2016-11-21,73.39
2016-11-22,2016-11-22,74.49
2016-11-23,2016-11-23,73.39
2016-11-25,2016-11-25,74.16
2016-11-28,2016-11-28,73.89
2016-11-29,2016-11-29,73.62
2016-11-30,2016-11-30,72.0
2016-12-01,2016-12-01,70.96
2016-12-02,2016-12-02,71.17
2016-12-05,2016-12-05,71.67
2016-12-06,2016-12-06,71.97
2016-12-07,2016-12-07,72.65
2016-12-08,2016-12-08,72.09
2016-12-09,2016-12-09,73.11
2016-12-12,2016-12-12,73.8
2016-12-13,2016-12-13,73.95
2016-12-14,2016-12-14,73.12
2016-12-15,2016-12-15,73.41
2016-12-16,2016-12-16,73.29
2016-12-19,2016-12-19,72.92
2016-12-20,2016-12-20,73.27
2016-12-21,2016-12-21,73.15
2016-12-22,2016-12-22,73.66
2016-12-23,2016-12-23,73.57
2016-12-27,2016-12-27,73.85
2016-12-28,2016-12-28,73.43
2016-12-29,2016-12-29,73.96
2016-12-30,2016-12-30,73.71
2017-01-03,2017-01-03,73.37
2017-01-04,2017-01-04,73.18
2017-01-05,2017-01-05,73.11
2017-01-06,2017-01-06,73.13
2017-01-09,2017-01-09,72.13
2017-01-10,2017-01-10,71.66
2017-01-11,2017-01-11,71.87
2017-01-12,2017-01-12,71.92
2017-01-13,2017-01-13,71.38
2017-01-17,2017-01-17,72.03
2017-01-18,2017-01-18,71.98
2017-01-19,2017-01-19,71.78
2017-01-20,2017-01-20,72.21
2017-01-23,2017-01-23,72.29
2017-01-24,2017-01-24,72.61
2017-01-25,2017-01-25,72.31
2017-01-26,2017-01-26,72.09
2017-01-27,2017-01-27,73.0
2017-01-30,2017-01-30,72.67
2017-01-31,2017-01-31,72.71
2017-02-01,2017-02-01,71.9
2017-02-02,2017-02-02,72.77
2017-02-03,2017-02-03,73.36
2017-02-06,2017-02-06,72.33
2017-02-07,2017-02-07,72.85
2017-02-08,2017-02-08,73.49
2017-02-09,2017-02-09,76.44
2017-02-10,2017-02-10,76.0
2017-02-13,2017-02-13,75.62
2017-02-14,2017-02-14,75.92
2017-02-15,2017-02-15,76.04
2017-02-16,2017-02-16,74.71
2017-02-17,2017-02-17,72.9
2017-02-21,2017-02-21,74.74
2017-02-22,2017-02-22,74.49
2017-02-23,2017-02-23,74.8
2017-02-24,2017-02-24,75.23
2017-02-27,2017-02-27,73.88
2017-02-28,2017-02-28,74.07
2017-03-01,2017-03-01,74.83
2017-03-02,2017-03-02,75.02
2017-03-03,2017-03-03,74.47
2017-03-06,2017-03-06,74.22
2017-03-07,2017-03-07,74.14
2017-03-08,2017-03-08,73.86
2017-03-09,2017-03-09,74.1
2017-03-10,2017-03-10,74.19
2017-03-13,2017-03-13,74.15
2017-03-14,2017-03-14,74.23
2017-03-15,2017-03-15,74.75
2017-03-16,2017-03-16,74.76
2017-03-17,2017-03-17,75.11
2017-03-20,2017-03-20,74.98
2017-03-21,2017-03-21,73.6
2017-03-22,2017-03-22,72.71
2017-03-23,2017-03-23,73.11
2017-03-24,2017-03-24,73.0
2017-03-27,2017-03-27,72.56
2017-03-28,2017-03-28,72.66
2017-03-29,2017-03-29,73.08
2017-03-30,2017-03-30,72.54
2017-03-31,2017-03-31,72.61
2017-04-03,2017-04-03,72.37
2017-04-04,2017-04-04,72.27
2017-04-05,2017-04-05,72.75
2017-04-06,2017-04-06,72.41
2017-04-07,2017-04-07,72.59
2017-04-10,2017-04-10,72.27
2017-04-11,2017-04-11,72.15
2017-04-12,2017-04-12,72.33
2017-04-13,2017-04-13,71.95
2017-04-17,2017-04-17,72.31
2017-04-18,2017-04-18,72.98
2017-04-19,2017-04-19,72.66
2017-04-20,2017-04-20,72.79
2017-04-21,2017-04-21,72.42
2017-04-24,2017-04-24,72.77
2017-04-25,2017-04-25,72.35
2017-04-26,2017-04-26,71.49
2017-04-27,2017-04-27,70.96
2017-04-28,2017-04-28,71.0
2017-05-01,2017-05-01,70.15
2017-05-02,2017-05-02,69.03
2017-05-03,2017-05-03,68.94
2017-05-04,2017-05-04,70.4
2017-05-05,2017-05-05,70.69
2017-05-08,2017-05-08,72.7
2017-05-09,2017-05-09,70.85
2017-05-10,2017-05-10,71.05
2017-05-11,2017-05-11,70.69
2017-05-12,2017-05-12,70.83
2017-05-15,2017-05-15,71.02
2017-05-16,2017-05-16,70.35
2017-05-17,2017-05-17,70.53
2017-05-18,2017-05-18,70.08
2017-05-19,2017-05-19,71.03
2017-05-22,2017-05-22,71.31
2017-05-23,2017-05-23,71.61
2017-05-24,2017-05-24,72.52
2017-05-25,2017-05-25,72.68
2017-05-26,2017-05-26,72.62
2017-05-30,2017-05-30,71.68
2017-05-31,2017-05-31,71.6
2017-06-01,2017-06-01,72.94
2017-06-02,2017-06-02,72.97
2017-06-05,2017-06-05,72.95
2017-06-06,2017-06-06,72.84
2017-06-07,2017-06-07,73.13
2017-06-08,2017-06-08,72.25
2017-06-09,2017-06-09,72.66
2017-06-12,2017-06-12,73.08
2017-06-13,2017-06-13,73.3
2017-06-14,2017-06-14,73.49
2017-06-15,2017-06-15,73.1
2017-06-16,2017-06-16,71.88
2017-06-19,2017-06-19,71.76
2017-06-20,2017-06-20,71.09
2017-06-21,2017-06-21,70.48
2017-06-22,2017-06-22,70.41
2017-06-23,2017-06-23,70.56
2017-06-26,2017-06-26,70.99
2017-06-27,2017-06-27,69.34
2017-06-28,2017-06-28,69.53
2017-06-29,2017-06-29,68.69
2017-06-30,2017-06-30,69.46
2017-07-03,2017-07-03,68.76
2017-07-05,2017-07-05,67.7
2017-07-06,2017-07-06,66.55
2017-07-07,2017-07-07,66.52
2017-07-10,2017-07-10,65.87
2017-07-11,2017-07-11,65.34
2017-07-12,2017-07-12,65.74
2017-07-13,2017-07-13,66.02
2017-07-14,2017-07-14,66.38
2017-07-17,2017-07-17,66.75
2017-07-18,2017-07-18,66.26
2017-07-19,2017-07-19,66.35
2017-07-20,2017-07-20,66.75
2017-07-21,2017-07-21,67.22
2017-07-24,2017-07-24,66.83
2017-07-25,2017-07-25,67.57
2017-07-26,2017-07-26,67.31
2017-07-27,2017-07-27,67.68
2017-07-28,2017-07-28,67.65
2017-07-31,2017-07-31,68.0
2017-08-01,2017-08-01,67.46
2017-08-02,2017-08-02,67.44
2017-08-03,2017-08-03,70.36
2017-08-04,2017-08-04,69.62
2017-08-07,2017-08-07,70.11
2017-08-08,2017-08-08,69.22
2017-08-09,2017-08-09,69.04
2017-08-10,2017-08-10,68.75
2017-08-11,2017-08-11,68.81
2017-08-14,2017-08-14,69.86
2017-08-15,2017-08-15,69.81
2017-08-16,2017-08-16,70.07
2017-08-17,2017-08-17,70.1
2017-08-18,2017-08-18,69.95
2017-08-21,2017-08-21,70.2
2017-08-22,2017-08-22,70.0
2017-08-23,2017-08-23,69.91
2017-08-24,2017-08-24,67.91
2017-08-25,2017-08-25,67.71
2017-08-28,2017-08-28,66.78
2017-08-29,2017-08-29,66.3
2017-08-30,2017-08-30,66.05
2017-08-31,2017-08-31,65.46
2017-09-01,2017-09-01,65.45
2017-09-05,2017-09-05,66.4
2017-09-06,2017-09-06,67.84
2017-09-07,2017-09-07,67.75
2017-09-08,2017-09-08,68.45
2017-09-11,2017-09-11,68.77
2017-09-12,2017-09-12,68.49
2017-09-13,2017-09-13,67.98
2017-09-14,2017-09-14,67.62
2017-09-15,2017-09-15,68.32
2017-09-18,2017-09-18,68.61
2017-09-19,2017-09-19,65.87
2017-09-20,2017-09-20,64.72
2017-09-21,2017-09-21,63.92
2017-09-22,2017-09-22,63.36
2017-09-25,2017-09-25,64.03
2017-09-26,2017-09-26,63.42
2017-09-27,2017-09-27,63.04
2017-09-28,2017-09-28,62.81
2017-09-29,2017-09-29,62.37
2017-10-02,2017-10-02,62.72
2017-10-03,2017-10-03,62.02
2017-10-04,2017-10-04,62.42
2017-10-05,2017-10-05,62.7
2017-10-06,2017-10-06,62.4
2017-10-09,2017-10-09,61.04
2017-10-10,2017-10-10,61.47
2017-10-11,2017-10-11,61.25
2017-10-12,2017-10-12,62.39
2017-10-13,2017-10-13,61.96
2017-10-16,2017-10-16,61.91
2017-10-17,2017-10-17,61.74
2017-10-18,2017-10-18,61.79
2017-10-19,2017-10-19,61.7
2017-10-20,2017-10-20,61.45
2017-10-23,2017-10-23,61.48
2017-10-24,2017-10-24,61.2
2017-10-25,2017-10-25,60.48
2017-10-26,2017-10-26,60.55
2017-10-27,2017-10-27,60.26
2017-10-30,2017-10-30,58.87
2017-10-31,2017-10-31,62.53
2017-11-01,2017-11-01,63.01
2017-11-02,2017-11-02,62.38
2017-11-03,2017-11-03,61.96
2017-11-06,2017-11-06,60.2
2017-11-07,2017-11-07,60.84
2017-11-08,2017-11-08,62.82
2017-11-09,2017-11-09,63.28
2017-11-10,2017-11-10,64.7
2017-11-13,2017-11-13,63.76
2017-11-14,2017-11-14,65.18
2017-11-15,2017-11-15,63.74
2017-11-16,2017-11-16,65.28
2017-11-17,2017-11-17,65.36
2017-11-20,2017-11-20,65.56
2017-11-21,2017-11-21,64.35
2017-11-22,2017-11-22,64.71
2017-11-24,2017-11-24,64.93
2017-11-27,2017-11-27,65.07
2017-11-28,2017-11-28,65.94
2017-11-29,2017-11-29,66.8
2017-11-30,2017-11-30,66.16
2017-12-01,2017-12-01,65.99
2017-12-04,2017-12-04,67.54
2017-12-05,2017-12-05,67.97
2017-12-06,2017-12-06,68.13
2017-12-07,2017-12-07,67.27
2017-12-08,2017-12-08,66.53
2017-12-11,2017-12-11,66.55
2017-12-12,2017-12-12,65.95
2017-12-13,2017-12-13,65.83
2017-12-14,2017-12-14,65.05
2017-12-15,2017-12-15,64.99
2017-12-18,2017-12-18,65.64
2017-12-19,2017-12-19,65.47
2017-12-20,2017-12-20,66.87
2017-12-21,2017-12-21,67.65
2017-12-22,2017-12-22,68.1
2017-12-26,2017-12-26,68.15
2017-12-27,2017-12-27,68.29
2017-12-28,2017-12-28,68.03
2017-12-29,2017-12-29,67.98
2018-01-02,2018-01-02,67.97
2018-01-03,2018-01-03,67.65
2018-01-04,2018-01-04,68.73
2018-01-05,2018-01-05,68.94
2018-01-08,2018-01-08,69.17
2018-01-09,2018-01-09,68.78
2018-01-10,2018-01-10,67.02
2018-01-11,2018-01-11,65.98
2018-01-12,2018-01-12,64.69
2018-01-16,2018-01-16,65.94
2018-01-17,2018-01-17,66.51
2018-01-18,2018-01-18,65.8
2018-01-19,2018-01-19,66.62
2018-01-22,2018-01-22,67.17
2018-01-23,2018-01-23,66.93
2018-01-24,2018-01-24,67.3
2018-01-25,2018-01-25,67.91
2018-01-26,2018-01-26,68.33
2018-01-29,2018-01-29,67.76
2018-01-30,2018-01-30,67.94
2018-01-31,2018-01-31,68.11
2018-02-01,2018-02-01,68.32
2018-02-02,2018-02-02,65.45
2018-02-05,2018-02-05,64.13
2018-02-06,2018-02-06,65.16
2018-02-07,2018-02-07,64.21
2018-02-08,2018-02-08,65.98
2018-02-09,2018-02-09,67.33
2018-02-12,2018-02-12,67.07
2018-02-13,2018-02-13,67.49
2018-02-14,2018-02-14,67.74
2018-02-15,2018-02-15,69.82
2018-02-16,2018-02-16,69.66
2018-02-20,2018-02-20,69.68
2018-02-21,2018-02-21,68.31
2018-02-22,2018-02-22,68.26
2018-02-23,2018-02-23,68.54
2018-02-26,2018-02-26,68.95
2018-02-27,2018-02-27,67.13
2018-02-28,2018-02-28,66.2
2018-03-01,2018-03-01,66.91
2018-03-02,2018-03-02,67.68
2018-03-05,2018-03-05,69.2
2018-03-06,2018-03-06,69.9
2018-03-07,2018-03-07,69.3
2018-03-08,2018-03-08,69.64
2018-03-09,2018-03-09,70.25
2018-03-12,2018-03-12,69.83
2018-03-13,2018-03-13,69.64
2018-03-14,2018-03-14,69.0
2018-03-15,2018-03-15,66.99
2018-03-16,2018-03-16,66.44
2018-03-19,2018-03-19,66.43
2018-03-20,2018-03-20,66.32
2018-03-21,2018-03-21,63.68
2018-03-22,2018-03-22,63.37
2018-03-23,2018-03-23,62.95
2018-03-26,2018-03-26,64.13
2018-03-27,2018-03-27,64.38
2018-03-28,2018-03-28,63.9
2018-03-29,2018-03-29,65.01
2018-04-02,2018-04-02,63.12
2018-04-03,2018-04-03,63.37
2018-04-04,2018-04-04,64.93
2018-04-05,2018-04-05,64.56
2018-04-06,2018-04-06,64.24
2018-04-09,2018-04-09,64.48
2018-04-10,2018-04-10,63.62
2018-04-11,2018-04-11,63.35
2018-04-12,2018-04-12,62.61
2018-04-13,2018-04-13,63.06
2018-04-16,2018-04-16,63.83
2018-04-17,2018-04-17,63.79
2018-04-18,2018-04-18,63.41
2018-04-19,2018-04-19,62.2
2018-04-20,2018-04-20,60.27
2018-04-23,2018-04-23,60.52
2018-04-24,2018-04-24,60.46
2018-04-25,2018-04-25,60.95
2018-04-26,2018-04-26,60.1
2018-04-27,2018-04-27,60.24
2018-04-30,2018-04-30,58.9
2018-05-01,2018-05-01,58.75
