DATE,DATE,CLOSE
2016-11-01,2016-11-01,73.9
2016-11-02,2016-11-02,74.73
2016-11-03,2016-11-03,74.68
2016-11-04,2016-11-04,74.52
2016-11-07,2016-11-07,75.54
2016-11-08,2016-11-08,75.53
2016-11-09,2016-11-09,75.49
2016-11-10,2016-11-10,74.51
2016-11-11,2016-11-11,75.46
2016-11-14,2016-11-14,75.48
2016-11-15,2016-11-15,77.75
2016-11-16,2016-11-16,77.7
2016-11-17,2016-11-17,79.05
2016-11-18,2016-11-18,80.04
2016-11-21,2016-11-21,80.96
2016-11-22,2016-11-22,83.04
2016-11-23,2016-11-23,81.83
2016-11-25,2016-11-25,82.27
2016-11-28,2016-11-28,82.51
2016-11-29,2016-11-29,81.68
2016-11-30,2016-11-30,79.84
2016-12-01,2016-12-01,75.93
2016-12-02,2016-12-02,76.26
2016-12-05,2016-12-05,77.03
2016-12-06,2016-12-06,78.12
2016-12-07,2016-12-07,79.26
2016-12-08,2016-12-08,78.85
2016-12-09,2016-12-09,77.21
2016-12-12,2016-12-12,77.32
2016-12-13,2016-12-13,77.97
2016-12-14,2016-12-14,77.81
2016-12-15,2016-12-15,79.36
2016-12-16,2016-12-16,78.19
2016-12-19,2016-12-19,79.37
2016-12-20,2016-12-20,78.88
2016-12-21,2016-12-21,78.98
2016-12-22,2016-12-22,79.15
2016-12-23,2016-12-23,79.12
2016-12-27,2016-12-27,80.02
2016-12-28,2016-12-28,79.76
2016-12-29,2016-12-29,79.29
2016-12-30,2016-12-30,78.68
2017-01-03,2017-01-03,79.41
2017-01-04,2017-01-04,79.13
2017-01-05,2017-01-05,78.42
2017-01-06,2017-01-06,79.13
2017-01-09,2017-01-09,79.59
2017-01-10,2017-01-10,79.33
2017-01-11,2017-01-11,80.27
2017-01-12,2017-01-12,80.1
2017-01-13,2017-01-13,81.44
2017-01-17,2017-01-17,80.0
2017-01-18,2017-01-18,81.63
2017-01-19,2017-01-19,81.15
2017-01-20,2017-01-20,81.56
2017-01-23,2017-01-23,82.1
2017-01-24,2017-01-24,82.8
2017-01-25,2017-01-25,84.67
2017-01-26,2017-01-26,83.25
2017-01-27,2017-01-27,86.16
2017-01-30,2017-01-30,86.25
2017-01-31,2017-01-31,85.11
2017-02-01,2017-02-01,86.04
2017-02-02,2017-02-02,87.36
2017-02-03,2017-02-03,87.59
2017-02-06,2017-02-06,87.0
2017-02-07,2017-02-07,87.66
2017-02-08,2017-02-08,86.87
2017-02-09,2017-02-09,86.74
2017-02-10,2017-02-10,86.64
2017-02-13,2017-02-13,87.22
2017-02-14,2017-02-14,86.99
2017-02-15,2017-02-15,87.68
2017-02-16,2017-02-16,88.53
2017-02-17,2017-02-17,88.46
2017-02-21,2017-02-21,90.45
2017-02-22,2017-02-22,90.27
2017-02-23,2017-02-23,89.9
2017-02-24,2017-02-24,90.29
2017-02-27,2017-02-27,90.22
2017-02-28,2017-02-28,90.12
2017-03-01,2017-03-01,91.44
2017-03-02,2017-03-02,90.73
2017-03-03,2017-03-03,90.42
2017-03-06,2017-03-06,90.82
2017-03-07,2017-03-07,91.04
2017-03-08,2017-03-08,91.55
2017-03-09,2017-03-09,91.79
2017-03-10,2017-03-10,93.2
2017-03-13,2017-03-13,92.86
2017-03-14,2017-03-14,92.87
2017-03-15,2017-03-15,93.61
2017-03-16,2017-03-16,94.2
2017-03-17,2017-03-17,94.69
2017-03-20,2017-03-20,95.12
2017-03-21,2017-03-21,94.19
2017-03-22,2017-03-22,95.57
2017-03-23,2017-03-23,95.23
2017-03-24,2017-03-24,95.72
2017-03-27,2017-03-27,95.8
2017-03-28,2017-03-28,95.65
2017-03-29,2017-03-29,95.45
2017-03-30,2017-03-30,95.64
2017-03-31,2017-03-31,95.07
2017-04-03,2017-04-03,95.97
2017-04-04,2017-04-04,96.46
2017-04-05,2017-04-05,95.73
2017-04-06,2017-04-06,96.17
2017-04-07,2017-04-07,96.54
2017-04-10,2017-04-10,96.33
2017-04-11,2017-04-11,95.5
2017-04-12,2017-04-12,95.21
2017-04-13,2017-04-13,95.33
2017-04-17,2017-04-17,95.5
2017-04-18,2017-04-18,94.6
2017-04-19,2017-04-19,97.59
2017-04-20,2017-04-20,98.51
2017-04-21,2017-04-21,98.37
2017-04-24,2017-04-24,100.83
2017-04-25,2017-04-25,101.71
2017-04-26,2017-04-26,100.8
2017-04-27,2017-04-27,103.59
2017-04-28,2017-04-28,98.22
2017-05-01,2017-05-01,99.17
2017-05-02,2017-05-02,99.72
2017-05-03,2017-05-03,99.45
2017-05-04,2017-05-04,100.81
2017-05-05,2017-05-05,100.94
2017-05-08,2017-05-08,100.5
2017-05-09,2017-05-09,100.81
2017-05-10,2017-05-10,100.76
2017-05-11,2017-05-11,100.26
2017-05-12,2017-05-12,100.04
2017-05-15,2017-05-15,101.25
2017-05-16,2017-05-16,102.33
2017-05-17,2017-05-17,99.88
2017-05-18,2017-05-18,100.85
2017-05-19,2017-05-19,101.78
2017-05-22,2017-05-22,102.71
2017-05-23,2017-05-23,102.49
2017-05-24,2017-05-24,103.28
2017-05-25,2017-05-25,104.85
2017-05-26,2017-05-26,104.74
2017-05-30,2017-05-30,104.54
2017-05-31,2017-05-31,104.0
2017-06-01,2017-06-01,104.75
2017-06-02,2017-06-02,105.88
2017-06-05,2017-06-05,106.4
2017-06-06,2017-06-06,107.8
2017-06-07,2017-06-07,108.67
2017-06-08,2017-06-08,108.93
2017-06-09,2017-06-09,101.98
2017-06-12,2017-06-12,101.14
2017-06-13,2017-06-13,101.42
2017-06-14,2017-06-14,98.55
2017-06-15,2017-06-15,97.07
2017-06-16,2017-06-16,97.7
2017-06-19,2017-06-19,101.02
2017-06-20,2017-06-20,97.58
2017-06-21,2017-06-21,98.01
2017-06-22,2017-06-22,96.67
2017-06-23,2017-06-23,97.95
2017-06-26,2017-06-26,96.02
2017-06-27,2017-06-27,93.87
2017-06-28,2017-06-28,95.74
2017-06-29,2017-06-29,92.51
2017-06-30,2017-06-30,91.51
2017-07-03,2017-07-03,91.55
2017-07-05,2017-07-05,92.29
2017-07-06,2017-07-06,92.48
2017-07-07,2017-07-07,94.57
2017-07-10,2017-07-10,95.63
2017-07-11,2017-07-11,96.93
2017-07-12,2017-07-12,97.7
2017-07-13,2017-07-13,97.6
2017-07-14,2017-07-14,99.64
