DATE,DATE,CLOSE
2016-11-01,2016-11-01,114.0
2016-11-02,2016-11-02,113.55
2016-11-03,2016-11-03,113.65
2016-11-04,2016-11-04,112.35
2016-11-07,2016-11-07,113.98
2016-11-08,2016-11-08,115.48
2016-11-09,2016-11-09,115.37
2016-11-10,2016-11-10,112.15
2016-11-11,2016-11-11,112.91
2016-11-14,2016-11-14,113.09
2016-11-15,2016-11-15,113.87
2016-11-16,2016-11-16,113.34
2016-11-17,2016-11-17,112.36
2016-11-18,2016-11-18,113.11
2016-11-21,2016-11-21,113.8
2016-11-22,2016-11-22,114.54
2016-11-23,2016-11-23,114.56
2016-11-25,2016-11-25,115.84
2016-11-28,2016-11-28,117.17
2016-11-29,2016-11-29,116.5
2016-11-30,2016-11-30,115.61
2016-12-01,2016-12-01,114.01
2016-12-02,2016-12-02,114.11
2016-12-05,2016-12-05,113.63
2016-12-06,2016-12-06,114.39
2016-12-07,2016-12-07,114.34
2016-12-08,2016-12-08,113.4
2016-12-09,2016-12-09,114.61
2016-12-12,2016-12-12,114.78
2016-12-13,2016-12-13,115.34
2016-12-14,2016-12-14,114.61
2016-12-15,2016-12-15,115.39
2016-12-16,2016-12-16,116.24
2016-12-19,2016-12-19,114.87
2016-12-20,2016-12-20,114.42
2016-12-21,2016-12-21,114.61
2016-12-22,2016-12-22,115.02
2016-12-23,2016-12-23,114.82
2016-12-27,2016-12-27,115.11
2016-12-28,2016-12-28,114.15
2016-12-29,2016-12-29,115.08
2016-12-30,2016-12-30,114.12
2017-01-03,2017-01-03,114.56
2017-01-04,2017-01-04,115.18
2017-01-05,2017-01-05,116.01
2017-01-06,2017-01-06,116.43
2017-01-09,2017-01-09,114.64
2017-01-10,2017-01-10,114.36
2017-01-11,2017-01-11,114.41
2017-01-12,2017-01-12,114.46
2017-01-13,2017-01-13,114.59
2017-01-17,2017-01-17,116.03
2017-01-18,2017-01-18,116.4
2017-01-19,2017-01-19,115.9
2017-01-20,2017-01-20,116.22
2017-01-23,2017-01-23,116.98
2017-01-24,2017-01-24,121.79
2017-01-25,2017-01-25,122.0
2017-01-26,2017-01-26,122.15
2017-01-27,2017-01-27,120.98
