DATE,DATE,CLOSE
2016-11-01,2016-11-01,43.69
2016-11-02,2016-11-02,43.15
2016-11-03,2016-11-03,42.69
2016-11-04,2016-11-04,42.82
2016-11-07,2016-11-07,43.84
2016-11-08,2016-11-08,43.97
2016-11-09,2016-11-09,45.7
2016-11-10,2016-11-10,50.97
2016-11-11,2016-11-11,53.22
2016-11-14,2016-11-14,53.79
2016-11-15,2016-11-15,52.86
2016-11-16,2016-11-16,53.78
2016-11-17,2016-11-17,54.51
2016-11-18,2016-11-18,54.57
2016-11-21,2016-11-21,54.56
2016-11-22,2016-11-22,55.66
2016-11-23,2016-11-23,55.53
2016-11-25,2016-11-25,54.81
2016-11-28,2016-11-28,54.05
2016-11-29,2016-11-29,54.14
2016-11-30,2016-11-30,53.83
2016-12-01,2016-12-01,54.92
2016-12-02,2016-12-02,55.22
2016-12-05,2016-12-05,54.51
2016-12-06,2016-12-06,55.0
2016-12-07,2016-12-07,57.82
2016-12-08,2016-12-08,59.43
2016-12-09,2016-12-09,57.5
2016-12-12,2016-12-12,55.63
2016-12-13,2016-12-13,55.31
2016-12-14,2016-12-14,55.51
2016-12-15,2016-12-15,55.57
2016-12-16,2016-12-16,51.14
2016-12-19,2016-12-19,52.08
2016-12-20,2016-12-20,53.58
2016-12-21,2016-12-21,52.55
2016-12-22,2016-12-22,49.94
2016-12-23,2016-12-23,49.86
2016-12-27,2016-12-27,49.8
2016-12-28,2016-12-28,49.81
2016-12-29,2016-12-29,50.06
2016-12-30,2016-12-30,49.38
2017-01-03,2017-01-03,49.78
2017-01-04,2017-01-04,51.88
2017-01-05,2017-01-05,42.01
2017-01-06,2017-01-06,41.43
2017-01-09,2017-01-09,40.96
2017-01-10,2017-01-10,41.21
2017-01-11,2017-01-11,40.88
2017-01-12,2017-01-12,41.31
2017-01-13,2017-01-13,40.79
2017-01-17,2017-01-17,41.38
2017-01-18,2017-01-18,41.21
2017-01-19,2017-01-19,40.23
2017-01-20,2017-01-20,40.53
2017-01-23,2017-01-23,40.11
2017-01-24,2017-01-24,40.26
2017-01-25,2017-01-25,40.23
2017-01-26,2017-01-26,40.25
2017-01-27,2017-01-27,39.0
2017-01-30,2017-01-30,39.71
2017-01-31,2017-01-31,39.83
2017-02-01,2017-02-01,39.48
2017-02-02,2017-02-02,39.8
