DATE,DATE,CLOSE
2016-11-01,2016-11-01,86.09
2016-11-02,2016-11-02,87.48
2016-11-03,2016-11-03,87.98
2016-11-04,2016-11-04,87.97
2016-11-07,2016-11-07,91.5
2016-11-08,2016-11-08,92.55
2016-11-09,2016-11-09,82.48
2016-11-10,2016-11-10,81.11
2016-11-11,2016-11-11,82.05
2016-11-14,2016-11-14,85.1
2016-11-15,2016-11-15,85.18
2016-11-16,2016-11-16,85.01
2016-11-17,2016-11-17,86.0
2016-11-18,2016-11-18,87.57
2016-11-21,2016-11-21,88.74
2016-11-22,2016-11-22,86.7
2016-11-23,2016-11-23,88.12
2016-11-25,2016-11-25,87.79
2016-11-28,2016-11-28,88.48
2016-11-29,2016-11-29,87.95
2016-11-30,2016-11-30,88.71
2016-12-01,2016-12-01,86.73
2016-12-02,2016-12-02,85.72
2016-12-05,2016-12-05,85.48
2016-12-06,2016-12-06,83.8
2016-12-07,2016-12-07,86.22
2016-12-08,2016-12-08,86.22
2016-12-09,2016-12-09,86.02
2016-12-12,2016-12-12,85.38
2016-12-13,2016-12-13,85.97
2016-12-14,2016-12-14,84.71
2016-12-15,2016-12-15,85.62
2016-12-16,2016-12-16,86.61
2016-12-19,2016-12-19,86.46
2016-12-20,2016-12-20,85.73
2016-12-21,2016-12-21,85.49
2016-12-22,2016-12-22,85.29
2016-12-23,2016-12-23,85.29
2016-12-27,2016-12-27,86.16
2016-12-28,2016-12-28,84.53
2016-12-29,2016-12-29,84.46
2016-12-30,2016-12-30,84.85
2017-01-03,2017-01-03,80.82
2017-01-04,2017-01-04,81.18
2017-01-05,2017-01-05,81.71
2017-01-06,2017-01-06,83.81
2017-01-09,2017-01-09,81.55
2017-01-10,2017-01-10,81.28
2017-01-11,2017-01-11,81.45
2017-01-12,2017-01-12,82.12
2017-01-13,2017-01-13,83.89
2017-01-17,2017-01-17,84.26
2017-01-18,2017-01-18,84.96
2017-01-19,2017-01-19,84.5
2017-01-20,2017-01-20,87.91
2017-01-23,2017-01-23,85.6
2017-01-24,2017-01-24,86.35
2017-01-25,2017-01-25,88.87
2017-01-26,2017-01-26,87.28
2017-01-27,2017-01-27,86.0
2017-01-30,2017-01-30,86.36
2017-01-31,2017-01-31,85.91
2017-02-01,2017-02-01,86.05
2017-02-02,2017-02-02,84.94
2017-02-03,2017-02-03,85.61
2017-02-06,2017-02-06,85.22
2017-02-07,2017-02-07,85.0
2017-02-08,2017-02-08,85.06
2017-02-09,2017-02-09,85.96
2017-02-10,2017-02-10,85.8
2017-02-13,2017-02-13,86.67
2017-02-14,2017-02-14,86.42
2017-02-15,2017-02-15,86.75
2017-02-16,2017-02-16,86.85
2017-02-17,2017-02-17,86.89
2017-02-21,2017-02-21,87.66
2017-02-22,2017-02-22,87.7
2017-02-23,2017-02-23,87.41
2017-02-24,2017-02-24,88.33
2017-02-27,2017-02-27,88.42
2017-02-28,2017-02-28,88.63
2017-03-01,2017-03-01,90.38
2017-03-02,2017-03-02,89.48
2017-03-03,2017-03-03,89.5
2017-03-06,2017-03-06,89.29
2017-03-07,2017-03-07,89.0
2017-03-08,2017-03-08,88.21
2017-03-09,2017-03-09,87.34
2017-03-10,2017-03-10,87.32
2017-03-13,2017-03-13,87.44
2017-03-14,2017-03-14,86.51
2017-03-15,2017-03-15,87.49
2017-03-16,2017-03-16,85.86
2017-03-17,2017-03-17,84.13
2017-03-20,2017-03-20,83.41
2017-03-21,2017-03-21,82.12
2017-03-22,2017-03-22,82.31
2017-03-23,2017-03-23,82.33
2017-03-24,2017-03-24,82.64
2017-03-27,2017-03-27,83.9
2017-03-28,2017-03-28,85.98
2017-03-29,2017-03-29,85.89
2017-03-30,2017-03-30,87.0
2017-03-31,2017-03-31,85.76
2017-04-03,2017-04-03,86.0
2017-04-04,2017-04-04,86.48
2017-04-05,2017-04-05,86.43
2017-04-06,2017-04-06,87.24
2017-04-07,2017-04-07,87.63
2017-04-10,2017-04-10,88.95
2017-04-11,2017-04-11,88.4
2017-04-12,2017-04-12,87.51
2017-04-13,2017-04-13,88.0
2017-04-17,2017-04-17,89.88
2017-04-18,2017-04-18,89.58
2017-04-19,2017-04-19,89.06
2017-04-20,2017-04-20,90.57
