DATE,DATE,CLOSE
2016-11-01,2016-11-01,42.36
2016-11-02,2016-11-02,41.79
2016-11-03,2016-11-03,41.85
2016-11-04,2016-11-04,41.41
2016-11-07,2016-11-07,41.83
2016-11-08,2016-11-08,42.55
2016-11-09,2016-11-09,43.14
2016-11-10,2016-11-10,43.48
2016-11-11,2016-11-11,43.41
2016-11-14,2016-11-14,43.96
2016-11-15,2016-11-15,43.94
2016-11-16,2016-11-16,43.61
2016-11-17,2016-11-17,43.99
2016-11-18,2016-11-18,43.86
2016-11-21,2016-11-21,44.2
2016-11-22,2016-11-22,44.45
2016-11-23,2016-11-23,44.76
2016-11-25,2016-11-25,44.47
2016-11-28,2016-11-28,44.33
2016-11-29,2016-11-29,44.42
2016-11-30,2016-11-30,44.65
2016-12-01,2016-12-01,45.01
2016-12-02,2016-12-02,44.88
2016-12-05,2016-12-05,45.21
2016-12-06,2016-12-06,45.94
2016-12-07,2016-12-07,46.49
2016-12-08,2016-12-08,46.94
2016-12-09,2016-12-09,47.37
2016-12-12,2016-12-12,47.5
2016-12-13,2016-12-13,47.71
2016-12-14,2016-12-14,47.23
2016-12-15,2016-12-15,47.44
2016-12-16,2016-12-16,47.49
2016-12-19,2016-12-19,47.43
2016-12-20,2016-12-20,47.72
2016-12-21,2016-12-21,47.9
2016-12-22,2016-12-22,47.68
2016-12-23,2016-12-23,47.51
2016-12-27,2016-12-27,47.44
2016-12-28,2016-12-28,47.19
2016-12-29,2016-12-29,46.95
2016-12-30,2016-12-30,46.83
2017-01-03,2017-01-03,47.2
2017-01-04,2017-01-04,46.9
2017-01-05,2017-01-05,46.54
2017-01-06,2017-01-06,46.75
2017-01-09,2017-01-09,46.29
2017-01-10,2017-01-10,46.47
2017-01-11,2017-01-11,46.43
2017-01-12,2017-01-12,46.15
2017-01-13,2017-01-13,46.1
2017-01-17,2017-01-17,45.68
2017-01-18,2017-01-18,46.26
2017-01-19,2017-01-19,45.7
2017-01-20,2017-01-20,46.03
2017-01-23,2017-01-23,45.93
2017-01-24,2017-01-24,46.74
2017-01-25,2017-01-25,47.09
2017-01-26,2017-01-26,47.15
2017-01-27,2017-01-27,46.7
2017-01-30,2017-01-30,46.42
2017-01-31,2017-01-31,46.58
2017-02-01,2017-02-01,46.2
2017-02-02,2017-02-02,46.27
2017-02-03,2017-02-03,46.61
2017-02-06,2017-02-06,46.5
2017-02-07,2017-02-07,46.42
2017-02-08,2017-02-08,46.25
2017-02-09,2017-02-09,46.24
2017-02-10,2017-02-10,46.48
2017-02-13,2017-02-13,46.81
2017-02-14,2017-02-14,46.96
2017-02-15,2017-02-15,47.25
2017-02-16,2017-02-16,47.05
2017-02-17,2017-02-17,46.98
2017-02-21,2017-02-21,47.12
2017-02-22,2017-02-22,47.12
2017-02-23,2017-02-23,47.42
2017-02-24,2017-02-24,47.23
2017-02-27,2017-02-27,47.08
2017-02-28,2017-02-28,46.98
2017-03-01,2017-03-01,47.82
2017-03-02,2017-03-02,47.25
2017-03-03,2017-03-03,47.68
2017-03-06,2017-03-06,47.51
2017-03-07,2017-03-07,47.45
2017-03-08,2017-03-08,47.26
2017-03-09,2017-03-09,47.14
2017-03-10,2017-03-10,47.2
2017-03-13,2017-03-13,47.15
2017-03-14,2017-03-14,47.2
2017-03-15,2017-03-15,47.54
2017-03-16,2017-03-16,47.37
2017-03-17,2017-03-17,47.21
2017-03-20,2017-03-20,46.88
2017-03-21,2017-03-21,46.47
2017-03-22,2017-03-22,46.23
2017-03-23,2017-03-23,46.34
2017-03-24,2017-03-24,46.04
2017-03-27,2017-03-27,45.92
2017-03-28,2017-03-28,46.49
2017-03-29,2017-03-29,46.35
2017-03-30,2017-03-30,46.86
2017-03-31,2017-03-31,46.77
2017-04-03,2017-04-03,46.74
2017-04-04,2017-04-04,47.09
2017-04-05,2017-04-05,47.0
2017-04-06,2017-04-06,47.3
2017-04-07,2017-04-07,47.24
2017-04-10,2017-04-10,47.46
2017-04-11,2017-04-11,47.21
2017-04-12,2017-04-12,46.72
2017-04-13,2017-04-13,46.13
2017-04-17,2017-04-17,46.48
2017-04-18,2017-04-18,46.16
2017-04-19,2017-04-19,45.88
2017-04-20,2017-04-20,46.06
2017-04-21,2017-04-21,45.95
2017-04-24,2017-04-24,47.05
2017-04-25,2017-04-25,47.34
2017-04-26,2017-04-26,47.45
2017-04-27,2017-04-27,47.33
2017-04-28,2017-04-28,46.62
2017-05-01,2017-05-01,47.22
2017-05-02,2017-05-02,47.05
2017-05-03,2017-05-03,47.01
2017-05-04,2017-05-04,46.75
2017-05-05,2017-05-05,47.01
2017-05-08,2017-05-08,46.76
2017-05-09,2017-05-09,46.33
2017-05-10,2017-05-10,46.45
2017-05-11,2017-05-11,45.91
2017-05-12,2017-05-12,45.76
2017-05-15,2017-05-15,46.07
2017-05-16,2017-05-16,46.38
2017-05-17,2017-05-17,45.83
2017-05-18,2017-05-18,46.05
2017-05-19,2017-05-19,45.92
2017-05-22,2017-05-22,46.37
2017-05-23,2017-05-23,46.78
2017-05-24,2017-05-24,46.49
2017-05-25,2017-05-25,46.75
2017-05-26,2017-05-26,46.88
2017-05-30,2017-05-30,46.88
2017-05-31,2017-05-31,47.16
2017-06-01,2017-06-01,47.67
2017-06-02,2017-06-02,47.3
2017-06-05,2017-06-05,47.14
2017-06-06,2017-06-06,46.76
2017-06-07,2017-06-07,46.66
2017-06-08,2017-06-08,46.7
2017-06-09,2017-06-09,47.47
2017-06-12,2017-06-12,47.65
2017-06-13,2017-06-13,47.77
2017-06-14,2017-06-14,47.66
2017-06-15,2017-06-15,48.05
2017-06-16,2017-06-16,48.14
2017-06-19,2017-06-19,47.99
2017-06-20,2017-06-20,47.51
2017-06-21,2017-06-21,46.82
2017-06-22,2017-06-22,46.4
2017-06-23,2017-06-23,46.28
2017-06-26,2017-06-26,46.61
2017-06-27,2017-06-27,46.62
2017-06-28,2017-06-28,46.97
2017-06-29,2017-06-29,46.83
2017-06-30,2017-06-30,46.81
2017-07-03,2017-07-03,47.4
2017-07-05,2017-07-05,47.01
2017-07-06,2017-07-06,46.78
2017-07-07,2017-07-07,47.21
2017-07-10,2017-07-10,47.15
2017-07-11,2017-07-11,46.9
2017-07-12,2017-07-12,46.79
2017-07-13,2017-07-13,46.93
2017-07-14,2017-07-14,46.95
2017-07-17,2017-07-17,47.15
2017-07-18,2017-07-18,47.24
2017-07-19,2017-07-19,47.91
2017-07-20,2017-07-20,47.8
2017-07-21,2017-07-21,47.89
2017-07-24,2017-07-24,48.02
2017-07-25,2017-07-25,48.48
2017-07-26,2017-07-26,48.12
2017-07-27,2017-07-27,48.12
2017-07-28,2017-07-28,48.26
2017-07-31,2017-07-31,48.68
2017-08-01,2017-08-01,49.19
2017-08-02,2017-08-02,49.12
2017-08-03,2017-08-03,48.97
2017-08-04,2017-08-04,49.14
2017-08-07,2017-08-07,49.02
2017-08-08,2017-08-08,48.94
2017-08-09,2017-08-09,48.87
2017-08-10,2017-08-10,48.58
2017-08-11,2017-08-11,48.27
2017-08-14,2017-08-14,48.44
2017-08-15,2017-08-15,48.37
2017-08-16,2017-08-16,48.31
2017-08-17,2017-08-17,47.43
2017-08-18,2017-08-18,47.58
2017-08-21,2017-08-21,47.4
2017-08-22,2017-08-22,47.77
2017-08-23,2017-08-23,47.49
2017-08-24,2017-08-24,47.21
2017-08-25,2017-08-25,47.48
2017-08-28,2017-08-28,46.9
2017-08-29,2017-08-29,46.62
2017-08-30,2017-08-30,46.62
2017-08-31,2017-08-31,46.58
2017-09-01,2017-09-01,46.91
2017-09-05,2017-09-05,45.84
2017-09-06,2017-09-06,46.17
2017-09-07,2017-09-07,45.12
2017-09-08,2017-09-08,45.97
2017-09-11,2017-09-11,46.73
2017-09-12,2017-09-12,46.88
2017-09-13,2017-09-13,47.16
2017-09-14,2017-09-14,47.22
2017-09-15,2017-09-15,47.49
2017-09-18,2017-09-18,47.5
2017-09-19,2017-09-19,47.69
2017-09-20,2017-09-20,47.79
2017-09-21,2017-09-21,47.71
2017-09-22,2017-09-22,47.61
2017-09-25,2017-09-25,47.79
2017-09-26,2017-09-26,47.88
2017-09-27,2017-09-27,47.84
2017-09-28,2017-09-28,47.84
2017-09-29,2017-09-29,47.86
2017-10-02,2017-10-02,48.12
2017-10-03,2017-10-03,48.4
2017-10-04,2017-10-04,48.54
2017-10-05,2017-10-05,48.9
2017-10-06,2017-10-06,48.92
2017-10-09,2017-10-09,48.56
2017-10-10,2017-10-10,48.95
2017-10-11,2017-10-11,48.7
2017-10-12,2017-10-12,48.86
2017-10-13,2017-10-13,48.85
2017-10-16,2017-10-16,49.06
2017-10-17,2017-10-17,48.66
2017-10-18,2017-10-18,48.69
2017-10-19,2017-10-19,48.98
2017-10-20,2017-10-20,49.0
2017-10-23,2017-10-23,48.7
2017-10-24,2017-10-24,48.51
2017-10-25,2017-10-25,48.25
2017-10-26,2017-10-26,48.37
2017-10-27,2017-10-27,47.95
2017-10-30,2017-10-30,49.46
2017-10-31,2017-10-31,49.51
2017-11-01,2017-11-01,49.54
2017-11-02,2017-11-02,49.5
2017-11-03,2017-11-03,49.61
2017-11-06,2017-11-06,49.68
2017-11-07,2017-11-07,49.49
2017-11-08,2017-11-08,49.58
2017-11-09,2017-11-09,49.34
2017-11-10,2017-11-10,49.51
2017-11-13,2017-11-13,49.89
2017-11-14,2017-11-14,49.94
2017-11-15,2017-11-15,49.69
2017-11-16,2017-11-16,49.2
2017-11-17,2017-11-17,49.22
2017-11-20,2017-11-20,49.35
2017-11-21,2017-11-21,49.38
2017-11-22,2017-11-22,49.36
2017-11-24,2017-11-24,49.35
2017-11-27,2017-11-27,49.66
2017-11-28,2017-11-28,50.11
2017-11-29,2017-11-29,50.33
2017-11-30,2017-11-30,50.28
2017-12-01,2017-12-01,50.49
2017-12-04,2017-12-04,50.65
2017-12-05,2017-12-05,50.11
2017-12-06,2017-12-06,49.96
2017-12-07,2017-12-07,49.99
2017-12-08,2017-12-08,49.84
2017-12-11,2017-12-11,50.05
2017-12-12,2017-12-12,50.32
2017-12-13,2017-12-13,49.9
2017-12-14,2017-12-14,49.45
2017-12-15,2017-12-15,49.75
2017-12-18,2017-12-18,49.98
2017-12-19,2017-12-19,49.64
2017-12-20,2017-12-20,49.51
2017-12-21,2017-12-21,49.79
2017-12-22,2017-12-22,49.66
2017-12-26,2017-12-26,49.92
2017-12-27,2017-12-27,50.0
2017-12-28,2017-12-28,50.14
2017-12-29,2017-12-29,50.03
2018-01-02,2018-01-02,49.89
2018-01-03,2018-01-03,50.47
2018-01-04,2018-01-04,50.72
2018-01-05,2018-01-05,50.62
2018-01-08,2018-01-08,50.58
2018-01-09,2018-01-09,51.13
2018-01-10,2018-01-10,51.21
2018-01-11,2018-01-11,51.51
2018-01-12,2018-01-12,52.78
2018-01-16,2018-01-16,52.19
2018-01-17,2018-01-17,52.35
2018-01-18,2018-01-18,52.52
2018-01-19,2018-01-19,52.51
2018-01-22,2018-01-22,52.8
2018-01-23,2018-01-23,52.9
2018-01-24,2018-01-24,53.04
2018-01-25,2018-01-25,53.15
2018-01-26,2018-01-26,53.46
2018-01-29,2018-01-29,53.11
2018-01-30,2018-01-30,51.99
2018-01-31,2018-01-31,51.65
2018-02-01,2018-02-01,51.59
2018-02-02,2018-02-02,50.82
2018-02-05,2018-02-05,48.19
2018-02-06,2018-02-06,47.81
2018-02-07,2018-02-07,47.86
2018-02-08,2018-02-08,46.05
2018-02-09,2018-02-09,46.73
2018-02-12,2018-02-12,47.5
2018-02-13,2018-02-13,48.09
2018-02-14,2018-02-14,48.87
2018-02-15,2018-02-15,49.89
2018-02-16,2018-02-16,50.08
2018-02-20,2018-02-20,49.89
2018-02-21,2018-02-21,49.75
2018-02-22,2018-02-22,49.6
2018-02-23,2018-02-23,50.34
2018-02-26,2018-02-26,50.73
2018-02-27,2018-02-27,50.18
2018-02-28,2018-02-28,49.33
2018-03-01,2018-03-01,48.65
2018-03-02,2018-03-02,48.82
2018-03-05,2018-03-05,50.37
2018-03-06,2018-03-06,50.88
2018-03-07,2018-03-07,50.94
2018-03-08,2018-03-08,51.26
2018-03-09,2018-03-09,51.72
2018-03-12,2018-03-12,51.51
2018-03-13,2018-03-13,51.24
2018-03-14,2018-03-14,50.96
2018-03-15,2018-03-15,50.94
2018-03-16,2018-03-16,51.16
2018-03-19,2018-03-19,50.99
2018-03-20,2018-03-20,51.41
2018-03-21,2018-03-21,51.59
2018-03-22,2018-03-22,50.24
2018-03-23,2018-03-23,49.07
2018-03-26,2018-03-26,50.12
2018-03-27,2018-03-27,49.1
2018-03-28,2018-03-28,49.44
2018-03-29,2018-03-29,49.73
2018-04-02,2018-04-02,48.65
2018-04-03,2018-04-03,49.47
2018-04-04,2018-04-04,49.93
2018-04-05,2018-04-05,50.51
2018-04-06,2018-04-06,49.38
2018-04-09,2018-04-09,49.63
2018-04-10,2018-04-10,50.43
2018-04-11,2018-04-11,50.08
2018-04-12,2018-04-12,50.54
2018-04-13,2018-04-13,50.43
2018-04-16,2018-04-16,51.02
2018-04-17,2018-04-17,51.0
2018-04-18,2018-04-18,51.02
2018-04-19,2018-04-19,51.52
2018-04-20,2018-04-20,51.57
2018-04-23,2018-04-23,51.62
2018-04-24,2018-04-24,51.28
2018-04-25,2018-04-25,51.54
2018-04-26,2018-04-26,51.7
2018-04-27,2018-04-27,51.75
2018-04-30,2018-04-30,52.46
2018-05-01,2018-05-01,52.44
