DATE,DATE,CLOSE
2016-11-01,2016-11-01,66.5
2016-11-02,2016-11-02,65.66
2016-11-03,2016-11-03,65.09
2016-11-04,2016-11-04,65.0
2016-11-07,2016-11-07,65.71
2016-11-08,2016-11-08,65.18
2016-11-09,2016-11-09,66.48
2016-11-10,2016-11-10,68.13
2016-11-11,2016-11-11,69.17
2016-11-14,2016-11-14,70.34
2016-11-15,2016-11-15,68.71
2016-11-16,2016-11-16,67.93
2016-11-17,2016-11-17,69.64
2016-11-18,2016-11-18,70.17
2016-11-21,2016-11-21,69.21
2016-11-22,2016-11-22,70.83
2016-11-23,2016-11-23,72.08
2016-11-25,2016-11-25,71.81
2016-11-28,2016-11-28,71.77
2016-11-29,2016-11-29,71.95
2016-11-30,2016-11-30,70.22
2016-12-01,2016-12-01,72.26
2016-12-02,2016-12-02,71.91
2016-12-05,2016-12-05,71.97
2016-12-06,2016-12-06,72.18
2016-12-07,2016-12-07,74.61
2016-12-08,2016-12-08,75.12
2016-12-09,2016-12-09,74.36
2016-12-12,2016-12-12,73.01
2016-12-13,2016-12-13,72.29
2016-12-14,2016-12-14,72.2
2016-12-15,2016-12-15,71.41
2016-12-16,2016-12-16,69.38
2016-12-19,2016-12-19,69.2
2016-12-20,2016-12-20,69.77
2016-12-21,2016-12-21,68.73
2016-12-22,2016-12-22,66.61
2016-12-23,2016-12-23,66.69
2016-12-27,2016-12-27,66.46
2016-12-28,2016-12-28,66.11
2016-12-29,2016-12-29,66.29
2016-12-30,2016-12-30,65.84
2017-01-03,2017-01-03,66.58
2017-01-04,2017-01-04,67.34
2017-01-05,2017-01-05,62.04
2017-01-06,2017-01-06,61.23
2017-01-09,2017-01-09,61.3
2017-01-10,2017-01-10,61.35
2017-01-11,2017-01-11,61.27
2017-01-12,2017-01-12,60.71
2017-01-13,2017-01-13,60.69
2017-01-17,2017-01-17,61.14
2017-01-18,2017-01-18,61.87
2017-01-19,2017-01-19,60.92
2017-01-20,2017-01-20,61.34
2017-01-23,2017-01-23,61.16
2017-01-24,2017-01-24,61.54
2017-01-25,2017-01-25,61.85
2017-01-26,2017-01-26,61.26
2017-01-27,2017-01-27,59.01
2017-01-30,2017-01-30,58.71
2017-01-31,2017-01-31,60.21
2017-02-01,2017-02-01,58.8
2017-02-02,2017-02-02,59.28
2017-02-03,2017-02-03,59.58
2017-02-06,2017-02-06,59.15
2017-02-07,2017-02-07,58.28
2017-02-08,2017-02-08,58.66
2017-02-09,2017-02-09,58.92
2017-02-10,2017-02-10,58.92
2017-02-13,2017-02-13,57.82
2017-02-14,2017-02-14,58.14
2017-02-15,2017-02-15,58.22
2017-02-16,2017-02-16,57.48
2017-02-17,2017-02-17,57.51
2017-02-21,2017-02-21,57.7
2017-02-22,2017-02-22,58.13
2017-02-23,2017-02-23,48.94
2017-02-24,2017-02-24,50.99
2017-02-27,2017-02-27,52.39
2017-02-28,2017-02-28,52.62
2017-03-01,2017-03-01,52.82
2017-03-02,2017-03-02,53.41
2017-03-03,2017-03-03,52.34
2017-03-06,2017-03-06,51.44
2017-03-07,2017-03-07,50.17
2017-03-08,2017-03-08,50.91
2017-03-09,2017-03-09,50.06
2017-03-10,2017-03-10,50.3
2017-03-13,2017-03-13,49.85
2017-03-14,2017-03-14,50.14
2017-03-15,2017-03-15,50.68
2017-03-16,2017-03-16,49.97
2017-03-17,2017-03-17,51.18
2017-03-20,2017-03-20,50.46
2017-03-21,2017-03-21,49.18
2017-03-22,2017-03-22,47.86
2017-03-23,2017-03-23,48.07
2017-03-24,2017-03-24,47.47
2017-03-27,2017-03-27,47.69
2017-03-28,2017-03-28,47.77
2017-03-29,2017-03-29,48.32
2017-03-30,2017-03-30,47.51
2017-03-31,2017-03-31,47.1
