DATE,DATE,CLOSE
2016-11-01,2016-11-01,45.55
2016-11-02,2016-11-02,45.06
2016-11-03,2016-11-03,44.89
2016-11-04,2016-11-04,45.05
2016-11-07,2016-11-07,45.72
2016-11-08,2016-11-08,46.49
2016-11-09,2016-11-09,46.8
2016-11-10,2016-11-10,47.62
2016-11-11,2016-11-11,47.88
2016-11-14,2016-11-14,49.44
2016-11-15,2016-11-15,48.99
2016-11-16,2016-11-16,48.79
2016-11-17,2016-11-17,48.79
2016-11-18,2016-11-18,48.86
2016-11-21,2016-11-21,49.2
2016-11-22,2016-11-22,49.25
2016-11-23,2016-11-23,49.08
2016-11-25,2016-11-25,49.53
2016-11-28,2016-11-28,48.54
2016-11-29,2016-11-29,48.57
2016-11-30,2016-11-30,48.06
2016-12-01,2016-12-01,47.69
2016-12-02,2016-12-02,48.04
2016-12-05,2016-12-05,48.49
2016-12-06,2016-12-06,48.63
2016-12-07,2016-12-07,49.7
2016-12-08,2016-12-08,49.97
2016-12-09,2016-12-09,49.82
2016-12-12,2016-12-12,50.17
2016-12-13,2016-12-13,50.4
2016-12-14,2016-12-14,49.79
2016-12-15,2016-12-15,49.56
2016-12-16,2016-12-16,49.76
2016-12-19,2016-12-19,49.94
2016-12-20,2016-12-20,49.93
2016-12-21,2016-12-21,49.63
2016-12-22,2016-12-22,49.5
2016-12-23,2016-12-23,49.68
2016-12-27,2016-12-27,49.91
2016-12-28,2016-12-28,49.51
2016-12-29,2016-12-29,49.6
2016-12-30,2016-12-30,48.88
2017-01-03,2017-01-03,49.35
2017-01-04,2017-01-04,49.98
2017-01-05,2017-01-05,49.03
2017-01-06,2017-01-06,48.53
2017-01-09,2017-01-09,47.91
2017-01-10,2017-01-10,48.01
2017-01-11,2017-01-11,47.46
2017-01-12,2017-01-12,46.99
2017-01-13,2017-01-13,47.0
2017-01-17,2017-01-17,47.22
2017-01-18,2017-01-18,47.45
2017-01-19,2017-01-19,47.49
2017-01-20,2017-01-20,47.71
2017-01-23,2017-01-23,47.44
2017-01-24,2017-01-24,48.46
2017-01-25,2017-01-25,48.6
2017-01-26,2017-01-26,48.08
2017-01-27,2017-01-27,47.39
2017-01-30,2017-01-30,47.19
2017-01-31,2017-01-31,47.72
2017-02-01,2017-02-01,48.56
2017-02-02,2017-02-02,48.18
2017-02-03,2017-02-03,48.74
2017-02-06,2017-02-06,48.55
2017-02-07,2017-02-07,48.61
2017-02-08,2017-02-08,48.19
2017-02-09,2017-02-09,48.96
2017-02-10,2017-02-10,48.92
2017-02-13,2017-02-13,48.68
2017-02-14,2017-02-14,48.2
2017-02-15,2017-02-15,48.26
2017-02-16,2017-02-16,48.34
2017-02-17,2017-02-17,48.62
2017-02-21,2017-02-21,49.07
2017-02-22,2017-02-22,48.99
2017-02-23,2017-02-23,49.16
2017-02-24,2017-02-24,49.43
2017-02-27,2017-02-27,49.5
2017-02-28,2017-02-28,49.18
2017-03-01,2017-03-01,49.92
2017-03-02,2017-03-02,49.49
2017-03-03,2017-03-03,49.48
2017-03-06,2017-03-06,49.03
2017-03-07,2017-03-07,48.83
2017-03-08,2017-03-08,48.71
2017-03-09,2017-03-09,48.2
2017-03-10,2017-03-10,48.84
2017-03-13,2017-03-13,49.05
2017-03-14,2017-03-14,49.22
2017-03-15,2017-03-15,49.94
2017-03-16,2017-03-16,50.17
2017-03-17,2017-03-17,50.58
2017-03-20,2017-03-20,50.47
2017-03-21,2017-03-21,50.0
2017-03-22,2017-03-22,49.87
2017-03-23,2017-03-23,50.36
2017-03-24,2017-03-24,50.09
2017-03-27,2017-03-27,49.82
2017-03-28,2017-03-28,50.07
2017-03-29,2017-03-29,50.35
2017-03-30,2017-03-30,50.41
2017-03-31,2017-03-31,50.32
2017-04-03,2017-04-03,50.59
2017-04-04,2017-04-04,50.49
2017-04-05,2017-04-05,50.81
2017-04-06,2017-04-06,50.9
2017-04-07,2017-04-07,50.91
2017-04-10,2017-04-10,51.08
2017-04-11,2017-04-11,51.53
2017-04-12,2017-04-12,51.1
2017-04-13,2017-04-13,50.67
2017-04-17,2017-04-17,51.26
2017-04-18,2017-04-18,51.1
2017-04-19,2017-04-19,51.26
2017-04-20,2017-04-20,52.22
2017-04-21,2017-04-21,52.47
2017-04-24,2017-04-24,52.95
2017-04-25,2017-04-25,53.54
2017-04-26,2017-04-26,54.04
2017-04-27,2017-04-27,53.59
2017-04-28,2017-04-28,52.54
2017-05-01,2017-05-01,52.71
2017-05-02,2017-05-02,53.26
2017-05-03,2017-05-03,53.48
2017-05-04,2017-05-04,53.49
2017-05-05,2017-05-05,53.79
2017-05-08,2017-05-08,53.45
2017-05-09,2017-05-09,53.49
2017-05-10,2017-05-10,53.5
2017-05-11,2017-05-11,53.16
2017-05-12,2017-05-12,51.83
2017-05-15,2017-05-15,51.89
2017-05-16,2017-05-16,51.72
2017-05-17,2017-05-17,50.61
2017-05-18,2017-05-18,50.1
2017-05-19,2017-05-19,50.63
2017-05-22,2017-05-22,51.3
2017-05-23,2017-05-23,51.19
2017-05-24,2017-05-24,51.69
2017-05-25,2017-05-25,52.12
2017-05-26,2017-05-26,52.08
2017-05-30,2017-05-30,51.91
2017-05-31,2017-05-31,52.02
2017-06-01,2017-06-01,52.11
2017-06-02,2017-06-02,52.46
2017-06-05,2017-06-05,52.62
2017-06-06,2017-06-06,52.01
2017-06-07,2017-06-07,51.85
2017-06-08,2017-06-08,52.06
2017-06-09,2017-06-09,52.17
2017-06-12,2017-06-12,52.79
2017-06-13,2017-06-13,52.57
2017-06-14,2017-06-14,52.79
2017-06-15,2017-06-15,52.3
2017-06-16,2017-06-16,52.74
2017-06-19,2017-06-19,53.47
2017-06-20,2017-06-20,52.97
2017-06-21,2017-06-21,52.82
2017-06-22,2017-06-22,52.66
2017-06-23,2017-06-23,52.61
2017-06-26,2017-06-26,52.93
2017-06-27,2017-06-27,52.34
2017-06-28,2017-06-28,52.66
2017-06-29,2017-06-29,52.12
2017-06-30,2017-06-30,52.53
2017-07-03,2017-07-03,52.44
2017-07-05,2017-07-05,52.71
2017-07-06,2017-07-06,52.15
2017-07-07,2017-07-07,52.86
2017-07-10,2017-07-10,52.44
2017-07-11,2017-07-11,52.54
2017-07-12,2017-07-12,53.12
2017-07-13,2017-07-13,53.16
2017-07-14,2017-07-14,53.22
2017-07-17,2017-07-17,53.1
2017-07-18,2017-07-18,52.25
2017-07-19,2017-07-19,52.59
2017-07-20,2017-07-20,52.57
2017-07-21,2017-07-21,52.65
2017-07-24,2017-07-24,53.38
2017-07-25,2017-07-25,53.8
2017-07-26,2017-07-26,51.83
2017-07-27,2017-07-27,51.79
2017-07-28,2017-07-28,49.58
2017-07-31,2017-07-31,48.18
2017-08-01,2017-08-01,48.12
2017-08-02,2017-08-02,47.62
2017-08-03,2017-08-03,47.76
2017-08-04,2017-08-04,48.34
2017-08-07,2017-08-07,48.23
2017-08-08,2017-08-08,47.89
2017-08-09,2017-08-09,47.7
2017-08-10,2017-08-10,46.98
2017-08-11,2017-08-11,46.97
2017-08-14,2017-08-14,47.43
2017-08-15,2017-08-15,47.15
2017-08-16,2017-08-16,47.76
2017-08-17,2017-08-17,46.53
2017-08-18,2017-08-18,46.42
2017-08-21,2017-08-21,46.19
2017-08-22,2017-08-22,46.41
2017-08-23,2017-08-23,45.62
2017-08-24,2017-08-24,45.23
2017-08-25,2017-08-25,45.32
2017-08-28,2017-08-28,44.96
2017-08-29,2017-08-29,45.27
2017-08-30,2017-08-30,46.08
2017-08-31,2017-08-31,45.97
2017-09-01,2017-09-01,46.43
2017-09-05,2017-09-05,45.72
2017-09-06,2017-09-06,46.54
2017-09-07,2017-09-07,43.5
2017-09-08,2017-09-08,45.3
2017-09-11,2017-09-11,45.37
2017-09-12,2017-09-12,45.59
2017-09-13,2017-09-13,45.63
2017-09-14,2017-09-14,45.51
2017-09-15,2017-09-15,45.85
2017-09-18,2017-09-18,45.88
2017-09-19,2017-09-19,45.5
2017-09-20,2017-09-20,45.75
2017-09-21,2017-09-21,45.94
2017-09-22,2017-09-22,46.76
2017-09-25,2017-09-25,47.23
2017-09-26,2017-09-26,47.43
2017-09-27,2017-09-27,47.31
2017-09-28,2017-09-28,47.79
2017-09-29,2017-09-29,47.73
2017-10-02,2017-10-02,48.19
2017-10-03,2017-10-03,48.56
2017-10-04,2017-10-04,48.79
2017-10-05,2017-10-05,48.48
2017-10-06,2017-10-06,48.46
2017-10-09,2017-10-09,48.27
2017-10-10,2017-10-10,47.97
2017-10-11,2017-10-11,48.34
2017-10-12,2017-10-12,47.89
2017-10-13,2017-10-13,47.67
2017-10-16,2017-10-16,47.79
2017-10-17,2017-10-17,47.73
2017-10-18,2017-10-18,48.14
2017-10-19,2017-10-19,48.43
2017-10-20,2017-10-20,48.92
2017-10-23,2017-10-23,49.08
2017-10-24,2017-10-24,48.55
2017-10-25,2017-10-25,47.9
2017-10-26,2017-10-26,48.23
2017-10-27,2017-10-27,49.45
2017-10-30,2017-10-30,47.2
2017-10-31,2017-10-31,47.26
2017-11-01,2017-11-01,46.5
2017-11-02,2017-11-02,46.11
2017-11-03,2017-11-03,46.0
2017-11-06,2017-11-06,45.86
2017-11-07,2017-11-07,45.94
2017-11-08,2017-11-08,45.72
2017-11-09,2017-11-09,45.88
2017-11-10,2017-11-10,45.94
2017-11-13,2017-11-13,45.81
2017-11-14,2017-11-14,45.57
2017-11-15,2017-11-15,45.38
2017-11-16,2017-11-16,45.99
2017-11-17,2017-11-17,46.45
2017-11-20,2017-11-20,46.34
2017-11-21,2017-11-21,46.4
2017-11-22,2017-11-22,46.65
2017-11-24,2017-11-24,46.49
2017-11-27,2017-11-27,46.45
2017-11-28,2017-11-28,47.35
2017-11-29,2017-11-29,48.1
2017-11-30,2017-11-30,48.24
2017-12-01,2017-12-01,47.88
2017-12-04,2017-12-04,48.3
2017-12-05,2017-12-05,47.51
2017-12-06,2017-12-06,46.04
2017-12-07,2017-12-07,46.17
2017-12-08,2017-12-08,46.3
2017-12-11,2017-12-11,46.12
2017-12-12,2017-12-12,46.33
2017-12-13,2017-12-13,46.28
2017-12-14,2017-12-14,45.99
2017-12-15,2017-12-15,46.78
2017-12-18,2017-12-18,47.14
2017-12-19,2017-12-19,46.94
2017-12-20,2017-12-20,47.03
2017-12-21,2017-12-21,47.39
2017-12-22,2017-12-22,47.06
2017-12-26,2017-12-26,47.54
2017-12-27,2017-12-27,47.55
2017-12-28,2017-12-28,47.53
2017-12-29,2017-12-29,47.73
2018-01-02,2018-01-02,47.86
2018-01-03,2018-01-03,47.62
2018-01-04,2018-01-04,47.73
2018-01-05,2018-01-05,47.9
2018-01-08,2018-01-08,48.32
2018-01-09,2018-01-09,47.95
2018-01-10,2018-01-10,47.48
2018-01-11,2018-01-11,48.57
2018-01-12,2018-01-12,48.8
2018-01-16,2018-01-16,48.44
2018-01-17,2018-01-17,48.5
2018-01-18,2018-01-18,48.36
2018-01-19,2018-01-19,48.25
2018-01-22,2018-01-22,48.09
2018-01-23,2018-01-23,47.35
2018-01-24,2018-01-24,47.33
2018-01-25,2018-01-25,47.79
2018-01-26,2018-01-26,47.83
2018-01-29,2018-01-29,47.64
2018-01-30,2018-01-30,46.98
2018-01-31,2018-01-31,46.51
2018-02-01,2018-02-01,45.64
2018-02-02,2018-02-02,45.05
2018-02-05,2018-02-05,43.45
2018-02-06,2018-02-06,45.58
2018-02-07,2018-02-07,45.78
2018-02-08,2018-02-08,43.99
2018-02-09,2018-02-09,44.28
2018-02-12,2018-02-12,44.92
2018-02-13,2018-02-13,44.39
2018-02-14,2018-02-14,44.93
2018-02-15,2018-02-15,45.24
2018-02-16,2018-02-16,45.05
2018-02-20,2018-02-20,44.37
2018-02-21,2018-02-21,44.88
2018-02-22,2018-02-22,44.36
2018-02-23,2018-02-23,44.77
2018-02-26,2018-02-26,44.32
2018-02-27,2018-02-27,43.8
2018-02-28,2018-02-28,43.46
2018-03-01,2018-03-01,42.32
2018-03-02,2018-03-02,41.8
2018-03-05,2018-03-05,43.93
2018-03-06,2018-03-06,45.51
2018-03-07,2018-03-07,45.07
2018-03-08,2018-03-08,45.32
2018-03-09,2018-03-09,46.41
2018-03-12,2018-03-12,46.87
2018-03-13,2018-03-13,47.02
2018-03-14,2018-03-14,47.41
2018-03-15,2018-03-15,46.01
2018-03-16,2018-03-16,46.26
2018-03-19,2018-03-19,45.81
2018-03-20,2018-03-20,45.23
2018-03-21,2018-03-21,45.27
2018-03-22,2018-03-22,44.23
2018-03-23,2018-03-23,43.13
2018-03-26,2018-03-26,43.78
2018-03-27,2018-03-27,43.62
2018-03-28,2018-03-28,43.9
2018-03-29,2018-03-29,44.36
2018-04-02,2018-04-02,43.3
2018-04-03,2018-04-03,44.15
2018-04-04,2018-04-04,44.92
2018-04-05,2018-04-05,44.99
2018-04-06,2018-04-06,43.93
2018-04-09,2018-04-09,43.82
2018-04-10,2018-04-10,44.48
2018-04-11,2018-04-11,44.46
2018-04-12,2018-04-12,44.41
2018-04-13,2018-04-13,44.33
2018-04-16,2018-04-16,44.77
2018-04-17,2018-04-17,45.04
2018-04-18,2018-04-18,44.84
2018-04-19,2018-04-19,43.58
2018-04-20,2018-04-20,42.9
2018-04-23,2018-04-23,42.93
2018-04-24,2018-04-24,42.35
2018-04-25,2018-04-25,41.83
2018-04-26,2018-04-26,42.72
2018-04-27,2018-04-27,41.05
2018-04-30,2018-04-30,40.55
2018-05-01,2018-05-01,40.38
