DATE,DATE,CLOSE
2016-11-01,2016-11-01,123.83
2016-11-02,2016-11-02,124.02
2016-11-03,2016-11-03,121.63
2016-11-04,2016-11-04,121.89
2016-11-07,2016-11-07,125.14
2016-11-08,2016-11-08,126.06
2016-11-09,2016-11-09,121.72
2016-11-10,2016-11-10,126.21
2016-11-11,2016-11-11,124.82
2016-11-14,2016-11-14,127.5
2016-11-15,2016-11-15,128.03
2016-11-16,2016-11-16,127.01
2016-11-17,2016-11-17,127.12
2016-11-18,2016-11-18,126.0
2016-11-21,2016-11-21,126.12
2016-11-22,2016-11-22,124.73
2016-11-23,2016-11-23,126.01
2016-11-25,2016-11-25,127.51
2016-11-28,2016-11-28,125.71
2016-11-29,2016-11-29,127.72
2016-11-30,2016-11-30,125.85
2016-12-01,2016-12-01,123.65
2016-12-02,2016-12-02,124.48
2016-12-05,2016-12-05,125.25
2016-12-06,2016-12-06,125.11
2016-12-07,2016-12-07,126.38
2016-12-08,2016-12-08,127.06
2016-12-09,2016-12-09,127.79
2016-12-12,2016-12-12,129.15
2016-12-13,2016-12-13,129.61
2016-12-14,2016-12-14,127.35
2016-12-15,2016-12-15,127.38
2016-12-16,2016-12-16,127.76
2016-12-19,2016-12-19,127.82
2016-12-20,2016-12-20,128.36
2016-12-21,2016-12-21,128.43
2016-12-22,2016-12-22,126.82
2016-12-23,2016-12-23,128.23
2016-12-27,2016-12-27,128.69
2016-12-28,2016-12-28,127.56
2016-12-29,2016-12-29,128.17
2016-12-30,2016-12-30,128.38
2017-01-03,2017-01-03,129.07
2017-01-04,2017-01-04,130.1
2017-01-05,2017-01-05,129.11
2017-01-06,2017-01-06,129.34
2017-01-09,2017-01-09,130.73
2017-01-10,2017-01-10,132.06
2017-01-11,2017-01-11,134.94
2017-01-12,2017-01-12,134.65
2017-01-13,2017-01-13,134.33
2017-01-17,2017-01-17,133.99
2017-01-18,2017-01-18,134.39
2017-01-19,2017-01-19,132.74
2017-01-20,2017-01-20,132.4
2017-01-23,2017-01-23,132.54
2017-01-24,2017-01-24,133.04
2017-01-25,2017-01-25,135.09
2017-01-26,2017-01-26,133.83
2017-01-27,2017-01-27,133.63
2017-01-30,2017-01-30,132.5
2017-01-31,2017-01-31,134.21
2017-02-01,2017-02-01,136.37
2017-02-02,2017-02-02,136.49
2017-02-03,2017-02-03,137.69
2017-02-06,2017-02-06,129.86
2017-02-07,2017-02-07,130.6
2017-02-08,2017-02-08,131.49
2017-02-09,2017-02-09,133.83
2017-02-10,2017-02-10,135.01
2017-02-13,2017-02-13,134.93
