DATE,DATE,CLOSE
2016-11-01,2016-11-01,92.73
2016-11-02,2016-11-02,93.16
2016-11-03,2016-11-03,92.8
2016-11-04,2016-11-04,94.25
2016-11-07,2016-11-07,96.98
2016-11-08,2016-11-08,97.46
2016-11-09,2016-11-09,101.2
2016-11-10,2016-11-10,102.81
2016-11-11,2016-11-11,103.42
2016-11-14,2016-11-14,105.07
2016-11-15,2016-11-15,104.87
2016-11-16,2016-11-16,104.0
2016-11-17,2016-11-17,103.79
2016-11-18,2016-11-18,103.57
2016-11-21,2016-11-21,103.9
2016-11-22,2016-11-22,104.05
2016-11-23,2016-11-23,104.17
2016-11-25,2016-11-25,104.79
2016-11-28,2016-11-28,104.01
2016-11-29,2016-11-29,104.68
2016-11-30,2016-11-30,103.56
2016-12-01,2016-12-01,104.34
2016-12-02,2016-12-02,104.96
2016-12-05,2016-12-05,105.94
2016-12-06,2016-12-06,106.48
2016-12-07,2016-12-07,107.13
2016-12-08,2016-12-08,105.91
2016-12-09,2016-12-09,105.51
2016-12-12,2016-12-12,105.02
2016-12-13,2016-12-13,105.45
2016-12-14,2016-12-14,105.15
2016-12-15,2016-12-15,105.0
2016-12-16,2016-12-16,104.0
2016-12-19,2016-12-19,104.35
2016-12-20,2016-12-20,104.21
2016-12-21,2016-12-21,103.79
2016-12-22,2016-12-22,103.7
2016-12-23,2016-12-23,103.72
2016-12-27,2016-12-27,103.43
2016-12-28,2016-12-28,103.34
2016-12-29,2016-12-29,103.11
2016-12-30,2016-12-30,102.47
2017-01-03,2017-01-03,102.72
2017-01-04,2017-01-04,103.28
2017-01-05,2017-01-05,103.41
2017-01-06,2017-01-06,104.55
2017-01-09,2017-01-09,102.14
2017-01-10,2017-01-10,101.71
2017-01-11,2017-01-11,101.79
2017-01-12,2017-01-12,101.79
2017-01-13,2017-01-13,101.76
2017-01-17,2017-01-17,100.18
2017-01-18,2017-01-18,100.85
2017-01-19,2017-01-19,99.99
2017-01-20,2017-01-20,100.19
2017-01-23,2017-01-23,100.71
2017-01-24,2017-01-24,102.07
2017-01-25,2017-01-25,101.12
2017-01-26,2017-01-26,101.23
2017-01-27,2017-01-27,102.53
2017-01-30,2017-01-30,102.38
2017-01-31,2017-01-31,102.71
2017-02-01,2017-02-01,101.83
2017-02-02,2017-02-02,104.98
2017-02-03,2017-02-03,104.3
2017-02-06,2017-02-06,105.13
2017-02-07,2017-02-07,105.34
2017-02-08,2017-02-08,104.91
2017-02-09,2017-02-09,104.49
2017-02-10,2017-02-10,105.74
2017-02-13,2017-02-13,107.01
2017-02-14,2017-02-14,107.94
2017-02-15,2017-02-15,107.32
2017-02-16,2017-02-16,108.65
2017-02-17,2017-02-17,109.46
2017-02-21,2017-02-21,111.02
2017-02-22,2017-02-22,110.44
2017-02-23,2017-02-23,109.84
2017-02-24,2017-02-24,111.1
2017-02-27,2017-02-27,111.37
2017-02-28,2017-02-28,109.9
2017-03-01,2017-03-01,110.91
2017-03-02,2017-03-02,110.3
2017-03-03,2017-03-03,110.46
2017-03-06,2017-03-06,109.9
2017-03-07,2017-03-07,109.73
2017-03-08,2017-03-08,110.03
2017-03-09,2017-03-09,109.99
2017-03-10,2017-03-10,110.62
2017-03-13,2017-03-13,110.79
2017-03-14,2017-03-14,110.56
2017-03-15,2017-03-15,111.75
2017-03-16,2017-03-16,111.65
2017-03-17,2017-03-17,112.31
2017-03-20,2017-03-20,112.55
2017-03-21,2017-03-21,110.9
2017-03-22,2017-03-22,110.99
2017-03-23,2017-03-23,111.42
2017-03-24,2017-03-24,110.89
2017-03-27,2017-03-27,110.79
2017-03-28,2017-03-28,111.69
2017-03-29,2017-03-29,111.13
2017-03-30,2017-03-30,111.79
2017-03-31,2017-03-31,111.27
2017-04-03,2017-04-03,110.27
2017-04-04,2017-04-04,110.11
2017-04-05,2017-04-05,109.05
2017-04-06,2017-04-06,109.49
2017-04-07,2017-04-07,110.17
2017-04-10,2017-04-10,110.06
2017-04-11,2017-04-11,109.94
2017-04-12,2017-04-12,110.29
2017-04-13,2017-04-13,110.02
2017-04-17,2017-04-17,110.21
2017-04-18,2017-04-18,109.56
2017-04-19,2017-04-19,109.42
2017-04-20,2017-04-20,109.95
2017-04-21,2017-04-21,110.27
2017-04-24,2017-04-24,111.69
2017-04-25,2017-04-25,111.21
2017-04-26,2017-04-26,111.13
2017-04-27,2017-04-27,113.29
2017-04-28,2017-04-28,111.89
2017-05-01,2017-05-01,109.71
2017-05-02,2017-05-02,109.54
2017-05-03,2017-05-03,109.25
2017-05-04,2017-05-04,110.0
2017-05-05,2017-05-05,110.72
2017-05-08,2017-05-08,108.0
2017-05-09,2017-05-09,108.5
2017-05-10,2017-05-10,108.96
2017-05-11,2017-05-11,108.97
2017-05-12,2017-05-12,107.76
2017-05-15,2017-05-15,108.63
2017-05-16,2017-05-16,108.64
2017-05-17,2017-05-17,107.18
2017-05-18,2017-05-18,107.44
2017-05-19,2017-05-19,107.81
2017-05-22,2017-05-22,108.55
2017-05-23,2017-05-23,108.94
2017-05-24,2017-05-24,109.88
2017-05-25,2017-05-25,111.05
2017-05-26,2017-05-26,110.56
2017-05-30,2017-05-30,110.53
2017-05-31,2017-05-31,112.16
2017-06-01,2017-06-01,113.36
2017-06-02,2017-06-02,113.82
2017-06-05,2017-06-05,112.74
2017-06-06,2017-06-06,110.89
2017-06-07,2017-06-07,110.45
2017-06-08,2017-06-08,111.21
