DATE,DATE,CLOSE
2016-11-01,2016-11-01,31.97
2016-11-02,2016-11-02,31.8
2016-11-03,2016-11-03,31.19
2016-11-04,2016-11-04,31.39
2016-11-07,2016-11-07,31.79
2016-11-08,2016-11-08,31.94
2016-11-09,2016-11-09,32.09
2016-11-10,2016-11-10,31.87
2016-11-11,2016-11-11,32.2
2016-11-14,2016-11-14,32.52
2016-11-15,2016-11-15,32.9
2016-11-16,2016-11-16,33.04
2016-11-17,2016-11-17,32.67
2016-11-18,2016-11-18,32.25
2016-11-21,2016-11-21,32.68
2016-11-22,2016-11-22,33.22
2016-11-23,2016-11-23,33.29
2016-11-25,2016-11-25,33.44
2016-11-28,2016-11-28,33.27
2016-11-29,2016-11-29,33.01
2016-11-30,2016-11-30,32.83
2016-12-01,2016-12-01,32.59
2016-12-02,2016-12-02,32.24
2016-12-05,2016-12-05,32.67
2016-12-06,2016-12-06,33.05
2016-12-07,2016-12-07,33.6
2016-12-08,2016-12-08,33.66
2016-12-09,2016-12-09,34.29
2016-12-12,2016-12-12,33.27
2016-12-13,2016-12-13,33.36
2016-12-14,2016-12-14,32.4
2016-12-15,2016-12-15,32.57
2016-12-16,2016-12-16,32.43
2016-12-19,2016-12-19,31.99
2016-12-20,2016-12-20,32.02
2016-12-21,2016-12-21,32.37
2016-12-22,2016-12-22,30.94
2016-12-23,2016-12-23,30.93
2016-12-27,2016-12-27,31.33
2016-12-28,2016-12-28,30.88
2016-12-29,2016-12-29,30.88
2016-12-30,2016-12-30,30.65
2017-01-03,2017-01-03,31.03
2017-01-04,2017-01-04,31.24
2017-01-05,2017-01-05,31.26
2017-01-06,2017-01-06,31.67
2017-01-09,2017-01-09,31.19
2017-01-10,2017-01-10,31.26
2017-01-11,2017-01-11,31.18
2017-01-12,2017-01-12,31.64
2017-01-13,2017-01-13,31.8
2017-01-17,2017-01-17,31.6
2017-01-18,2017-01-18,31.87
2017-01-19,2017-01-19,31.48
2017-01-20,2017-01-20,31.62
2017-01-23,2017-01-23,31.66
2017-01-24,2017-01-24,31.48
2017-01-25,2017-01-25,31.61
2017-01-26,2017-01-26,31.59
2017-01-27,2017-01-27,31.47
2017-01-30,2017-01-30,31.85
2017-01-31,2017-01-31,31.91
2017-02-01,2017-02-01,31.7
2017-02-02,2017-02-02,31.74
2017-02-03,2017-02-03,31.96
2017-02-06,2017-02-06,31.48
2017-02-07,2017-02-07,30.89
