DATE,DATE,CLOSE
2016-11-01,2016-11-01,72.98
2016-11-02,2016-11-02,72.65
2016-11-03,2016-11-03,72.11
2016-11-04,2016-11-04,72.49
2016-11-07,2016-11-07,73.88
2016-11-08,2016-11-08,74.02
2016-11-09,2016-11-09,78.39
2016-11-10,2016-11-10,78.34
2016-11-11,2016-11-11,77.67
2016-11-14,2016-11-14,77.02
2016-11-15,2016-11-15,77.32
2016-11-16,2016-11-16,76.94
2016-11-17,2016-11-17,77.71
2016-11-18,2016-11-18,76.67
2016-11-21,2016-11-21,76.64
2016-11-22,2016-11-22,75.99
2016-11-23,2016-11-23,68.0
2016-11-25,2016-11-25,69.12
2016-11-28,2016-11-28,67.2
2016-11-29,2016-11-29,67.15
2016-11-30,2016-11-30,67.12
2016-12-01,2016-12-01,65.97
2016-12-02,2016-12-02,67.71
2016-12-05,2016-12-05,67.26
2016-12-06,2016-12-06,67.8
2016-12-07,2016-12-07,67.38
2016-12-08,2016-12-08,67.19
2016-12-09,2016-12-09,67.85
2016-12-12,2016-12-12,67.61
2016-12-13,2016-12-13,68.64
2016-12-14,2016-12-14,67.67
2016-12-15,2016-12-15,71.37
2016-12-16,2016-12-16,73.31
2016-12-19,2016-12-19,73.42
2016-12-20,2016-12-20,73.38
2016-12-21,2016-12-21,73.25
2016-12-22,2016-12-22,73.26
2016-12-23,2016-12-23,73.79
2016-12-27,2016-12-27,73.81
2016-12-28,2016-12-28,73.06
2016-12-29,2016-12-29,73.56
2016-12-30,2016-12-30,73.55
2017-01-03,2017-01-03,74.6
2017-01-04,2017-01-04,74.72
2017-01-05,2017-01-05,75.59
2017-01-06,2017-01-06,75.67
2017-01-09,2017-01-09,76.27
2017-01-10,2017-01-10,76.27
2017-01-11,2017-01-11,75.26
2017-01-12,2017-01-12,77.15
2017-01-13,2017-01-13,77.4
2017-01-17,2017-01-17,76.85
2017-01-18,2017-01-18,77.53
2017-01-19,2017-01-19,76.84
2017-01-20,2017-01-20,76.81
2017-01-23,2017-01-23,76.32
2017-01-24,2017-01-24,74.85
2017-01-25,2017-01-25,74.85
2017-01-26,2017-01-26,74.58
2017-01-27,2017-01-27,75.38
2017-01-30,2017-01-30,74.7
2017-01-31,2017-01-31,77.03
2017-02-01,2017-02-01,77.6
2017-02-02,2017-02-02,77.39
2017-02-03,2017-02-03,77.23
2017-02-06,2017-02-06,77.83
2017-02-07,2017-02-07,77.7
2017-02-08,2017-02-08,78.11
2017-02-09,2017-02-09,77.7
2017-02-10,2017-02-10,77.79
2017-02-13,2017-02-13,77.77
2017-02-14,2017-02-14,78.81
2017-02-15,2017-02-15,80.25
2017-02-16,2017-02-16,80.04
2017-02-17,2017-02-17,80.39
2017-02-21,2017-02-21,80.36
2017-02-22,2017-02-22,81.07
2017-02-23,2017-02-23,82.55
2017-02-24,2017-02-24,82.87
2017-02-27,2017-02-27,83.06
2017-02-28,2017-02-28,82.81
2017-03-01,2017-03-01,83.85
2017-03-02,2017-03-02,82.91
2017-03-03,2017-03-03,83.78
