DATE,DATE,CLOSE
2016-11-01,2016-11-01,244.98
2016-11-02,2016-11-02,245.11
2016-11-03,2016-11-03,238.7
2016-11-04,2016-11-04,236.28
2016-11-07,2016-11-07,239.27
2016-11-08,2016-11-08,239.19
2016-11-09,2016-11-09,253.46
2016-11-10,2016-11-10,257.27
2016-11-11,2016-11-11,259.17
2016-11-14,2016-11-14,267.24
2016-11-15,2016-11-15,265.93
2016-11-16,2016-11-16,263.35
2016-11-17,2016-11-17,263.28
2016-11-18,2016-11-18,263.09
2016-11-21,2016-11-21,263.42
2016-11-22,2016-11-22,264.66
2016-11-23,2016-11-23,264.4
2016-11-25,2016-11-25,265.92
2016-11-28,2016-11-28,265.93
2016-11-29,2016-11-29,266.58
2016-11-30,2016-11-30,265.25
2016-12-01,2016-12-01,266.4
2016-12-02,2016-12-02,267.62
2016-12-05,2016-12-05,266.93
2016-12-06,2016-12-06,266.0
2016-12-07,2016-12-07,266.38
2016-12-08,2016-12-08,259.25
2016-12-09,2016-12-09,259.53
2016-12-12,2016-12-12,253.11
2016-12-13,2016-12-13,251.69
2016-12-14,2016-12-14,252.3
2016-12-15,2016-12-15,250.65
2016-12-16,2016-12-16,250.08
2016-12-19,2016-12-19,252.18
2016-12-20,2016-12-20,253.73
2016-12-21,2016-12-21,252.52
2016-12-22,2016-12-22,252.8
2016-12-23,2016-12-23,249.59
2016-12-27,2016-12-27,250.86
2016-12-28,2016-12-28,249.58
2016-12-29,2016-12-29,250.59
2016-12-30,2016-12-30,249.94
2017-01-03,2017-01-03,253.31
2017-01-04,2017-01-04,253.99
2017-01-05,2017-01-05,255.98
2017-01-06,2017-01-06,257.85
2017-01-09,2017-01-09,257.81
2017-01-10,2017-01-10,256.17
2017-01-11,2017-01-11,255.13
2017-01-12,2017-01-12,252.62
2017-01-13,2017-01-13,254.53
2017-01-17,2017-01-17,254.12
2017-01-18,2017-01-18,254.07
2017-01-19,2017-01-19,257.03
2017-01-20,2017-01-20,257.73
2017-01-23,2017-01-23,257.48
2017-01-24,2017-01-24,252.91
2017-01-25,2017-01-25,251.0
2017-01-26,2017-01-26,254.97
