DATE,DATE,CLOSE
2016-11-01,2016-11-01,37.419514
2016-11-02,2016-11-02,36.979519
2016-11-03,2016-11-03,37.089518
2016-11-04,2016-11-04,36.829521
2016-11-07,2016-11-07,37.929507
2016-11-08,2016-11-08,38.4995
2016-11-09,2016-11-09,36.809521
2016-11-10,2016-11-10,35.489539
2016-11-11,2016-11-11,35.35954
2016-11-14,2016-11-14,35.509538
2016-11-15,2016-11-15,36.019532
2016-11-16,2016-11-16,35.779535
2016-11-17,2016-11-17,35.809534
2016-11-18,2016-11-18,35.639537
2016-11-21,2016-11-21,35.829534
2016-11-22,2016-11-22,36.12953
2016-11-23,2016-11-23,35.749535
2016-11-25,2016-11-25,36.349527
2016-11-28,2016-11-28,37.089518
2016-11-29,2016-11-29,37.249516
2016-11-30,2016-11-30,35.919533
2016-12-01,2016-12-01,35.509538
2016-12-02,2016-12-02,35.989532
2016-12-05,2016-12-05,36.069531
2016-12-06,2016-12-06,36.079531
2016-12-07,2016-12-07,36.469526
2016-12-08,2016-12-08,36.439526
2016-12-09,2016-12-09,36.829521
2016-12-12,2016-12-12,37.209516
2016-12-13,2016-12-13,37.509512
2016-12-14,2016-12-14,36.619524
2016-12-15,2016-12-15,37.009519
2016-12-16,2016-12-16,37.609511
2016-12-19,2016-12-19,37.769509
2016-12-20,2016-12-20,37.799509
2016-12-21,2016-12-21,37.68951
2016-12-22,2016-12-22,37.809508
2016-12-23,2016-12-23,37.859508
2016-12-27,2016-12-27,37.999506
2016-12-28,2016-12-28,37.539512
2016-12-29,2016-12-29,38.189504
2016-12-30,2016-12-30,37.889507
2017-01-03,2017-01-03,37.929507
2017-01-04,2017-01-04,38.159504
2017-01-05,2017-01-05,38.109505
2017-01-06,2017-01-06,37.799509
2017-01-09,2017-01-09,37.279515
2017-01-10,2017-01-10,37.239516
2017-01-11,2017-01-11,37.749509
2017-01-12,2017-01-12,37.649511
2017-01-13,2017-01-13,37.489513
2017-01-17,2017-01-17,37.749509
2017-01-18,2017-01-18,37.69951
2017-01-19,2017-01-19,37.279515
2017-01-20,2017-01-20,37.359514
2017-01-23,2017-01-23,37.029519
2017-01-24,2017-01-24,36.94952
2017-01-25,2017-01-25,36.88952
2017-01-26,2017-01-26,36.94952
2017-01-27,2017-01-27,36.88952
2017-01-30,2017-01-30,36.859521
2017-01-31,2017-01-31,37.649511
2017-02-01,2017-02-01,36.979519
2017-02-02,2017-02-02,37.509512
2017-02-03,2017-02-03,37.819508
2017-02-06,2017-02-06,37.65951
2017-02-07,2017-02-07,37.799509
2017-02-08,2017-02-08,38.149504
2017-02-09,2017-02-09,37.649511
2017-02-10,2017-02-10,37.859508
2017-02-13,2017-02-13,37.989506
2017-02-14,2017-02-14,37.66951
2017-02-15,2017-02-15,37.539512
2017-02-16,2017-02-16,37.929507
2017-02-17,2017-02-17,38.079505
2017-02-21,2017-02-21,38.4295
2017-02-22,2017-02-22,38.649498
2017-02-23,2017-02-23,39.109492
2017-02-24,2017-02-24,39.519486
2017-02-27,2017-02-27,39.049492
2017-02-28,2017-02-28,39.479487
2017-03-01,2017-03-01,39.079492
2017-03-02,2017-03-02,39.24949
2017-03-03,2017-03-03,39.189491
2017-03-06,2017-03-06,39.179491
2017-03-07,2017-03-07,39.279489
2017-03-08,2017-03-08,38.389501
2017-03-09,2017-03-09,38.299502
2017-03-10,2017-03-10,38.609498
2017-03-13,2017-03-13,38.749496
2017-03-14,2017-03-14,38.869495
2017-03-15,2017-03-15,39.579485
2017-03-16,2017-03-16,39.129491
2017-03-17,2017-03-17,39.559486
2017-03-20,2017-03-20,39.099492
2017-03-21,2017-03-21,39.699484
2017-03-22,2017-03-22,39.779483
2017-03-23,2017-03-23,39.839482
2017-03-24,2017-03-24,40.099479
2017-03-27,2017-03-27,40.059479
2017-03-28,2017-03-28,40.119478
2017-03-29,2017-03-29,39.97948
2017-03-30,2017-03-30,39.569486
2017-03-31,2017-03-31,39.609485
2017-04-03,2017-04-03,39.589485
2017-04-04,2017-04-04,39.869482
2017-04-05,2017-04-05,39.97948
2017-04-06,2017-04-06,39.869482
2017-04-07,2017-04-07,39.699484
2017-04-10,2017-04-10,39.709484
2017-04-11,2017-04-11,39.699484
2017-04-12,2017-04-12,39.889481
2017-04-13,2017-04-13,39.619485
2017-04-17,2017-04-17,39.879482
2017-04-18,2017-04-18,40.149478
2017-04-19,2017-04-19,39.809482
2017-04-20,2017-04-20,39.719484
2017-04-21,2017-04-21,39.959481
2017-04-24,2017-04-24,40.069479
2017-04-25,2017-04-25,40.00948
2017-04-26,2017-04-26,39.479487
2017-04-27,2017-04-27,39.719484
2017-04-28,2017-04-28,39.319489
2017-05-01,2017-05-01,39.099492
2017-05-02,2017-05-02,39.419488
2017-05-03,2017-05-03,39.289489
2017-05-04,2017-05-04,39.869482
2017-05-05,2017-05-05,40.059479
2017-05-08,2017-05-08,39.789483
2017-05-09,2017-05-09,39.569486
2017-05-10,2017-05-10,39.519486
2017-05-11,2017-05-11,39.399488
2017-05-12,2017-05-12,39.609485
2017-05-15,2017-05-15,39.779483
2017-05-16,2017-05-16,39.379488
2017-05-17,2017-05-17,39.619485
2017-05-18,2017-05-18,39.819482
2017-05-19,2017-05-19,39.749483
2017-05-22,2017-05-22,40.379475
2017-05-23,2017-05-23,40.909468
2017-05-24,2017-05-24,41.119465
2017-05-25,2017-05-25,41.55946
2017-05-26,2017-05-26,41.359462
2017-05-30,2017-05-30,41.469461
2017-05-31,2017-05-31,41.469461
2017-06-01,2017-06-01,41.629459
2017-06-02,2017-06-02,41.829456
2017-06-05,2017-06-05,41.639459
2017-06-06,2017-06-06,41.459461
2017-06-07,2017-06-07,41.609459
2017-06-08,2017-06-08,41.249464
2017-06-09,2017-06-09,41.259464
2017-06-12,2017-06-12,41.169465
2017-06-13,2017-06-13,41.249464
2017-06-14,2017-06-14,41.56946
2017-06-15,2017-06-15,41.669458
2017-06-16,2017-06-16,42.179452
2017-06-19,2017-06-19,41.859456
2017-06-20,2017-06-20,41.839456
2017-06-21,2017-06-21,41.799457
2017-06-22,2017-06-22,41.589459
2017-06-23,2017-06-23,41.449461
2017-06-26,2017-06-26,41.689458
2017-06-27,2017-06-27,41.119465
2017-06-28,2017-06-28,40.869469
2017-06-29,2017-06-29,40.449474
2017-06-30,2017-06-30,40.169478
2017-07-03,2017-07-03,39.889481
2017-07-05,2017-07-05,39.759483
2017-07-06,2017-07-06,39.669484
2017-07-07,2017-07-07,39.709484
2017-07-10,2017-07-10,39.559486
2017-07-11,2017-07-11,39.589485
2017-07-12,2017-07-12,39.879482
2017-07-13,2017-07-13,39.729484
2017-07-14,2017-07-14,39.96948
2017-07-17,2017-07-17,40.129478
2017-07-18,2017-07-18,40.279476
2017-07-19,2017-07-19,40.499474
2017-07-20,2017-07-20,41.009467
2017-07-21,2017-07-21,41.379462
2017-07-24,2017-07-24,40.839469
2017-07-25,2017-07-25,40.549473
2017-07-26,2017-07-26,40.869469
2017-07-27,2017-07-27,40.729471
2017-07-28,2017-07-28,40.469474
2017-07-31,2017-07-31,40.529473
2017-08-01,2017-08-01,40.829469
2017-08-02,2017-08-02,40.949468
2017-08-03,2017-08-03,41.089466
2017-08-04,2017-08-04,41.089466
2017-08-07,2017-08-07,41.279463
2017-08-08,2017-08-08,41.56946
2017-08-09,2017-08-09,41.50946
2017-08-10,2017-08-10,41.629459
2017-08-11,2017-08-11,41.369462
2017-08-14,2017-08-14,41.669458
2017-08-15,2017-08-15,41.909455
2017-08-16,2017-08-16,42.079453
2017-08-17,2017-08-17,41.769457
2017-08-18,2017-08-18,42.239451
2017-08-21,2017-08-21,42.399449
2017-08-22,2017-08-22,42.719445
2017-08-23,2017-08-23,43.009441
2017-08-24,2017-08-24,42.859443
2017-08-25,2017-08-25,42.869443
2017-08-28,2017-08-28,43.07944
2017-08-29,2017-08-29,43.05944
2017-08-30,2017-08-30,42.769444
2017-08-31,2017-08-31,42.739444
2017-09-01,2017-09-01,42.569447
2017-09-05,2017-09-05,42.909442
2017-09-06,2017-09-06,42.599446
2017-09-07,2017-09-07,42.949442
2017-09-08,2017-09-08,43.189439
2017-09-11,2017-09-11,43.599433
2017-09-12,2017-09-12,42.749444
2017-09-13,2017-09-13,42.449448
2017-09-14,2017-09-14,42.919442
2017-09-15,2017-09-15,42.899442
